"","position","full_name","fpt_proj","pass_attempt","passing_yards_proj","pass_touchdown_proj","game_id","total_line","opp","spread","home","gameday","weekday","gametime","player_id","team_name","player_game_count","accuracy_percent","aimed_passes","attempts","avg_depth_of_target","avg_time_to_throw","bats","big_time_throws","btt_rate","completion_percent","completions","declined_penalties","def_gen_pressures"
"11","qb11","Sam Darnold",19.53,35.77,248.95,1.78,"2024_16_MIN_SEA",42.5,"SEA",-3,0,"2024-12-22","Sunday","16:05",29048,"MIN",14,78.5,386,426,9.5,3.09,6,29,6.2,67.6,288,0,187
"12","qb12","Drake Maye",19.33,36.67,227.77,1.26,"2024_16_NE_BUF",46.5,"BUF",14,0,"2024-12-22","Sunday","13:00",143969,"NE",10,75.6,262,279,7.3,2.87,3,11,3.6,68.5,191,0,126
"13","qb13","Patrick Mahomes",19.23,37.19,259.26,1.6,"2024_16_HOU_KC",42.5,"HOU",-3.5,1,"2024-12-21","Saturday","13:00",11765,"KC",14,77.1,455,502,7,2.82,8,16,3,66.7,335,1,188
"14","qb14","Justin Herbert",19.18,34.91,237.3,1.62,"2024_16_DEN_LAC",41.5,"DEN",-3,1,"2024-12-19","Thursday","20:15",28237,"LAC",15,75.9,395,423,9.1,2.9,8,27,5.9,65,275,0,167
"15","qb15","Russell Wilson",19.01,36.56,245.9,1.69,"2024_16_PIT_BAL",44.5,"BAL",6.5,0,"2024-12-21","Saturday","16:30",7077,"PIT",8,77.3,207,235,8.7,2.81,6,15,6.1,64.7,152,0,99
"16","qb16","Jayden Daniels",18.87,34.42,243.67,1.5,"2024_16_PHI_WAS",45.5,"PHI",3.5,1,"2024-12-22","Sunday","13:00",97993,"WAS",14,80.2,364,393,7.9,2.98,10,15,3.6,70.5,277,1,169
"17","qb17","Jordan Love",18.61,35.96,260.33,1.63,"2024_16_NO_GB",42.5,"NO",-14,1,"2024-12-23","Monday","20:15",40306,"GB",12,75.6,328,355,9.3,2.75,6,15,3.9,63.7,226,1,132
"18","qb18","Bo Nix",18.02,36.58,250.77,1.68,"2024_16_DEN_LAC",41.5,"LAC",3,0,"2024-12-19","Thursday","20:15",97790,"DEN",15,75.5,457,499,8,2.94,15,16,3,64.1,320,0,159
"19","qb19","Andy Dalton",17.9,35.69,232.52,1.2,"2024_16_ARI_CAR",47,"ARI",5,1,"2024-12-22","Sunday","13:00",6187,"CAR",6,77.5,151,160,7,2.54,3,6,3.6,66.3,106,0,50
"20","qb20","Derek Carr",17.89,35.74,237.02,1.52,"2024_16_NO_GB",42.5,"GB",14,0,"2024-12-23","Monday","20:15",8671,"NO",10,78.7,253,279,8.6,2.64,3,16,5.4,67.7,189,0,94
"21","qb21","Kirk Cousins",17.67,36.68,256,1.65,"2024_16_NYG_ATL",42,"NYG",-9,1,"2024-12-22","Sunday","13:00",7102,"ATL",14,76.7,412,453,8,2.54,15,13,2.7,66.9,303,0,156
"22","qb22","Brock Purdy",17.46,35.4,241.26,1.57,"2024_16_SF_MIA",44.5,"MIA",-1,0,"2024-12-22","Sunday","16:25",77672,"SF",13,72.8,360,380,9.4,3.03,8,14,3.5,65,247,0,171
"23","qb23","Anthony Richardson",17.44,34.63,242.57,1.22,"2024_16_TEN_IND",42.5,"TEN",-3.5,1,"2024-12-22","Sunday","13:00",124393,"IND",10,59.6,225,253,12.5,2.97,3,18,6.7,47,119,1,112
"24","qb24","Aaron Rodgers",17.37,37.54,251.9,1.55,"2024_16_LA_NYJ",46.5,"LA",3,1,"2024-12-22","Sunday","13:00",2241,"NYJ",14,73.6,458,488,7.6,2.62,8,23,4.4,62.5,305,0,144
"25","qb25","Caleb Williams",16.92,36.99,226.25,1.2,"2024_16_DET_CHI",48,"DET",6.5,1,"2024-12-22","Sunday","13:00",144622,"CHI",14,72.6,420,465,8.4,3.01,10,18,3.5,61.9,288,1,191
"26","qb26","Cj Stroud",16.86,36.19,238.59,1.38,"2024_16_HOU_KC",42.5,"KC",3.5,0,"2024-12-21","Saturday","13:00",129759,"HOU",14,72.8,426,456,8.3,2.99,5,21,4.3,63.6,290,0,198
"27","qb27","Cooper Rush",16.27,35.27,224.33,0.96,"2024_16_TB_DAL",48,"TB",4,1,"2024-12-22","Sunday","20:20",12324,"DAL",9,70.4,226,245,7.3,2.34,12,4,1.5,59.6,146,0,63
"28","qb28","Drew Lock",15.9,37.69,232.39,1.18,"2024_16_NYG_ATL",42,"ATL",9,0,"2024-12-22","Sunday","13:00",39517,"NYG",4,67.5,77,90,8.5,2.95,7,4,4.1,51.1,46,0,50
"29","qb29","Will Levis",15.1,33.8,229.66,0.99,"2024_16_TEN_IND",42.5,"IND",3.5,0,"2024-12-22","Sunday","13:00",83542,"TEN",11,73.8,263,284,8.7,2.76,3,14,4.6,63.7,181,0,129
"30","qb30","Geno Smith",15.04,35.24,239.86,1.31,"2024_16_MIN_SEA",42.5,"MIN",3,1,"2024-12-22","Sunday","16:05",7820,"SEA",14,78.6,449,485,7.7,2.82,10,25,4.7,69.9,339,1,210
"31","qb31","Aidan Oconnell",14.71,35.17,240.75,1.07,"2024_16_JAX_LV",40.5,"JAX",-1.5,1,"2024-12-22","Sunday","16:25",60516,"LV",6,70.5,122,136,7.9,2.71,3,6,4.1,63.2,86,0,49
