"","position","full_name","game_id","z_score","fpt_proj","rush_attempts_proj","rushing_yards_proj","anytime_td_proj","receptions_proj","receiving_yards_proj","total_line","opp","def_rush_epa_rank","spread","home","attempts_game","yards_per_game","ypa","td_game","rush_share","targets_game","yprr","grades_run","mtf_touch","def_rush_epa","off_rush_epa_sd","def_rush_epa_sd","rdef_sd","yco_attempt_sd"
"23","RB23","Kenneth Gainwell","2024_19_GB_PHI",0.309,5.6,4.6,18.9,0.14,1.1,8.9,45.5,"GB",8,-4.5,1,4.4,17.2,3.9,0.1,0.12,1.3,0.96,54.7,0.21,-0.141,1.62,-0.92,NA,-0.45
"24","RB24","Jeremy Mcnichols","2024_19_WAS_TB",0.363,5.3,4.9,18.5,0.19,1.7,9.1,50.5,"TB",7,3,0,3.4,16,4.7,0.2,0.1,0.6,0.21,86.3,0.19,-0.145,1.28,-0.98,NA,0.85
"25","RB25","Dameon Pierce","2024_19_LAC_HOU",0.072,5.3,5.3,20.2,0.19,1,5.9,41.5,"LAC",9,3,1,4,29.2,7.3,0.2,0.1,0.4,0.04,83.5,0.33,-0.124,-0.64,-0.69,NA,5.4
"26","RB26","Dare Ogunbowale","2024_19_LAC_HOU",-0.63,5.3,4.4,18.5,0.11,1.5,11.6,41.5,"LAC",9,3,1,1.8,6.7,3.7,0,0.08,1.5,1.05,66.6,0.22,-0.124,-0.64,-0.69,NA,-0.99
"27","RB27","Audric Estime","2024_19_DEN_BUF",0.19,5.2,5.1,23.3,0.13,1.3,8.3,47.5,"BUF",5,8.5,0,5.8,23.8,4.1,0.2,0.16,0.4,0.68,61.1,0.16,-0.16,-0.03,-1.18,NA,0.17
"28","RB28","Ronnie Rivers","2024_19_MIN_LA",-0.28,5.2,4.8,21.2,0.17,1.1,8.3,47.5,"MIN",1,2.5,1,4.4,19.8,4.5,0,0.05,1.2,0.92,71.4,0.11,-0.2,0.02,-1.72,NA,-0.38
"29","RB29","Ty Chandler","2024_19_MIN_LA",NA,5.2,5,25.6,0.17,1,7,47.5,"LA",20,-2.5,0,4.7,15.5,3.3,0,0.11,0.5,0.69,54.3,0.05,-0.052,-0.57,0.28,NA,-1.6
"30","RB30","Cordarrelle Patterson","2024_19_PIT_BAL",-0.388,5.1,4.7,19.7,0.13,1.4,8.5,44.5,"BAL",4,9.5,0,2.5,10.5,4.2,0,0.06,1.1,1.51,64.2,0.27,-0.174,-0.64,-1.37,NA,0.74
"31","RB31","Keaton Mitchell","2024_19_PIT_BAL",-0.322,5,4.1,16.4,0.18,1.2,9.2,44.5,"PIT",17,-9.5,1,3.8,7.6,2,0,0.03,0.2,3.11,49.8,0.19,-0.085,1.58,-0.17,NA,-1.58
"32","RB32","Blake Corum","2024_19_MIN_LA",-0.357,5,4.8,20.6,0.15,0.9,8.9,47.5,"MIN",1,2.5,1,4.1,14.8,3.6,0,0.13,0.6,1.81,70,0.18,-0.2,0.02,-1.72,NA,-0.76
"33","RB33","Will Shipley","2024_19_GB_PHI",0.189,5,4.4,18.2,0.17,0.9,6.1,45.5,"GB",8,-4.5,1,3.8,10.3,2.7,0,0.05,0.5,1.46,59.1,0.12,-0.141,1.62,-0.92,NA,-1.08
"34","RB34","Kimani Vidal","2024_19_LAC_HOU",-0.035,4.6,4.8,20,0.11,1.2,7.7,41.5,"HOU",6,-3,0,4.3,15.5,3.6,0,0.09,0.8,0.74,64.4,0.15,-0.15,-0.13,-1.04,NA,-0.23
"35","RB35","Hassan Haskins","2024_19_LAC_HOU",-0.22,4,4.3,17.2,0.11,1,4.8,41.5,"HOU",6,-3,0,2.4,6.2,2.6,0.1,0.07,0.2,0.8,56.6,0.11,-0.15,-0.13,-1.04,NA,-1.06
"36","RB36","Tyler Allgeier","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,38.1,4.7,0.2,0.28,0.8,0.95,85.7,0.3,NA,0.77,NA,NA,0.89
"37","RB37","Bijan Robinson","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9,85.9,4.8,0.8,0.61,4.1,1.11,92.8,0.24,NA,0.77,NA,NA,0.1
"38","RB38","Avery Williams","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77,NA,NA,NA
"39","RB39","Dandre Swift","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9,56.6,3.8,0.4,0.6,2.9,1.09,65.7,0.15,NA,-0.86,NA,NA,-0.68
"40","RB40","Travis Homer","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.8,3.8,0,0.01,0.5,0.25,62.6,0,NA,-0.86,NA,NA,-1.31
"41","RB41","Roschon Johnson","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,11.3,2.7,0.5,0.13,1.3,0.76,76,0.14,NA,-0.86,NA,NA,-1.21
"42","RB42","Chase Brown","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3,61.5,4.3,0.4,0.59,3.9,1.06,73.8,0.22,NA,-0.05,NA,NA,0.17
"43","RB43","Trayveon Williams","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.05,NA,NA,NA
"44","RB44","Khalil Herbert","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,10.1,3.6,0.1,0.09,0.8,0.38,57.6,0.07,NA,-0.05,NA,NA,-1.54
"45","RB45","Deuce Vaughn","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,11.5,4.1,0,0.04,0.7,0.86,59.6,0.35,NA,-0.68,NA,NA,0.14
"46","RB46","Rico Dowdle","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.7,67.6,4.6,0.1,0.55,3.1,0.88,74.4,0.19,NA,-0.68,NA,NA,0.44
"47","RB47","Ezekiel Elliott","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,15.2,3.1,0.2,0.17,1,0.54,59.6,0.08,NA,-0.68,NA,NA,-0.56
"48","RB48","David Montgomery","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2,55.4,4.2,0.9,0.35,2.6,2.24,78.9,0.26,NA,1.13,NA,NA,0.22
"49","RB49","Jahmyr Gibbs","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.7,82.3,5.6,0.9,0.47,3.7,1.67,90.7,0.24,NA,1.13,NA,NA,0.52
"50","RB50","Craig Reynolds","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,10.8,4.5,0,0.06,0.4,1.25,58,0.12,NA,1.13,NA,NA,-0.6
"51","RB51","Christopher Brooks","2024_19_GB_PHI",NA,NA,NA,NA,NA,NA,NA,45.5,"PHI",2,4.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.193,0.49,-1.62,NA,NA
"52","RB52","Tony Pollard","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.2,68,4.2,0.3,0.58,3.4,0.79,73.5,0.14,NA,-1.23,NA,NA,0.61
"53","RB53","Julius Chestnut","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,10.1,4.6,0,0.05,0.3,0.26,73,0.17,NA,-1.23,NA,NA,-0.31
"54","RB54","Tyjae Spears","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,26.3,3.7,0.3,0.19,2.8,1.34,67.9,0.32,NA,-1.23,NA,NA,-0.27
"55","RB55","Joshua Kelley","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,2,0,0,0,0,59.2,0,NA,-1.23,NA,NA,-1.31
"56","RB56","Jonathan Taylor","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.6,101.5,4.7,0.8,0.61,2.1,0.5,63.9,0.13,NA,0.01,NA,NA,-0.38
"57","RB57","Tyler Goodson","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,10.1,4.8,0.1,0.06,0.9,0.8,70.4,0.14,NA,0.01,NA,NA,-0.54
"58","RB58","Trey Sermon","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,9.2,2.8,0.1,0.11,1.1,0.81,56,0.12,NA,0.01,NA,NA,-0.63
"59","RB59","Isiah Pacheco","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9,44,3.7,0.1,0.18,2.3,0.81,64.8,0.09,NA,0.18,NA,NA,-0.78
"60","RB60","Kareem Hunt","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4,55.4,3.6,0.5,0.44,2.1,0.83,72.8,0.13,NA,0.18,NA,NA,-0.63
"61","RB61","Samaje Perine","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,5.5,4.6,0.1,0.04,1.9,1.59,67.7,0.19,NA,0.18,NA,NA,-0.76
"62","RB62","Ameer Abdullah","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,22.1,4.7,0.1,0.17,3.2,1.01,67,0.18,NA,-2.58,NA,NA,-0.47
"63","RB63","Dylan Laube","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0,0,0,0,0,39.9,0,NA,-2.58,NA,NA,1.43
"64","RB64","Jeff Wilson","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,6.5,3.6,0,0.04,0.3,0.48,59,0.11,NA,-2.14,NA,NA,-0.45
"65","RB65","Raheem Mostert","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,21.4,3.3,0.2,0.19,1.6,1.04,70.4,0.19,NA,-2.14,NA,NA,-0.3
"66","RB66","Devon Achane","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9,53.6,4.5,0.4,0.46,5,1.45,82.8,0.17,NA,-2.14,NA,NA,-0.06
"67","RB67","Jaylen Wright","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,16.7,3.7,0,0.15,0.4,0.1,75.8,0.23,NA,-2.14,NA,NA,0.4
"68","RB68","Rhamondre Stevenson","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8,53.8,3.9,0.5,0.46,2.6,0.62,70.3,0.21,NA,-1.41,NA,NA,-0.08
"69","RB69","Terrell Jennings","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,16.2,2.5,0,0.03,1,0,53.7,0,NA,-1.41,NA,NA,-0.89
"70","RB70","Antonio Gibson","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,32,4.5,0.1,0.27,1.7,1.26,75.5,0.34,NA,-1.41,NA,NA,1.31
"71","RB71","Alvin Kamara","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3,68.5,4.2,0.4,0.51,6.2,1.75,76.6,0.17,NA,0.45,NA,NA,-0.27
"72","RB72","Kendre Miller","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,24.7,3.8,0.2,0.09,1.3,0.7,79.7,0.32,NA,0.45,NA,NA,0.37
"73","RB73","Jamaal Williams","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,11.6,3.4,0.1,0.11,0.6,0.74,68.2,0.09,NA,0.45,NA,NA,-0.63
"74","RB74","Devin Singletary","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,29.2,3.9,0.3,0.27,1.6,0.73,64.5,0.22,NA,-0.56,NA,NA,-0.2
"75","RB75","Tyrone Tracy","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3,49.7,4.4,0.3,0.45,2.9,0.92,69.6,0.2,NA,-0.56,NA,NA,-0.16
"76","RB76","Eric Gray","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.2,2.2,0,0.03,0.8,1.28,42,0.12,NA,-0.56,NA,NA,-1.9
"77","RB77","Braelon Allen","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,19.4,3.6,0.1,0.25,1.5,1.1,82,0.13,NA,-0.39,NA,NA,-0.13
"78","RB78","Isaiah Davis","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,19.1,5.8,0.1,0.08,1.3,1.25,76.6,0.15,NA,-0.39,NA,NA,1.7
"79","RB79","Breece Hall","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1,55,4.2,0.3,0.58,4.7,1.26,68.7,0.2,NA,-0.39,NA,NA,0.11
"80","RB80","Michael Carter","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7,43.3,3.7,0.3,0.08,3.7,0.75,61.8,0.17,NA,0.65,NA,NA,-0.89
"81","RB81","James Conner","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8,68.1,4.6,0.5,0.51,3.3,1.54,90.6,0.3,NA,0.65,NA,NA,0.47
"82","RB82","Deejay Dallas","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,8.1,5.4,0,0.02,0.5,0.5,72.4,0,NA,0.65,NA,NA,2.8
"83","RB83","Isaac Guerendo","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,28,5,0.3,0.18,1.1,1.42,67.3,0.16,NA,0.17,NA,NA,0.11
"84","RB84","Patrick Taylor","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,26.3,4.7,0.1,0.09,1.6,0.29,69.8,0.12,NA,0.17,NA,NA,0.13
"85","RB85","Zach Charbonnet","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,33.2,4.2,0.5,0.35,2.8,1.08,78.8,0.24,NA,-0.66,NA,NA,0.54
"86","RB86","Kenny Mcintosh","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,21.4,5.5,0,0.08,0.4,0.79,69,0.29,NA,-0.66,NA,NA,0.72
"87","RB87","Raheem Blackshear","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,9,5.3,0,0.04,0,0,70.2,0.4,NA,0.44,NA,NA,0.88
"88","RB88","Tank Bigsby","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2,51.5,4.6,0.5,0.41,0.7,0.42,74.6,0.29,NA,0.07,NA,NA,1.07
"89","RB89","Dernest Johnson","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,11.2,4.5,0,0.08,1.3,0.82,70.5,0.18,NA,0.07,NA,NA,-0.37
"90","RB90","Travis Etienne","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,37,3.7,0.1,0.36,3.3,1,62.8,0.14,NA,0.07,NA,NA,-0.65
"91","RB91","Jerome Ford","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,40,5.4,0.2,0.27,3,0.74,80.3,0.3,NA,-0.83,NA,NA,0.74
"92","RB92","Donta Foreman","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,21.4,3.3,0,0.18,0.7,0.73,58.5,0.1,NA,-0.83,NA,NA,-1.26
"93","RB93","Pierre Strong","2024_19_NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,9.2,4.2,0,0.07,1.8,0.78,71.3,0.1,NA,-0.83,NA,NA,-0.46
