player_name,sample_size,baseline,major_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Buckley, Hayden",150,0.374,-0.003,27,0.019,0.004,0.012,0.061,-0.040,0.014,-0.019,-0.004,-0.010,0.418,2.945,"U.S. Open","The Los Angeles Country Club (North Course)"
"Pieters, Thomas",150,0.390,0.043,31,0.005,0.022,-0.097,0.057,-0.040,0.023,0.012,0.001,0.036,0.416,2.923,"U.S. Open","The Los Angeles Country Club (North Course)"
"Garcia, Sergio",150,0.447,0.053,43,-0.039,0.012,-0.061,0.029,-0.040,0.015,-0.003,-0.003,0.008,0.410,2.913,"U.S. Open","The Los Angeles Country Club (North Course)"
"Montgomery, Taylor",150,0.541,-0.058,28,0.016,0.088,0.029,-0.209,-0.040,0.012,0.017,0.014,0.044,0.410,2.982,"U.S. Open","The Los Angeles Country Club (North Course)"
"Smith, Jordan",150,0.345,0.004,30,0.007,-0.015,-0.010,0.089,-0.040,0.017,-0.010,-0.003,0.004,0.383,2.881,"U.S. Open","The Los Angeles Country Club (North Course)"
"List, Luke",150,0.119,0.043,38,-0.021,-0.000,-0.006,0.234,-0.040,0.035,0.012,-0.014,0.033,0.362,2.918,"U.S. Open","The Los Angeles Country Club (North Course)"
"Perez, Victor",150,0.349,0.071,30,0.007,0.013,0.032,-0.119,-0.040,0.013,-0.002,0.004,0.015,0.328,2.903,"U.S. Open","The Los Angeles Country Club (North Course)"
"Hughes, Mackenzie",150,0.239,0.084,32,0.001,-0.027,-0.020,0.053,-0.040,0.005,0.013,0.008,0.026,0.315,2.921,"U.S. Open","The Los Angeles Country Club (North Course)"
"Kim, Michael",150,0.257,-0.008,29,0.010,0.021,-0.034,0.089,-0.040,0.009,0.003,0.002,0.015,0.310,2.902,"U.S. Open","The Los Angeles Country Club (North Course)"
"Munoz, Sebastian",150,0.311,0.020,30,0.008,0.007,-0.022,0.030,-0.040,0.004,-0.017,0.001,-0.013,0.302,2.916,"U.S. Open","The Los Angeles Country Club (North Course)"
"Harrington, Padraig",150,0.304,0.175,51,-0.069,-0.032,-0.014,-0.037,-0.040,0.004,0.005,-0.001,0.008,0.295,2.909,"U.S. Open","The Los Angeles Country Club (North Course)"
"Hoge, Tom",150,0.362,0.077,34,-0.005,-0.030,0.044,-0.138,-0.040,-0.007,-0.008,0.000,-0.014,0.256,2.944,"U.S. Open","The Los Angeles Country Club (North Course)"
