"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","scoring_points","finish_points","total_points","value","projected_ownership","sg_putt_pred","sg_putt_rank","sg_arg_pred","sg_arg_rank","sg_app_pred","sg_app_rank","sg_ott_pred","sg_ott_rank","sg_total_pred","sg_total_rank","distance_pred","distance_rank","accuracy_pred","accuracy_rank","baseline","age","age_adj","true_sg_adj","timing_adj","sg_category_adj","course_history_adj","driving_dist_adj","driving_acc_adj","fit_other_adj","course_fit_total_adj","final_prediction","make_cut","top_20","top_10","top_5","win","odds_per_dollar","residuals","course_fit","own_change","adj_own","one","date","tournament"
"27","Cameron Young",23258465,7800,65.05,67.61,6.8,95,31,60.7,3,63.7,0.47,5.46007997411139,0.055,163,0.044,140,0.206,78,0.783,3,1.087,28,18.013,12,-0.003,196,0.763,25,0.025,0.068,0.032,0.2,0,0.119,0.008,-0.005,0.122,0.896,0.654,0.2088,0.1046,0.0511,0.0093,1.19,0.1,0.59,2.21,10,1,2022-07-01,"Open Championship"
"28","Robert Macintyre",23258466,7800,53.46,60.31,5.9,89,29.5,55.4,2,57.4,0.13,5.16018347124185,0.193,78,0.056,131,-0.043,183,-0.085,216,0.121,134,1.572,186,-0.012,231,0.088,25,0.022,0.03,-0.001,-0.018,0.009,0.01,0.03,0.015,0.055,0.495,0.5833,0.1481,0.0662,0.0286,0.0047,0.6,-0.49,-0.05,-0.91,5,1,2022-07-01,"Open Championship"
"29","Adam Scott",23258467,7700,68.63,68.84,7,96,31,59.7,2.8,62.5,0.43,8.33492743184986,0.182,83,-0.049,224,0.393,39,0.067,152,0.594,71,8.676,64,-0.033,300,0.807,42,-0.031,-0.042,-0.015,-0.125,0.031,0.057,0.079,-0.013,0.123,0.823,0.6337,0.1938,0.0954,0.0466,0.0079,1.03,0.01,0.14,0.5,10,1,2022-07-01,"Open Championship"
"30","Marc Leishman",23258468,7700,65.9,65.95,4.3,93,30.5,57.4,2.4,59.8,0.29,6.35309396701023,0.219,65,0.127,82,0.201,81,0.021,168,0.568,74,3.74,141,-0.025,274,0.738,38,-0.02,-0.017,-0.007,-0.126,0.041,0.024,0.059,0.007,0.09,0.728,0.6183,0.1712,0.0813,0.037,0.006,0.78,-0.24,0.4,1.04,5,1,2022-07-01,"Open Championship"
"31","Webb Simpson",23258469,7600,62.81,70.06,3.7,96.5,31.5,55.1,2,57.1,0.17,4.91767488151292,0.11,123,0.205,35,0.323,49,0.096,143,0.734,58,-0.538,224,0.038,83,0.797,36,-0.014,0.008,-0.062,0.004,0.01,-0.004,-0.087,-0.001,-0.091,0.485,0.5868,0.1403,0.0624,0.0268,0.0041,0.54,-0.42,0.38,0.7,5,1,2022-07-01,"Open Championship"
"32","Abraham Ancer",23258470,7600,62.05,66.63,1.5,93.5,30.5,54.8,2,56.9,0.15,3.23823760591967,0.206,72,-0.169,336,0.253,65,0.521,22,0.811,49,-3.077,273,0.091,11,0.861,31,0.004,-0.052,0.001,-0.004,0,-0.021,-0.212,-0.011,-0.244,0.491,0.5816,0.1344,0.0592,0.026,0.0041,0.54,-0.42,-0.48,-2.31,0,1,2022-07-01,"Open Championship"
"33","Paul Casey",23258472,7500,66.75,62.83,1.4,90.5,30,56.9,2.4,59.3,0.31,2.82575606822041,-0.097,272,0.147,71,0.628,14,0.008,175,0.686,63,6.74,97,0.019,132,0.882,44,-0.04,-0.025,-0.015,-0.116,0.023,0.044,-0.043,-0.029,-0.028,0.661,0.6109,0.173,0.082,0.039,0.0065,0.87,-0.04,0.19,0.6,5,1,2022-07-01,"Open Championship"
"34","Billy Horschel",23258473,7500,69.47,68.09,4,95,31.5,56,2.1,58.2,0.25,4.44323501709407,0.318,28,0.162,56,0.262,64,0.32,60,1.063,30,-2.764,265,0.065,31,1.18,35,-0.01,0.017,-0.006,-0.119,0.011,-0.019,-0.15,0.011,-0.158,0.555,0.6,0.1493,0.0665,0.0291,0.0047,0.63,-0.28,0.68,1.96,5,1,2022-07-01,"Open Championship"
"35","Seamus Power",23258474,7400,69.16,68.14,12.5,95,31.5,63.8,3.6,67.4,0.77,11.1442624081217,0.361,19,0.158,60,0.317,52,0.28,71,1.115,26,3.893,139,-0.003,197,1.102,35,-0.009,0.062,0.02,-0.06,0,0.025,0.008,0.01,0.043,1.202,0.7059,0.2695,0.1418,0.0701,0.0146,1.97,1.1,0.95,4.97,15,1,2022-07-01,"Open Championship"
"36","Sergio Garcia",23258475,7400,58.21,68.53,4.6,95,31.5,58.5,2.7,61.3,0.44,4.57806952696549,-0.082,258,0.069,119,0.203,79,0.447,32,0.636,68,8.848,59,0.01,160,0.69,42,-0.032,-0.006,-0.03,0.014,0.056,0.058,-0.021,-0.011,0.027,0.844,0.6441,0.1946,0.0949,0.0452,0.0077,1.04,0.17,-0.11,-0.13,5,1,2022-07-01,"Open Championship"
"37","Lee Westwood",23258476,7400,40.23,55.25,0.66,84.85,28,45.2,0.9,46.1,-0.21,0.652058464081641,-0.169,331,-0.108,287,-0.041,182,-0.019,188,-0.337,216,-4.942,306,0.011,156,-0.194,49,-0.054,-0.024,-0.015,-0.05,0.01,-0.033,-0.023,-0.012,-0.068,-0.403,0.4237,0.0533,0.0192,0.0068,8e-04,0.11,-0.76,-1.65,-6.91,0,1,2022-07-01,"Open Championship"
"38","Justin Rose",23258477,7400,64.73,66.71,9.9,94,31,55.9,2.1,58,0.26,7.81773665834287,0.302,33,0.003,175,0.143,98,0.099,142,0.546,78,0.492,202,0.01,158,0.795,41,-0.03,-0.035,0.01,-0.193,0.002,0.003,-0.023,0.008,-0.012,0.535,0.5968,0.1565,0.0739,0.0352,0.0059,0.8,-0.07,0.15,0.42,10,1,2022-07-01,"Open Championship"
"39","Patrick Reed",23258478,7300,61.27,59.06,5.1,88.5,29,55,2.1,57,0.24,5.90908628270244,0.356,22,0.314,2,0.108,109,-0.11,224,0.667,65,-4.396,294,-0.002,194,0.77,31,0.002,-0.04,-0.012,-0.053,0.011,-0.03,0.006,0.028,0.004,0.523,0.5968,0.1447,0.0645,0.0295,0.0041,0.56,-0.28,0.86,2.59,10,1,2022-07-01,"Open Championship"
"40","J.T. Poston",23258479,7300,52.54,60.45,2.7,89.35,29.5,54.2,1.9,56.1,0.19,3.13022055348291,0.279,44,0.137,74,0.102,111,0.146,124,0.664,66,-1.446,242,0.017,134,0.747,29,0.012,0.003,0.028,-0.127,0,-0.01,-0.039,0.016,-0.033,0.387,0.5708,0.1305,0.0568,0.0257,0.004,0.55,-0.29,0.38,0.89,5,1,2022-07-01,"Open Championship"
"41","Christiaan Bezuidenhout",23258480,7300,63.53,67.72,6.5,94,31,56.5,2.3,58.7,0.33,6.99784602519362,0.446,7,0.109,93,0.137,101,0.068,151,0.76,53,-7.861,347,0.047,67,0.779,28,0.015,0.035,-0.013,-0.056,0.034,-0.053,-0.108,0.021,-0.14,0.62,0.6016,0.1541,0.0689,0.0295,0.005,0.68,-0.16,0.46,1.37,10,1,2022-07-01,"Open Championship"
"42","Talor Gooch",23258481,7300,72.83,66.95,6,94,30.5,59.9,2.9,62.7,0.54,5.6881176418997,0.201,73,0.27,12,0.613,18,0.056,155,1.14,23,3.203,157,0.016,138,1.138,30,0.007,0.074,-0.015,-0.063,0,0.021,-0.036,-0.008,-0.023,0.896,0.6479,0.2028,0.1011,0.0488,0.008,1.1,0.26,1.05,4.06,10,1,2022-07-01,"Open Championship"
"43","Mito Pereira",23258482,7300,65.56,71.57,11.2,96.5,32,57.2,2.4,59.6,0.37,4.91162178984431,0.05,166,0.015,167,0.537,27,0.446,33,1.049,32,5.514,111,0.042,75,1.044,27,0.018,0.004,-0.017,0,0,0.036,-0.097,-0.024,-0.085,0.693,0.6109,0.1706,0.0792,0.0368,0.0066,0.9,0.06,0.12,0.51,10,1,2022-07-01,"Open Championship"
"44","Thomas Pieters",23258483,7200,65.69,66.53,4.6,94,30.5,60.7,3,63.7,0.62,7.28905847408499,0.084,140,0.127,83,0.23,71,0.457,29,0.898,38,8.001,76,-0.024,271,0.77,30,0.007,0.016,0.003,0.102,-0.018,0.053,0.058,-0.001,0.11,0.967,0.6644,0.2183,0.1078,0.0525,0.0095,1.32,0.53,0.32,1.92,10,1,2022-07-01,"Open Championship"
"45","Jordan L. Smith",23258484,7200,79.82,65.04,9.2,92.5,30,60.4,2.9,63.4,0.6,6.53772616164774,-0.201,345,0.032,148,0.331,48,0.674,9,0.835,45,8.831,60,0.041,78,0.635,29,0.01,0.011,0.015,0.164,0.027,0.058,-0.095,-0.025,-0.061,0.991,0.6644,0.2183,0.1079,0.052,0.0083,1.15,0.36,-0.35,-0.68,5,1,2022-07-01,"Open Championship"
"46","Russell Henley",23258485,7200,73.62,67.59,1.9,94,30.5,53.8,1.9,55.7,0.19,4.21065702501763,0.029,177,0.166,51,0.62,16,0.09,146,0.906,37,-2.902,269,0.055,49,1.025,33,-0.002,0.01,0.005,-0.132,0.015,-0.02,-0.128,-0.022,-0.169,0.443,0.5726,0.1271,0.0551,0.0236,0.0037,0.51,-0.28,0.13,0.03,5,1,2022-07-01,"Open Championship"
"47","Harold Varner III",23258486,7200,64.91,68.29,2.2,95,31,59.9,2.8,62.6,0.56,4.31495797391969,0.101,131,0.238,21,0.621,15,0.103,138,1.063,29,5.121,122,-0.019,254,1.05,31,0.002,0.013,0.016,-0.019,0,0.034,0.046,-0.015,0.065,0.862,0.6454,0.1988,0.0987,0.0473,0.0077,1.07,0.28,0.72,2.94,5,1,2022-07-01,"Open Championship"
"48","Jason Kokrak",23258487,7200,60.79,64.08,0.67,91.5,30,57.7,2.4,60,0.42,2.50881718017743,0.173,87,-0.016,193,0.183,86,0.481,28,0.82,48,10.319,46,0.005,174,0.716,37,-0.014,0.078,-0.017,0.058,0,0.068,-0.011,-0.001,0.056,0.641,0.6124,0.1656,0.0791,0.0362,0.0059,0.82,0.03,0.31,1.13,5,1,2022-07-01,"Open Championship"
"49","Keegan Bradley",23258488,7200,66.34,73.39,8.5,98.35,32.5,59.5,2.7,62.2,0.54,6.594492265626,-0.006,206,0.081,108,0.686,9,0.372,48,1.132,24,7.561,83,0.039,81,1.212,36,-0.011,-0.025,0.013,-0.056,-0.008,0.05,-0.089,-0.031,-0.071,0.837,0.6441,0.1965,0.0975,0.0451,0.008,1.11,0.32,0.34,1.67,10,1,2022-07-01,"Open Championship"
"50","Sebastian Munoz",23321381,7200,65.38,66.48,1.7,93.5,30.5,56.8,2.3,59,0.37,3.20067368596516,0.116,121,0.08,109,0.413,38,0.33,59,0.939,35,2.717,163,0.04,80,0.988,29,0.01,-0.021,-0.018,-0.021,0,0.018,-0.091,-0.011,-0.084,0.566,0.5902,0.1515,0.0697,0.03,0.0044,0.61,-0.18,0.25,0.6,5,1,2022-07-01,"Open Championship"
"51","Ryan Fox",23258489,7100,81,71.39,12.1,97.5,31.65,66.3,4,70.3,1,13.9934926122114,0.105,126,0.181,46,0.51,30,0.146,123,0.943,34,16.093,19,-0.115,428,0.938,35,-0.009,0.092,0.053,-0.13,0.007,0.107,0.269,-0.011,0.364,1.344,0.723,0.2976,0.1647,0.0882,0.0191,2.69,1.94,0.82,5.78,20,1,2022-07-01,"Open Championship"
"52","Adrian Meronk",23258490,7100,77.6,63.3,1.8,91.5,30,57.8,2.4,60.2,0.46,3.4557747075421,0.414,13,-0.16,323,-0.121,211,0.562,18,0.694,62,8.39,69,-0.012,230,0.575,29,0.012,0.008,0.022,0.078,-0.009,0.055,0.028,0.019,0.103,0.678,0.6124,0.1706,0.0781,0.0364,0.006,0.85,0.1,0.18,0.78,5,1,2022-07-01,"Open Championship"
"53","Victor Perez",23258491,7100,59.08,51.48,2.2,83.5,27,50.4,1.4,51.9,0.01,2.11950605432401,-0.1,274,-0.259,393,0.197,82,0.151,121,-0.011,156,4.906,124,-0.03,293,-0.061,29,0.009,-0.045,0.015,0.07,0.013,0.032,0.071,-0.028,0.075,0.107,0.5146,0.0929,0.0371,0.0153,0.0022,0.31,-0.44,-1.41,-5.59,0,1,2022-07-01,"Open Championship"
"54","Francesco Molinari",23258492,7100,50,53.74,0.65,83.5,27.5,48.7,1.2,50,-0.05,0.898458181884037,-0.003,205,0.145,72,0.01,158,-0.224,257,-0.073,165,-4.293,293,0.017,135,0.05,39,-0.023,-0.016,0.017,-0.101,0.009,-0.029,-0.039,0.007,-0.061,-0.109,0.4762,0.077,0.0296,0.0118,0.0017,0.24,-0.51,-0.46,-2.38,0,1,2022-07-01,"Open Championship"
"55","Gary Woodland",23258493,7100,54.28,64.27,10.2,92.5,30,58.8,2.6,61.4,0.52,6.15731035557468,0.074,149,0.043,141,0.36,43,0.43,38,0.906,36,9.2,53,-0.009,220,0.817,38,-0.018,0.041,0.035,0.03,0.005,0.061,0.022,-0.012,0.071,0.82,0.6429,0.1938,0.0931,0.0434,0.0075,1.06,0.31,0.23,1.27,10,1,2022-07-01,"Open Championship"
"56","Ian Poulter",23258494,7100,47.09,56.79,0.27,87.5,28.5,47.5,1.1,48.6,-0.09,0.414595155311238,0.3,35,0.15,70,-0.257,261,-0.307,296,-0.113,174,-7.731,345,0.03,104,0.11,46,-0.045,-0.019,-0.019,-0.14,0.025,-0.052,-0.068,0.036,-0.084,-0.139,0.4739,0.0657,0.0238,0.0084,0.001,0.14,-0.61,0.01,-0.88,0,1,2022-07-01,"Open Championship"
"57","Sahith Theegala",23321383,7100,68.34,64.03,4.2,91.5,30.5,56.2,2.2,58.4,0.36,3.45522148538853,0.041,171,0.155,63,0.29,54,0.229,84,0.714,61,4.277,136,-0.037,309,0.587,24,0.026,0.084,-0.053,0.069,0,0.028,0.086,-0.005,0.11,0.58,0.6,0.1529,0.0692,0.0302,0.0045,0.63,-0.12,0.1,0.17,5,1,2022-07-01,"Open Championship"
"58","Danny Willett",23258495,7000,47.72,53.71,2.4,83.5,27.5,53,1.8,54.8,0.19,4.25346265506126,0.115,122,0.215,30,-0.227,249,-0.177,244,-0.074,166,0.222,208,-0.029,291,-0.068,34,-0.007,0.029,-0.005,-0.023,0.071,0.001,0.07,0.029,0.099,0.34,0.5575,0.1172,0.0507,0.0217,0.0027,0.39,-0.29,0.02,-0.36,5,1,2022-07-01,"Open Championship"
"59","Kevin Na",23258496,7000,57.93,59.75,0.86,88.5,29,50.4,1.4,51.8,0.03,2.80729170347442,0.2,74,0.313,3,0.418,36,-0.504,356,0.427,87,-11.902,384,0.028,109,0.775,38,-0.02,-0.073,-0.016,-0.238,0.023,-0.08,-0.063,0.004,-0.139,0.067,0.5025,0.0897,0.0352,0.0145,0.0025,0.36,-0.32,0.32,0.64,0,1,2022-07-01,"Open Championship"
"60","Bernd Wiesberger",23258497,7000,60.35,59.18,0.53,88.5,29,48.4,1.3,49.7,-0.04,1.62218719992407,-0.746,434,0.155,62,0.584,21,0.1,140,0.092,140,1.612,185,0.034,93,-0.06,36,-0.013,-0.004,0.002,0.167,0.032,0.01,-0.078,-0.059,-0.127,-0.045,0.4808,0.0734,0.0276,0.0107,0.0011,0.16,-0.52,-1.58,-6.31,0,1,2022-07-01,"Open Championship"
"61","Cameron Tringale",23258498,7000,64.41,65.15,3.8,91.5,30.5,57.2,2.4,59.6,0.45,4.09972403945635,0.289,41,0.163,54,0.349,45,0.057,154,0.859,40,1.303,191,0.012,147,0.919,34,-0.007,0.045,-0.018,-0.081,0.01,0.008,-0.028,0.005,-0.014,0.7,0.6212,0.1709,0.079,0.0348,0.0057,0.81,0.13,0.72,2.72,5,1,2022-07-01,"Open Championship"
"62","Henrik Stenson",23258499,7000,46.94,51.67,0.32,83.5,27.5,50.4,1.5,51.9,0.04,1.63048587841105,-0.134,305,-0.06,235,0.285,56,0.003,176,0.094,138,-12.165,387,0.087,13,0.13,46,-0.045,0.037,0.012,-0.04,0.057,-0.081,-0.201,-0.025,-0.307,0.095,0.5025,0.0872,0.034,0.013,0.0017,0.24,-0.44,-1.45,-5.73,0,1,2022-07-01,"Open Championship"
