player_name,sample_size,baseline,links_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Harman, Brian",150,0.796,-0.264,35,-0.009,-0.111,0.014,0.060,0.000,-0.041,-0.181,0.004,-0.218,0.267,2.934,"The Open Championship","St. Andrews Links (Old Course)"
"Van Rooyen, Erik",150,0.224,-0.015,32,0.001,0.101,-0.053,0.050,-0.003,0.021,-0.055,-0.016,-0.050,0.256,2.996,"The Open Championship","St. Andrews Links (Old Course)"
"Grillo, Emiliano",150,0.268,-0.046,29,0.009,0.023,-0.007,0.073,-0.005,0.032,-0.132,-0.019,-0.119,0.197,3.008,"The Open Championship","St. Andrews Links (Old Course)"
"Kim, Joohyung",150,0.302,0.013,20,0.041,0.025,0.014,-0.001,0.000,-0.014,-0.206,0.003,-0.217,0.177,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"Law, David",150,-0.270,0.326,31,0.005,0.055,0.039,0.023,-0.010,-0.013,-0.007,-0.011,-0.031,0.138,2.964,"The Open Championship","St. Andrews Links (Old Course)"
"Jordan, Matthew",150,-0.579,0.352,26,0.020,-0.027,-0.004,0.120,0.036,0.024,0.152,0.026,0.202,0.120,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"Hoge, Tom",150,0.459,-0.260,33,-0.001,-0.035,0.025,0.013,0.000,-0.011,-0.059,-0.013,-0.083,0.119,2.993,"The Open Championship","St. Andrews Links (Old Course)"
"Perez, Victor",150,-0.061,0.031,29,0.009,-0.045,0.015,0.070,0.013,0.032,0.071,-0.028,0.075,0.107,2.978,"The Open Championship","St. Andrews Links (Old Course)"
"Straka, Sepp",150,0.165,-0.258,29,0.011,0.063,0.023,0.037,0.000,0.045,-0.005,0.017,0.056,0.098,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"Stenson, Henrik",150,0.130,0.251,46,-0.045,0.037,0.012,-0.040,0.057,-0.081,-0.201,-0.025,-0.307,0.095,2.951,"The Open Championship","St. Andrews Links (Old Course)"
"Larrazabal, Pablo",150,0.250,-0.216,39,-0.021,-0.006,0.060,-0.073,0.026,-0.035,0.084,0.021,0.070,0.089,2.992,"The Open Championship","St. Andrews Links (Old Course)"
"Harrington, Padraig",150,-0.324,0.306,50,-0.060,-0.047,0.036,0.064,0.092,0.009,0.009,-0.015,0.003,0.071,2.940,"The Open Championship","St. Andrews Links (Old Course)"
"Na, Kevin",150,0.775,-0.245,38,-0.020,-0.073,-0.016,-0.238,0.023,-0.080,-0.063,0.004,-0.139,0.067,3.006,"The Open Championship","St. Andrews Links (Old Course)"
"Woods, Tiger",150,0.356,0.250,46,-0.045,-0.084,-0.300,-0.082,0.015,0.022,-0.048,-0.021,-0.047,0.063,2.964,"The Open Championship","St. Andrews Links (Old Course)"
"English, Harris",150,0.521,-0.159,32,-0.001,-0.004,-0.136,-0.189,0.001,-0.009,-0.012,0.033,0.011,0.044,2.997,"The Open Championship","St. Andrews Links (Old Course)"
"Mullinax, Trey",150,-0.295,-0.243,30,0.009,0.048,-0.006,0.176,0.000,0.112,0.188,-0.018,0.283,-0.029,2.993,"The Open Championship","St. Andrews Links (Old Course)"
"Wiesberger, Bernd",150,-0.060,-0.042,36,-0.013,-0.004,0.002,0.167,0.032,0.010,-0.078,-0.059,-0.127,-0.045,2.938,"The Open Championship","St. Andrews Links (Old Course)"
"Harding, Justin",150,0.271,-0.068,36,-0.012,-0.003,0.006,-0.080,-0.013,-0.055,-0.109,0.007,-0.158,-0.056,3.012,"The Open Championship","St. Andrews Links (Old Course)"
"Zanotti, Fabrizio",150,0.147,0.039,39,-0.021,-0.019,0.051,0.022,-0.011,-0.040,-0.233,-0.019,-0.292,-0.084,2.970,"The Open Championship","St. Andrews Links (Old Course)"
"Kisner, Kevin",150,0.477,-0.208,38,-0.019,-0.050,0.042,-0.201,-0.002,-0.056,-0.101,0.028,-0.129,-0.089,2.998,"The Open Championship","St. Andrews Links (Old Course)"
"Molinari, Francesco",150,0.050,0.016,39,-0.023,-0.016,0.017,-0.101,0.009,-0.029,-0.039,0.007,-0.061,-0.109,3.017,"The Open Championship","St. Andrews Links (Old Course)"
"Bland, Richard",150,-0.060,0.317,49,-0.055,-0.030,-0.011,-0.135,0.051,-0.085,-0.104,-0.011,-0.200,-0.122,2.966,"The Open Championship","St. Andrews Links (Old Course)"
"Poulter, Ian",150,0.110,0.034,46,-0.045,-0.019,-0.019,-0.140,0.025,-0.052,-0.068,0.036,-0.084,-0.139,2.934,"The Open Championship","St. Andrews Links (Old Course)"
"Bjork, Alexander",150,0.176,0.047,32,0.002,-0.050,0.009,-0.291,-0.002,-0.078,-0.046,0.037,-0.087,-0.198,2.961,"The Open Championship","St. Andrews Links (Old Course)"
"Wu, Brandon",150,-0.102,-0.166,25,0.024,0.015,0.011,0.032,0.007,-0.008,-0.026,-0.014,-0.049,-0.228,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"Hojgaard, Nicolai",150,-0.736,-0.072,21,0.037,-0.024,-0.056,0.201,-0.007,0.139,0.235,-0.007,0.366,-0.290,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"Catlin, John",150,-0.139,-0.142,31,0.003,0.003,-0.019,0.172,0.011,-0.025,-0.213,-0.006,-0.243,-0.353,2.932,"The Open Championship","St. Andrews Links (Old Course)"
"Westwood, Lee",150,-0.194,-0.007,49,-0.054,-0.024,-0.015,-0.050,0.010,-0.033,-0.023,-0.012,-0.068,-0.403,3.031,"The Open Championship","St. Andrews Links (Old Course)"
"Scrivener, Jason",150,0.010,-0.226,33,-0.002,-0.068,-0.008,-0.054,0.024,-0.047,-0.033,-0.010,-0.090,-0.414,2.969,"The Open Championship","St. Andrews Links (Old Course)"
"Lombard, Zander",150,-1.205,0.276,27,0.017,-0.016,0.011,0.300,0.019,0.035,0.122,-0.000,0.156,-0.441,3.052,"The Open Championship","St. Andrews Links (Old Course)"
"Vincent, Scott",150,-0.564,-0.100,30,0.008,-0.001,0.064,0.033,0.000,0.035,0.043,0.032,0.109,-0.452,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"Johnson, Zach",150,-0.002,0.037,46,-0.045,-0.073,-0.061,-0.261,0.024,-0.093,-0.068,0.028,-0.133,-0.514,2.928,"The Open Championship","St. Andrews Links (Old Course)"
"Higgo, Garrick",150,-0.719,-0.158,23,0.031,0.051,-0.010,0.124,0.000,0.061,0.093,-0.010,0.144,-0.537,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"Higa, Kazuki",150,-0.516,-0.040,27,0.018,0.000,0.039,-0.020,0.000,-0.042,-0.047,0.030,-0.059,-0.577,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"Els, Ernie",150,-0.762,0.055,52,-0.066,0.001,0.031,0.011,0.034,-0.034,0.128,0.014,0.107,-0.588,2.948,"The Open Championship","St. Andrews Links (Old Course)"
"Kanaya, Takumi",150,-0.520,-0.069,24,0.028,0.003,-0.041,0.101,0.000,-0.051,-0.159,0.025,-0.185,-0.683,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"Norris, Shaun",150,-0.672,0.039,40,-0.025,-0.011,0.000,-0.125,0.000,-0.009,0.075,0.024,0.091,-0.703,3.011,"The Open Championship","St. Andrews Links (Old Course)"
"Katsuragawa, Yuto",150,-0.781,-0.040,-1,0.000,0.000,0.078,0.001,0.000,-0.014,0.024,0.006,0.015,-0.727,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"Kim, Chan",150,-0.844,-0.223,32,0.001,0.005,-0.005,0.129,0.000,0.091,0.081,-0.026,0.146,-0.790,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"Kim, Sihwan",150,-0.864,-0.078,33,-0.003,-0.000,0.033,-0.011,-0.002,-0.019,0.093,0.036,0.110,-0.815,2.998,"The Open Championship","St. Andrews Links (Old Course)"
"Nakajima, Keita",150,-0.925,-0.040,22,0.035,0.032,0.043,0.032,0.000,0.011,-0.011,0.004,0.003,-0.821,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"Imahira, Shugo",150,-0.734,-0.077,29,0.010,0.001,0.000,-0.007,0.000,-0.044,0.013,0.004,-0.028,-0.835,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"Migliozzi, Guido",150,-1.089,0.061,25,0.024,-0.067,-0.021,0.072,0.005,0.028,0.136,0.016,0.180,-0.836,3.034,"The Open Championship","St. Andrews Links (Old Course)"
"Donaldson, Jamie",150,-0.494,0.053,46,-0.046,-0.095,-0.015,-0.191,0.040,-0.076,-0.050,0.019,-0.107,-0.854,2.998,"The Open Championship","St. Andrews Links (Old Course)"
"Parry, John",150,-1.409,0.398,35,-0.010,0.000,0.049,-0.047,0.053,-0.070,0.104,0.014,0.048,-0.917,3.006,"The Open Championship","St. Andrews Links (Old Course)"
