player_name,sample_size,DG_odds,bet365_odds,bet365_ev,whill_odds,whill_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,pinnacle_odds,pinnacle_ev,betcris_odds,betcris_ev,betfair_odds,betfair_ev,betonline_odds,betonline_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,circa_odds,circa_ev,pointsbet_odds,pointsbet_ev,skybet_odds,skybet_ev,unibet_odds,unibet_ev
"Els, Ernie",150,Inf,+75000,-0.643,+50000,-0.762,+50000,-0.762,+40000,-0.810,,0.00,,0.00,+30000,-0.857,,0.00,+50000,-0.762,+100000,-0.525,Inf,-0.050,+50000,-0.762,+60000,-0.715,+50000,-0.762
"Katsuragawa, Yuto",150,Inf,+100000,-0.625,+50000,-0.812,+100000,-0.625,+30000,-0.887,,0.00,,0.00,+50000,-0.812,,0.00,+75000,-0.718,+50000,-0.812,+120000,-0.550,+50000,-0.812,+60000,-0.775,,0.00
"Kanaya, Takumi",150,Inf,+75000,-0.718,+25000,-0.906,+50000,-0.812,+40000,-0.850,,0.00,,0.00,+30000,-0.887,,0.00,+50000,-0.812,+30000,-0.887,+120000,-0.550,+40000,-0.850,+60000,-0.775,,0.00
"Kim, Chan",150,Inf,+100000,-0.650,+50000,-0.825,+42000,-0.853,+30000,-0.895,,0.00,,0.00,+25000,-0.912,,0.00,+50000,-0.825,+50000,-0.825,Inf,-0.300,+50000,-0.825,+60000,-0.790,,0.00
"Donaldson, Jamie",150,Inf,+40000,-0.860,+30000,-0.895,+42000,-0.853,+40000,-0.860,,0.00,,0.00,+30000,-0.895,,0.00,+25000,-0.912,+25000,-0.912,+55000,-0.807,+30000,-0.895,+27500,-0.903,,0.00
"Johnson, Zach",150,Inf,+35000,-0.886,+25000,-0.918,+42000,-0.863,+30000,-0.902,,0.00,,0.00,+25000,-0.918,,0.00,+25000,-0.918,+30000,-0.902,+75000,-0.756,+30000,-0.902,+27500,-0.910,+35000,-0.886
"Migliozzi, Guido",150,Inf,+35000,-0.886,+25000,-0.918,+34000,-0.889,+30000,-0.902,+40510,-0.868,+40050,-0.870,+25000,-0.918,,0.00,+20000,-0.935,,0.00,+60000,-0.805,+30000,-0.902,+22500,-0.927,+35000,-0.886
"Norris, Shaun",150,Inf,+75000,-0.756,+40000,-0.870,+50000,-0.837,+50000,-0.837,,0.00,,0.00,+30000,-0.902,,0.00,+30000,-0.902,+30000,-0.902,+100000,-0.675,+40000,-0.870,+40000,-0.870,,0.00
"Kaewkanjana, Sadom",150,Inf,+100000,-0.725,+50000,-0.862,+100000,-0.725,+80000,-0.780,,0.00,,0.00,+50000,-0.862,,0.00,+50000,-0.862,+30000,-0.917,Inf,-0.312,+50000,-0.862,+60000,-0.835,,0.00
"Nakajima, Keita",150,Inf,+75000,-0.793,+50000,-0.862,+42000,-0.884,,0.00,,0.00,,0.00,+25000,-0.931,,0.00,+50000,-0.862,+30000,-0.917,+120000,-0.670,+50000,-0.862,+50000,-0.862,+50000,-0.862
