player_name,sample_size,DG_odds,bet365_odds,bet365_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,pinnacle_odds,pinnacle_ev,betcris_odds,betcris_ev,betfair_odds,betfair_ev,betonline_odds,betonline_ev,betmgm_odds,betmgm_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,circa_odds,circa_ev,pointsbet_odds,pointsbet_ev,unibet_odds,unibet_ev,skybet_odds,skybet_ev,whill_odds,whill_ev
"Burns, Sam",150,+7697,+5000,-0.346,+4200,-0.449,+4500,-0.410,+5155,-0.326,+5850,-0.237,+4000,-0.474,+5000,-0.346,+4000,-0.474,+3300,-0.564,+4000,-0.474,+5600,-0.269,+4500,-0.410,+4500,-0.410,+3000,-0.602,+4000,-0.474
"Homa, Max",150,+7981,+6000,-0.245,+4500,-0.431,+4000,-0.493,+5568,-0.299,+5798,-0.270,+3300,-0.579,+5500,-0.307,+5000,-0.369,+4000,-0.493,+5000,-0.369,+6000,-0.245,+5000,-0.369,+4500,-0.431,+5000,-0.369,+5000,-0.369
"Hovland, Viktor",150,+8769,+5500,-0.369,+4500,-0.481,+5000,-0.425,+5656,-0.351,+6650,-0.239,+4000,-0.538,+5000,-0.425,+5000,-0.425,+4000,-0.538,+5000,-0.425,+5800,-0.335,+4500,-0.481,+4000,-0.538,+4000,-0.538,+4000,-0.538
"Pieters, Thomas",150,+9976,+12500,0.251,+9500,-0.047,+13000,0.300,+12328,0.233,+8550,-0.141,+6600,-0.335,+10000,0.002,+12500,0.251,+8000,-0.196,+12500,0.251,+10500,0.052,+10000,0.002,+8000,-0.196,+9000,-0.097,+10000,0.002
"Wise, Aaron",150,+10027,+15000,0.491,+12000,0.195,+13000,0.294,+13195,0.313,+13457,0.339,+12500,0.244,+12500,0.244,+12500,0.244,+12500,0.244,+12500,0.244,+12500,0.244,+12500,0.244,+10000,-0.003,+10000,-0.003,+12500,0.244
"Koepka, Brooks",150,+10104,+5000,-0.500,+4200,-0.579,+5000,-0.500,+5176,-0.483,+5444,-0.457,+4000,-0.598,+4500,-0.549,+4000,-0.598,+4000,-0.598,+5000,-0.500,+6100,-0.392,+3500,-0.647,+5000,-0.500,+3300,-0.667,+3500,-0.647
"Conners, Corey",150,+10482,+9000,-0.140,+10000,-0.046,+8000,-0.235,+11419,0.089,+9990,-0.046,+8000,-0.235,+9000,-0.140,+9000,-0.140,+8000,-0.235,+12500,0.191,+10500,0.002,+9000,-0.140,+8000,-0.235,+7000,-0.329,+8000,-0.235
"Gooch, Talor",150,+11104,+17500,0.571,+12000,0.080,+10000,-0.099,+18360,0.648,+13814,0.242,+10000,-0.099,+15000,0.348,+15000,0.348,+12500,0.125,+20000,0.794,+16500,0.482,+12500,0.125,+10000,-0.099,+12500,0.125,+12500,0.125
"Scott, Adam",150,+11264,+10000,-0.111,+9500,-0.155,+6500,-0.419,+10375,-0.078,+8050,-0.283,+6600,-0.410,+10000,-0.111,+9000,-0.199,+6600,-0.410,+10000,-0.111,+11000,-0.023,+10000,-0.111,+9000,-0.199,+7000,-0.375,+8000,-0.287
"Smith, Jordan",150,+11296,+15000,0.325,+12000,0.062,+15000,0.325,+15459,0.365,+15050,0.329,+8000,-0.289,+12500,0.106,+12500,0.106,+10000,-0.114,+20000,0.764,+15000,0.325,+12500,0.106,+10000,-0.114,+12500,0.106,+12500,0.106
"Varner III, Harold",150,+11769,+17500,0.483,+14000,0.188,+10000,-0.149,+18786,0.591,+18050,0.529,,0.00,+15000,0.272,+15000,0.272,+10000,-0.149,+25000,1.115,+14000,0.188,+12500,0.062,+10000,-0.149,+14000,0.188,+10000,-0.149
"Young, Cameron",150,+12095,+12500,0.033,+9500,-0.213,+13000,0.074,+12724,0.052,+10550,-0.127,+6600,-0.451,+12500,0.033,+10000,-0.172,+8000,-0.336,+10000,-0.172,+11000,-0.090,+10000,-0.172,+10000,-0.172,+9000,-0.254,+8000,-0.336
"Horsfield, Sam",150,+12558,+25000,0.983,+19000,0.509,+20000,0.588,+20756,0.648,+20050,0.592,+15000,0.193,+17500,0.390,+20000,0.588,+15000,0.193,+25000,0.983,+32500,1.575,+25000,0.983,+12500,-0.005,+14000,0.114,+17500,0.390
"Bradley, Keegan",150,+12680,+12500,-0.014,+11000,-0.131,+8000,-0.366,+14490,0.142,+10250,-0.190,+8000,-0.366,+12500,-0.014,+12500,-0.014,+10000,-0.210,+15000,0.182,+12000,-0.053,+12500,-0.014,+10000,-0.210,+10000,-0.210,+10000,-0.210
"Garcia, Sergio",150,+12762,+12500,-0.020,+10000,-0.215,+10000,-0.215,+18562,0.451,+12050,-0.055,+8000,-0.370,+10000,-0.215,+10000,-0.215,+6600,-0.479,+15000,0.174,+15000,0.174,+12500,-0.020,+10000,-0.215,+10000,-0.215,+10000,-0.215
"Woodland, Gary",150,+13015,+12500,-0.039,+8000,-0.382,+13000,-0.001,+12137,-0.067,+10250,-0.211,+6600,-0.489,+10000,-0.230,+10000,-0.230,+8000,-0.382,+10000,-0.230,+13500,0.037,+10000,-0.230,+10000,-0.230,+7000,-0.459,+8000,-0.382
"Mitchell, Keith",150,+13145,+15000,0.140,+11000,-0.162,+8000,-0.388,+17364,0.319,+14482,0.101,+8000,-0.388,+15000,0.140,+12500,-0.049,+10000,-0.237,+20000,0.518,+21000,0.593,+15000,0.140,,0.00,+12500,-0.049,+12500,-0.049
"Arnaus, Adri",150,+13459,+25000,0.851,+23000,0.704,+20000,0.482,+25938,0.920,+15050,0.117,+15000,0.114,+15000,0.114,+17500,0.298,+20000,0.482,+20000,0.482,+12000,-0.108,+15000,0.114,,0.00,+22500,0.667,+20000,0.482
"Burmester, Dean",150,+13693,+25000,0.820,+17000,0.240,+25000,0.820,+22447,0.635,+15050,0.098,+15000,0.095,+20000,0.457,+15000,0.095,+15000,0.095,+20000,0.457,+28500,1.074,+12500,-0.086,+12500,-0.086,+20000,0.457,+17500,0.276
"Herbert, Lucas",150,+14499,+15000,0.034,+10000,-0.308,+18000,0.240,+15555,0.072,+13250,-0.086,+8000,-0.445,+15000,0.034,+17500,0.206,+12500,-0.137,+15000,0.034,+18500,0.274,+10000,-0.308,+12500,-0.137,+9000,-0.377,+10000,-0.308
"Casey, Paul",150,+15226,+15000,-0.015,+12000,-0.210,+18000,0.181,+17631,0.157,+10050,-0.338,+8000,-0.471,+15000,-0.015,+12500,-0.178,+8000,-0.471,+15000,-0.015,+22500,0.475,+12500,-0.178,+10000,-0.341,+10000,-0.341,+10000,-0.341
"Meronk, Adrian",150,+15285,+15000,-0.018,+12000,-0.213,+15000,-0.018,+17631,0.153,+17041,0.114,+8000,-0.473,+15000,-0.018,+15000,-0.018,+12500,-0.181,+15000,-0.018,+28500,0.859,+12500,-0.181,+15000,-0.018,+10000,-0.343,+12500,-0.181
"Kokrak, Jason",150,+15900,+20000,0.256,+16000,0.006,+18000,0.131,+23942,0.503,+18446,0.159,+12500,-0.212,+20000,0.256,+15000,-0.056,+12500,-0.212,+25000,0.569,+13000,-0.181,+15000,-0.056,+15000,-0.056,+14000,-0.119,+15000,-0.056
"List, Luke",150,+16094,+25000,0.550,+21000,0.303,+20000,0.241,+26211,0.625,+19224,0.193,+17500,0.087,+20000,0.241,+15000,-0.068,+20000,0.241,,0.00,+24000,0.488,+20000,0.241,,0.00,+20000,0.241,+20000,0.241
"Leishman, Marc",150,+16227,+11000,-0.320,+8500,-0.473,+10000,-0.381,+12447,-0.231,+10250,-0.366,+6600,-0.590,+11000,-0.320,+9000,-0.443,+6600,-0.590,+12500,-0.228,+11000,-0.320,+9000,-0.443,+12500,-0.228,+7000,-0.565,+8000,-0.504
"Li, Haotong",150,+16498,+15000,-0.090,+10000,-0.391,+15000,-0.090,+15555,-0.057,+18050,0.094,+8000,-0.512,+12500,-0.241,+15000,-0.090,+10000,-0.391,+15000,-0.090,+21000,0.271,+15000,-0.090,,0.00,+10000,-0.391,+12500,-0.241
"Pereira, Mito",150,+16567,+12500,-0.244,+11000,-0.334,+10000,-0.394,+15921,-0.039,+18050,0.089,+8000,-0.514,+17500,0.056,+12500,-0.244,+10000,-0.394,+10000,-0.394,+14500,-0.124,+10000,-0.394,,0.00,+10000,-0.394,+10000,-0.394
"Clark, Wyndham",150,+18165,+40000,1.195,+30000,0.648,+25000,0.374,+34726,0.907,,0.00,+25000,0.374,+27000,0.484,+25000,0.374,+30000,0.648,+25000,0.374,+30000,0.648,+25000,0.374,,0.00,+27500,0.511,+25000,0.374
"Tringale, Cameron",150,+18419,+15000,-0.185,+14000,-0.239,+10000,-0.455,+19714,0.070,+16050,-0.128,+10000,-0.455,+20000,0.085,+15000,-0.185,+12500,-0.320,+25000,0.355,+27000,0.463,+15000,-0.185,+12500,-0.320,+10000,-0.455,+10000,-0.455
"Munoz, Sebastian",150,+19800,+20000,0.010,+21000,0.060,+13000,-0.342,+28422,0.433,+18050,-0.088,+17500,-0.116,+20000,0.010,+15000,-0.241,+12500,-0.367,+15000,-0.241,+22500,0.136,+20000,0.010,+15000,-0.241,+16000,-0.191,+15000,-0.241
"Rose, Justin",150,+20205,+7000,-0.650,+6000,-0.700,+6500,-0.675,+7780,-0.612,+8369,-0.583,+4000,-0.798,+7500,-0.626,+6600,-0.670,+5000,-0.749,+6600,-0.670,+7500,-0.626,+6600,-0.670,+7000,-0.650,+5000,-0.749,+5000,-0.749
"Lee, Min Woo",150,+20205,+22500,0.113,+12000,-0.404,+25000,0.236,+23339,0.154,+22597,0.118,+8000,-0.601,+22500,0.113,+22500,0.113,+15000,-0.256,+20000,-0.010,+28500,0.409,+20000,-0.010,+20000,-0.010,+14000,-0.306,+15000,-0.256
"Theegala, Sahith",150,+20625,+20000,-0.030,+16000,-0.223,+18000,-0.127,+23339,0.131,+20050,-0.028,+12500,-0.392,+22500,0.090,+15000,-0.271,+15000,-0.271,+15000,-0.271,+20000,-0.030,+17500,-0.151,+15000,-0.271,+12500,-0.392,+15000,-0.271
"Lee, Kyounghoon",150,+21064,+25000,0.186,+21000,-0.003,+18000,-0.145,+34680,0.643,+25050,0.188,,0.00,+20000,-0.050,+20000,-0.050,,0.00,+25000,0.186,+40000,0.895,+20000,-0.050,,0.00,,0.00,,0.00
"Simpson, Webb",150,+21758,+15000,-0.309,+16000,-0.263,+13000,-0.401,+19150,-0.119,+16050,-0.261,+12500,-0.424,+17500,-0.195,+12500,-0.424,+10000,-0.538,+20000,-0.080,+19500,-0.103,+10000,-0.538,+10000,-0.538,+14000,-0.355,+10000,-0.538
"Horschel, Billy",150,+23156,+10000,-0.566,+12000,-0.480,+10000,-0.566,+12447,-0.460,+9050,-0.607,+8000,-0.652,+10000,-0.566,+10000,-0.566,+8000,-0.652,+12500,-0.458,+11000,-0.523,+10000,-0.566,+8000,-0.652,+8000,-0.652,+9000,-0.609
"Bezuidenhout, Christiaan",150,+23292,+12500,-0.461,+11000,-0.525,+8000,-0.654,+13876,-0.403,+10250,-0.558,+8000,-0.654,+15000,-0.354,+10000,-0.568,+8000,-0.654,+15000,-0.354,+13000,-0.440,+12500,-0.461,+10000,-0.568,+9000,-0.611,+10000,-0.568
"Macintyre, Robert",150,+23429,+11000,-0.528,+6000,-0.741,+13000,-0.443,+12281,-0.474,+15250,-0.348,+4000,-0.826,+12500,-0.464,+12500,-0.464,+6600,-0.715,+10000,-0.571,+11000,-0.528,+9000,-0.613,+12500,-0.464,+6600,-0.715,+8000,-0.656
"Kim, Si Woo",150,+24440,+20000,-0.181,+19000,-0.222,+18000,-0.262,+26299,0.076,+20050,-0.179,+15000,-0.385,+20000,-0.181,+20000,-0.181,+15000,-0.385,,0.00,+19000,-0.222,+20000,-0.181,+17500,-0.283,+14000,-0.425,+15000,-0.385
"Reed, Patrick",150,+24591,+12500,-0.490,+10000,-0.591,+10000,-0.591,+12447,-0.492,+9050,-0.629,+10000,-0.591,+8000,-0.672,+9000,-0.631,+8000,-0.672,+12500,-0.490,+10000,-0.591,+8000,-0.672,+8000,-0.672,+8000,-0.672,+9000,-0.631
"Kitayama, Kurt",150,+25541,+20000,-0.216,+12000,-0.528,+20000,-0.216,+16591,-0.349,+20050,-0.214,+10000,-0.606,+17500,-0.314,+15000,-0.411,+12500,-0.509,+15000,-0.411,+20000,-0.216,+12500,-0.509,,0.00,+12500,-0.509,+12500,-0.509
"Cink, Stewart",150,+25706,+25000,-0.027,+21000,-0.182,+25000,-0.027,+31121,0.210,+27618,0.074,+17500,-0.318,+25000,-0.027,+25000,-0.027,+20000,-0.221,+25000,-0.027,+32500,0.263,+20000,-0.221,+20000,-0.221,+20000,-0.221,+20000,-0.221
"Mansell, Richard",150,+26044,+45000,0.725,+42000,0.610,+40000,0.534,,0.00,,0.00,+25000,-0.040,+35000,0.343,+30000,0.151,+25000,-0.040,+30000,0.151,+120000,3.594,+30000,0.151,+25000,-0.040,+27500,0.056,+30000,0.151
"Ancer, Abraham",150,+26390,+12500,-0.524,+12000,-0.543,+13000,-0.505,+13062,-0.503,+16050,-0.390,+8000,-0.694,+15000,-0.430,+10000,-0.619,+8000,-0.694,+15000,-0.430,+16000,-0.392,+10000,-0.619,+9000,-0.656,+9000,-0.656,+9000,-0.656
"Poston, J.T.",150,+26390,+15000,-0.430,+12000,-0.543,+15000,-0.430,+15555,-0.409,+18050,-0.315,+10000,-0.619,+17500,-0.336,+12500,-0.524,+10000,-0.619,+15000,-0.430,+17500,-0.336,+12500,-0.524,+12500,-0.524,+10000,-0.619,+10000,-0.619
"Kirk, Chris",150,+26567,+22500,-0.153,+28000,0.054,+18000,-0.321,+35006,0.316,+28050,0.056,+20000,-0.246,+27500,0.035,+20000,-0.246,+20000,-0.246,+20000,-0.246,+30000,0.129,+25000,-0.059,+17500,-0.340,+20000,-0.246,+20000,-0.246
"Detry, Thomas",150,+27111,+25000,-0.078,+16000,-0.408,+25000,-0.078,+28528,0.052,+22877,-0.156,+12500,-0.537,+27500,0.014,+25000,-0.078,+15000,-0.445,+25000,-0.078,+27500,0.014,+20000,-0.261,+15000,-0.445,+22500,-0.169,+17500,-0.353
"Frittelli, Dylan",150,+27297,+25000,-0.084,+16000,-0.412,+25000,-0.084,+25932,-0.050,+20050,-0.265,+12500,-0.540,+27500,0.007,+30000,0.099,+20000,-0.266,+25000,-0.084,+34000,0.245,+25000,-0.084,+17500,-0.358,+20000,-0.266,+20000,-0.266
"Canter, Laurie",150,+27872,+45000,0.612,+42000,0.505,+40000,0.434,,0.00,+50050,0.793,+25000,-0.103,+40000,0.434,+30000,0.076,+20000,-0.281,+25000,-0.103,+40000,0.434,+20000,-0.281,+25000,-0.103,+22500,-0.192,+25000,-0.103
"DeChambeau, Bryson",150,+29975,+12500,-0.581,+6500,-0.781,+13000,-0.564,+9493,-0.681,+10050,-0.663,+6600,-0.777,+10000,-0.664,+7000,-0.764,+6600,-0.777,+8000,-0.731,+11000,-0.631,+8000,-0.731,+12500,-0.581,+6000,-0.797,+6600,-0.777
"Henley, Russell",150,+29975,+20000,-0.332,+14000,-0.531,+15000,-0.498,+20013,-0.331,+20050,-0.330,+10000,-0.664,+22500,-0.249,+15000,-0.498,+15000,-0.498,+25000,-0.165,+20000,-0.332,+17500,-0.415,+15000,-0.498,+12500,-0.581,+15000,-0.498
"Hughes, Mackenzie",150,+33233,+35000,0.053,+17000,-0.487,+18000,-0.457,+30797,-0.073,+35050,0.054,+12500,-0.622,+35000,0.053,+25000,-0.247,+20000,-0.397,+25000,-0.247,+30000,-0.097,+30000,-0.097,+20000,-0.397,+20000,-0.397,+20000,-0.397
"Willett, Danny",150,+34683,+15000,-0.566,+11000,-0.681,+15000,-0.566,+17272,-0.501,+15250,-0.559,+8000,-0.767,+15000,-0.566,+15000,-0.566,+12500,-0.638,+15000,-0.566,+20000,-0.422,+15000,-0.566,+15000,-0.566,+10000,-0.710,+12500,-0.638
"Van Rooyen, Erik",150,+35936,+30000,-0.165,+23000,-0.359,+30000,-0.165,+28528,-0.206,+23050,-0.358,+17500,-0.512,+30000,-0.165,+22500,-0.373,+15000,-0.581,+25000,-0.303,+30000,-0.165,+20000,-0.442,+20000,-0.442,+16000,-0.553,+17500,-0.512
"Lawrence, Thriston",150,+37283,+40000,0.073,+32000,-0.141,+25000,-0.329,+41491,0.113,+40550,0.087,+25000,-0.329,+35000,-0.061,+30000,-0.195,+20000,-0.462,+25000,-0.329,+50000,0.340,+30000,-0.195,+25000,-0.329,+27500,-0.262,+30000,-0.195
"Grillo, Emiliano",150,+40716,+30000,-0.263,+19000,-0.532,+20000,-0.508,+28528,-0.299,+23050,-0.433,+15000,-0.630,+30000,-0.263,+20000,-0.508,+20000,-0.508,+25000,-0.385,+45000,0.105,+25000,-0.385,+20000,-0.508,+16000,-0.606,+20000,-0.508
"Perez, Victor",150,+42005,+17500,-0.582,+11000,-0.736,+20000,-0.523,+16518,-0.605,+21305,-0.492,+8000,-0.808,+17500,-0.582,+15000,-0.641,+10000,-0.760,+15000,-0.641,+26500,-0.368,+12500,-0.701,+15000,-0.641,+10000,-0.760,+10000,-0.760
"Woods, Tiger",150,+42005,+9000,-0.784,+6500,-0.843,+6000,-0.855,+9439,-0.773,+10048,-0.759,+5000,-0.879,+5500,-0.867,+6600,-0.841,+5000,-0.879,+6600,-0.841,+11000,-0.736,+8000,-0.808,+8000,-0.808,+6000,-0.855,+6000,-0.855
"Na, Kevin",150,+42453,+22500,-0.469,+23000,-0.457,+13000,-0.692,+30203,-0.288,+22050,-0.479,+17500,-0.586,+30000,-0.293,+20000,-0.528,+15000,-0.645,,0.00,+25000,-0.410,+20000,-0.528,+15000,-0.645,+20000,-0.528,+15000,-0.645
"Kim, Joohyung",150,+42453,+17500,-0.586,+12000,-0.716,+15000,-0.645,,0.00,+24060,-0.432,+10000,-0.763,+15000,-0.645,+15000,-0.645,+15000,-0.645,+15000,-0.645,+22500,-0.469,+17500,-0.586,,0.00,+12500,-0.704,+15000,-0.645
"Armitage, Marcus",150,+43378,+40000,-0.078,+42000,-0.032,+40000,-0.078,,0.00,+40050,-0.077,+25000,-0.423,+40000,-0.078,+30000,-0.308,+25000,-0.423,+30000,-0.308,+70000,0.612,+20000,-0.538,+25000,-0.423,+27500,-0.365,+30000,-0.308
"Harman, Brian",150,+45355,+20000,-0.558,+16000,-0.646,+20000,-0.558,+23339,-0.484,+22550,-0.502,+12500,-0.723,+22500,-0.503,+15000,-0.668,+15000,-0.668,+25000,-0.448,+22000,-0.514,+20000,-0.558,+15000,-0.668,+14000,-0.690,+15000,-0.668
"Jordan, Matthew",150,+46959,+40000,-0.148,+17000,-0.637,+30000,-0.360,+41491,-0.116,+35050,-0.253,+12500,-0.732,+40000,-0.148,+30000,-0.360,+20000,-0.573,+30000,-0.360,+55000,0.171,+20000,-0.573,+50000,0.065,+22500,-0.520,+25000,-0.467
"Hoge, Tom",150,+48680,+30000,-0.383,+32000,-0.342,+30000,-0.383,+35422,-0.272,+36550,-0.249,+25000,-0.485,+40000,-0.178,+20000,-0.588,+15000,-0.690,+25000,-0.485,+57500,0.181,+25000,-0.485,+25000,-0.485,+16000,-0.670,+20000,-0.588
"Law, David",150,+49283,+75000,0.521,+42000,-0.147,+40000,-0.188,,0.00,,0.00,+25000,-0.492,+55000,0.116,+50000,0.015,+30000,-0.390,+40000,-0.188,+100000,1.027,+40000,-0.188,+50000,0.015,+60000,0.217,+50000,0.015
"Zanotti, Fabrizio",150,+49900,+50000,0.002,+42000,-0.158,+20000,-0.598,,0.00,,0.00,+25000,-0.498,+55000,0.102,+30000,-0.398,+25000,-0.498,+25000,-0.498,+100000,1.002,+30000,-0.398,+20000,-0.598,+27500,-0.448,+30000,-0.398
"Larrazabal, Pablo",150,+49900,+30000,-0.398,+28000,-0.438,+30000,-0.398,+36304,-0.272,+25050,-0.497,+20000,-0.598,+35000,-0.298,+25000,-0.498,+15000,-0.698,+25000,-0.498,+30000,-0.398,+25000,-0.498,,0.00,+16000,-0.678,+20000,-0.598
"Stenson, Henrik",150,+51182,+30000,-0.413,+23000,-0.550,+30000,-0.413,+36304,-0.290,+40250,-0.213,+17500,-0.657,+40000,-0.218,+25000,-0.511,+15000,-0.706,+25000,-0.511,+60000,0.172,+25000,-0.511,+17500,-0.657,+20000,-0.608,+20000,-0.608
"Harrington, Padraig",150,+51848,+20000,-0.613,+10000,-0.806,+15000,-0.709,+16591,-0.679,+16250,-0.685,+8000,-0.844,+20000,-0.613,+20000,-0.613,+12500,-0.757,+15000,-0.709,+37500,-0.276,+15000,-0.709,+20000,-0.613,+12500,-0.757,+12500,-0.757
