"X","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","top_20","top_10","top_5","win","odds_per_dollar","one","residuals","own_change","adj_own","total_pts"
46,"Cameron Tringale",22991962,7200,65.21,0.0039,0.0061,49,0.0022,0.5641,47.73,0.83,69.5,21.5,0.5215,0.1437,0.0622,0.0259,0.0041,0.85,1,-0.11,12.34,15,47.84
47,"Adam Scott",22991963,7200,69.25,0.0105,0.0072,42,-0.0033,-0.3143,47.84,3.1,70,22,0.5536,0.1585,0.0708,0.0311,0.005,1,1,0.04,11.91,15,43.01
48,"Marc Leishman",22991964,7200,71.75,0.0129,0.0061,49,-0.0068,-0.5271,48.47,2.8,70,21.5,0.5516,0.1567,0.0682,0.0293,0.0046,0.85,1,-0.11,11.76,15,44.74
49,"Justin Rose",22991965,7100,67.12,0.012,0.0161,24,0.0041,0.3417,47.72,9.4,70,22,0.5475,0.1761,0.0814,0.0369,0.006,2.27,1,1.45,17.56,25,46.12
50,"Troy Merritt",22991966,7100,65.17,0.0033,0.0032,73,-9.99999999999998e-05,-0.0303,42.29,0.67,65.5,20,0.5025,0.1188,0.0477,0.0197,0.0025,0.45,1,-0.37,5.31,5,40.85
51,"Lanto Griffin",22991967,7100,65,0.0033,0.0049,57,0.0016,0.4848,45.4,1.8,68,21,0.5238,0.1361,0.056,0.0243,0.0034,0.69,1,-0.13,10.36,10,47.84
52,"Adam Schenk",22991969,7100,47.48,0.002,0.0032,73,0.0012,0.6,37.7,0.52,62,19.5,0.4608,0.0932,0.0371,0.0142,0.0014,0.45,1,-0.37,-3.46,0,45.03
53,"Gary Woodland",22991970,7100,52.75,0.0085,0.0053,52,-0.0032,-0.3765,49.24,4.3,70.5,22.5,0.5283,0.1531,0.0658,0.0282,0.004,0.75,1,-0.07,5.04,10,47.14
54,"Erik Van Rooyen",22991971,7100,56.97,0.0042,0.0042,62,0,0,43.03,0.9,67,20.5,0.4878,0.1215,0.052,0.0213,0.0031,0.59,1,-0.23,3.99,5,47.14
55,"Thomas Pieters",22991972,7000,58.95,0.0049,0.0032,73,-0.0017,-0.3469,45.22,1.7,67,21,0.4854,0.1209,0.0496,0.0209,0.0032,0.46,1,-0.25,3.54,5,41.14
56,"Luke List",22991973,7000,58.25,0.0055,0.0061,49,0.000600000000000001,0.1091,47.67,4.7,70,21.5,0.5556,0.1761,0.0787,0.0337,0.005,0.87,1,0.16,9.19,15,46.12
57,"Alex Noren",22991974,7000,66.76,0.0049,0.0061,49,0.0012,0.2449,49.33,5.6,70.85,22,0.5633,0.1647,0.074,0.0325,0.0048,0.87,1,0.16,14.08,20,46.12
58,"Patrick Rodgers",22991975,7000,56.55,0.0028,0.0032,73,4e-04,0.1429,42.72,0.89,66,20,0.5192,0.129,0.0527,0.022,0.0026,0.46,1,-0.25,3.22,5,46.65
59,"Si Woo Kim",22991976,7000,66.45,0.0061,0.0067,43,6e-04,0.0984,44.74,7.7,67.5,21,0.5984,0.1976,0.0913,0.0414,0.007,0.96,1,0.25,10.23,20,46.12
60,"Brian Harman",22991977,7000,59.83,0.0057,0.0072,42,0.0015,0.2632,51.26,9.9,72,22.5,0.5726,0.1727,0.0765,0.0316,0.0039,1.03,1,0.32,12.94,25,46.12
61,"Kevin Na",22991978,7000,63.32,0.0043,0.0065,45,0.0022,0.5116,45.56,4.1,67.5,21.5,0.4717,0.1168,0.0495,0.0204,0.0029,0.93,1,0.22,10.29,15,46.12
62,"Adam Hadwin",23043250,7000,66.47,0.0044,0.0051,54,7e-04,0.1591,47.31,2.8,69,21.5,0.5098,0.134,0.0564,0.0244,0.0033,0.73,1,0.02,11.32,15,46.12
63,"Branden Grace",22991980,6900,46.22,0.0056,0.0032,73,-0.0024,-0.4286,40.37,0.51,63.5,20,0.5146,0.1316,0.0549,0.0237,0.0033,0.46,1,-0.15,-5.36,0,42.41
64,"Matthew NeSmith",22991981,6900,57.74,0.0039,0.0042,62,3e-04,0.0769,43.69,2,66.5,21,0.5327,0.1406,0.0602,0.0257,0.0035,0.61,1,0,4.75,5,46.12
65,"Andrew Putnam",22991982,6900,51.48,0.002,0.002,92,0,0,38.57,0.36,62,19.15,0.4274,0.0754,0.0272,0.0105,0.0012,0.29,1,-0.32,-3.75,0,41.92
66,"Francesco Molinari",22991983,6900,55.25,0.0029,0.0032,73,3e-04,0.1034,41.8,5.5,65,20,0.4717,0.1047,0.0432,0.0171,0.0025,0.46,1,-0.15,1.8,5,44.93
67,"Kevin Kisner",22991984,6900,55.17,0.0042,0.0033,67,-9e-04,-0.2143,40.42,0.95,64,19.5,0.4545,0.0937,0.0368,0.0146,0.002,0.48,1,-0.13,-0.32,0,39.23
68,"Mackenzie Hughes",22991985,6800,57.03,0.0044,0.0043,59,-1e-04,-0.0227,38.42,2.1,62,19,0.4926,0.1144,0.0461,0.0184,0.0022,0.63,1,0.1,-0.27,0,42.82
69,"Scott Stallings",22991986,6800,55.39,0.0033,0.0042,62,9e-04,0.2727,41.58,1.4,65.5,20,0.4902,0.1153,0.0462,0.0184,0.0024,0.62,1,0.09,3.69,5,48.52
70,"Victor Perez",22991987,6800,65.1,0.0046,0.0024,80,-0.0022,-0.4783,43.5,0.84,66,20.5,0.4464,0.0871,0.0337,0.0133,0.0016,0.35,1,-0.18,4.8,5,36.03
71,"Adri Arnaus",22991988,6800,74.08,0.0033,0.005,55,0.0017,0.5152,44.12,1.2,67.5,20.5,0.4878,0.1252,0.0562,0.0227,0.003,0.74,1,0.21,14.73,15,46.12
72,"Wyndham Clark",22991989,6800,55.67,0.0049,0.0034,66,-0.0015,-0.3061,36.62,1.1,61,19,0.4878,0.1101,0.044,0.0174,0.0021,0.5,1,-0.03,-3.25,0,39.22
73,"Lucas Herbert",22991990,6800,54.43,0.0039,0.0049,57,0.001,0.2564,38.82,3.1,63,19.5,0.5,0.134,0.0579,0.0243,0.0032,0.72,1,0.19,0.94,5,45.93
74,"Nick Taylor",22991991,6800,55.43,0.0019,0.0032,73,0.0013,0.6842,43.52,0.32,66.5,20.5,0.4386,0.0867,0.0328,0.0126,0.0014,0.47,1,-0.06,5.74,5,44.93
