player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Lamar Jackson,46416,QB,BLT,12,390,78.0,118,129,8.3,2.84,6,3,2.2,66.7,86,54,6.5,143,36.7,6,64,,,,,43.7,86.5,82.1,82.2,,80.5,2,2,153,11.1,114.3,4.2,6,7,0,3,10,2,1.3,1154,8.9,0,3,56.8,91.9,90.3,84.6,77.6,192,214,9.9,3.36,5,11,4.7,67.8,145,80,2.7,247,63.3,4,90,,,,,82.3,91.4,84.3,89.0,,82.1,6,1,269,12.5,120.1,4.0,10,22,4,7,17,4,1.5,1899,8.9,81.8,231,244,8.5,2.53,9,10,3.8,75.0,183,0,3.2,256,65.6,6,115,,,,,78.4,93.1,84.4,92.3,,61.6,0,3,273,,127.1,0.0,0,10,4,0,19,2,0.7,2440,10.0,4,65.8,79,99,11.6,4.4,2,4,3.6,48.5,48,134,7.7,134,34.4,4,39,,,,,49.0,78.0,82.0,67.8,,91.1,8,0,149,11.9,95.2,11.9,16,19,0,10,8,4,2.7,613,6.2
Daniel Jones,39395,QB,NYG,10,389,73.7,99,109,6.8,2.54,3,3,2.5,57.8,63,53,13.7,126,32.4,10,33,,,,,87.2,57.1,81.8,56.6,,62.3,1,2,139,18.9,77.6,7.9,10,5,0,6,4,3,2.2,595,5.5,0,21,80.1,72.0,67.5,79.0,79.5,210,232,7.9,2.79,2,4,1.6,65.9,153,92,8.4,263,67.6,14,77,,,,,65.4,72.9,84.5,72.2,59.9,59.6,2,5,279,20.7,80.3,7.2,19,11,4,14,4,6,2.2,1475,6.4,83.6,225,235,6.6,2.3,3,4,1.6,71.9,169,0,10.1,244,62.7,19,89,,,,,90.4,85.5,84.2,83.2,,65.8,0,5,262,,88.0,0.0,0,6,4,3,5,3,1.1,1567,6.7,5,61.9,84,106,10.1,3.4,2,3,2.7,44.3,47,145,9.6,145,37.3,5,21,,,,,45.8,37.3,82.2,37.8,59.9,56.9,3,2,156,20.0,60.4,20.0,29,10,0,17,3,6,3.8,503,4.7
Kirk Cousins,7102,QB,ATL,11,386,70.4,98,107,8.2,2.32,1,3,2.6,63.6,68,40,1.4,114,29.5,1,38,,,,,60.6,71.4,81.3,69.4,58.9,65.9,1,1,123,12.5,93.1,4.4,5,1,0,7,3,3,2.4,837,7.8,0,2,45.3,77.3,75.4,64.1,79.4,233,253,7.8,2.64,8,7,2.6,70.0,177,92,4.3,272,70.5,8,91,,,,,37.8,76.5,84.7,75.3,,55.7,3,8,293,18.5,98.1,6.3,17,1,4,5,14,14,4.8,1970,7.8,77.7,242,252,7.2,2.37,6,5,1.8,72.2,182,0,3.2,254,65.8,6,95,,,,,90.5,85.1,84.4,82.9,,,0,1,275,,109.2,0.0,0,0,4,0,12,6,2.2,1980,7.9,1,74.2,89,108,9.9,2.89,3,5,4.4,58.3,63,132,4.5,132,34.2,3,34,,,,,21.7,56.1,81.9,55.8,58.9,63.0,4,8,141,16.7,67.2,16.7,22,2,0,12,5,11,7.8,827,7.7
Josh Allen,46601,QB,BUF,11,384,71.8,103,114,7.2,2.43,5,9,7.4,60.5,69,44,6.8,129,33.6,5,48,,,,,58.0,82.6,81.8,76.7,,85.2,1,2,138,9.1,115.1,3.1,4,10,0,5,12,1,0.7,952,8.4,0,4,35.5,84.7,75.3,91.8,75.1,205,225,8.2,2.91,3,17,7.0,65.8,148,85,3.9,255,66.4,6,81,,,,,27.7,77.1,84.4,71.0,,90.4,3,3,276,10.6,89.7,3.5,9,19,1,13,6,12,4.3,1591,7.1,79.3,232,243,6.3,2.24,6,13,5.0,71.6,174,0,5.4,255,66.4,10,93,,,,,90.5,88.1,84.4,84.4,,78.5,0,3,271,,105.6,0.0,0,9,1,4,12,4,1.5,1898,7.8,2,57.9,76,96,12.7,3.76,2,13,12.4,44.8,43,129,2.3,129,33.6,1,36,,,,,19.1,65.0,81.9,53.1,,91.2,4,2,143,10.1,79.6,10.1,13,20,0,14,6,9,6.3,645,6.7
Sam Darnold,29048,QB,MIN,11,377,79.4,68,75,11.2,2.9,0,9,10.8,69.3,52,49,3.7,89,23.6,2,37,,,,,24.2,79.9,80.5,78.2,58.9,63.5,0,0,98,22.4,140.3,12.4,11,3,0,7,8,4,4.1,808,10.8,0,18,47.8,81.9,79.2,76.2,77.6,232,252,8.9,3.18,1,13,4.7,67.1,169,91,6.1,288,76.4,11,99,,,,,84.7,80.4,85.0,76.0,58.9,85.0,3,10,313,22.0,90.2,6.9,20,16,1,15,13,13,4.2,1909,7.6,79.6,225,232,9.0,2.74,1,15,6.0,72.4,168,0,6.1,237,62.9,11,92,,,,,90.4,85.6,84.2,83.8,,58.0,0,7,257,,104.5,0.0,0,5,1,5,13,11,4.3,2003,8.6,5,73.3,75,95,10.7,3.73,0,7,6.6,55.8,53,140,3.6,140,37.1,2,44,,,,,25.9,71.0,82.2,63.6,55.2,89.5,3,3,154,22.1,94.8,22.1,31,14,0,17,8,6,3.9,714,7.5
Brock Purdy,77672,QB,SF,10,367,73.9,115,121,9.4,2.96,3,8,6.2,66.9,81,65,4.7,142,38.7,4,58,,,,,87.9,72.1,82.1,70.2,,67.3,1,5,151,18.5,97.4,8.5,12,8,0,2,7,5,3.3,1088,9.0,0,28,59.0,81.3,75.1,86.7,73.6,174,185,9.3,3.22,3,6,3.0,65.4,121,75,5.5,225,61.3,7,82,,,,,36.1,80.9,83.9,74.9,60.0,84.8,1,3,239,10.7,95.0,3.6,8,29,1,6,6,5,2.1,1525,8.2,75.5,204,209,9.4,2.63,3,7,3.2,70.3,147,0,4.5,227,61.9,7,92,,,,,52.3,84.9,83.9,79.7,,89.8,0,5,238,,97.8,0.9,2,12,1,1,5,6,2.5,1959,9.4,0,69.4,85,97,9.1,3.92,3,7,6.5,56.7,55,140,6.8,140,38.1,4,48,,,,,65.3,65.8,82.1,61.8,60.0,72.2,2,3,152,12.9,92.0,12.9,18,25,0,7,8,4,2.6,654,6.7
Justin Herbert,28237,QB,LAC,11,366,74.0,100,109,8.8,2.81,2,5,4.3,63.3,69,48,6.8,124,33.9,5,44,,,,,37.9,85.6,81.6,83.6,,63.4,2,0,133,22.9,105.0,8.9,11,4,0,5,6,2,1.5,831,7.6,0,27,33.7,86.6,85.6,63.3,75.3,190,204,9.6,2.96,4,16,7.3,62.7,128,74,10.5,242,66.1,15,70,,,,,46.5,83.5,84.2,80.8,,71.2,2,1,260,21.6,95.9,6.6,16,18,2,6,7,8,3.1,1573,7.7,76.3,224,234,9.3,2.61,4,15,6.1,67.1,157,0,8.2,244,66.7,14,93,,,,,76.7,93.6,84.1,92.3,,71.4,0,0,256,,106.2,0.0,0,8,2,4,10,3,1.2,1909,8.2,0,69.7,66,79,9.6,3.51,2,6,6.7,50.6,40,122,13.0,122,33.3,6,21,,,,,23.9,54.9,81.7,52.3,,66.7,4,1,137,22.1,77.8,22.1,27,14,0,7,3,7,5.1,495,6.3
Kyler Murray,38334,QB,ARZ,11,355,71.4,91,100,7.6,2.73,4,4,3.8,63.0,63,45,3.1,114,32.1,2,41,,,,,26.0,65.9,81.2,61.9,,85.6,0,2,119,22.2,81.0,8.8,10,4,0,5,2,5,4.2,675,6.8,0,1,56.7,80.9,77.8,75.8,77.3,203,213,8.1,2.93,2,13,5.8,71.4,152,65,3.2,241,67.9,5,81,,,,,90.4,86.3,84.1,83.3,,73.1,2,2,253,15.4,105.9,4.1,10,16,0,6,10,3,1.2,1668,7.8,77.3,229,235,7.3,2.49,5,12,4.9,72.3,170,0,4.0,245,69.0,7,90,,,,,90.4,84.1,84.2,82.3,,63.2,0,3,258,,102.7,0.0,0,9,0,1,9,2,0.8,1854,7.9,4,69.2,65,78,10.3,3.7,1,5,6.1,57.7,45,110,0.0,110,31.0,0,32,,,,,25.6,69.0,81.0,61.3,,89.4,2,1,114,18.2,83.8,18.2,20,11,0,10,3,6,5.3,489,6.3
Jalen Hurts,40291,QB,PHI,11,348,76.4,89,100,8.2,2.83,2,4,3.7,65.0,65,54,4.4,123,35.3,3,45,,,,,37.6,71.5,81.6,63.6,,90.5,1,1,132,22.2,93.2,9.8,12,10,0,8,3,4,3.0,746,7.5,0,24,50.8,76.2,67.0,87.0,82.0,167,185,8.9,3.38,2,10,5.2,71.4,132,89,3.6,225,64.7,5,80,,,,,58.7,72.0,44.5,67.4,,82.3,0,4,236,19.1,107.3,7.6,17,21,1,15,10,10,4.2,1630,8.8,85.6,181,189,7.8,2.63,4,8,4.1,79.4,150,0,3.2,205,58.9,5,88,,,,,90.1,90.1,83.5,86.3,,77.4,0,3,215,,115.0,0.0,0,13,1,3,8,5,2.3,1853,9.8,1,66.7,75,96,10.9,3.99,0,6,5.8,49.0,47,143,6.0,143,41.1,3,37,,,,,24.9,46.4,25.8,36.3,,90.9,1,2,153,20.3,74.3,20.3,29,18,0,20,5,9,5.9,523,5.4
Gardner Minshew,41401,QB,LV,10,346,74.3,101,117,8.1,2.61,5,4,3.2,63.2,74,60,1.3,131,37.9,1,45,,,,,39.8,61.8,81.8,61.7,,57.9,1,2,139,16.7,93.3,7.6,10,4,0,10,6,4,2.9,801,6.8,0,23,47.7,60.7,61.7,46.1,78.2,170,189,5.1,2.64,4,1,0.5,68.3,129,61,3.0,215,62.1,4,65,,,,,71.1,61.4,83.7,61.3,,57.6,1,8,231,31.1,73.3,8.8,19,7,3,11,3,5,2.2,1212,6.4,82.5,206,221,5.6,2.26,6,3,1.3,75.6,167,0,1.8,225,65.0,3,84,,,,,72.3,75.5,83.9,75.1,,48.3,0,7,242,,88.2,0.4,1,3,3,6,4,5,2.1,1606,7.3,1,58.5,65,85,8.4,3.33,3,2,2.2,42.4,36,121,5.3,121,35.0,2,26,,,,,35.9,37.5,81.5,36.7,,63.9,2,3,128,23.1,62.2,23.1,28,8,0,15,5,4,3.1,407,4.8
