player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Devin Bush,27375,LB,CLV,11,131,0,8,0,0.0,0.0,75.5,,36.0,0,1,100.0,76.2,0,,0.0,0,1,39.6,0,40,30.5,53,1,3,1,0,0,0,0.0,,0,1,4.5,90.9,90.4,7.3,6.6,0,0,0.0,38.4,0,33,0.0,0,0,112.5,10,75,57.3,83,4,11,11,0,121,88,1.7,12.1
Joshua Uche,27379,ED,KC,11,32,0,16,0,-1.0,100.0,15.2,5.0,5.0,0,0,0.0,55.8,0,20,0.0,0,0,112.5,2,12,37.5,79,1,1,2,0,22,24,2.2,11.0,0,1,6.8,100.0,26.0,4.8,4.8,0,0,0.0,29.4,0,26,12.5,1,0,118.8,4,19,59.4,73,5,6,4,0,60,33,3.2,15.0
D'Angelo Ross,27732,CB,HST,2,84,0,13,0,,,100.0,,,0,0,,68.0,0,,,0,0,0.0,0,13,15.5,13,0,0,0,0,0,0,0.0,,0,0,6.4,100.0,100.0,7.6,7.6,0,0,0.0,61.5,0,23,11.1,1,0,110.7,7,56,66.7,56,2,8,7,0,74,29,1.4,10.6
Khalil Dorsey,27819,CB,DET,4,20,0,11,0,18.0,0.0,100.0,,3.5,0,0,0.0,42.8,0,,,0,0,39.6,0,7,35.0,7,0,0,2,0,0,0,0.0,,0,0,25.0,50.0,100.0,10.0,5.0,0,0,0.0,48.3,0,22,,0,0,89.6,1,10,50.0,10,0,0,2,0,22,5,2.2,22.0
DaVon Hamilton,28072,DI,JAX,11,1,0,15,0,,,0.0,,,0,0,,62.7,0,,50.0,1,0,0.0,0,0,0.0,82,1,1,0,0,0,0,,,0,0,,,0.8,,,0,0,,62.0,0,,50.0,1,0,0.0,0,1,100.0,121,1,1,0,0,0,0,0.0,
Dre'Mont Jones,28075,ED,SEA,11,6,0,29,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,69,0,0,0,0,0,0,,,0,0,6.0,100.0,4.0,6.0,6.0,0,0,0.0,41.3,0,12,50.0,2,0,116.7,1,6,100.0,151,4,2,1,0,12,6,2.0,12.0
Malik Harrison,28081,LB,BLT,10,66,0,3,0,-5.0,0.0,81.5,,20.0,0,0,0.0,76.2,0,,,0,0,39.6,0,22,33.3,27,1,0,1,0,0,0,0.0,,0,0,4.0,83.3,76.7,6.2,5.2,0,0,0.0,33.9,0,70,37.5,3,0,158.3,5,33,50.0,43,1,5,6,1,132,118,4.3,26.4
Jerome Baker,28091,LB,TEN,7,220,0,31,0,2.0,60.0,79.6,13.3,8.0,0,1,20.0,79.5,0,19,50.0,2,0,69.6,3,43,19.5,54,2,2,5,0,21,32,0.5,7.0,0,2,3.7,72.2,88.8,9.4,6.8,0,0,0.0,49.7,0,18,7.1,1,0,85.2,13,127,57.7,143,4,11,18,0,99,76,0.8,7.6
Tremon Smith,28196,CB,DEN,3,9,0,10,0,,,100.0,,,0,0,,64.0,0,,,0,0,0.0,0,3,33.3,3,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,64.4,0,,,0,0,0.0,0,4,44.4,4,0,0,0,0,0,0,0.0,
Troy Dye,28251,LB,LAC,8,58,0,27,0,,,92.9,,,0,0,,54.0,0,,,0,0,0.0,0,13,22.4,14,0,0,0,0,0,0,0.0,,0,0,4.7,100.0,89.2,5.2,5.2,0,0,0.0,67.9,0,17,0.0,0,0,97.2,6,33,56.9,37,3,5,6,0,44,16,1.4,7.3
Brenden Schooler,28253,S,NE,2,5,0,19,0,,,75.0,,,0,0,,60.6,0,,,0,0,0.0,0,3,60.0,4,1,0,0,0,0,0,0.0,,0,0,,,50.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,20.0,2,1,0,0,0,0,0,0.0,
Myles Adams,28430,DI,SEA,3,1,0,29,0,,,14.3,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,7,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,11,0,1,0,0,0,0,,
DeShon Elliott,28854,S,PIT,11,328,0,25,2,8.1,54.5,89.0,13.8,7.5,0,0,0.0,61.1,0,15,0.0,0,0,65.3,6,97,29.6,109,2,7,11,0,47,17,0.6,7.8,0,5,5.1,75.0,96.5,8.8,6.6,0,3,10.7,65.8,0,26,4.3,1,3,106.0,21,195,59.5,202,6,17,28,1,198,101,1.1,9.4
Jack Jones,29050,CB,LV,11,399,0,23,1,13.1,52.4,100.0,11.3,5.9,0,6,28.6,53.3,0,47,9.1,1,5,117.7,11,130,32.6,130,3,9,21,3,163,77,1.3,14.8,0,1,6.9,78.3,99.5,11.4,8.9,0,1,4.3,72.4,1,21,15.4,4,1,92.0,18,219,54.9,220,6,21,23,1,160,58,0.8,8.9
