"","name","slotName","mar19","jan23","delta","percent_change","projectedPoints","projectedPoints_jan23","projectedPoints_delta","positionRank","teamName","team_abbr","team","playerid","espn_headshot"
"385","JT Brubaker","P",239.9,239.9,0,0,638,638,0,"P128","Pittsburgh Pirates","PIT","https://a.espncdn.com/i/teamlogos/mlb/500/pit.png",17578,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/41460.png"
"386","Ranger Suarez","P",239.9,216.4,-23.5,-0.1,529,587,-58,"P128","Philadelphia Phillies","PHI","https://a.espncdn.com/i/teamlogos/mlb/500/phi.png",17277,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/39817.png"
"387","Jack Suwinski","OF",239.9,240,0.0999999999999943,0,351,351,0,"OF117","Pittsburgh Pirates","PIT","https://a.espncdn.com/i/teamlogos/mlb/500/pit.png",22244,NA
"388","Oswald Peraza","IF",239.9,239.7,-0.200000000000017,0,826,1022,-196,"IF134","New York Yankees","NYY","https://a.espncdn.com/i/teamlogos/mlb/500/nyy.png",22823,NA
"389","Anthony DeSclafani","P",239.9,NA,NA,NA,376,376,0,"P130","San Francisco Giants","SF","https://a.espncdn.com/i/teamlogos/mlb/500/sf.png",NA,NA
"390","Luis Rengifo","IF",239.9,NA,NA,NA,897,591,306,"IF135","Los Angeles Angels","LAA","https://a.espncdn.com/i/teamlogos/mlb/500/laa.png",19858,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/37237.png"
"391","Andres Munoz","P",239.9,NA,NA,NA,337,219,118,"P131","Seattle Mariners","SEA","https://a.espncdn.com/i/teamlogos/mlb/500/sea.png",NA,NA
"392","Bryan Abreu","P",239.9,NA,NA,NA,265,265,0,"P131","Houston Astros","HOU","https://a.espncdn.com/i/teamlogos/mlb/500/hou.png",NA,NA
"393","Mickey Moniak","OF",239.9,NA,NA,NA,114,114,0,"OF118","Los Angeles Angels","LAA","https://a.espncdn.com/i/teamlogos/mlb/500/laa.png",19956,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/36181.png"
"394","Blake Sabol","OF",239.9,NA,NA,NA,0,0,0,"OF118","San Francisco Giants","SF","https://a.espncdn.com/i/teamlogos/mlb/500/sf.png",NA,NA
"395","Andy Pages","OF",239.9,NA,NA,NA,0,0,0,"OF118","Los Angeles Dodgers","LAD","https://a.espncdn.com/i/teamlogos/mlb/500/lad.png",NA,NA
"396","Jeimer Candelario","IF",240,239.7,-0.300000000000011,0,963,963,0,"IF136","Washington Nationals","WSH","https://a.espncdn.com/i/teamlogos/mlb/500/wsh.png",13621,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32531.png"
"397","Miguel Cabrera","OF",240,NA,NA,NA,798,798,0,"OF121","Detroit Tigers","DET","https://a.espncdn.com/i/teamlogos/mlb/500/det.png",1744,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/5544.png"
"398","Leody Taveras","OF",240,NA,NA,NA,490,490,0,"OF121","Texas Rangers","TEX","https://a.espncdn.com/i/teamlogos/mlb/500/tex.png",18900,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/34951.png"
"399","Francisco Alvarez","IF",240,240,0,0,25,25,0,"IF136","New York Mets","NYM","https://a.espncdn.com/i/teamlogos/mlb/500/nym.png",26121,NA
"400","Miguel Rojas","IF",240,NA,NA,NA,829,829,0,"IF138","Los Angeles Dodgers","LAD","https://a.espncdn.com/i/teamlogos/mlb/500/lad.png",7802,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30791.png"
"401","J.D. Davis","IF",240,NA,NA,NA,658,658,0,"IF138","San Francisco Giants","SF","https://a.espncdn.com/i/teamlogos/mlb/500/sf.png",16219,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33796.png"
"402","Corey Dickerson","OF",240,239.9,-0.0999999999999943,0,622,622,0,"OF123","Washington Nationals","WSH","https://a.espncdn.com/i/teamlogos/mlb/500/wsh.png",10762,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31684.png"
"403","Tylor Megill","P",240,NA,NA,NA,379,278,101,"P133","New York Mets","NYM","https://a.espncdn.com/i/teamlogos/mlb/500/nym.png",NA,NA
"404","Reynaldo Lopez","P",240,NA,NA,NA,311,311,0,"P133","Chicago White Sox","CWS","https://a.espncdn.com/i/teamlogos/mlb/500/cws.png",NA,NA
"405","Elly De La Cruz","IF",240,239.2,-0.800000000000011,0,0,0,0,"IF138","Cincinnati Reds","CIN","https://a.espncdn.com/i/teamlogos/mlb/500/cin.png",NA,NA
"406","Luke Voit","IF",240,NA,NA,NA,0,0,0,"IF138","",NA,NA,14811,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/35201.png"
"407","Jean Segura","IF",240,239,-1,0,898,898,0,"IF142","Miami Marlins","MIA","https://a.espncdn.com/i/teamlogos/mlb/500/mia.png",5933,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31037.png"
"408","Aaron Civale","P",240,NA,NA,NA,727,601,126,"P135","Cleveland Guardians","CLE","https://a.espncdn.com/i/teamlogos/mlb/500/cle.png",NA,NA
"409","Nick Martinez","P",240,239.9,-0.0999999999999943,0,726,253,473,"P135","San Diego Padres","SD","https://a.espncdn.com/i/teamlogos/mlb/500/sd.png",NA,NA
