player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Jayden de Laura,131928,QB,ARIZONA,10,1.28,0,428,109,67.2,314,327,11.6,3.33,2,21,6.1,58.7,192,139,9.0,384,89.7,19,158,,,,66.7,27.9,75.2,47.3,,71.1,81.7,,73.7,,,1,8,406,15.8,101.9,5.7,22,35,2,8,24,21,5.2,2872,8.8,70.1,264,275,9.9,3.13,2,17,5.9,62.5,172,105,7.0,319,74.5,13,130,,,,66.7,30.7,75.1,42.8,,72.1,89.1,,69.6,,,1,5,335,15.2,103.5,5.0,16,28,2,6,19,17,5.1,2233,8.1,73.9,92,94,9.6,3.15,0,4,4.0,63.8,60,34,11.8,109,25.5,8,39,,,,,26.5,69.5,79.1,,65.5,54.6,,77.1,,,0,3,115,20.6,99.4,6.4,7,7,0,2,5,5,4.3,895,9.5,0,100.0,42,42,-3.1,1.44,0,0,0.0,95.2,40,0,4.8,44,10.3,2,11,,,,,33.7,67.3,75.2,,67.8,54.3,,,,,0,0,44,,92.1,2.3,1,0,0,0,0,1,2.3,256,6.1,1.4
Seth Henigan,144267,QB,MEMPHIS,10,3.79,0,428,218,68.2,286,296,11.7,3.05,1,12,3.7,59.1,175,119,10.3,368,86.0,20,119,,,,,49.1,77.6,78.6,,77.2,54.0,,64.5,,,1,6,395,21.8,92.7,7.1,26,45,0,8,14,13,3.3,2417,8.2,71.7,254,261,9.7,2.96,1,10,3.5,63.6,166,102,8.8,323,75.5,16,101,,,,,53.3,79.4,77.6,,79.4,54.0,,64.7,,,1,4,346,23.5,96.8,7.4,24,37,0,5,12,9,2.6,2054,7.9,78.2,87,92,9.0,2.6,1,2,2.0,67.4,62,29,8.8,105,24.5,6,35,,,,,53.8,65.2,78.8,,65.5,,,58.1,,,0,3,112,10.3,95.7,2.9,3,9,0,4,5,4,3.6,726,7.9,0,100.0,55,57,-1.9,1.78,1,0,0.0,93.0,53,12,3.6,60,14.0,2,17,,,,,70.4,68.3,76.5,,69.0,,,57.0,,,0,1,63,8.3,103.4,1.7,1,1,0,1,3,0,0.0,363,6.4,0.02
Aidan O'Connell,60516,QB,PURDUE,9,-2.67,0,422,273,70.6,333,360,9.7,2.63,4,17,4.4,60.3,217,103,7.7,382,90.5,18,124,,,,,71.8,69.8,57.3,,68.9,60.0,,62.4,,,6,11,407,14.6,84.9,3.9,15,7,0,17,18,21,5.2,2473,6.9,73.8,275,290,7.9,2.39,2,13,4.3,64.1,186,72,8.4,307,72.7,17,86,,,,,69.5,69.4,52.9,,68.7,60.0,,62.4,,,2,9,320,12.5,83.2,2.9,9,7,0,11,12,15,4.7,1867,6.4,72.9,96,109,10.2,2.82,2,4,3.3,61.5,67,32,4.3,115,27.3,3,44,,,,,72.9,68.7,79.5,,68.0,,,,,,4,2,130,18.8,94.9,5.2,6,0,0,7,6,6,4.6,807,7.4,0,100.0,38,39,-2.6,1.39,0,0,0.0,92.3,36,1,5.3,40,9.5,2,6,,,,,69.2,69.6,75.0,,69.1,,,,,,0,0,43,0.0,88.1,0.0,0,0,0,1,0,0,0.0,201,5.2,0.96
Layne Hatcher,82068,QB,TEXAS ST,10,0.94,0,420,314,66.8,283,316,10.7,2.98,3,13,3.9,56.3,178,115,5.8,351,83.6,11,95,,,,,54.8,55.6,77.2,,55.7,60.0,,52.3,,,1,9,368,19.1,84.7,6.3,22,13,0,29,19,18,4.9,2087,6.6,72.3,235,257,7.9,2.73,2,8,3.0,62.3,160,83,5.9,283,67.4,10,67,,,,,50.1,51.5,75.5,,50.3,,,57.0,,,1,6,296,21.7,83.9,6.4,18,7,0,19,10,17,5.7,1646,6.4,74.1,112,125,8.6,2.72,2,5,3.9,63.2,79,32,4.8,137,32.6,4,38,,,,,73.2,71.5,79.8,,73.3,60.0,,48.9,,,0,3,141,12.5,92.3,2.9,4,6,0,11,9,1,0.7,705,5.6,0,100.0,64,66,-3.3,1.45,1,0,0.0,92.4,61,0,4.7,69,16.4,3,10,,,,,70.7,71.9,76.8,,71.3,,,,,,0,0,69,,83.3,0.0,0,0,0,1,0,0,0.0,264,4.0,-0.76
Jack Plummer,83543,QB,CAL,10,-7.42,0,417,130,71.5,305,337,10.3,2.73,1,14,3.9,59.3,200,156,8.3,378,90.6,18,122,,,,,63.9,74.5,77.7,,70.9,,,76.4,,,5,7,402,19.2,89.1,7.9,30,11,0,26,16,16,4.0,2459,7.3,74.6,276,300,8.5,2.51,3,12,3.8,64.0,192,121,6.8,334,80.1,14,102,,,,,69.9,76.8,76.5,,73.3,,,74.9,,,5,5,350,19.8,93.1,7.2,24,10,0,16,15,12,3.4,2010,6.7,71.2,66,76,10.9,3.03,0,2,2.3,56.6,43,36,8.5,83,19.9,4,23,,,,,50.5,62.0,78.0,,60.6,,,64.3,,,0,2,93,16.7,70.8,7.2,6,1,0,10,1,4,4.3,513,6.8,0,94.6,37,39,-2.3,1.46,2,0,0.0,89.7,35,1,0.0,39,9.4,0,3,,,,,69.1,66.7,74.9,,66.2,,,,,,0,0,41,0.0,79.2,0.0,0,0,0,0,0,0,0.0,64,1.6,0.05
Frank Harris,60586,QB,UTSA,10,0.71,0,413,331,71.3,279,296,11.4,2.8,4,18,5.7,64.5,191,114,4.0,348,84.3,8,148,,,,66.7,60.1,90.9,68.8,,87.0,74.7,,81.1,,,1,5,369,13.2,109.0,4.3,15,37,2,10,20,10,2.7,2678,9.0,74.4,246,258,9.5,2.59,4,14,5.2,68.2,176,81,3.8,298,72.2,7,122,,,,,73.0,91.1,66.9,,86.9,55.1,,83.6,,,1,4,313,14.8,104.0,4.0,12,28,2,5,12,5,1.6,2228,8.6,80.0,95,103,7.6,2.63,1,4,3.6,68.9,71,35,6.6,115,27.8,5,46,,,,66.7,38.1,77.6,79.2,,77.1,82.0,,58.2,,,0,2,122,8.6,116.9,2.6,3,9,0,7,10,5,4.1,818,7.9,0,96.8,62,65,-2.2,1.53,1,0,0.0,86.2,56,2,6.7,65,15.7,4,20,,,,,70.5,74.3,76.7,,73.6,,,,,,0,1,66,0.0,94.1,0.0,0,0,0,2,2,0,0.0,368,5.7,-0.7
Brennan Armstrong,77696,QB,VIRGINIA,10,1.51,0,411,335,63.2,288,298,11.8,2.97,7,14,4.4,50.3,150,165,17.6,376,91.5,32,109,,,,,48.6,58.0,88.0,,55.8,,,60.9,,,0,12,396,20.0,63.4,8.8,33,45,0,3,7,19,4.8,2024,6.8,65.9,232,240,9.5,2.82,6,6,2.3,53.3,128,121,16.3,302,73.5,25,78,,,,,51.1,53.9,87.3,,52.5,,,57.5,,,0,10,320,19.8,59.2,7.9,24,38,0,2,4,15,4.7,1412,5.9,66.7,90,93,12.4,2.91,2,8,8.4,54.8,51,44,15.0,109,26.5,9,35,,,,,54.1,70.5,78.8,,66.1,,,76.9,,,0,2,111,20.5,84.2,8.3,9,7,0,1,3,4,3.6,773,8.3,0,91.2,34,35,-2.9,1.49,1,0,0.0,82.9,29,0,6.5,35,8.5,2,4,,,,,68.6,63.0,74.3,,62.6,,,,,,0,0,35,,85.8,0.0,0,0,0,0,0,0,0.0,161,4.6,2.43
Chevan Cordeiro,75886,QB,S JOSE ST,9,-6.95,0,409,285,69.5,269,291,11.9,2.8,6,19,6.1,57.4,167,126,10.7,373,91.2,20,121,,,,66.7,65.8,76.5,65.0,,73.7,93.0,,67.0,,,2,3,398,27.0,93.1,9.1,34,48,0,14,14,11,2.8,2197,7.5,73.6,250,269,9.8,2.59,7,17,5.9,61.3,165,101,10.3,333,81.4,19,102,,,,,64.3,77.2,63.1,,74.9,,,68.6,,,2,2,354,28.7,93.8,8.7,29,35,0,10,10,7,2.0,2018,7.5,66.0,50,57,13.1,3.32,0,2,3.2,54.4,31,27,6.1,76,18.6,2,24,,,,66.7,71.3,68.0,77.5,,64.0,93.0,,61.1,,,0,1,81,18.5,92.4,6.6,5,14,0,7,4,4,4.9,396,6.9,0,96.8,31,35,-3.5,1.95,1,0,0.0,82.9,29,2,3.3,36,8.8,1,5,,,,,68.8,69.3,74.5,,66.2,,,64.9,,,0,0,37,0.0,92.5,0.0,0,1,0,3,0,0,0.0,217,6.2,-0.55
Connor Bazelak,99135,QB,INDIANA,9,-7.22,0,409,190,59.7,303,333,10.1,2.64,4,9,2.5,49.2,164,138,9.4,355,86.8,17,91,,,,66.7,64.5,52.3,66.2,,51.9,87.9,,55.3,,,1,9,381,15.2,67.0,5.9,21,1,0,25,12,14,3.7,1845,5.5,66.9,248,273,7.4,2.44,5,7,2.4,56.8,155,105,6.6,292,71.4,11,73,,,,,61.5,54.7,75.0,,54.4,,,55.3,,,1,4,310,16.2,71.5,5.8,17,1,0,19,5,8,2.6,1445,5.3,59.4,106,113,10.4,2.53,0,2,1.6,49.6,56,33,11.1,117,28.6,7,30,,,,66.7,72.9,54.5,44.2,,53.9,87.9,,,,,0,5,128,12.1,70.2,3.4,4,0,0,7,7,6,4.7,666,5.9,0,94.1,51,53,-2.4,1.31,1,0,0.0,88.7,47,0,2.1,54,13.2,1,12,,,,,70.0,66.5,76.1,,65.9,,,,,,0,0,57,,87.6,0.0,0,0,0,1,0,0,0.0,266,5.0,0.6
Cole Snyder,97617,QB,BUFFALO,10,10.2,0,404,126,64.4,295,322,10.9,2.55,8,14,4.2,55.9,180,115,5.3,375,92.8,10,109,,,,66.7,56.6,64.4,88.7,,62.0,79.1,,61.8,,,2,7,389,24.3,81.5,7.5,28,24,0,17,13,20,5.1,2201,6.8,65.8,231,253,9.2,2.53,7,11,4.2,56.1,142,92,6.6,298,73.8,10,86,,,,,60.3,65.0,88.0,,62.7,,,62.1,,,2,4,311,26.1,81.9,8.1,24,21,0,13,10,16,5.1,1606,6.3,70.7,92,98,10.9,2.29,1,3,3.0,66.3,65,25,0.0,106,26.2,0,31,,,,66.7,53.1,61.7,78.7,,60.4,79.1,,58.5,,,0,3,107,16.0,89.3,3.8,4,3,0,5,4,5,4.7,731,7.5,0,96.4,28,29,-3.1,1.48,0,0,0.0,93.1,27,2,0.0,29,7.2,0,8,,,,,68.1,63.9,73.6,,63.5,,,,,,0,0,29,0.0,97.7,0.0,0,0,0,1,1,1,3.4,136,4.7,1.11
