"","Name","TeamAbbrev","Salary","proj_own","fpts","grades_offense","advantage","targets_per_game","yprr","sum_sd","opp","def_pass_epa_rank","cov_rank","man_zone_yprr_split","man_yprr","zone_yprr","man_rank","zone_rank","man_pass_plays","man_percentage","def_man_grade_rank","zone_pass_plays","zone_percentage","route_rate","slot_rate","slot","wide","def_zone_grade_rank","def_pass_epa","touchdowns","yards_after_catch_per_reception","name_salary_own"
"22","Gabe Davis","BUF",5000,3.72,9.73,NA,NA,NA,NA,NA,"CHI",32,20,NA,NA,NA,16,18,NA,0.284,23,NA,0.716,NA,NA,56.62,58.36,19,0.233,NA,NA,"Gabe Davis 5000 3.72"
"23","Brandin Cooks","HOU",4900,2.86,9.56,68.3,NA,6.8,1.61,NA,"TEN",20,16,-0.56,1.17,1.73,16,18,96,0.284,11,213,0.716,95,26,66.27,59.87,18,0.066,1,3.8,"Brandin Cooks 4900 2.86"
"24","Tyler Boyd","CIN",4900,1.99,9.43,72.3,64.9,4.9,1.42,0.438,"NE",9,12,0.32,1.72,1.4,4,29,152,0.425,15,300,0.575,92.6,83.3,65.16,64,10,-0.021,5,4.4,"Tyler Boyd 4900 1.99"
"25","Isaiah Hodgins","NYG",4100,11.92,9.37,74,36.3,3.8,1.42,-0.047,"MIN",29,26,-0.12,1.45,1.57,28,5,50,0.21,1,128,0.79,94.4,9.6,56.6,71.44,17,0.138,2,3,"Isaiah Hodgins 4100 11.92"
"26","Amari Cooper","CLE",5900,2.97,8.99,78.9,67.6,7.9,1.96,0.9,"NO",15,14,1.18,2.86,1.68,11,22,167,0.301,21,275,0.699,93.9,24.9,60.76,52.41,8,0.035,7,3.1,"Amari Cooper 5900 2.97"
"27","Marquez Valdes-Scantling","KC",4300,3.6,8.95,64.6,38.9,4.4,1.33,-0.038,"SEA",26,24,0.13,1.33,1.2,26,7,193,0.231,29,242,0.769,93.7,38.6,55.5,63.68,24,0.132,2,3.2,"Marquez Valdes-Scantling 4300 3.6"
"28","Jahan Dotson","WAS",3900,5.64,8.83,66.4,35.6,4.1,1.17,-0.145,"SF",6,2,0.83,1.67,0.84,30,3,79,0.208,8,186,0.792,93.5,27.7,65.46,69.15,2,-0.059,6,3.2,"Jahan Dotson 3900 5.64"
"29","K.J. Osborn","MIN",4500,2.26,8.6,62.1,40.6,4.9,0.93,0.098,"NYG",25,32,0.38,1.07,0.69,1,32,172,0.519,18,275,0.481,92.4,59.2,53.45,62.92,32,0.12,4,4.7,"K.J. Osborn 4500 2.26"
"30","Michael Gallup","DAL",4200,5.47,8.31,65.6,22,5,1.12,-0.105,"PHI",2,4,0.12,1.4,1.28,18,14,77,0.263,7,185,0.737,95.6,8.2,63.08,77.7,5,-0.095,3,3.2,"Michael Gallup 4200 5.47"
"31","Demarcus Robinson","BAL",4000,1.68,8.21,66.1,22.4,4.4,1.4,-0.233,"ATL",31,30,-0.56,1.08,1.64,18,14,96,0.263,24,183,0.737,96.1,7.4,59.73,57.83,29,0.229,1,3.1,"Demarcus Robinson 4000 1.68"
