player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Geno Smith,7820,QB,SEA,9,12.22,0,318,29,77.7,247,262,8.9,2.82,4,18,6.3,71.8,188,104,2.1,297,93.4,4,110,,,,91.0,87.2,49.3,83.2,59.0,,82.7,,0,4,320,20.2,108.7,7.1,21,14,0,11,15,12,3.8,2142,8.2,74.9,187,196,8.5,2.66,2,13,6.1,69.4,136,78,2.9,224,70.4,4,70,,,,90.6,83.1,43.5,79.1,,,80.7,,0,4,242,21.8,100.1,7.6,17,11,0,7,11,9,3.7,1409,7.2,88.9,81,87,6.7,2.97,2,5,5.2,81.6,71,28,1.4,94,29.6,1,42,,,,85.1,84.2,80.7,81.4,59.0,,71.4,,0,0,103,14.3,119.8,4.3,4,3,0,4,4,3,2.9,790,9.1,0,95.2,21,21,-3.2,1.7,0,0,0.0,90.5,19,2,5.0,21,6.6,1,2,,,,76.3,67.3,75.5,66.6,,,,,0,0,25,0.0,79.2,0.0,0,0,0,0,0,0,0.0,57,2.7,1.89
Matthew Stafford,4924,QB,LA,8,1.51,0,318,26,71.7,223,235,8.7,2.75,3,12,5.0,65.1,153,98,4.4,268,84.3,7,84,,,,37.2,61.3,19.5,61.9,58.9,,56.2,,0,7,276,28.6,84.1,10.4,28,4,0,9,8,12,4.3,1628,6.9,75.1,205,216,6.5,2.39,3,9,4.1,68.1,147,81,4.5,240,75.5,7,70,,,,47.0,59.1,15.5,60.2,58.9,,50.7,,0,7,247,27.2,82.9,9.2,22,1,0,8,8,8,3.2,1311,6.1,75.4,65,69,7.3,3.13,0,3,4.3,69.6,48,21,2.0,78,24.5,1,31,,,,47.2,70.9,79.7,69.3,,,64.9,,0,1,79,28.6,91.6,7.7,6,3,0,4,0,4,5.1,622,9.0,0,91.5,47,50,-2.9,1.64,0,0,0.0,84.0,42,4,2.3,50,15.7,1,17,,,,80.4,68.8,78.0,68.0,,,,,0,1,50,0.0,83.8,0.0,0,0,0,3,0,0,0.0,305,6.1,2.94
Derek Carr,8671,QB,LV,8,13.09,0,298,23,70.5,227,251,10.2,2.81,1,12,4.5,60.6,152,106,5.0,276,92.6,8,93,,,,53.4,68.0,42.1,66.9,,,67.0,,6,5,292,16.0,87.0,6.2,17,7,0,17,10,11,3.8,1778,7.1,70.8,195,218,9.0,2.62,2,10,4.4,59.6,130,82,5.8,236,79.2,8,74,,,,47.3,65.1,38.0,64.4,,,63.9,,5,4,249,14.6,84.5,5.1,12,5,0,16,9,11,4.4,1391,6.4,76.9,52,55,9.6,3.17,0,2,3.3,72.7,40,27,0.0,62,20.8,0,22,,,,82.2,69.0,79.2,67.2,60.0,,66.5,,1,1,67,18.5,104.1,8.1,5,2,0,2,2,1,1.5,487,8.9,0,90.0,20,22,-2.6,1.75,1,0,0.0,81.8,18,3,0.0,22,7.4,0,3,,,,76.1,52.9,75.5,53.5,60.0,,,,0,0,24,0.0,100.8,0.0,0,0,0,1,1,1,4.2,100,4.5,2.47
Lamar Jackson,46416,QB,BLT,9,11.33,0,297,3,70.2,215,235,10.4,3.26,7,14,5.7,60.0,141,96,6.6,274,92.3,10,85,,,,54.2,80.3,68.4,66.8,,,92.2,,1,6,289,19.8,89.8,6.9,19,20,1,11,14,8,2.8,1608,6.8,69.0,155,168,9.9,3.06,6,7,4.0,58.3,98,66,8.4,194,65.3,9,59,,,,43.6,72.1,64.9,56.3,,,91.3,,0,4,204,21.2,86.7,7.2,14,12,1,6,10,8,3.9,1050,6.3,80.0,80,89,8.4,3.37,2,7,7.4,69.7,62,34,3.1,103,34.7,2,35,,,,85.5,86.4,80.9,80.1,,,86.3,,1,2,109,17.6,106.9,5.8,6,8,0,6,6,1,0.9,718,8.1,0,100.0,20,22,-1.5,2.11,1,0,0.0,86.4,19,4,5.0,23,7.7,1,9,,,,76.1,57.3,75.3,57.3,,,,,0,0,24,25.0,127.3,4.3,1,0,0,1,2,1,4.2,160,7.3,1.82
Jared Goff,10635,QB,DET,8,1.15,0,296,11,71.7,233,251,9.4,2.78,2,10,3.8,60.2,151,95,9.6,272,91.9,16,94,,,,52.3,64.6,87.0,64.1,,,52.9,,2,7,291,13.7,90.1,4.8,13,8,1,13,14,14,4.8,1860,7.4,73.4,192,206,7.9,2.56,3,5,2.3,62.6,129,74,8.5,223,75.3,12,67,,,,44.4,59.2,86.5,58.6,,,54.0,,2,4,239,13.5,88.5,4.5,10,7,1,8,8,11,4.6,1453,7.1,76.2,63,69,9.4,3.09,0,5,6.8,63.8,44,21,8.3,73,24.7,4,33,,,,83.2,75.1,79.6,74.3,,,58.3,,0,3,77,14.3,101.6,4.1,3,1,0,6,6,4,5.2,588,8.5,0,100.0,22,24,-3.5,1.62,1,0,0.0,91.7,22,0,0.0,24,8.1,0,6,,,,76.3,60.3,75.5,60.0,,,,,0,0,25,,98.1,0.0,0,0,0,1,0,1,4.0,181,7.5,1.47
Jalen Hurts,40291,QB,PHI,8,-9.59,0,287,24,78.4,176,196,9.9,3.08,6,9,4.3,64.8,127,94,8.0,243,84.7,11,98,,,,58.0,85.8,46.4,86.5,,,69.5,,2,1,257,21.3,111.2,8.2,20,27,0,12,11,5,1.9,1812,9.2,82.9,140,149,7.4,2.76,4,7,4.5,71.8,107,62,7.8,182,63.4,9,67,,,,49.6,83.9,40.7,86.2,,,67.7,,1,1,189,22.6,103.7,7.7,14,19,0,4,4,3,1.6,1274,8.6,78.9,76,90,8.1,3.01,3,2,2.0,62.2,56,36,6.7,105,36.6,4,39,,,,85.9,77.4,81.1,74.9,,,69.6,,1,1,115,16.7,114.5,5.7,6,8,0,10,8,2,1.7,768,8.5,0,95.0,40,43,-2.6,1.63,1,0,0.0,83.7,36,4,5.3,44,15.3,2,8,,,,80.0,66.0,77.7,65.4,,,,,0,1,47,0.0,87.0,0.0,0,0,0,2,1,0,0.0,230,5.3,-0.02
Jacoby Brissett,10725,QB,CLV,8,8.18,0,285,8,73.9,211,231,10.5,2.91,3,12,4.9,62.3,144,76,7.7,258,90.5,12,85,,,,38.8,77.8,67.7,71.3,,,90.5,,2,5,275,21.1,85.8,6.2,16,11,3,12,7,13,4.7,1700,7.4,73.5,185,201,9.1,2.68,3,9,4.2,62.2,125,64,8.1,222,77.9,11,65,,,,31.0,74.6,65.9,67.9,,,91.0,,2,4,233,23.4,82.5,6.8,15,6,3,8,6,10,4.3,1298,6.5,84.8,46,54,10.4,3.63,1,3,5.0,70.4,38,19,2.6,63,22.1,1,31,,,,82.5,77.3,79.3,74.7,,,68.7,,1,1,70,5.3,102.7,1.6,1,8,0,6,1,3,4.3,564,10.4,0,95.0,20,24,-3.0,2.66,1,0,0.0,79.2,19,7,0.0,27,9.5,0,11,,,,77.0,63.8,75.9,62.0,,,63.5,,1,0,28,0.0,94.8,0.0,0,3,0,2,0,0,0.0,162,6.8,3.98
Davis Mills,52269,QB,HST,8,6.7,0,283,13,68.5,213,227,8.9,2.55,5,7,2.9,59.0,134,108,8.2,250,88.3,12,65,,,,77.9,65.8,41.5,65.8,,,55.9,,5,8,265,17.6,78.6,7.6,19,4,0,4,10,5,1.9,1489,6.6,70.3,172,184,6.8,2.42,4,4,2.1,60.9,112,82,7.4,204,72.1,9,42,,,,90.1,59.4,36.1,59.9,,,54.4,,4,8,212,17.1,70.2,6.9,14,5,0,4,7,4,1.9,1006,5.5,77.1,70,74,9.1,2.59,1,3,3.7,67.6,50,29,7.4,79,27.9,4,28,,,,50.2,77.5,80.0,75.9,,,,,1,0,87,17.2,108.5,6.3,5,0,0,2,3,1,1.1,650,8.8,0,100.0,29,31,-3.4,1.86,0,0,0.0,90.3,28,3,3.4,33,11.7,1,5,,,,78.1,66.8,76.6,67.5,,,57.9,,0,0,34,0.0,89.1,0.0,0,1,0,2,0,0,0.0,167,5.4,3.31
Marcus Mariota,9435,QB,ATL,10,2.83,0,279,2,64.8,196,207,12.4,3.19,2,7,3.2,59.9,124,99,2.4,254,91.0,3,88,,,,29.9,66.4,87.5,63.1,,,67.5,,0,7,269,26.3,88.4,10.2,26,21,2,7,11,14,5.2,1629,7.9,65.8,120,127,10.1,2.81,1,2,1.5,60.6,77,53,2.5,153,54.8,2,46,,,,25.4,59.4,86.7,51.1,,,75.0,,0,3,160,32.1,86.1,11.1,17,9,2,4,6,10,6.3,840,6.6,68.7,99,104,11.6,3.38,2,5,4.4,63.5,66,48,2.9,126,45.2,2,48,,,,87.1,74.7,81.7,76.1,,,51.7,,0,4,136,18.8,94.5,7.1,9,13,0,3,6,4,2.9,907,8.7,0,87.0,23,24,-2.3,1.85,1,0,0.0,79.2,19,2,5.0,25,9.0,1,6,,,,76.8,67.7,75.8,63.0,,,65.6,,0,0,27,0.0,101.0,0.0,0,1,0,0,1,0,0.0,118,4.9,2.11
Daniel Jones,39395,QB,NYG,8,19.3,0,276,21,75.8,178,197,7.8,3.32,4,3,1.4,62.9,124,123,8.1,252,91.3,11,84,,,,41.8,64.0,5.5,60.9,57.7,,71.9,,2,2,272,18.7,87.8,9.1,23,32,0,13,6,10,3.7,1295,6.6,72.4,127,144,7.2,2.95,6,2,1.3,58.3,84,77,8.7,171,62.0,8,47,,,,41.0,51.7,0.0,49.7,,,64.1,,2,2,181,19.5,77.0,8.8,15,12,0,9,3,8,4.4,868,6.0,87.5,72,76,5.5,3.54,0,1,1.1,77.6,59,48,6.3,105,38.0,4,41,,,,59.5,83.8,81.3,79.0,57.7,,77.8,,0,0,120,18.8,108.9,8.6,9,20,0,4,3,2,1.7,531,7.0,0,95.2,21,23,-3.5,1.68,2,0,0.0,82.6,19,2,5.0,24,8.7,1,4,,,,77.2,66.3,76.0,65.6,,,,,0,0,29,50.0,85.5,4.2,1,0,0,0,0,0,0.0,104,4.5,0.96
Carson Wentz,10636,QB,WAS,6,-5.42,0,266,32,70.7,184,202,9.8,2.72,7,12,5.4,58.9,119,84,8.5,235,88.3,11,65,,,,62.5,62.3,60.9,61.0,,,60.0,,2,5,255,27.4,84.6,9.8,23,10,0,9,10,9,3.5,1321,6.5,75.2,149,160,8.3,2.53,5,7,4.0,63.8,102,65,8.9,187,70.3,10,52,,,,72.8,63.6,57.1,61.7,,,62.8,,1,4,200,29.2,83.8,10.2,19,8,0,5,6,6,3.0,1018,6.4,71.4,63,72,7.8,2.8,2,5,6.3,58.3,42,24,6.7,79,29.7,3,19,,,,50.2,60.9,80.0,60.0,,,63.5,,2,2,87,16.7,84.9,5.1,4,3,0,5,4,4,4.6,471,6.5,0,96.4,28,30,-2.8,1.76,0,0,0.0,83.3,25,5,7.4,31,11.7,2,6,,,,77.7,66.2,76.4,62.0,,,65.6,,1,1,32,0.0,76.1,0.0,0,1,0,1,0,1,3.1,168,5.6,0.18
