player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Tua Tagovailoa,60326,QB,MIA,8,2.28,2.22,2.91,4.31,291,17,81.5,173,179,6.0,1.73,6,6,3.2,74.3,133,21,5.7,182,62.5,8,76,,,,89.7,89.6,83.0,87.1,,,,0,2,191,14.3,115.7,1.6,3,0,0,0,12,3,1.6,1461,8.2,74.7,83,93,13.2,3.24,1,13,13.4,63.4,59,41,4.8,108,37.1,3,45,,,,85.7,85.9,81.0,85.0,,,59.9,2,5,113,19.5,95.9,7.4,8,7,0,7,6,6,5.3,935,10.1
Joe Burrow,28022,QB,CIN,7,2.41,2.29,3.09,4.76,289,7,76.7,176,185,5.7,1.83,3,3,1.6,68.1,126,29,6.7,189,65.4,9,58,,,,89.9,67.7,83.1,66.9,,,,5,2,195,13.8,84.2,2.1,4,0,0,1,4,3,1.5,1008,5.4,76.5,68,78,8.6,3.51,1,5,6.0,62.8,49,51,5.8,100,34.6,3,29,,,,85.3,76.9,80.8,75.1,,,66.5,1,2,106,25.5,96.3,13.0,13,9,0,8,6,2,1.9,504,6.5
Justin Herbert,28237,QB,LAC,7,2.67,2.56,2.79,4.55,288,27,86.0,121,126,4.9,1.83,3,3,2.2,82.5,104,19,0.0,129,44.8,0,45,,,,87.3,71.1,81.8,70.0,,,,0,0,139,15.8,116.6,2.3,3,0,0,2,8,4,2.9,871,6.9,62.9,116,126,12.5,3.41,1,8,5.8,54.8,69,77,5.5,156,54.2,4,54,,,,48.6,72.8,82.6,69.6,,,72.9,4,4,171,15.6,81.4,7.7,12,18,0,5,5,6,3.5,1020,8.1
Mac Jones,60323,QB,NE,8,2.42,2.33,2.92,4.2,284,19,81.1,159,164,4.3,1.84,4,1,0.6,76.8,126,26,2.3,167,58.8,3,44,,,,89.0,64.2,82.6,63.6,,,,0,4,174,11.5,93.8,1.8,3,0,0,1,6,6,3.4,1010,6.2,59.1,88,96,13.3,3.23,0,8,7.9,49.0,47,67,9.6,117,41.2,5,33,,,,34.6,51.2,81.4,48.9,,,70.6,3,4,125,19.4,63.3,11.1,13,8,0,5,3,11,8.8,631,6.6
Lamar Jackson,46416,QB,BLT,8,3.01,2.62,3.48,5.62,279,3,77.8,126,129,5.1,1.89,1,3,2.1,71.3,92,22,6.1,133,47.7,6,35,,,,35.8,64.1,81.9,63.5,,,,1,2,145,18.2,89.0,3.0,4,0,0,1,4,5,3.4,730,5.7,79.3,92,98,12.3,4.06,1,11,10.5,69.4,68,75,6.8,145,52.0,5,54,,,,28.4,94.1,82.2,93.4,,,74.9,1,1,157,21.3,116.8,11.0,16,31,0,4,5,4,2.5,1037,10.6
Russell Wilson,7077,QB,DEN,8,3.16,2.88,4.41,4.86,279,10,83.3,102,106,3.8,1.9,3,2,1.7,77.4,82,16,3.5,108,38.7,3,30,,,,86.1,75.0,81.2,73.7,,,,0,2,119,12.5,101.7,1.9,2,0,0,1,6,0,0.0,615,5.8,74.5,102,125,11.8,3.97,4,12,9.1,58.4,73,97,3.9,170,60.9,3,52,,,,24.6,65.5,82.8,62.2,,,70.8,2,2,182,24.7,104.3,14.1,24,21,0,17,10,9,4.9,1007,8.1
Desmond Ridder,55086,QB,ATL,8,2.62,2.45,3.17,4.75,278,2,75.9,137,141,6.2,1.93,4,2,1.4,70.9,100,27,3.8,145,52.2,4,51,,,,42.9,54.6,82.1,54.7,,,,0,5,151,14.8,84.9,2.8,4,0,0,0,5,11,7.3,901,6.4,69.0,87,98,11.5,3.4,2,4,3.8,58.2,57,66,5.0,132,47.5,3,39,,,,28.8,50.7,81.8,48.8,,,66.3,0,1,141,31.8,83.7,15.9,21,13,0,9,1,5,3.5,800,8.2
Baker Mayfield,46518,QB,TB,7,2.87,2.59,4.19,6.09,276,30,80.7,114,124,5.3,1.84,7,0,0.0,71.8,89,17,3.3,124,44.9,3,41,,,,86.7,69.2,81.5,68.2,,,,1,2,129,0.0,86.9,0.0,0,0,0,2,3,3,2.3,704,5.7,66.7,111,122,12.1,3.73,0,6,4.4,56.6,69,79,6.8,151,54.7,5,40,,,,67.5,72.0,29.8,69.5,,,72.7,3,2,166,13.9,92.1,7.3,11,18,0,8,7,4,2.4,897,7.4
Jordan Love,40306,QB,GB,7,2.76,2.56,3.69,5.45,265,12,71.1,121,124,5.4,1.83,2,2,1.5,62.9,78,14,9.3,125,47.2,8,39,,,,86.9,59.8,81.6,59.6,,,,0,2,132,7.1,88.1,0.8,1,0,0,1,8,3,2.3,560,4.5,60.8,102,110,14.9,3.65,1,7,5.9,51.8,57,64,8.1,138,52.1,5,41,,,,64.4,68.3,82.0,66.9,,,64.9,2,6,148,20.3,67.0,9.4,13,15,0,5,3,5,3.4,933,8.5
C.J. Stroud,129759,QB,HST,7,2.85,2.75,3.47,4.63,259,13,77.2,114,119,5.7,1.94,3,2,1.6,68.9,82,24,6.8,120,46.3,6,48,,,,86.6,76.5,81.5,75.0,,,,2,1,128,4.2,104.4,0.8,1,0,0,0,6,2,1.6,903,7.6,67.0,100,113,11.9,3.69,2,5,4.2,54.0,61,63,9.0,137,52.9,6,44,,,,41.3,65.1,81.9,62.5,,,72.8,0,0,144,22.2,89.0,10.2,14,10,0,11,3,4,2.8,897,7.9
Zach Wilson,82096,QB,NYJ,7,2.97,2.77,3.62,4.96,253,22,81.6,98,101,5.2,1.92,1,3,2.9,74.3,75,28,6.3,102,40.3,5,34,,,,85.3,72.6,80.8,71.4,,,,1,1,106,3.6,97.7,1.0,1,0,0,1,3,1,0.9,677,6.7,61.9,97,114,10.4,3.69,3,3,2.5,45.6,52,83,13.3,151,59.7,8,28,,,,30.4,50.6,82.3,44.8,,,81.3,3,4,161,26.5,55.4,14.6,22,15,0,11,2,6,3.7,660,5.8
Dak Prescott,10769,QB,DAL,7,2.65,2.44,4.02,5.35,252,9,80.6,124,126,5.3,1.86,1,6,4.7,74.6,94,22,6.0,126,50.0,6,44,,,,86.7,71.9,81.5,70.8,,,,1,4,128,0.0,92.0,0.0,0,0,0,0,4,3,2.3,920,7.3,74.4,90,95,11.1,3.51,1,5,4.8,66.3,63,58,6.0,123,48.8,4,43,,,,62.7,85.4,81.7,80.4,,,80.8,1,1,136,29.3,105.4,13.8,17,11,0,3,6,2,1.5,716,7.5
Brock Purdy,77672,QB,SF,8,2.58,2.45,3.15,5.33,252,28,81.0,121,128,6.0,1.9,4,5,3.6,72.7,93,29,5.1,131,52.0,5,53,,,,58.6,65.1,81.8,64.5,,,,0,1,141,10.3,108.0,2.3,3,0,0,3,5,6,4.3,1093,8.5,76.2,84,95,11.8,3.42,2,9,8.8,63.2,60,68,6.3,117,46.4,4,49,,,,26.3,77.7,81.3,70.9,,,89.0,1,4,124,16.2,103.0,9.4,11,11,0,8,7,8,6.5,940,9.9
Geno Smith,7820,QB,SEA,7,2.9,2.75,3.88,5.39,248,29,80.2,106,112,6.1,1.91,2,3,2.5,72.3,81,34,4.7,116,46.8,4,36,,,,86.3,61.3,81.3,60.9,,,,1,4,122,11.8,84.3,3.4,4,0,0,3,3,5,4.1,749,6.7,77.1,96,112,10.9,3.81,1,7,5.7,63.4,71,69,4.1,131,52.8,3,47,,,,63.9,86.8,18.8,85.2,,,68.3,3,2,143,14.5,98.7,7.6,10,9,0,12,6,6,4.2,896,8.0
Bryce Young,123943,QB,CAR,6,2.84,2.7,3.52,4.9,247,5,81.6,103,110,4.4,1.91,3,3,2.6,74.5,82,24,2.4,115,46.6,2,35,,,,59.7,64.6,81.3,64.0,,,,0,0,121,20.8,104.4,4.3,5,0,0,4,6,2,1.7,581,5.3,69.5,82,103,10.2,3.7,0,3,2.6,53.4,55,71,3.5,130,52.6,2,36,,,,40.7,50.1,81.9,48.1,,,69.5,4,4,145,23.9,58.7,13.1,17,10,0,17,1,5,3.4,619,6.0
Gardner Minshew,41401,QB,IND,7,2.61,2.49,3.44,4.36,226,14,79.6,113,121,4.9,1.87,4,1,0.8,69.4,84,34,6.7,123,54.4,6,26,,,,60.9,58.2,81.4,58.0,,,,0,1,127,5.9,87.1,1.6,2,0,0,4,3,4,3.1,649,5.4,67.6,71,81,12.0,3.53,0,4,4.6,54.3,44,52,8.3,102,45.1,4,37,,,,22.0,44.5,80.9,43.6,,,62.4,2,4,110,23.1,81.9,11.8,12,9,0,8,4,12,10.9,751,9.3
Kenny Pickett,60515,QB,PIT,7,2.82,2.71,3.43,5.0,223,25,73.6,91,93,6.5,1.94,2,4,4.2,69.9,65,25,3.0,97,43.5,2,26,,,,84.9,61.6,80.5,61.3,,,,0,1,100,16.0,90.6,4.1,4,0,0,0,2,2,2.0,616,6.6,64.6,96,106,9.7,3.52,1,3,2.7,53.8,57,72,8.1,125,56.1,5,30,,,,86.8,64.9,81.6,61.8,,,77.0,1,3,132,18.1,72.6,10.4,13,6,0,8,3,4,3.0,714,6.7
Justin Fields,82118,QB,CHI,6,3.23,2.87,3.9,5.85,204,6,82.1,56,60,5.9,1.99,2,3,4.9,70.0,42,19,8.7,66,32.4,4,22,,,,41.6,73.1,79.0,71.9,,,,1,1,67,31.6,118.1,9.1,6,0,0,1,6,2,3.0,451,7.5,67.0,88,102,10.1,3.86,2,4,3.8,56.9,58,82,1.7,137,67.2,1,41,,,,40.1,68.7,81.9,61.8,,,82.9,2,5,142,20.7,76.1,12.4,17,18,0,10,5,3,2.1,751,7.4
Daniel Jones,39395,QB,NYG,5,2.84,2.53,3.31,4.71,197,21,82.6,92,93,4.5,1.88,0,0,0.0,80.6,75,22,1.3,99,50.3,1,27,,,,85.1,67.4,80.6,66.6,,,,1,3,103,27.3,81.0,6.1,6,0,0,0,1,2,1.9,539,5.8,66.7,48,58,10.1,3.81,3,4,6.6,50.0,29,69,9.4,98,49.7,3,22,,,,24.8,59.9,80.7,47.5,,,85.7,1,3,105,31.9,52.7,22.4,22,18,0,6,1,6,5.7,345,5.9
Jimmy Garoppolo,8697,QB,LV,6,2.85,2.75,2.82,5.1,188,23,80.9,68,71,6.0,1.87,2,1,1.3,73.2,52,14,5.5,74,39.4,3,22,,,,83.5,68.9,79.7,68.0,,,,0,2,81,21.4,101.3,4.1,3,0,0,1,5,0,0.0,451,6.4,70.0,90,96,11.0,3.49,3,1,1.0,60.4,58,43,7.9,114,60.6,5,41,,,,86.1,63.2,81.2,62.3,,,62.7,1,7,119,23.3,61.7,8.8,10,8,0,2,2,6,5.0,754,7.9
Ryan Tannehill,7014,QB,TEN,6,2.72,2.58,3.04,5.0,183,31,82.5,80,84,5.1,1.96,3,3,3.4,72.6,61,22,7.6,88,48.1,5,26,,,,84.3,74.6,80.2,73.3,,,,1,1,92,18.2,91.2,4.5,4,0,0,0,2,3,3.3,517,6.2,61.2,67,73,15.6,3.42,2,6,7.1,50.7,37,49,9.8,95,51.9,4,24,,,,85.4,67.2,80.8,66.6,,,60.8,1,5,107,30.6,50.7,15.8,15,7,0,3,0,4,3.7,611,8.4
Deshaun Watson,11767,QB,CLV,4,3.16,2.88,4.16,5.5,126,8,75.5,49,50,6.9,1.95,1,2,3.8,70.0,35,7,5.4,51,40.5,2,15,,,,34.7,67.3,78.3,66.6,,,,0,1,54,14.3,82.8,2.0,1,0,0,0,1,1,1.9,289,5.8,68.0,50,57,11.9,3.98,1,2,3.4,54.4,31,39,8.8,75,59.5,3,21,,,,40.1,61.4,0.0,59.6,,,68.8,3,2,80,25.6,79.1,13.3,10,8,0,3,3,4,5.0,394,6.9
Tyrod Taylor,6332,QB,NYG,6,2.9,2.54,2.95,4.83,111,21,81.3,48,49,5.5,1.86,0,4,8.2,77.6,38,13,2.6,52,46.8,1,15,,,,28.4,75.5,78.1,74.1,,,,0,0,52,23.1,101.4,5.8,3,0,0,1,1,1,1.9,328,6.7,65.5,29,36,12.0,3.82,0,3,7.5,52.8,19,37,0.0,59,53.2,0,13,,,,82.3,56.8,79.2,60.7,,,52.2,0,0,69,18.9,84.4,11.9,7,16,0,7,1,1,1.4,251,7.0
P.J. Walker,12134,QB,CLV,3,2.83,2.74,2.56,5.4,107,8,75.0,40,42,5.1,1.98,1,2,4.3,59.5,25,15,16.7,46,43.0,5,12,,,,80.3,45.4,78.0,46.3,,,,0,3,50,26.7,47.3,8.7,4,0,0,1,0,3,6.0,256,6.1,47.9,48,54,11.4,3.47,1,1,1.7,42.6,23,30,0.0,61,57.0,0,15,,,,32.5,26.9,79.0,27.8,,,53.4,1,2,66,10.0,56.3,4.9,3,4,0,4,1,6,9.1,362,6.7
Anthony Richardson,124393,QB,IND,4,2.86,2.56,4.51,4.81,98,14,75.0,44,46,4.5,1.88,2,0,0.0,65.2,30,6,9.1,46,46.9,3,17,,,,80.0,63.6,77.7,63.1,,,,0,0,47,0.0,98.2,0.0,0,0,0,0,2,1,2.1,301,6.5,65.6,32,38,12.8,3.72,1,3,6.8,52.6,20,25,4.8,52,53.1,1,16,,,,24.3,51.1,78.6,51.7,,,56.7,2,1,60,28.0,74.0,13.5,7,7,0,3,1,3,5.0,276,7.3
Tyson Bagent,169628,QB,CHI,3,2.62,2.53,3.23,5.65,85,6,85.4,41,42,4.9,1.77,1,1,2.4,78.6,33,4,5.7,43,50.6,2,15,,,,79.5,57.6,77.4,57.6,,,,0,2,43,25.0,73.1,2.3,1,0,0,0,0,3,7.0,265,6.3,76.5,34,38,7.5,3.5,1,1,2.5,60.5,23,22,11.5,42,49.4,3,12,,,,29.0,59.3,77.5,54.4,,,78.3,1,1,44,9.1,73.6,4.8,2,2,0,2,1,3,6.8,212,5.6
Andy Dalton,6187,QB,CAR,1,2.33,2.33,2.47,4.3,64,5,67.5,40,42,6.4,1.94,0,2,4.4,59.5,25,17,7.4,43,67.2,2,12,,,,79.9,74.1,77.7,72.8,,,,2,0,46,5.9,79.9,2.3,1,0,0,0,1,0,0.0,204,4.9,78.6,14,17,12.7,3.29,1,2,11.8,52.9,9,11,18.2,20,31.3,2,6,,,,75.1,86.0,74.7,83.0,,,62.6,1,0,20,18.2,104.3,10.0,2,1,0,1,1,1,5.0,157,9.2
Aidan O'Connell,60516,QB,LV,2,2.63,2.59,2.89,,59,23,76.9,26,26,5.1,1.93,0,0,0.0,73.1,19,2,5.0,27,45.8,1,8,,,,23.8,29.6,76.0,31.2,,,,0,2,29,50.0,66.0,3.7,1,0,0,0,1,3,10.3,139,5.3,66.7,24,26,8.2,3.22,1,0,0.0,57.7,15,11,6.3,32,54.2,1,10,,,,77.7,50.4,76.6,50.9,,,,0,0,34,54.5,78.0,18.8,6,0,0,1,0,1,2.9,174,6.7
Dorian Thompson-Robinson,83574,QB,CLV,2,3.2,2.95,3.9,5.37,44,8,61.5,13,14,6.5,1.98,1,0,0.0,57.1,8,4,0.0,14,31.8,0,3,,,,73.2,49.9,73.5,50.6,,,,0,0,14,0.0,65.5,0.0,0,0,0,0,0,1,7.1,53,3.8,63.2,19,23,9.9,3.77,1,0,0.0,52.2,12,15,0.0,30,68.2,0,4,,,,24.8,36.5,0.0,30.9,,,79.4,1,3,33,26.7,19.9,13.3,4,3,0,2,0,4,12.1,77,3.3
Brian Hoyer,5277,QB,LV,2,2.26,2.24,2.9,,43,23,66.7,27,27,6.3,1.89,0,0,0.0,63.0,17,1,5.6,27,62.8,1,10,,,,77.2,54.3,76.0,54.6,,,,0,0,29,0.0,74.2,0.0,0,0,0,0,0,0,0.0,127,4.7,46.7,15,15,12.3,2.88,0,3,17.6,40.0,6,4,14.3,16,37.2,1,4,,,,74.5,62.0,74.3,61.7,,,,0,2,18,25.0,24.7,6.3,1,0,0,0,0,1,5.6,104,6.9
Mitch Trubisky,11757,QB,PIT,2,2.83,2.68,2.8,4.43,36,25,76.5,17,17,6.0,1.98,0,0,0.0,76.5,13,3,0.0,17,47.2,0,6,,,,74.5,60.7,74.3,60.5,,,,0,0,18,0.0,113.1,0.0,0,0,0,0,1,1,5.6,113,6.6,46.2,13,14,12.8,3.59,0,0,0.0,35.7,5,8,16.7,19,52.8,1,4,,,,75.1,26.2,74.7,27.3,,,50.2,1,2,20,25.0,5.1,10.5,2,3,0,0,0,2,10.0,43,3.1
Will Levis,83542,QB,TEN,1,2.76,2.66,3.5,4.1,31,31,83.3,12,12,3.8,1.88,0,0,0.0,83.3,10,2,0.0,12,38.7,0,3,,,,72.8,71.5,73.2,70.5,,,,0,0,13,0.0,116.7,0.0,0,0,0,0,1,0,0.0,64,5.3,69.2,13,16,20.2,3.31,0,2,11.8,50.0,8,11,11.1,19,61.3,1,4,,,,75.1,74.4,74.7,74.8,,,58.3,1,0,20,18.2,127.6,10.5,2,1,0,2,3,1,5.0,170,10.6
Taylor Heinicke,9896,QB,ATL,1,2.98,2.77,2.9,5.3,24,2,87.5,8,9,6.6,1.93,1,1,11.1,66.7,6,0,14.3,9,37.5,1,3,,,,71.4,85.9,72.3,83.7,,,,0,0,10,,116.9,0.0,0,0,0,0,1,0,0.0,48,5.3,66.7,9,12,17.6,3.61,0,0,0.0,50.0,6,6,0.0,15,62.5,0,5,,,,73.5,70.0,73.7,69.0,,,61.8,0,0,15,16.7,87.8,6.7,1,2,0,3,0,1,6.7,127,10.6
Bailey Zappe,60396,QB,NE,2,2.81,2.78,3.2,,19,19,66.7,9,9,11.6,2.11,0,0,0.0,66.7,6,3,0.0,9,47.4,0,2,,,,70.9,65.2,71.9,64.7,,,,0,0,9,0.0,90.5,0.0,0,0,0,0,0,0,0.0,71,7.9,12.5,8,9,15.9,3.43,0,0,0.0,11.1,1,6,0.0,10,52.6,0,0,,,,71.4,38.1,72.3,39.8,,,,0,0,10,16.7,39.6,10.0,1,0,0,1,0,0,0.0,8,0.9
Jameis Winston,9434,QB,NO,2,2.19,2.15,2.8,,18,20,64.3,14,14,6.7,1.94,0,0,0.0,64.3,9,1,0.0,14,77.8,0,2,,,,73.2,61.1,73.5,60.9,,,,0,0,14,0.0,77.4,0.0,0,0,0,0,0,0,0.0,73,5.2,50.0,2,3,30.0,3.08,0,1,33.3,33.3,1,3,0.0,4,22.2,0,1,,,,66.9,61.1,69.2,60.9,,,,0,1,4,33.3,29.2,25.0,1,0,0,1,0,1,25.0,28,9.3
Malik Willis,60341,QB,TEN,1,3.55,2.28,3.1,6.27,12,31,66.7,3,3,6.7,1.83,0,0,0.0,66.7,2,0,0.0,3,25.0,0,1,,,,65.5,52.5,68.2,53.1,,,,0,0,3,,109.7,0.0,0,0,0,0,0,0,0.0,54,18.0,100.0,2,2,9.0,4.12,0,0,0.0,100.0,2,6,0.0,9,75.0,0,1,,,,72.4,51.8,72.9,50.3,,,60.2,0,0,12,66.7,108.3,44.4,4,3,0,0,0,0,0.0,20,10.0
Tommy DeVito,60545,QB,NYG,1,2.96,2.56,2.65,4.7,11,21,66.7,3,4,-2.7,2.2,1,0,0.0,50.0,2,3,0.0,5,45.5,0,0,,,,68.0,51.5,69.9,52.1,,,,0,0,5,33.3,56.3,20.0,1,0,0,0,0,0,0.0,-1,-0.3,50.0,2,3,-0.5,3.6,0,0,0.0,0.0,0,3,100.0,6,54.5,1,0,,,,70.3,40.3,71.5,47.2,,,50.7,0,0,8,33.3,39.6,16.7,1,2,0,1,0,0,0.0,0,0.0
