player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Jaxson Kirkland,60215,T,CIN,1,100.0,0,7,49.3,,50.3,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,3
Montrell Washington,64310,WR,KC,1,60.0,0,16,57.4,,60.0,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,5,0,2,0,0,3,0
Isaiah Foskey,102728,ED,NO,3,100.0,0,20,60.0,62.7,60.0,0,0,0,,100.0,,0,0,0,3,0,0,0,3,1,1,0,0,2,0
Darian Kinnard,51789,G,PHI,1,100.0,0,24,59.0,,59.0,0,0,0,,,,0,0,0,3,0,3,0,3,0,0,0,0,3,0
Jake Browning,46401,QB,CIN,3,60.0,0,7,61.0,,60.0,0,0,0,,,,0,0,0,3,0,0,0,5,0,0,0,0,3,0
Keilan Robinson,97097,HB,JAX,2,100.0,0,15,60.0,,60.0,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
Will Shipley,144138,HB,PHI,7,10.3,0,24,53.8,,60.0,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,29,0,7,0,0,3,0
Laquon Treadwell,10657,WR,IND,1,42.9,0,14,54.2,,57.0,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,7,0,4,0,0,3,0
Payton Turner,56624,ED,NO,3,100.0,0,20,60.0,62.7,60.0,0,0,0,,100.0,,3,0,0,3,0,0,0,3,1,1,0,0,2,0
Jonathon Brooks,144721,HB,CAR,3,13.0,0,5,61.5,82.2,,0,0,3,23.1,21.4,100.0,0,0,0,3,0,0,0,23,3,14,0,0,0,0
Vita Vea,48956,DI,TB,2,100.0,0,30,58.3,,57.8,0,0,0,,,,2,0,0,3,0,0,0,3,0,0,0,0,3,0
Zach Wood,11414,LS,NO,3,100.0,0,20,60.0,61.5,60.0,0,0,0,,100.0,,0,0,0,3,0,0,0,3,1,1,0,0,2,0
Royce Newman,41746,T,TB,1,100.0,0,30,60.0,,59.7,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,3,3,0
Calvin Throckmorton,28238,G,DEN,2,100.0,0,10,42.3,62.1,43.5,0,0,1,100.0,100.0,100.0,0,0,0,3,0,2,0,3,1,1,0,0,2,0
Anfernee Orji,98568,LB,NO,3,100.0,0,20,60.0,62.7,60.0,0,0,0,,100.0,,0,0,0,3,0,0,0,3,1,1,0,0,2,0
Chris Collier,142677,HB,LV,2,50.0,0,23,50.7,,60.0,0,0,0,,,,0,0,0,3,0,0,0,6,0,0,0,0,3,0
Jermaine Jackson,141559,WR,NO,2,75.0,0,20,56.1,,59.1,0,0,0,,,,0,0,0,3,0,0,0,4,0,0,0,0,3,0
Lecitus Smith,61069,G,NE,1,100.0,0,19,58.7,,58.2,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
Jamarco Jones,46226,T,DET,2,75.0,0,11,64.0,80.7,,0,0,3,75.0,75.0,100.0,0,0,0,3,0,0,1,4,3,4,0,1,0,1
Jarrett Stidham,13725,QB,DEN,2,60.0,0,10,61.0,,60.0,0,0,0,,,,0,0,0,3,0,0,0,5,0,0,0,0,3,0
Sebastian Gutierrez,156152,T,SF,1,100.0,0,28,58.5,72.6,55.9,0,0,1,100.0,100.0,100.0,0,0,0,3,0,0,0,3,1,1,0,3,2,0
Richard Gouraige,81635,T,BUF,1,100.0,0,4,60.0,,58.7,0,0,0,,,,0,0,0,3,0,0,2,3,0,0,0,1,3,0
Baylor Cupp,98500,TE,KC,1,50.0,0,16,28.8,28.9,60.0,0,1,1,25.0,25.0,50.0,0,1,0,3,0,0,0,6,1,4,0,0,2,6
Marquez Callaway,42295,WR,TB,2,60.0,0,30,54.5,,55.4,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,5,0,2,0,0,3,0
Keaton Mitchell,123826,HB,BLT,3,9.5,0,3,57.2,,60.0,0,0,0,0.0,0.0,,0,0,0,2,0,0,0,21,0,6,0,0,2,0
Ben Niemann,51099,LB,DET,2,100.0,0,11,60.0,62.7,60.0,0,0,1,100.0,100.0,100.0,0,0,0,2,0,0,0,2,1,1,0,0,1,0
J.T. Gray,51495,S,NO,3,66.7,0,20,59.4,,60.0,0,0,0,,0.0,,0,0,0,2,0,0,0,3,0,1,0,0,2,0
Steven Sims,48341,WR,BLT,4,20.0,0,3,50.4,,60.0,0,0,0,0.0,0.0,,0,0,0,2,0,0,0,10,0,7,0,0,2,0
Claudin Cherelus,52094,LB,CAR,2,100.0,0,5,60.0,88.8,,0,0,2,100.0,100.0,100.0,0,0,0,2,0,0,0,2,2,2,0,0,0,0
Joshua Cephus,98095,WR,JAX,1,33.3,0,15,55.7,,60.0,0,0,0,0.0,0.0,,0,0,0,2,0,0,0,6,0,4,0,0,2,0
Markquese Bell,56033,S,DAL,2,100.0,0,9,60.0,95.5,,0,0,2,100.0,100.0,100.0,1,0,0,2,0,0,0,2,2,2,0,0,0,0
