player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Velton Gardner,97110,HB,SMU,3,0,287,,0.0,0,0.0,6,60.0,0,7.1,2,28,60.0,9.1,2,100.0,22
Dayne Shor,158632,T,UCONN,1,0,146,60.0,100.0,1,50.0,1,53.3,0,100.0,2,2,60.0,100.0,1,50.0,1
Chad Alexander,97065,HB,NEW MEXICO,1,0,241,,0.0,0,0.0,3,71.7,0,28.6,2,7,60.0,33.3,1,50.0,3
Vaughn Pemberton,145628,HB,BALL ST,5,0,117,,0.0,0,0.0,6,60.0,0,9.5,2,21,60.0,13.3,2,100.0,15
Jared Roznos,169169,WR,AIR FORCE,1,0,101,60.0,100.0,1,50.0,1,60.0,0,100.0,2,2,60.0,100.0,1,50.0,1
O'Maury Samuels,57296,HB,NEW MEX ST,1,0,242,,0.0,0,0.0,1,60.0,0,66.7,2,3,,,0,0.0,0
Alex Moore,86489,T,AIR FORCE,1,0,101,60.0,100.0,1,50.0,1,62.7,0,100.0,2,2,60.0,100.0,1,50.0,1
Nick Mosley,145661,HB,BOWL GREEN,4,0,122,,0.0,0,0.0,8,60.0,0,13.3,2,15,60.0,16.7,1,50.0,6
Masai Reddick,163771,G,TENNESSEE,1,0,307,60.0,100.0,1,50.0,1,55.9,0,100.0,2,2,60.0,100.0,1,50.0,1
Deon Silas,144540,HB,IOWA STATE,4,0,193,,0.0,0,0.0,5,60.0,0,6.3,2,32,60.0,3.8,1,50.0,26
I'Shawn Stewart,84372,WR,E MICHIGAN,1,0,160,60.0,100.0,1,50.0,1,60.0,0,100.0,2,2,60.0,100.0,1,50.0,1
Richard Newton,83799,HB,WASHINGTON,3,0,340,60.0,12.5,1,50.0,8,59.9,0,9.5,2,21,,0.0,0,0.0,12
C'Bo Flemister,83730,HB,PITTSBURGH,4,0,268,,0.0,0,0.0,3,60.0,0,15.4,2,13,,0.0,0,0.0,6
Martin Blake,158778,HB,S DIEGO ST,3,0,284,58.9,50.0,2,100.0,4,58.9,0,20.0,2,10,,0.0,0,0.0,6
Will Jones,57154,HB,BALL ST,4,0,117,60.0,25.0,1,50.0,4,69.2,0,16.7,2,12,60.0,12.5,1,50.0,8
Bennett Galloway,168436,HB,LA MONROE,2,0,209,,0.0,0,0.0,1,59.1,0,25.0,2,8,60.0,16.7,1,50.0,6
Harold Joiner,83635,HB,MICH STATE,2,0,223,60.0,100.0,1,50.0,1,60.0,0,66.7,2,3,60.0,50.0,1,50.0,2
JB Mitchell III,145761,WR,E MICHIGAN,1,0,160,60.0,100.0,1,50.0,1,60.0,0,100.0,2,2,60.0,100.0,1,50.0,1
Cammon Cooper,83591,QB,HAWAII,1,0,180,,,0,0.0,0,60.0,0,50.0,2,4,60.0,50.0,2,100.0,4
Grayson Kline,83541,TE,PENN STATE,1,0,266,,,0,0.0,0,59.9,0,100.0,2,2,59.9,100.0,2,100.0,2
Sutton Smith,162530,HB,MEMPHIS,2,0,218,60.0,50.0,1,50.0,2,60.0,0,28.6,2,7,60.0,20.0,1,50.0,5
Noah Bolticoff,144695,G,TCU,1,0,305,,,0,0.0,0,63.0,0,100.0,2,2,63.0,100.0,2,100.0,2
Kylar Cooks,81866,T,TEXAS ST,1,0,314,60.0,100.0,1,50.0,1,60.0,0,100.0,2,2,,,0,0.0,0
Christian Hoz,81565,G,ARK STATE,1,0,113,,,0,0.0,0,59.7,0,100.0,2,2,59.7,100.0,2,100.0,2
Mason Wheeler,146470,WR,WASHINGTON,1,0,340,60.0,100.0,1,50.0,1,59.9,0,100.0,2,2,59.9,100.0,1,50.0,1
Trent Walker,146340,WR,OREGON ST,1,0,265,60.0,100.0,1,50.0,1,60.0,0,100.0,2,2,60.0,100.0,1,50.0,1
