player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Ja'Quez Cross,145108,HB,ARK STATE,2,0,113,75.0,0,0,2,22.2,22.2,100.0,0,0,0,2,9,72.6,0,0,1,33.3,33.3,100.0,0,0,1,3
John Emery Jr.,97403,HB,LSU,3,0,211,9.1,0,1,1,3.1,6.1,50.0,0,1,0,2,33,,0,0,0,0.0,0.0,,0,0,0,11
John Williams,123585,T,CINCINNATI,1,0,138,76.2,0,0,1,100.0,100.0,100.0,0,0,0,2,2,,0,0,0,,,,0,0,0,0
Tim Gans,147449,HB,NEW MEX ST,2,0,242,71.9,0,0,1,12.5,22.2,100.0,0,0,0,2,9,70.0,0,0,0,,100.0,,0,0,1,1
Jayden McGowan,157184,WR,VANDERBILT,5,0,333,64.4,0,0,2,1.5,1.5,100.0,0,0,0,2,137,,0,0,0,0.0,0.0,,0,0,0,41
Quinton Stewart,122993,TE,OKLA STATE,3,0,262,70.1,0,0,2,25.0,25.0,100.0,0,0,0,2,8,,0,0,0,0.0,0.0,,0,0,0,3
Damien Moore,70767,HB,CAL,4,0,130,73.2,0,0,2,10.0,9.5,100.0,1,0,0,2,21,,0,0,0,0.0,0.0,,0,0,0,9
Zach Richards,145116,G,PURDUE,1,0,273,70.1,0,0,2,100.0,100.0,100.0,0,0,0,2,2,,0,0,0,,,,0,0,0,0
Drew Biber,145117,TE,PURDUE,1,0,273,68.9,0,0,2,33.3,33.3,100.0,0,0,0,2,6,,0,0,0,,,,0,0,0,0
Tahj Washington,97288,WR,USC,5,0,326,69.3,0,0,2,2.4,2.3,100.0,0,0,0,2,88,69.3,0,0,2,5.4,5.0,100.0,0,0,2,40
Izayah Cummings,124055,WR,KENTUCKY,5,0,202,65.9,0,0,2,9.1,8.7,100.0,0,0,0,2,23,,0,0,0,0.0,0.0,,0,0,0,10
Brian Foley,54532,G,DUKE,1,0,154,74.1,0,0,2,100.0,100.0,100.0,0,0,0,2,2,74.1,0,0,2,100.0,100.0,100.0,0,0,2,2
Mitchell Gildehaus,121764,G,MEMPHIS,1,0,218,74.2,0,0,1,100.0,100.0,100.0,0,0,0,2,2,,0,0,0,,,,0,0,0,0
Kevin Toth Jr.,145135,G,KENT STATE,1,0,201,69.9,0,0,1,100.0,100.0,100.0,0,0,0,2,2,,0,0,0,,,,0,0,0,0
Jackson Acker,145157,HB,WISCONSIN,4,0,349,73.0,0,0,2,25.0,25.0,100.0,0,0,0,2,8,70.0,0,0,1,25.0,25.0,100.0,0,0,1,4
Tyler Toledo,157515,HB,OHIO,2,0,259,74.6,0,0,2,14.3,14.3,100.0,0,0,0,2,14,71.8,0,0,1,12.5,12.5,100.0,0,0,1,8
Demond Claiborne,157523,HB,WAKE,1,0,339,12.8,1,0,2,66.7,66.7,75.0,0,1,0,2,3,12.8,1,0,2,100.0,100.0,75.0,1,0,2,2
Hayden Reed,163213,FB,ARMY,1,0,114,40.9,0,0,2,28.6,28.6,100.0,0,0,0,2,7,73.1,0,0,2,66.7,66.7,100.0,0,0,2,3
Cartevious Norton,157582,HB,IOWA STATE,2,0,193,37.3,0,0,2,50.0,40.0,100.0,0,0,0,2,5,70.8,0,0,1,50.0,50.0,100.0,0,0,1,2
Poukesi Vakauta,128401,DI,UTAH ST,1,0,329,63.8,0,0,1,100.0,100.0,100.0,0,0,0,1,1,,0,0,0,,,,0,0,0,0
Deondre Doiron,130405,T,KANSAS,1,0,198,71.0,0,0,1,100.0,100.0,100.0,0,0,0,1,1,,0,0,0,,,,0,0,0,0
Taran Tyo,163098,G,BALL ST,1,0,117,71.3,0,0,1,100.0,100.0,100.0,0,0,0,1,1,,0,0,0,,,,0,0,0,0
Luke Floriea,130491,WR,KENT STATE,5,0,201,63.9,0,0,1,2.2,2.0,100.0,0,0,0,1,49,,0,0,0,0.0,0.0,,0,0,0,16
Kue Olotoa,128365,TE,UNLV,1,0,325,67.3,0,0,1,20.0,20.0,100.0,0,0,0,1,5,,0,0,0,0.0,0.0,,0,0,0,1
Hudson Henry,99189,TE,ARKANSAS,1,0,111,67.4,0,0,1,33.3,33.3,100.0,0,0,0,1,3,,0,0,0,,,,0,0,0,0
Connor Witthoft,128287,TE,NEW MEXICO,2,0,241,65.3,0,0,1,10.0,9.1,100.0,0,0,0,1,11,,0,0,0,0.0,0.0,,0,0,0,2
Cameron Carroll,77743,HB,TULANE,1,0,319,70.0,0,0,0,0.0,14.3,,0,0,0,1,7,70.0,0,0,0,0.0,16.7,,0,0,1,6
Kyle Arnoldi,130643,C,W MICHIGAN,1,0,347,71.2,0,0,1,100.0,100.0,100.0,0,0,0,1,1,,0,0,0,,,,0,0,0,0
Mitch Bartol,130644,TE,W MICHIGAN,3,0,347,25.6,0,0,1,20.0,20.0,100.0,0,0,0,1,5,13.9,0,0,0,0.0,0.0,,0,0,0,3
Kylar Cooks,81866,T,TEXAS ST,1,0,314,0.0,1,0,1,100.0,100.0,50.0,0,1,0,1,1,,0,0,0,,,,0,0,0,0
Ryan Morgan,131622,TE,ARIZONA ST,2,0,110,67.4,0,0,1,33.3,33.3,100.0,0,0,0,1,3,,0,0,0,0.0,0.0,,0,0,0,1
Andy Alfieri,131639,TE,CAL,2,0,130,64.5,0,0,1,20.0,20.0,100.0,0,0,0,1,5,,0,0,0,0.0,0.0,,0,0,0,1
Travis Drosos,131675,LS,S ALABAMA,1,0,288,60.5,0,0,1,100.0,100.0,100.0,0,0,0,1,1,,0,0,0,,,,0,0,0,0
