player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Jayden de Laura,131928,QB,ARIZONA,5,-5.02,0,221,109,70.7,174,183,11.4,3.13,1,11,5.9,59.6,109,63,11.4,202,91.4,14,88,,,,66.7,64.7,80.1,22.9,,76.3,81.7,,76.5,,,1,6,209,11.1,98.9,3.5,7,12,2,5,14,11,5.3,1550,8.5,73.0,141,148,9.7,2.9,1,8,5.3,63.5,94,47,8.7,161,72.9,9,71,,,,66.7,62.1,76.1,18.2,,72.7,89.1,,73.9,,,1,4,166,10.6,102.0,3.1,5,8,2,3,12,10,6.0,1110,7.5,74.5,51,53,10.8,3.18,0,3,5.5,58.5,31,16,18.4,60,27.1,7,21,,,,,70.3,81.1,76.6,,78.2,59.9,,70.8,,,0,2,62,12.5,88.8,3.3,2,4,0,2,2,1,1.6,523,9.9,0,100.0,18,18,-3.3,1.39,0,0,0.0,88.9,16,0,11.1,19,8.6,2,4,,,,,67.0,68.6,72.2,,68.2,,,,,,0,0,19,,85.9,0.0,0,0,0,0,0,0,0.0,83,4.6,2.37
Austin Reed,111760,QB,W KENTUCKY,5,10.59,0,217,346,69.2,133,143,11.9,2.65,4,11,7.0,60.1,86,34,6.5,157,72.4,6,56,,,,,52.8,83.9,64.4,,83.4,,,66.6,,,3,5,171,23.5,105.1,5.1,8,6,2,1,14,9,5.3,1194,8.3,74.0,127,133,8.9,2.36,2,7,4.7,67.7,90,27,4.3,144,66.4,4,47,,,,,51.7,79.3,63.6,,79.6,,,63.6,,,1,4,160,22.2,101.8,4.2,6,4,2,1,9,7,4.4,1064,8.0,87.7,65,69,5.0,2.07,2,4,5.7,78.3,54,8,5.3,73,33.6,3,29,,,,,46.1,83.3,77.1,,80.3,,,70.6,,,2,1,74,25.0,136.2,2.7,2,2,0,0,8,3,4.1,612,8.9,0,100.0,59,59,-2.2,1.26,0,0,0.0,98.3,58,1,1.7,60,27.6,1,20,,,,,42.6,71.6,76.5,,71.0,,,,,,0,0,63,0.0,117.7,0.0,0,0,0,0,3,1,1.6,482,8.2,0.87
Cameron Ward,133244,QB,WASH STATE,5,3.69,0,216,341,71.6,134,149,10.0,3.27,1,3,1.9,62.4,93,75,3.1,170,78.7,3,60,,,,,63.1,68.9,64.3,,65.1,,,74.2,,,0,6,176,17.3,92.4,7.6,13,7,0,14,10,6,3.4,1170,7.9,74.6,114,126,7.8,3.11,1,0,0.0,65.9,83,58,2.4,145,67.1,2,46,,,,,61.3,60.5,62.4,,56.3,,,72.9,,,0,4,150,20.7,83.6,8.3,12,6,0,11,4,5,3.3,884,7.0,80.0,65,69,5.8,2.42,0,3,4.2,69.6,48,20,7.7,71,32.9,4,28,,,,,70.9,79.8,77.1,,78.0,,,63.2,,,0,3,74,5.0,115.4,1.4,1,1,0,4,9,2,2.7,561,8.1,0,91.1,45,46,-1.4,1.46,0,0,0.0,82.6,38,3,7.3,46,21.3,3,14,,,,,69.5,63.0,75.4,,62.5,,,,,,0,1,48,0.0,104.3,0.0,0,0,0,1,3,1,2.1,275,6.0,1.11
Gavin Hardison,100827,QB,UTEP,6,7.64,0,214,330,63.4,164,178,12.9,3.05,3,17,9.0,51.1,91,60,12.5,202,94.4,13,58,,,,,52.7,74.2,85.0,,72.3,,,64.6,,,2,3,213,23.3,77.7,6.9,14,10,1,8,6,10,4.7,1232,6.9,61.9,126,137,12.1,3.06,2,11,7.6,50.4,69,47,11.5,155,72.4,9,37,,,,,47.3,58.3,84.3,,55.8,,,62.5,,,1,3,162,27.7,64.9,8.4,13,5,1,7,2,10,6.2,824,6.0,71.7,46,50,12.6,2.77,1,6,10.9,58.0,29,15,12.1,59,27.6,4,23,,,,,70.4,93.0,76.5,,92.9,,,62.8,,,1,0,64,6.7,113.6,1.7,1,6,0,2,4,0,0.0,438,8.8,0,87.5,8,9,-1.0,1.91,0,0,0.0,77.8,7,2,0.0,12,5.6,0,2,,,,,66.0,61.8,71.0,,64.8,,,57.3,,,0,0,13,0.0,80.6,0.0,0,1,0,1,0,0,0.0,30,3.3,2.75
Brennan Armstrong,77696,QB,VIRGINIA,5,5.81,0,211,335,61.2,147,155,12.4,2.99,6,7,4.2,47.7,74,88,17.8,191,90.5,16,51,,,,,44.6,53.8,84.2,,51.3,,,60.7,,,0,5,204,13.6,62.3,6.3,12,24,0,2,4,11,5.4,939,6.1,64.0,125,132,9.9,2.8,6,3,2.1,50.0,66,71,17.5,164,77.7,14,40,,,,,52.8,54.4,83.8,,51.9,,,60.4,,,0,4,175,14.1,59.4,6.1,10,22,0,1,3,8,4.6,655,5.0,65.9,41,43,13.0,2.97,1,4,8.9,55.8,24,17,11.1,47,22.3,3,15,,,,,37.4,55.6,75.5,,54.8,,,61.7,,,0,1,49,11.8,84.1,4.3,2,2,0,1,1,3,6.1,386,9.0,0,89.5,19,20,-2.5,1.43,1,0,0.0,80.0,16,0,5.9,20,9.5,1,4,,,,,67.1,59.7,72.4,,59.4,,,,,,0,0,20,,87.9,0.0,0,0,0,0,0,0,0.0,102,5.1,4.02
Hunter Dekkers,122511,QB,IOWA STATE,5,-5.44,0,208,193,72.4,170,173,7.7,2.66,0,7,3.8,67.6,117,58,4.9,192,92.3,6,64,,,,,66.5,61.3,66.7,,63.3,,,52.3,,,1,6,203,22.4,94.7,6.8,13,6,0,2,11,10,4.9,1225,7.1,75.2,133,134,6.1,2.52,0,6,4.2,70.9,95,43,5.0,145,69.7,5,48,,,,,64.0,60.5,63.7,,63.3,,,51.4,,,1,6,156,16.3,93.0,4.8,7,4,0,0,9,8,5.1,903,6.7,73.6,53,55,8.6,2.65,0,1,1.8,65.5,36,15,7.7,63,30.3,3,19,,,,,70.4,64.4,76.5,,63.6,,,61.7,,,0,0,64,40.0,100.0,9.5,6,2,0,2,2,2,3.1,413,7.5,0,100.0,16,16,-2.8,1.39,0,0,0.0,87.5,14,0,12.5,16,7.7,2,3,,,,,66.7,66.3,71.8,,66.0,,,,,,0,0,17,,90.4,0.0,0,0,0,0,0,0,0.0,91,5.7,0.77
Cole Snyder,97617,QB,BUFFALO,5,7.45,0,206,126,63.0,154,164,11.3,2.45,4,7,4.1,57.3,94,54,3.1,189,91.7,3,60,,,,,59.3,76.6,84.7,,71.6,54.3,,73.8,,,0,3,197,24.1,87.1,6.9,13,12,0,6,8,8,4.1,1128,6.9,65.1,109,118,9.5,2.45,4,5,4.0,57.6,68,41,4.2,139,67.5,3,45,,,,,68.3,83.7,83.9,,78.9,,,73.9,,,0,0,146,26.8,92.9,7.9,11,10,0,5,5,4,2.7,811,6.9,67.2,61,63,10.5,2.2,0,2,3.1,65.1,41,15,0.0,67,32.5,0,21,,,,,44.0,53.2,76.8,,52.9,54.3,,62.0,,,0,3,68,13.3,79.3,3.0,2,2,0,2,3,5,7.4,407,6.5,0,93.8,16,17,-3.5,1.51,0,0,0.0,88.2,15,2,0.0,17,8.3,0,6,,,,,66.7,59.1,71.8,,58.8,,,,,,0,0,17,0.0,88.7,0.0,0,0,0,1,0,1,5.9,90,5.3,-0.41
Layne Hatcher,82068,QB,TEXAS ST,5,-6.23,0,205,314,63.7,146,159,12.3,2.89,2,10,6.1,54.1,86,58,7.5,176,85.9,7,47,,,,,36.1,54.3,66.8,,54.1,,,54.9,,,0,6,182,22.4,84.5,7.4,13,4,0,11,11,12,6.6,1144,7.2,70.7,123,131,9.1,2.67,1,7,5.2,62.6,82,43,5.7,147,71.7,5,32,,,,,30.3,48.6,65.0,,47.7,,,56.7,,,0,5,152,27.9,84.4,8.2,12,3,0,7,7,12,7.9,887,6.8,66.0,50,55,11.6,2.66,1,3,5.4,56.4,31,15,6.1,58,28.3,2,18,,,,,70.2,74.4,76.2,,74.6,,,57.3,,,0,1,59,6.7,91.3,1.7,1,1,0,4,4,0,0.0,337,6.1,0,100.0,27,27,-3.1,1.33,0,0,0.0,100.0,27,0,0.0,29,14.1,0,3,,,,,68.1,69.5,73.6,,69.1,,,,,,0,0,29,,79.2,0.0,0,0,0,0,0,0,0.0,80,3.0,-0.64
Seth Henigan,144267,QB,MEMPHIS,5,-1.25,0,204,218,67.9,134,140,12.0,3.08,1,5,3.3,57.9,81,56,11.0,175,85.8,10,51,,,,,30.6,75.0,67.1,,77.9,60.0,,58.0,,,0,1,187,23.2,98.6,7.4,13,22,0,5,8,4,2.1,1084,7.7,73.2,112,117,9.8,3.08,1,4,3.2,63.2,74,47,9.8,147,72.1,8,38,,,,,28.4,74.8,65.2,,79.3,60.0,,56.2,,,0,0,156,25.5,100.4,8.2,12,18,0,4,5,3,1.9,880,7.5,72.3,47,50,10.1,2.49,1,1,1.9,62.0,31,16,8.8,57,27.9,3,20,,,,,70.3,68.1,76.3,,67.2,,,62.4,,,0,1,61,6.3,105.1,1.8,1,5,0,2,4,1,1.6,396,7.9,0,100.0,25,27,-1.6,1.91,1,0,0.0,88.9,24,7,4.0,29,14.2,1,7,,,,,68.2,64.5,73.7,,66.3,,,57.0,,,0,0,30,0.0,108.6,0.0,0,1,0,1,1,0,0.0,192,7.1,0.4
Hayden Wolff,98362,QB,DOMINION,5,-5.43,0,202,263,63.5,156,162,11.4,2.67,4,15,8.7,51.9,84,63,15.2,184,91.1,15,50,,,,,28.7,66.9,49.6,,66.1,,,64.1,,,2,2,195,23.8,86.8,8.2,15,7,0,0,8,9,4.6,1175,7.3,68.8,144,149,9.0,2.57,5,12,7.5,57.0,85,55,14.1,169,83.7,14,43,,,,,35.6,69.6,48.0,,69.0,,,64.1,,,0,1,180,23.6,86.8,7.7,13,7,0,0,6,7,3.9,948,6.4,58.6,29,31,14.8,2.61,0,3,9.7,51.6,16,8,5.9,33,16.3,1,11,,,,,28.6,56.5,74.1,,56.3,,,,,,2,1,33,25.0,104.6,6.1,2,0,0,0,3,2,6.1,303,9.8,0,100.0,17,18,-4.2,1.61,1,0,0.0,94.4,17,0,0.0,18,8.9,0,4,,,,,66.8,68.4,72.0,,68.0,,,,,,0,0,18,,102.8,0.0,0,0,0,0,1,0,0.0,76,4.2,3.41
