player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Austin Calitro,50640,LB,NYG,3,3,10.0,100.0,61.8,4.5,4.5,0,0,0,0.0,21,28.8,29.6,79.4,49.2,54.6,81.1,0,13,0.0,0,0,1,146.9,4,21,34,0,1,4,1,39,7,2.2,9.8
Josey Jewell,50720,LB,DEN,3,1,3.9,85.7,86.2,6.3,5.4,0,0,0,0.0,10,48.5,64.7,77.3,77.1,75.3,64.3,0,32,14.3,2,0,0,103.3,12,81,94,4,11,14,0,123,74,1.6,10.3
Cody Barton,50727,LB,SEA,5,5,6.3,89.5,90.3,6.8,6.1,0,0,1,5.3,29,47.0,47.0,79.7,57.8,51.7,78.9,0,54,5.6,1,1,0,136.3,17,130,144,6,12,19,1,258,170,2.2,15.2
Jordyn Brooks,50851,LB,SEA,5,2,4.7,78.6,89.0,13.4,10.5,0,0,0,0.0,29,45.2,54.4,80.6,66.2,64.1,54.6,0,32,20.0,5,0,0,146.1,11,161,181,6,18,14,2,134,77,0.9,12.2
Roquan Smith,50892,LB,CHI,6,5,7.4,57.1,90.6,14.3,8.2,0,0,1,4.8,6,43.9,52.0,83.2,54.1,62.8,76.4,1,20,18.2,4,1,1,54.9,12,184,203,4,13,21,0,126,65,0.7,10.5
Tremaine Edmunds,50905,LB,BUF,4,1,4.9,68.4,95.9,9.9,6.8,0,0,1,5.3,4,73.7,68.4,80.4,80.6,49.1,66.3,0,21,12.5,2,1,0,94.8,13,139,145,8,13,19,1,83,36,0.6,6.4
Robert Spillane,50918,LB,PIT,5,2,9.4,72.7,74.7,8.1,5.9,0,0,2,18.2,25,62.3,57.6,79.2,49.2,56.7,81.7,0,28,0.0,0,2,0,106.3,8,68,91,2,7,11,0,115,73,1.8,14.4
Leighton Vander Esch,50950,LB,DAL,5,5,2.8,83.3,92.7,16.0,13.3,0,0,0,0.0,9,72.3,71.5,82.6,59.9,63.5,79.1,0,11,12.5,2,0,0,83.7,10,166,179,5,9,12,0,49,50,0.3,4.9
Bobby Okereke,50954,LB,IND,5,3,6.6,64.5,95.6,8.2,5.3,0,0,1,3.2,14,53.6,64.3,80.6,49.7,78.2,73.9,0,37,0.0,0,1,0,85.3,20,174,182,5,13,31,0,219,166,1.3,11.0
Ja'Whaun Bentley,50966,LB,NE,5,2,0.6,100.0,78.0,12.3,12.3,0,0,0,0.0,19,67.7,67.3,80.9,70.4,59.4,89.0,0,36,0.0,0,0,0,111.5,8,99,127,3,7,8,0,86,81,0.9,10.8
Frankie Luvu,51028,LB,CAR,4,0,4.0,80.0,76.1,9.4,7.5,0,1,1,6.7,5,70.7,72.7,38.7,66.5,70.0,44.9,1,23,9.1,1,1,1,107.9,12,124,163,6,10,15,2,106,73,0.9,8.8
Tyrel Dodson,51045,LB,BUF,3,2,6.0,75.0,84.6,14.0,10.5,0,0,0,0.0,4,52.8,66.4,77.1,72.4,76.1,72.1,0,20,0.0,0,0,0,94.8,3,44,52,2,3,4,0,29,15,0.7,9.7
Jahlani Tavai,51055,LB,NE,5,0,1.2,77.8,64.5,6.9,5.3,0,0,0,0.0,19,72.4,70.4,81.4,67.9,61.0,84.7,0,14,0.0,0,0,0,86.1,7,49,76,3,4,9,0,42,40,0.9,6.0
Julian Love,51081,S,NYG,5,4,5.7,100.0,91.4,13.7,13.7,0,0,0,0.0,21,60.4,64.7,82.1,71.7,66.2,75.3,0,22,5.9,1,0,1,142.5,10,148,162,6,12,10,1,102,45,0.7,10.2
Ben Niemann,51099,LB,ARZ,4,0,-1.6,85.7,87.5,6.7,5.7,0,0,0,0.0,1,59.8,58.2,77.2,52.0,58.7,83.9,0,12,0.0,0,0,0,79.8,6,42,48,1,3,7,0,22,36,0.6,3.7
Taylor Rapp,51172,S,LA,4,2,4.2,80.0,96.6,17.1,13.7,0,0,0,0.0,26,52.4,56.6,85.2,57.1,73.0,62.0,0,14,16.7,2,0,0,95.4,8,141,146,1,8,10,0,69,52,0.5,8.6
P.J. Locke,51189,S,DEN,3,0,4.6,80.0,95.7,5.3,4.2,0,0,0,0.0,10,91.0,90.8,0.0,65.3,60.0,77.5,0,16,0.0,0,0,1,92.5,4,22,23,3,4,5,0,31,27,1.5,7.8
Joshua Kalu,51203,S,TEN,5,1,6.0,100.0,99.0,16.5,16.5,0,0,0,0.0,31,41.8,45.2,82.8,60.0,76.7,62.8,0,34,16.7,1,0,0,118.8,6,104,105,0,4,6,0,91,55,0.9,15.2
Minkah Fitzpatrick,51206,S,PIT,5,3,10.8,63.6,98.2,30.4,19.4,0,0,1,9.1,25,70.5,72.1,0.0,78.4,73.2,78.7,3,62,0.0,0,1,2,97.9,7,224,228,2,11,11,1,138,48,0.6,19.7
Fred Warner,51222,LB,SF,5,8,3.7,47.1,94.6,22.8,10.7,0,1,3,17.6,28,78.5,78.8,28.2,62.7,73.1,84.4,0,27,0.0,0,3,2,62.9,8,193,204,6,15,17,0,88,47,0.5,11.0
Tracy Walker,51266,S,DET,3,3,10.0,50.0,94.8,88.0,44.0,1,1,0,0.0,11,75.4,74.3,0.0,77.6,58.5,77.4,0,13,0.0,0,0,2,70.8,1,91,96,2,5,2,0,13,11,0.1,13.0
Drue Tranquill,51276,LB,LAC,5,3,3.7,83.3,93.0,10.1,8.4,0,0,0,0.0,27,63.2,59.2,80.8,54.1,54.0,47.8,1,23,23.8,5,0,0,89.4,15,159,171,6,13,18,1,118,99,0.8,7.9
Mike Edwards,51282,S,TB,5,7,9.8,66.7,93.0,19.1,12.7,0,0,1,6.7,30,76.1,72.9,82.3,67.1,53.1,51.9,1,19,15.4,4,1,0,74.9,10,200,215,5,15,15,1,82,52,0.4,8.2
Sean Chandler,51315,S,CAR,2,0,1.7,100.0,100.0,7.7,7.7,0,0,0,0.0,5,45.5,41.2,76.9,,54.5,79.9,0,9,0.0,0,0,0,125.7,3,26,26,0,3,3,1,14,9,0.6,4.7
Terrell Edmunds,51334,S,PIT,4,1,8.6,72.7,95.6,17.6,12.8,0,0,1,9.1,25,73.2,73.1,84.2,51.2,65.0,29.8,0,22,25.0,3,1,0,136.4,8,151,158,2,8,11,2,90,39,0.6,11.3
Will Harris,51336,CB,DET,5,1,17.6,66.7,98.8,13.3,8.9,0,0,0,0.0,11,69.2,67.7,80.7,60.0,56.0,65.1,1,54,0.0,0,0,0,106.9,6,84,85,3,8,9,1,112,35,1.4,18.7
