player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Trace McSorley,32819,QB,ARZ,1,1,0,0,0.0,0,0,1,0,0,0,0,0.0,1,1,1,0,0,70.6,60.8,71.5,61.0,,,59.9,,14,0,0,0,0,1,19,2,0,1,0,20,4,1.33,6.7,,0
Ryan Tannehill,7014,QB,TEN,2,2,0,0,0.0,0,0,0,0,0,0,2,0.0,0,2,31,0,0,82.1,67.4,6.7,65.8,,,71.2,60.3,9,1,0,0,0,41,9,1,0,2,0,9,2,0.67,3.0,,0
Russell Wilson,7077,QB,DEN,2,1,0,0,0.0,0,0,-1,0,0,0,0,0.0,0,0,10,0,0,84.2,57.7,0.0,59.8,,,54.8,60.0,4,2,0,0,0,50,6,2,0,1,0,5,3,1.0,1.7,,0
Travis Homer,45859,HB,SEA,2,3,0,0,0.0,0,0,11,0,0,0,6,0.0,0,2,29,0,1,70.9,62.4,80.8,,49.7,65.5,61.8,59.8,5,0,33,4,22,9,0,0,4,7,0,11,6,2.0,3.7,1.5,1
Case Keenum,7323,QB,BUF,1,3,0,0,0.0,0,0,2,0,0,0,0,0.0,0,0,4,0,0,69.1,44.5,73.9,43.9,,,57.7,60.0,4,0,0,0,0,14,0,0,0,3,0,2,0,0.0,0.7,,1
Joe Flacco,4332,QB,NYJ,2,2,0,0,0.0,0,0,-1,0,0,0,0,0.0,0,1,22,2,0,86.0,75.8,82.2,74.4,,,61.5,60.0,7,1,0,0,0,39,7,1,0,2,0,6,14,4.67,2.0,,0
Jameis Winston,9434,QB,NO,2,0,2,0,0.0,0,0,0,0,0,0,,100.0,0,0,20,1,0,51.6,62.7,81.6,62.3,,,58.1,62.2,6,1,0,0,0,36,11,3,0,0,0,11,15,5.0,3.7,,0
Jamal Agnew,11920,WR,JAX,2,3,1,0,0.0,0,0,7,1,0,1,5,41.7,0,1,15,0,0,75.3,45.0,74.6,,,44.9,57.1,60.4,6,0,6,1,6,7,0,0,2,4,0,7,5,1.67,2.3,1.0,0
Brandon Bolden,7469,HB,LV,1,3,1,0,0.0,0,0,7,0,0,1,5,33.3,0,0,23,0,2,69.0,60.5,73.8,,72.3,73.3,53.7,,5,0,21,2,11,3,0,0,2,5,0,7,5,1.67,2.3,1.91,1
Tua Tagovailoa,60326,QB,MIA,2,3,0,0,0.0,0,0,1,0,0,0,1,0.0,0,1,17,1,0,53.4,73.1,81.6,71.8,,,60.8,60.1,1,0,0,0,0,41,0,0,0,3,0,1,1,0.33,0.3,,0
Kirk Cousins,7102,QB,MIN,2,0,1,0,0.0,0,0,0,0,0,0,,100.0,1,1,18,1,0,50.7,66.8,15.4,66.0,,,66.4,60.0,13,1,0,0,0,37,20,2,0,0,0,20,13,6.5,10.0,,0
Alec Ingold,34934,FB,MIA,2,2,0,0,0.0,0,0,3,0,0,0,2,0.0,0,2,17,0,0,70.1,71.1,81.1,,60.7,61.8,67.5,71.3,2,0,23,3,22,20,0,0,4,5,0,3,2,1.0,1.5,1.05,0
Samaje Perine,11869,HB,CIN,2,2,0,0,0.0,0,0,6,0,1,0,4,33.3,0,0,7,0,0,69.4,58.7,79.1,,82.6,60.2,53.3,60.0,4,0,41,4,29,3,0,0,5,6,0,6,4,2.0,3.0,1.41,1
Tony Jones Jr.,40498,HB,NO,2,2,0,0,0.0,0,0,8,0,0,0,5,0.0,0,0,20,0,0,67.8,53.8,76.8,,71.5,53.6,49.9,,6,0,12,2,24,2,0,0,2,4,0,8,5,2.5,4.0,0.5,2
Avery Williams,42873,HB,ATL,2,2,0,0,0.0,0,0,7,0,0,0,4,0.0,0,0,2,0,1,74.3,56.2,79.8,,67.4,57.1,54.0,58.7,5,0,14,2,22,8,0,0,2,4,0,7,4,2.0,3.5,0.64,1
Dontrell Hilliard,45691,HB,TEN,1,2,0,0,0.0,0,0,8,1,0,0,5,0.0,0,0,31,0,2,69.4,70.4,73.2,,78.7,75.8,62.8,,5,0,61,3,6,2,0,0,4,5,0,8,5,2.5,4.0,10.17,0
Jeff Driskel,10841,QB,HST,2,1,2,0,0.0,0,0,10,0,0,0,0,0.0,1,2,13,0,0,64.5,75.0,69.9,,,,70.3,60.0,10,0,0,0,0,4,5,1,0,1,0,15,15,7.5,7.5,,1
Dak Prescott,10769,QB,DAL,1,2,0,0,0.0,0,0,11,0,0,0,0,0.0,1,1,9,0,1,78.6,37.4,78.4,36.3,,,63.7,60.2,12,0,0,0,0,19,0,0,0,2,0,11,0,0.0,5.5,,0
