player,player_id,position,team_name,player_game_count,assists,declined_penalties,franchise_id,grades_fgep_defense,grades_fgep_kicker,grades_fgep_offense,grades_kick_return,grades_kickoff_kicker,grades_long_snap,grades_misc_st,grades_punt_return,grades_punter,grades_special_teams_penalty,missed_tackles,penalties,snap_counts_field_goal,snap_counts_field_goal_blocking,snap_counts_kickoff,snap_counts_kickoff_return,snap_counts_punt_coverage,snap_counts_punt_return,tackles
Davante Adams,8688,WR,LV,1,0,0,23,,,,,,,60.0,,,62.5,0,0,0,0,0,0,0,0,0
Morgan Moses,8701,T,BLT,1,0,0,3,,,60.0,,,,60.6,,,66.2,0,0,4,0,0,0,0,0,0
Gabe Jackson,8716,G,SEA,1,0,0,29,,,60.0,,,,60.4,,,61.2,0,0,3,0,0,0,0,0,0
Trai Turner,8727,G,WAS,1,0,0,32,,,60.0,,,,60.0,,,63.8,0,0,1,0,0,0,0,0,0
Jerick McKinnon,8731,HB,KC,2,0,0,16,,,,,,,70.3,,,64.6,0,0,0,0,0,6,0,5,0
DaQuan Jones,8747,DI,BUF,1,0,0,4,59.4,,,,,,60.5,,,67.3,0,0,0,2,0,0,0,1,0
Kevin Pierre-Louis,8767,LB,HST,1,1,0,13,59.8,,,,,,70.3,,,67.2,0,0,0,5,5,6,8,4,0
Brent Urban,8769,DI,BLT,1,0,0,3,59.1,,60.0,,,,60.7,,,69.0,0,0,4,3,0,0,0,1,0
Cameron Fleming,8775,T,DEN,1,0,0,10,,,60.0,,,,60.3,,,63.3,0,0,5,0,0,0,0,0,0
Pat O'Donnell,8826,P,GB,1,0,0,12,,,60.0,,,,60.0,,59.6,63.7,0,0,1,0,0,0,4,0,0
Shelby Harris,8869,DI,SEA,1,0,0,29,58.6,,,,,,59.0,,,67.2,0,0,0,5,0,0,0,0,0
Charles Leno Jr.,8880,T,WAS,1,0,0,32,,,60.0,,,,60.1,,,63.5,0,0,2,0,0,0,0,0,0
Cairo Santos,8932,K,CHI,1,0,0,6,,26.4,,,60.0,,60.0,,,61.5,0,0,3,0,4,0,0,0,0
Casey Kreiter,8959,LS,NYG,1,0,0,21,,,60.0,,,0.0,26.8,,,64.1,1,0,1,0,0,0,6,0,0
Josh Wells,8968,T,TB,1,0,0,30,,,60.0,,,,60.5,,,63.6,0,0,6,0,0,0,0,0,0
Denico Autry,8982,ED,TEN,1,0,0,31,59.4,,,,,,59.8,,,63.8,0,0,0,1,0,0,0,0,0
Chris Boswell,8990,K,PIT,1,0,0,25,,63.6,,,60.0,,60.0,,,61.6,0,0,6,0,5,0,0,0,0
Shaquil Barrett,9000,ED,TB,1,0,0,30,,,,,,,60.0,,,64.3,0,0,0,0,0,0,0,1,0
James Hurst,9001,T,NO,1,0,0,20,,,60.0,,,,60.3,,,63.3,0,0,4,0,0,0,0,0,0
Cornelius Lucas,9025,T,WAS,1,0,0,32,,,60.0,,,,60.0,,,62.5,0,0,2,0,0,0,0,0,0
Kerry Hyder,9045,ED,SF,1,0,0,28,60.0,,,,,,60.3,,,64.6,0,0,0,3,0,0,0,0,0
Andrew Norwell,9126,G,WAS,1,0,0,32,,,60.0,,,,60.2,,,61.0,0,0,2,0,0,0,0,0,0
Adrian Phillips,9177,S,NE,1,0,0,19,60.0,,,,,,60.6,,,60.8,0,0,0,2,0,3,0,0,0
Justin McCray,9234,G,HST,1,0,0,13,,,60.0,,,,60.2,,,63.1,0,0,4,0,0,0,0,0,0
C.J. Goodwin,9243,CB,DAL,1,0,0,9,59.5,,,,,,55.7,,,72.6,1,0,0,6,2,0,5,4,1
Daniel Sorensen,9253,S,NO,1,0,0,20,59.7,,,,,,56.2,,,67.0,0,0,0,7,6,6,0,4,0
Tyler Shatley,9257,C,JAX,1,0,0,15,,,60.0,,,,60.3,,,63.3,0,0,5,0,0,0,0,0,0
Matt Feiler,9289,G,LAC,2,0,0,27,,,61.2,,,,61.1,,,61.8,0,0,9,0,0,0,0,0,0
Keith Smith,9302,FB,ATL,1,0,0,2,,,,,,,60.9,,,68.1,0,0,0,0,6,6,4,5,0
Dante Fowler Jr.,9436,ED,DAL,1,0,0,9,,,,,,,60.0,,,66.3,0,0,0,0,0,0,0,1,0
Leonard Williams,9439,DI,NYG,1,0,0,21,59.1,,,,,,60.5,,,66.1,0,0,0,5,0,0,0,2,0
Andrus Peat,9446,G,NO,1,0,0,20,,,60.0,,,,60.6,,,65.0,0,0,4,0,0,0,0,0,0
DeVante Parker,9447,WR,NE,1,0,0,19,,,,,,,60.0,,,64.5,0,0,0,0,0,1,0,0,0
D.J. Humphries,9457,T,ARZ,1,0,0,1,,,60.0,,,,60.0,,,62.5,0,0,1,0,0,0,0,0,0
Shaq Thompson,9458,LB,CAR,1,0,0,5,57.9,,,,,,57.6,,,62.7,0,0,0,6,0,0,0,0,0
Breshad Perriman,9459,WR,TB,1,0,0,30,,,,,,,62.1,,,66.6,0,0,0,0,0,0,0,4,0
Laken Tomlinson,9461,G,NYJ,1,0,0,22,,,60.0,,,,60.3,,,65.6,0,0,3,0,0,0,0,0,0
Donovan Smith,9467,T,TB,1,0,0,30,,,60.0,,,,60.0,,,64.6,0,0,2,0,0,0,0,0,0
Preston Smith,9471,ED,GB,1,0,0,12,60.0,,,,,,61.2,,,66.1,0,0,0,5,0,0,0,1,0
Eric Kendricks,9478,LB,MIN,1,0,0,18,60.0,,,,,,60.0,,,61.3,0,0,0,1,0,0,0,0,0
Denzel Perryman,9481,LB,LV,1,0,0,23,60.0,,,,,,59.9,,,65.2,0,0,0,3,0,5,0,0,0
Jordan Phillips,9485,DI,BUF,1,0,0,4,59.4,,,,,,59.8,,,63.7,0,0,0,1,0,0,0,0,0
Ameer Abdullah,9487,HB,LV,1,0,0,23,,,,,,,61.1,,,62.7,0,0,0,0,5,5,0,0,0
Maxx Williams,9488,TE,ARZ,1,0,0,1,,,60.0,,,,60.0,,,60.6,0,0,1,0,0,0,0,0,0
Rob Havenstein,9490,T,LA,1,0,0,26,,,60.0,,,,60.0,,,64.6,0,0,2,0,0,0,0,0,0
A.J. Cann,9500,G,HST,1,0,0,13,,,60.0,,,,61.0,,,67.2,0,0,4,0,0,0,0,0,0
Tyler Lockett,9502,WR,SEA,1,0,0,29,,,,,,,60.0,60.1,,61.5,0,0,0,0,0,0,0,1,0
P.J. Williams,9511,S,NO,1,0,0,20,,,,,,,60.6,,,70.9,0,0,0,0,6,0,0,4,0
Jordan Hicks,9517,LB,MIN,1,0,0,18,60.0,,,,,,60.0,,,61.0,0,0,0,1,0,0,0,0,0
Tyler Kroft,9518,TE,SF,1,0,0,28,,,60.0,,,,60.0,,,60.9,0,0,2,0,0,0,0,0,0
Danielle Hunter,9521,ED,MIN,1,0,0,18,59.8,,,,,,60.0,,,63.1,0,0,0,1,0,0,0,0,0
Carl Davis,9523,DI,NE,1,0,0,19,,,60.0,,,,60.0,,,63.8,0,0,1,0,0,0,0,0,0
Ty Montgomery,9527,HB,NE,1,0,0,19,,,,58.5,,,60.5,,,64.5,0,0,0,0,2,4,1,0,0
Angelo Blackson,9533,DI,CHI,1,0,0,6,59.4,,,,,,61.2,,,68.0,0,0,0,2,0,0,0,2,0
Jamison Crowder,9538,WR,BUF,1,0,0,4,,,,,,,60.0,62.6,,62.5,0,0,0,0,0,0,0,4,0
Kwon Alexander,9557,LB,NYJ,1,0,0,22,,,,,,,60.0,,,60.0,0,0,0,0,0,0,0,1,0
