player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Brandon Calloway,145121,CB,PURDUE,1,6,0,273,0,0.0,0.0,100.0,,2.0,0,0,0.0,51.5,0,,,0,0,39.6,0,2,33.3,2,0,0,1,0,0,0,0.0,,0,0,5.0,100.0,100.0,4.0,4.0,0,0,0.0,62.3,0,5,,0,0,87.5,1,4,66.7,4,0,0,1,0,5,0,1.3,5.0
Jordan Thompson,145140,ED,RUTGERS,5,3,0,278,0,24.0,0.0,28.6,,2.0,0,1,100.0,69.8,0,,,0,1,39.6,0,2,66.7,7,0,0,1,0,0,0,0.0,,0,0,,,5.6,,,0,0,,60.0,0,,,0,0,0.0,0,1,33.3,18,0,0,0,0,0,0,0.0,
Alijah Clark,145141,S,SYRACUSE,5,112,0,304,0,5.7,85.7,97.1,5.5,4.7,0,0,0.0,54.2,0,16,20.0,1,0,95.8,6,33,29.5,34,0,4,7,0,49,22,1.5,8.2,0,2,-3.0,0.0,100.0,,42.0,0,0,0.0,66.2,0,,25.0,1,0,39.6,0,45,40.2,45,0,1,1,0,0,0,0.0,
Shaquan Loyal,145143,CB,RUTGERS,4,35,0,278,0,3.5,50.0,87.5,7.0,3.5,0,0,0.0,94.1,1,11,100.0,1,0,27.1,1,7,20.0,8,0,0,2,0,11,9,1.6,11.0,0,1,2.3,100.0,88.0,7.0,7.0,0,0,0.0,64.3,0,11,0.0,0,0,95.8,3,22,62.9,25,1,2,3,0,21,14,1.0,7.0
Desmond Igbinosun,145144,S,RUTGERS,3,98,0,278,0,7.5,100.0,83.8,15.0,15.0,0,0,0.0,51.1,0,47,0.0,0,0,158.3,2,31,31.6,37,1,2,2,1,55,40,1.8,27.5,0,0,12.0,100.0,96.2,16.3,16.3,0,0,0.0,53.2,0,24,0.0,0,0,118.8,3,50,51.0,52,1,5,3,0,44,8,0.9,14.7
Austin Dean,145145,LB,RUTGERS,4,12,0,278,0,19.0,100.0,75.0,3.0,3.0,0,0,0.0,50.8,0,20,0.0,0,0,118.8,1,3,25.0,4,0,1,1,0,20,1,6.7,20.0,0,0,5.0,100.0,100.0,7.0,7.0,0,0,0.0,61.9,0,4,,0,0,83.3,1,7,58.3,7,0,0,1,0,4,-1,0.6,4.0
Ryan Keeler,145154,ED,UNLV,1,1,0,325,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,,,0,0,,,50.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,2,0,0,0,0,0,0,0.0,
Owen Arnett,145161,S,WISCONSIN,1,3,0,349,0,,,100.0,,,0,0,,60.9,0,,,0,0,0.0,0,2,66.7,2,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,33.3,1,0,0,0,0,0,0,0.0,
Al Ashford III,145162,CB,WISCONSIN,1,6,0,349,0,10.5,100.0,100.0,2.0,2.0,0,0,0.0,46.7,0,25,,0,0,118.8,2,4,66.7,4,0,0,2,0,30,9,7.5,15.0,0,0,,,100.0,,,0,0,,61.5,0,,,0,0,0.0,0,2,33.3,2,0,0,0,0,0,0,0.0,
T.J. Bollers,145165,ED,WISCONSIN,2,2,0,349,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,,,0,0,,,66.7,,,0,0,,60.5,0,,,0,0,0.0,0,2,100.0,3,0,0,0,0,0,0,0.0,
