team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
MIAMI FL,220,8,353,17,49,353,87.5,77,11
PRINCETON,272,7,269,8,39,269,87.5,57,10
IOWA STATE,193,8,357,12,68,357,87.4,85,5
BROWN,123,7,370,12,57,370,87.4,81,12
COLORADO,143,8,297,8,51,297,87.4,67,8
E TENN ST,157,9,317,10,47,318,87.2,69,12
OLE MISS,226,9,269,20,37,269,87.2,63,6
STF AUSTIN,301,9,329,5,60,329,87.1,75,10
PENN STATE,266,8,303,9,56,303,87.0,72,7
OKLA STATE,262,8,365,19,68,365,87.0,91,4
NEW HAMP,240,8,284,4,48,284,87.0,63,11
LINCOK,1452,4,108,2,24,108,87.0,27,1
NEW MEX ST,242,8,215,10,38,215,87.0,52,4
PITTSBURGH,268,8,263,14,41,263,86.9,62,7
CITADEL,139,8,126,0,21,127,86.9,27,6
PSTEAG,1476,1,38,0,8,38,86.8,9,1
CINCINNATI,138,8,304,16,34,304,86.8,65,15
LA TECH,208,8,329,17,38,329,86.8,71,16
ARKAPB,112,7,242,12,34,242,86.8,55,9
WASH STATE,341,8,365,6,67,365,86.7,85,12
S JOSE ST,285,7,319,8,59,319,86.7,76,9
BLMSBG,766,1,15,0,2,15,86.7,3,1
UTSA,331,8,367,5,77,367,86.6,90,8
S ILLINOIS,295,9,358,12,58,358,86.6,83,13
PORTLAND,269,8,272,5,46,272,86.6,62,11
CHADST,809,1,37,0,10,37,86.5,10,0
MURRAY ST,236,8,267,13,37,267,86.5,61,11
AUSTINPEAY,116,8,318,11,45,318,86.5,71,15
S DAK ST,292,9,256,10,41,256,86.5,60,9
IDAHO,185,8,270,10,45,271,86.5,64,9
HAWAII,180,9,362,19,67,362,86.5,92,6
N ARIZONA,252,8,354,9,79,354,86.4,92,4
NC CENT,247,7,233,2,44,233,86.3,55,9
VILLANOVA,334,8,216,7,40,216,86.3,53,6
CHARLOTTE,136,9,365,7,65,365,86.3,86,14
CENT ARK,132,8,278,6,42,278,86.3,62,14
NICHOLLS,243,8,318,19,59,318,86.2,83,5
MEMPHIS,218,8,341,8,54,341,86.2,78,16
UNLV,325,8,291,11,56,291,86.1,74,7
CENT CT ST,133,8,269,9,50,269,86.1,67,8
ALAB A&M,104,8,304,12,51,304,86.0,74,11
NAVY,237,8,111,7,18,111,86.0,28,3
DAYTON,150,7,223,6,31,223,85.9,50,13
ALBANY,106,8,320,8,60,320,85.9,79,11
STNY BROOK,303,8,255,7,39,255,85.9,59,13
YNGTOWN ST,353,8,238,6,41,238,85.9,57,10
FL A&M,164,7,300,13,56,300,85.8,77,8
LEHIGH,205,8,306,9,56,306,85.8,76,11
UTAHTC,1285,8,400,23,69,400,85.7,103,11
SE LA,294,8,277,3,48,277,85.7,65,14
FLORIDA ST,167,8,282,15,60,282,85.6,78,3
MORGAN ST,235,8,253,4,47,253,85.6,62,11
DELWARE ST,152,7,181,9,29,181,85.6,45,7
LAMAR,204,7,267,11,54,267,85.6,71,6
NWSTATE,257,8,418,18,69,418,85.5,104,17
NORFOLK,244,8,241,11,37,241,85.5,59,11
S CAROLINA,289,8,284,10,55,284,85.4,74,9
SO MISS,296,8,242,14,41,242,85.3,63,8
HAMPTON,178,7,213,10,39,213,85.2,56,7
MARS HILL,383,1,54,1,15,54,85.2,16,0
TOLEDO,316,9,317,6,76,317,85.2,88,6
LIUSHAR,1298,7,249,13,43,249,85.1,65,9
N GREENVLE,390,1,37,5,4,37,85.1,10,1
BUCKNELL,125,8,271,16,47,271,85.1,72,9
BOWL GREEN,122,9,354,14,64,354,85.0,92,14
ALCORN ST,107,7,224,9,43,224,84.8,60,8
MITECH,980,1,33,1,7,33,84.8,9,1
SACR HEART,280,8,293,6,61,293,84.8,78,11
DAVIDSON,149,8,98,3,25,98,84.7,29,1
TEXAS STHN,313,8,245,7,52,248,84.7,67,8
GRAMBLING,177,7,261,3,57,261,84.7,70,10
LINCOLN,380,1,36,1,8,36,84.7,10,1
INDIANA ST,191,8,263,6,49,263,84.6,68,13
FIU,166,8,360,17,78,360,84.6,103,8
TENN STATE,308,7,221,5,37,221,84.6,55,13
OHIO,259,9,349,13,80,349,84.4,101,8
JAMES MAD,197,7,260,16,49,260,84.4,73,8
KENNESAW,200,8,181,7,36,181,84.3,50,7
LAFAYETTE,203,7,240,10,32,241,84.2,59,17
TULSA,320,8,332,20,47,332,84.2,86,19
MERRIMACK,385,9,256,9,46,256,84.2,68,13
C MICHIGAN,134,9,389,17,73,389,84.1,107,17
N ALABAMA,389,8,261,9,56,261,84.1,74,9
E MICHIGAN,160,9,302,12,52,302,84.1,80,16
ABILENE CH,100,8,331,10,72,331,84.0,94,12
ARIZONA ST,110,8,278,12,49,278,84.0,75,14
FRESNO ST,169,8,316,11,64,316,84.0,88,13
IDAHO ST,186,8,321,18,53,321,84.0,87,16
RICE,275,9,313,13,63,313,84.0,88,12
TROY,318,8,301,11,50,301,83.9,79,18
STETSON,302,7,327,24,48,328,83.8,89,17
VALPO,332,7,237,11,52,237,83.8,70,7
MIDDLE TN,224,8,328,10,70,329,83.8,93,13
LIMEST,1283,1,40,0,9,40,83.7,11,2
N COLORADO,253,8,338,16,75,338,83.6,101,10
ARMY,114,7,76,8,9,76,83.6,21,4
RUTGERS,278,8,238,15,45,238,83.6,69,9
MILES,386,1,42,3,11,42,83.3,14,0
KENTUCKY,202,8,261,10,37,261,83.3,67,20
LA MONROE,209,8,272,6,65,272,83.3,81,10
WOFFORD,350,8,253,10,55,253,83.2,75,10
AKRON,102,9,467,18,80,467,83.1,128,30
HOUCHR,183,8,372,25,63,372,83.1,107,19
INDIANA,190,8,406,28,78,406,83.0,122,16
LVLEOP,937,1,38,0,7,38,82.9,10,3
E ILLINOIS,158,8,233,9,37,233,82.8,63,17
ALBANY ST,360,1,29,2,8,30,82.8,10,0
MO STATE,230,8,310,4,54,310,82.6,83,25
TUSKEGEE,405,1,40,0,10,40,82.5,12,2
SW BAPTIST,1492,1,34,0,4,34,82.4,8,4
TEXAS A&M,312,8,310,31,61,310,82.3,101,9
ARK STATE,113,9,344,24,62,344,82.3,104,18
VA MILT IN,336,8,310,10,54,310,82.3,87,23
TEXAS TECH,315,8,457,11,110,457,82.2,142,21
MCNEESE,217,8,260,12,35,260,82.1,70,23
ALABAMA ST,105,8,243,10,64,243,81.5,82,8
BOSTON COL,121,9,395,25,86,395,81.4,129,18
NEW MEXICO,241,8,225,5,53,225,81.3,71,13
NEVADA,239,9,329,11,75,329,81.2,105,19
VIRGINIA,335,8,333,8,95,333,81.2,114,11
W MICHIGAN,347,9,314,12,62,314,81.2,96,22
EANMGH,858,1,37,2,12,37,81.1,14,0
GA TECH,176,8,306,11,65,306,81.0,96,20
CAL,130,8,343,20,72,343,81.0,111,19
WSRAMS,1206,1,13,0,3,13,80.8,4,1
W ILLINOIS,345,8,308,23,69,308,80.5,106,14
S DAKOTA,291,8,236,1,48,236,80.3,71,22
DOMINION,263,8,307,17,67,307,80.1,103,19
BETH COOK,119,7,292,10,56,292,80.1,91,25
IOWA,192,8,248,22,51,248,80.0,86,13
MHMRTI,999,1,34,0,12,34,79.4,13,1
NEBRASKA,238,8,282,18,75,282,79.3,105,12
WAGNER,338,8,271,14,77,271,79.2,102,11
VA LYNCHBU,406,6,227,4,48,228,78.9,74,22
W NEW MEX,410,1,46,3,15,46,78.3,19,1
MS VLY ST,228,8,250,13,62,251,77.8,93,18
COLO STATE,144,8,275,17,53,275,77.8,96,26
FLKNR,1270,1,33,0,13,33,77.3,14,1
COLGATE,142,8,248,19,58,248,77.2,95,18
PRESBYTERN,271,9,314,22,66,316,77.1,116,28
NAUSTA,1453,2,54,2,13,54,76.9,20,5
FLMMRL,1471,1,37,0,12,37,75.7,15,3
STANKN,1455,1,33,1,6,33,74.2,12,5
LANECOL,942,2,64,6,17,64,74.2,28,5
KEISER,1475,1,53,3,15,53,73.6,23,5
ASSMPT,1257,1,38,2,12,38,71.1,18,4
ED WATERS,372,1,24,0,8,24,70.8,11,3
WARNER,407,1,29,3,5,29,69.0,13,5
THMORE,1296,1,33,4,9,33,68.2,17,4
BARCOL,1473,1,31,3,16,31,66.1,20,1
KY STATE,378,1,10,0,5,10,55.0,7,2
