player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
DJ Johnson,56704,ED,OREGON,8,0,0,264,74.2,2,15,155,81.2,16.8,26,3,8.7,5,207,168,22,0,79.1,2,9,61,88.9,29.5,18,15.6,4,72,64,15
Isaac Hampton,56712,DI,CHARLOTTE,2,0,0,136,60.0,0,0,17,100.0,0.0,0,0,0.0,0,19,19,0,0,66.4,0,0,1,100.0,0.0,0,0.0,0,2,2,0
Phillip Paea,56717,DI,UTAH ST,3,1,0,329,57.1,0,1,44,100.0,2.3,1,0,1.1,0,46,46,1,0,55.1,0,0,11,100.0,0.0,0,0.0,0,12,12,0
Caleb Sampson,56729,DI,KANSAS,8,2,0,198,70.3,3,10,196,100.0,8.7,17,0,4.8,3,207,207,16,2,66.9,3,6,88,100.0,10.2,9,7.4,2,98,98,11
Damian Jackson,56747,ED,BUFFALO,9,0,0,126,58.2,0,9,125,86.6,7.2,9,1,3.6,0,149,129,9,0,59.4,0,3,46,85.5,10.9,5,3.3,0,55,47,3
Marcus Buckley,56754,DI,NEW MEX ST,4,0,2,242,61.3,0,0,53,100.0,3.8,2,2,1.9,1,54,54,1,0,59.2,0,0,15,100.0,0.0,0,6.7,1,16,16,1
Xach Gill,56758,DI,TEMPLE,8,0,0,306,63.7,0,4,89,100.0,7.9,7,0,2.2,0,93,93,4,0,66.0,0,2,21,100.0,19.0,4,4.8,0,21,21,2
Jordon Riley,56759,DI,OREGON,8,0,0,264,59.8,1,2,114,97.5,4.4,5,0,2.2,1,122,119,4,0,57.4,0,1,28,100.0,7.1,2,5.4,1,29,29,2
Kofi Wardlow,56785,ED,CHARLOTTE,8,0,0,136,53.9,0,6,89,98.9,6.7,6,0,4.5,1,95,94,7,0,59.4,0,5,34,100.0,17.6,6,10.3,1,37,37,6
Kai Caesar,56792,DI,OHIO,9,2,0,259,67.9,2,5,176,100.0,4.5,8,0,3.1,2,183,183,9,2,70.8,1,3,75,100.0,5.3,4,4.0,1,77,77,5
Jerron Cage,56796,DI,OHIO STATE,8,0,0,260,71.8,0,4,71,100.0,14.1,10,1,5.6,2,76,76,6,0,69.5,0,1,23,100.0,21.7,5,6.5,1,26,26,2
Deslin Alexandre,56807,ED,PITTSBURGH,5,0,0,268,61.1,5,6,115,99.2,14.8,17,1,6.5,2,120,119,13,0,62.8,4,3,41,97.6,22.0,9,13.4,2,42,41,9
Brad Johnson,56831,LB,S CAROLINA,7,0,0,289,72.9,2,3,28,22.1,21.4,6,0,8.9,0,145,32,5,0,66.5,0,2,8,24.3,37.5,3,12.5,0,37,9,2
M.J. Webb,56833,DI,S CAROLINA,8,0,0,289,55.2,0,0,64,100.0,0.0,0,0,0.0,0,68,68,0,0,55.2,0,0,10,100.0,0.0,0,0.0,0,12,12,0
Zach Morton,56853,ED,AKRON,9,2,0,102,76.3,1,7,146,94.1,10.3,15,0,5.5,4,169,159,12,0,79.6,0,5,41,90.4,24.4,10,13.4,3,52,47,8
Justin Ellis,56855,ED,GA SOUTHRN,8,0,0,174,74.7,1,18,253,93.8,13.4,34,1,4.9,3,289,271,22,0,74.4,0,8,99,90.9,20.2,20,6.1,2,121,110,10
Curtis Harper,56859,DI,AKRON,9,2,0,102,56.4,0,2,216,99.1,2.8,6,0,1.9,3,229,227,5,0,57.7,0,1,64,100.0,6.3,4,3.9,2,69,69,3
Terrell Cooper,56860,ED,TCU,8,1,0,305,51.0,1,3,167,100.0,4.2,7,0,1.2,0,176,176,4,1,54.5,0,1,23,100.0,4.3,1,2.2,0,25,25,1
Ifeanyi Maijeh,56866,DI,RUTGERS,8,1,1,278,68.7,3,6,168,99.5,7.7,13,2,2.7,0,183,182,9,1,78.1,3,5,66,98.6,15.2,10,6.1,0,73,72,8
Nelson Mbanasor,56883,ED,TEXAS ST,8,4,0,314,76.8,5,11,211,99.6,14.2,30,2,5.7,4,223,222,20,0,77.1,2,8,64,100.0,26.6,17,10.9,2,68,68,12
Odua Isibor,56901,ED,CAL,2,0,0,130,56.2,1,1,42,100.0,4.8,2,0,2.4,0,42,42,2,0,60.5,1,1,17,100.0,11.8,2,5.9,0,17,17,2
Martin Andrus Jr.,56905,DI,UCLA,3,0,0,324,64.4,0,5,41,100.0,9.8,4,0,6.1,0,43,43,5,0,71.0,0,2,4,100.0,50.0,2,25.0,0,5,5,2
Jacob Lichtenstein,56912,DI,MIAMI FL,8,0,0,220,73.7,0,5,45,100.0,17.8,8,0,7.8,1,47,47,6,0,76.3,0,3,16,100.0,25.0,4,9.4,0,17,17,3
JBril Glaze,56930,DI,USF,1,0,0,327,57.0,0,0,5,100.0,0.0,0,0,0.0,0,5,5,0,0,58.6,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Lamonte Mcdougle,56934,DI,UTSA,8,0,0,331,73.3,2,3,84,98.9,9.5,8,0,4.2,1,89,88,6,0,73.7,0,2,27,96.4,11.1,3,7.4,1,28,27,3
Chidi Ogbonnaya,56961,DI,BAYLOR,8,0,0,118,58.3,0,5,56,100.0,7.1,4,0,4.5,0,59,59,5,0,57.2,0,2,17,100.0,11.8,2,5.9,0,19,19,2
Vidal Scott,56965,DI,TEXAS TECH,7,0,0,315,66.1,0,0,44,100.0,11.4,5,0,0.0,0,47,47,0,0,58.3,0,0,12,100.0,8.3,1,0.0,0,14,14,0
Cory Durden,56976,DI,NC STATE,8,0,0,248,56.3,0,5,172,100.0,4.7,8,1,1.5,0,184,184,5,0,57.2,0,0,38,100.0,5.3,2,0.0,0,42,42,0
Eli Huggins,56987,DI,KANSAS ST,8,0,0,199,68.0,3,8,179,100.0,6.7,12,2,3.6,1,183,183,12,0,55.8,1,1,24,100.0,4.2,1,4.2,0,25,25,2
Zi'Yon Hill-Green,56991,DI,LA LAFAYET,8,0,0,207,76.4,6,20,225,100.0,18.2,41,1,8.0,5,244,244,31,0,71.8,2,8,69,100.0,24.6,17,11.6,3,78,78,13
Jordan Ferguson,56995,ED,MIDDLE TN,8,4,1,224,71.3,5,13,253,96.0,10.3,26,3,5.1,4,278,267,22,0,74.0,2,10,97,93.5,19.6,19,9.3,3,108,101,15
Ja'Kerrius Wyatt,56997,DI,MIDDLE TN,8,0,0,224,56.1,1,3,171,98.9,2.9,5,2,1.8,1,182,180,5,0,56.4,0,2,64,98.6,4.7,3,3.1,1,69,68,3
Sherman Timbs,56999,ED,MISS STATE,6,0,0,227,57.6,1,3,28,77.5,10.7,3,0,7.1,0,40,31,4,0,58.9,0,3,10,85.7,20.0,2,15.0,0,14,12,3
Dom Peterson,57002,DI,NEVADA,9,0,0,239,86.4,0,17,182,100.0,18.7,34,1,7.4,5,196,196,22,0,91.3,0,12,75,100.0,30.7,23,14.7,5,77,77,17
Brendon Evers,57020,DI,OKLA STATE,5,0,0,262,57.2,0,3,103,100.0,4.9,5,2,1.5,0,114,114,3,0,59.1,0,2,25,100.0,8.0,2,4.0,0,28,28,2
George Ellis III,57030,ED,TCU,8,0,0,305,52.6,0,1,85,100.0,2.4,2,1,0.6,0,88,88,1,0,60.7,0,1,15,100.0,13.3,2,3.3,0,15,15,1
Brandon Pili,57036,DI,USC,8,0,0,326,62.1,2,12,162,99.4,10.5,17,0,4.9,1,174,173,15,0,61.0,2,8,63,100.0,14.3,9,9.5,1,71,71,11
Morris Joseph Jr.,57038,DI,AUBURN,7,0,0,115,67.8,0,2,32,100.0,15.6,5,0,3.1,0,35,35,2,0,66.5,0,2,9,100.0,22.2,2,11.1,0,10,10,2
Ravontae Holt,57042,DI,AKRON,5,0,0,102,64.0,2,3,88,100.0,10.2,9,0,2.8,0,93,93,5,0,69.2,1,2,21,100.0,23.8,5,7.1,0,26,26,3
C.J. Jones,57426,S,W KENTUCKY,7,0,0,346,59.5,3,4,34,23.1,2.9,1,0,10.3,0,147,34,7,0,51.4,1,2,15,28.8,0.0,0,10.0,0,52,15,3
Kyle Harrell,57437,ED,UAB,6,0,0,321,63.4,0,7,68,94.7,14.7,10,0,8.1,2,76,72,9,0,50.5,0,2,15,100.0,20.0,3,6.7,0,17,17,2
Bubba Arslanian,57671,LB,AKRON,9,0,0,102,68.4,1,3,19,12.2,15.8,3,0,15.8,1,188,23,5,0,63.3,0,2,8,17.0,12.5,1,12.5,0,53,9,2
Vandarius Cowan,57677,ED,MARYLAND,7,0,1,215,65.6,0,6,59,77.4,18.6,11,1,5.1,0,84,65,6,0,56.8,0,2,18,95.8,22.2,4,5.6,0,24,23,2
