"","Name","TeamAbbrev","Salary","proj_own","fpts","grades_offense","advantage","targets_per_game","yprr","sum_sd","opp","def_pass_epa_rank","cov_rank","man_zone_yprr_split","man_yprr","zone_yprr","man_rank","zone_rank","man_pass_plays","man_percentage","def_man_grade_rank","zone_pass_plays","zone_percentage","def_zone_grade_rank","def_pass_epa","touchdowns","yards_after_catch_per_reception","name_salary_own"
"30","Marquez Valdes-Scantling","KC",3800,10.26,8.8,64,26.3,4.3,1.36,-0.015,"HOU",22,32,0.23,1.41,1.18,26,7,183,0.22,28,227,0.78,31,0.111,1,3.4,"Marquez Valdes-Scantling 3800 10.26"
"31","Joshua Palmer","LAC",5600,3.44,8.64,NA,NA,NA,NA,NA,"TEN",18,18,NA,NA,NA,14,19,NA,0.285,11,NA,0.715,21,0.084,NA,NA,"Joshua Palmer 5600 3.44"
"32","DJ Chark Jr.","DET",4500,1.59,8.53,NA,NA,NA,NA,NA,"NYJ",11,1,NA,NA,NA,12,21,NA,0.298,1,NA,0.702,6,-0.013,NA,NA,"DJ Chark Jr. 4500 1.59"
"33","Mack Hollins","LV",4600,1.79,8.5,64.4,13.1,5.6,1.28,0.032,"NE",7,13,1.06,2.01,0.95,3,30,97,0.432,8,263,0.568,13,-0.057,3,3.6,"Mack Hollins 4600 1.79"
"34","Nelson Agholor","NE",3400,5.83,8.38,59.5,33.5,3.6,1.53,0.048,"LV",30,22,1.81,2.8,0.99,7,26,61,0.4,25,143,0.6,22,0.174,2,4.7,"Nelson Agholor 3400 5.83"
"35","Rashid Shaheed","NO",3200,3.8,8.34,79,32.6,1.9,2.37,-0.00399999999999999,"ATL",31,28,-1.8,1.61,3.41,20,13,25,0.265,26,59,0.735,27,0.206,1,5.6,"Rashid Shaheed 3200 3.8"
"36","Jarvis Landry","NO",3800,1.58,8.12,68.9,45.2,4.5,1.41,0.00800000000000001,"ATL",31,28,-0.79,1.14,1.93,20,13,46,0.265,26,112,0.735,27,0.206,1,2.5,"Jarvis Landry 3800 1.58"
"37","Olamide Zaccheaus","ATL",3400,1.52,7.8,68.2,37.8,3.4,1.87,0.014,"NO",20,16,-0.47,1.55,2.02,11,22,50,0.301,21,192,0.699,16,0.096,2,5.3,"Olamide Zaccheaus 3400 1.52"
"38","Julio Jones","TB",3900,1.56,7.74,66.1,92.8,4.9,1.3,0.577,"CIN",3,8,1.08,2.32,1.24,13,20,39,0.295,13,136,0.705,9,-0.076,2,5.1,"Julio Jones 3900 1.56"
"39","Nick Westbrook-Ikhine","TEN",4100,0.83,7.49,63.5,32.9,2.8,1.17,NA,"LAC",15,14,-0.58,0.72,1.3,NA,NA,84,NA,NA,212,NA,NA,0.041,3,4.6,"Nick Westbrook-Ikhine 4100 0.83"
"40","Hunter Renfrow","LV",3800,0.95,7.35,60.3,NA,4.7,1.03,NA,"NE",7,13,-0.8,0.23,1.03,3,30,35,0.432,8,116,0.568,13,-0.057,0,4.1,"Hunter Renfrow 3800 0.95"
"41","Kendrick Bourne","NE",3100,1.56,7.33,57.8,NA,2.6,1.23,NA,"LV",30,22,0.63,1.58,0.95,7,26,53,0.4,25,130,0.6,22,0.174,0,4.2,"Kendrick Bourne 3100 1.56"
"42","Phillip Dorsett II","HOU",3300,2.03,7.25,NA,NA,NA,NA,NA,"KC",14,7,NA,NA,NA,8,25,NA,0.354,2,NA,0.646,11,0.026,NA,NA,"Phillip Dorsett II 3300 2.03"
"43","Josh Reynolds","DET",3700,0.88,7.22,67.4,23,5,1.41,-0.169,"NYJ",11,1,0.57,1.58,1.01,12,21,105,0.298,1,165,0.702,6,-0.013,3,3.2,"Josh Reynolds 3700 0.88"
"44","Terrace Marshall Jr.","CAR",3500,0.64,7.17,71,15.5,3.5,1.55,-0.157,"PIT",19,21,0.0700000000000001,1.54,1.47,4,29,40,0.429,10,170,0.571,26,0.094,1,5.8,"Terrace Marshall Jr. 3500 0.64"
"45","Kadarius Toney","KC",4800,0.52,6.8,67.2,NA,2,1.38,NA,"HOU",22,32,-1.21,0,1.21,26,7,7,0.22,28,39,0.78,31,0.111,1,6,"Kadarius Toney 4800 0.52"
"46","Amari Rodgers","HOU",3200,2.25,6.75,63.3,9.6,1.3,1.26,-0.457,"KC",14,7,1.15,2.35,1.2,8,25,27,0.354,2,50,0.646,11,0.026,1,2.5,"Amari Rodgers 3200 2.25"
"47","Denzel Mims","NYJ",3000,1.11,6.14,59,NA,3,1.13,NA,"DET",26,28,-1.25,0.4,1.65,2,31,54,0.437,20,84,0.563,30,0.128,0,7.4,"Denzel Mims 3000 1.11"
"48","Quez Watkins","PHI",3600,4.85,6.07,57.9,49.7,2.5,1.02,-0.398,"CHI",32,20,-0.25,0.53,0.78,15,18,99,0.282,22,183,0.718,26,0.293,3,4.3,"Quez Watkins 3600 4.85"
"49","Dante Pettis","CHI",3200,0.87,6.07,55.5,10.8,1.8,0.92,-0.538,"PHI",1,4,-1.52,0.03,1.55,18,15,77,0.269,7,128,0.731,5,-0.158,2,3.4,"Dante Pettis 3200 0.87"
"50","Tyquan Thornton","NE",3000,0.94,6.07,56.8,NA,3,0.71,NA,"LV",30,22,-0.28,0.32,0.6,7,26,49,0.4,25,118,0.6,22,0.174,1,3.1,"Tyquan Thornton 3000 0.94"
"51","Equanimeous St. Brown","CHI",3700,0.55,6.05,63.4,4.2,2.5,1.1,-0.458,"PHI",1,4,-0.51,0.77,1.28,18,15,88,0.269,7,162,0.731,5,-0.158,1,5.2,"Equanimeous St. Brown 3700 0.55"
"52","Brandon Johnson","DEN",3000,0.2,6.03,49.8,19.2,2,0.12,-0.754,"ARI",21,19,-0.15,0.04,0.19,29,4,31,0.21,20,60,0.79,15,0.097,1,2,"Brandon Johnson 3000 0.2"
"53","Noah Brown","DAL",3400,0.89,6,62.8,37.8,4.1,1.44,NA,"JAX",23,30,0.85,2.16,1.31,NA,NA,92,NA,NA,212,NA,NA,0.113,1,3,"Noah Brown 3400 0.89"
"54","Laviska Shenault Jr.","CAR",3400,0.92,5.71,83.4,16.9,3,3.14,1.425,"PIT",19,21,8.13,10.57,2.44,4,29,7,0.429,10,48,0.571,26,0.094,1,11.3,"Laviska Shenault Jr. 3400 0.92"
"55","Marvin Jones Jr.","JAX",3400,0.42,5.59,61.3,32,4.8,1.12,-0.164,"DAL",10,6,-0.22,0.99,1.21,22,12,113,0.251,24,217,0.749,1,-0.019,2,2.4,"Marvin Jones Jr. 3400 0.42"
"56","Byron Pringle","CHI",3000,0.08,5.31,67.4,NA,1,1.08,NA,"PHI",1,4,0.72,1.33,0.61,18,15,9,0.269,7,39,0.731,5,-0.158,1,1,"Byron Pringle 3000 0.08"
"57","Damiere Byrd","ATL",3000,0.33,4.6,71.3,23.1,1.7,2.21,0.108,"NO",20,16,3.29,4.4,1.11,11,22,16,0.301,21,86,0.699,16,0.096,2,9.8,"Damiere Byrd 3000 0.33"
"58","Shi Smith","CAR",3000,0.21,4.53,47.7,NA,2.3,0.72,NA,"PIT",19,21,0.99,1.6,0.61,4,29,52,0.429,10,186,0.571,26,0.094,1,4.1,"Shi Smith 3000 0.21"
"59","Steven Sims Jr.","PIT",3100,0.14,4.25,NA,NA,NA,NA,NA,"CAR",8,25,NA,NA,NA,30,3,NA,0.205,32,NA,0.795,23,-0.042,NA,NA,"Steven Sims Jr. 3100 0.14"
"60","Jamal Agnew","JAX",3200,0.05,4.21,75,NA,2.4,2.42,NA,"DAL",10,6,1.15,3.67,2.52,22,12,10,0.251,24,49,0.749,1,-0.019,3,5.4,"Jamal Agnew 3200 0.05"
"61","Jalen Virgil","DEN",3000,0.07,3.91,61.1,NA,0.6,2.27,NA,"ARI",21,19,-3.26,0,3.26,29,4,10,0.21,20,25,0.79,15,0.097,1,21.5,"Jalen Virgil 3000 0.07"
"62","Jameson Williams","DET",4100,0.23,3.78,59.5,NA,1.5,5.13,NA,"NYJ",11,1,-8.2,0,8.2,12,21,3,0.298,1,5,0.702,6,-0.013,1,5,"Jameson Williams 4100 0.23"
"63","Skyy Moore","KC",3000,1.44,3.7,71.7,NA,2.2,1.5,NA,"HOU",22,32,1.14,2.15,1.01,26,7,55,0.22,28,87,0.78,31,0.111,0,5.4,"Skyy Moore 3000 1.44"
"64","Robbie Anderson","ARI",3100,0.04,3.43,51.2,NA,3.1,0.92,NA,"DEN",2,2,-1.1,0.12,1.22,22,12,54,0.251,4,211,0.749,7,-0.081,1,5.1,"Robbie Anderson 3100 0.04"
"65","Montrell Washington","DEN",3000,0,3.4,57,NA,0.8,0.04,NA,"ARI",21,19,-0.08,0,0.08,29,4,17,0.21,20,27,0.79,15,0.097,0,3.5,"Montrell Washington 3000 0"
"66","Racey McMath","TEN",3000,0.05,3.16,51,NA,4,0,NA,"LAC",15,14,0,0,0,NA,NA,5,NA,NA,13,NA,NA,0.041,0,NA,"Racey McMath 3000 0.05"
"67","Velus Jones Jr.","CHI",3000,0.05,2.93,64.3,NA,0.6,1.09,NA,"PHI",1,4,-1.07,0,1.07,18,15,7,0.269,7,14,0.731,5,-0.158,1,11,"Velus Jones Jr. 3000 0.05"
"68","DeAndre Carter","LAC",3800,0.13,2.9,62,NA,4.2,1.03,NA,"TEN",18,18,-0.29,0.86,1.15,14,19,114,0.285,11,264,0.715,21,0.084,3,3.9,"DeAndre Carter 3800 0.13"
"69","Russell Gage","TB",3500,0.08,2.81,60.5,NA,4.8,0.97,NA,"CIN",3,8,-0.12,0.91,1.03,13,20,74,0.295,13,164,0.705,9,-0.076,2,3.2,"Russell Gage 3500 0.08"
"70","Justin Watson","KC",3000,0.18,2.81,55.3,7.7,1.8,1.02,-0.453,"HOU",22,32,0.41,1.24,0.83,26,7,84,0.22,28,105,0.78,31,0.111,2,1.9,"Justin Watson 3000 0.18"
"71","Chris Conley","TEN",3000,0.06,2.78,53.6,NA,0.8,0.63,NA,"LAC",15,14,-0.9,0,0.9,NA,NA,12,NA,NA,32,NA,NA,0.041,0,1,"Chris Conley 3000 0.06"
"72","Greg Dortch","ARI",3000,0.07,2.42,61.8,NA,3.2,1.3,NA,"DEN",2,2,-1.16,0.42,1.58,22,12,49,0.251,4,164,0.749,7,-0.081,2,6.4,"Greg Dortch 3000 0.07"
"73","Braxton Berrios","NYJ",3000,0.04,2.31,60.7,NA,1.8,0.69,NA,"DET",26,28,-0.63,0.29,0.92,2,31,43,0.437,20,89,0.563,30,0.128,0,4.4,"Braxton Berrios 3000 0.04"
"74","Zach Pascal","PHI",3100,0.05,2.27,65.1,NA,1.3,1.22,NA,"CHI",32,20,1.61,2.14,0.53,15,18,46,0.282,22,64,0.718,26,0.293,1,6.3,"Zach Pascal 3100 0.05"
"75","Trenton Irwin","CIN",3600,0.04,2.26,65.8,22.5,2.3,1.17,-0.311,"TB",4,8,0.78,1.54,0.76,25,8,45,0.226,6,85,0.774,12,-0.068,2,5.1,"Trenton Irwin 3600 0.04"
"76","A.J. Green","ARI",3200,0.05,2.08,52,10.6,3.4,0.43,-0.663,"DEN",2,2,-0.14,0.33,0.47,22,12,69,0.251,4,190,0.749,7,-0.081,1,0.8,"A.J. Green 3200 0.05"
"77","Kalif Raymond","DET",3100,0.03,1.98,66.1,NA,3.5,1.5,NA,"NYJ",11,1,-0.85,1.08,1.93,12,21,109,0.298,1,148,0.702,6,-0.013,0,5,"Kalif Raymond 3100 0.03"
"78","James Washington","DAL",3000,0.01,1.93,52.7,NA,1,0,NA,"JAX",23,30,NA,NA,0,NA,NA,0,NA,NA,7,NA,NA,0.113,0,NA,"James Washington 3000 0.01"
"79","KhaDarel Hodge","ATL",3000,0.06,1.66,85.9,NA,1.5,3.94,NA,"NO",20,16,-2.4,2.57,4.97,11,22,8,0.301,21,38,0.699,16,0.096,1,5.1,"KhaDarel Hodge 3000 0.06"
"80","Gunner Olszewski","PIT",3000,0.03,1.2,54.8,NA,0.6,0.78,NA,"CAR",8,25,-1.02,0,1.02,30,3,18,0.205,32,43,0.795,23,-0.042,0,3.8,"Gunner Olszewski 3000 0.03"
"81","Scotty Miller","TB",3000,0.02,1.15,57.6,NA,3.4,1.07,NA,"CIN",3,8,-0.59,0.45,1.04,13,20,45,0.295,13,104,0.705,9,-0.076,0,1.4,"Scotty Miller 3000 0.02"
"82","Marquez Callaway","NO",3000,0.03,1.09,59.5,NA,2.8,0.85,NA,"ATL",31,28,0.37,1.06,0.69,20,13,49,0.265,26,106,0.735,27,0.206,1,2.4,"Marquez Callaway 3000 0.03"
"83","Keelan Cole","LV",3000,0.01,0.98,47.9,17.2,1.7,0.4,-0.628,"NE",7,13,0.04,0.44,0.4,3,30,50,0.432,8,115,0.568,13,-0.057,0,2.7,"Keelan Cole 3000 0.01"
"84","Nsimba Webster","CHI",3000,0,0.83,NA,NA,NA,NA,NA,"PHI",1,4,NA,NA,NA,18,15,NA,0.269,7,NA,0.731,5,-0.158,NA,NA,"Nsimba Webster 3000 0"
"85","Mason Kinsey","TEN",3000,0,0.69,55.8,NA,1,0.33,NA,"LAC",15,14,-0.75,0,0.75,NA,NA,4,NA,NA,4,NA,NA,0.041,0,0,"Mason Kinsey 3000 0"
"86","Trent Taylor","CIN",3300,0.04,0.64,54,NA,1.1,0.78,NA,"TB",4,8,-0.93,0.26,1.19,25,8,22,0.226,6,50,0.774,12,-0.068,0,7,"Trent Taylor 3300 0.04"
"87","Tre'Quan Smith","NO",3000,0.03,0.61,72.3,NA,2.3,1.69,NA,"ATL",31,28,0.7,2.23,1.53,20,13,51,0.265,26,96,0.735,27,0.206,1,3.4,"Tre'Quan Smith 3000 0.03"
"88","T.Y. Hilton","DAL",3200,0.03,0.43,NA,NA,NA,NA,NA,"JAX",23,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.113,NA,NA,"T.Y. Hilton 3200 0.03"
"89","Jeff Smith","NYJ",3000,0.01,0.39,62.9,NA,0.7,1.02,NA,"DET",26,28,2.5,2.5,0,2,31,16,0.437,20,28,0.563,30,0.128,0,7.5,"Jeff Smith 3000 0.01"
"90","Britain Covey","PHI",3000,0.04,0.31,NA,NA,NA,NA,NA,"CHI",32,20,NA,NA,NA,15,18,NA,0.282,22,NA,0.718,26,0.293,NA,NA,"Britain Covey 3000 0.04"
"91","N'Keal Harry","CHI",3000,0.05,0.2,65.6,NA,1.5,2.38,NA,"PHI",1,4,-1.01,1.7,2.71,18,15,13,0.269,7,31,0.731,5,-0.158,1,1.8,"N'Keal Harry 3000 0.05"
"92","Stanley Morgan","CIN",3000,0.04,0.16,NA,NA,NA,NA,NA,"TB",4,8,NA,NA,NA,25,8,NA,0.226,6,NA,0.774,12,-0.068,NA,NA,"Stanley Morgan 3000 0.04"
"93","Deven Thompkins","TB",3000,0,0.13,NA,NA,NA,NA,NA,"CIN",3,8,NA,NA,NA,13,20,NA,0.295,13,NA,0.705,9,-0.076,NA,NA,"Deven Thompkins 3000 0"
"94","Michael Bandy","LAC",3000,0.02,0.11,53.7,NA,2,0.62,NA,"TEN",18,18,-0.24,0.61,0.85,14,19,32,0.285,11,86,0.715,21,0.084,0,2,"Michael Bandy 3000 0.02"
"95","Miles Boykin","PIT",3000,0.03,0.1,63.8,NA,0.2,0.5,NA,"CAR",8,25,-0.92,0,0.92,30,3,8,0.205,32,13,0.795,23,-0.042,0,0,"Miles Boykin 3000 0.03"
"96","KaVontae Turpin","DAL",3000,0,0.1,52.3,NA,0.1,0.43,NA,"JAX",23,30,0,0,0,NA,NA,2,NA,NA,14,NA,NA,0.113,0,5,"KaVontae Turpin 3000 0"
"97","Tim Jones","JAX",3000,0.02,0.1,53.1,NA,0.4,0.63,NA,"DAL",10,6,-0.83,0,0.83,22,12,10,0.251,24,38,0.749,1,-0.019,0,7.3,"Tim Jones 3000 0.02"
"98","Kirk Merritt","NO",3000,0,0.08,NA,NA,NA,NA,NA,"ATL",31,28,NA,NA,NA,20,13,NA,0.265,26,NA,0.735,27,0.206,NA,NA,"Kirk Merritt 3000 0"
"99","Courtland Sutton","DEN",5200,0,NA,66.9,NA,7.2,1.6,NA,"ARI",21,19,1.36,2.71,1.35,29,4,98,0.21,20,278,0.79,15,0.097,1,2.4,"Courtland Sutton 5200 0"
"100","Brandin Cooks","HOU",4900,0,NA,68.3,NA,6.8,1.61,NA,"KC",14,7,-0.56,1.17,1.73,8,25,96,0.354,2,213,0.646,11,0.026,1,3.8,"Brandin Cooks 4900 0"
"101","Rondale Moore","ARI",4700,0,NA,63.4,NA,6.9,1.47,NA,"DEN",2,2,-0.2,1.22,1.42,22,12,50,0.251,4,179,0.749,7,-0.081,1,7.1,"Rondale Moore 4700 0"
"102","Treylon Burks","TEN",4600,0,NA,74.5,35.3,4.5,2.19,NA,"LAC",15,14,1.78,3.19,1.41,NA,NA,53,NA,NA,102,NA,NA,0.041,2,5.2,"Treylon Burks 4600 0"
"103","Chase Claypool","CHI",4500,0,NA,61.8,22.1,5.3,1.09,-0.0920000000000001,"PHI",1,4,-0.35,0.88,1.23,18,15,103,0.269,7,260,0.731,5,-0.158,1,3.1,"Chase Claypool 4500 0"
"104","Nico Collins","HOU",4300,0,NA,72.4,NA,6.4,1.68,NA,"KC",14,7,0.19,1.77,1.58,8,25,94,0.354,2,179,0.646,11,0.026,2,3.9,"Nico Collins 4300 0"
"105","Mecole Hardman","KC",4200,0,NA,67.9,NA,4.1,1.49,NA,"HOU",22,32,0.85,1.9,1.05,26,7,94,0.22,28,97,0.78,31,0.111,4,6.6,"Mecole Hardman 4200 0"
"106","Corey Davis","NYJ",4000,0,NA,69.8,44,4.3,1.63,0.126,"DET",26,28,-1.17,0.77,1.94,2,31,89,0.437,20,154,0.563,30,0.128,2,3.9,"Corey Davis 4000 0"
"107","Kendall Hinton","DEN",3900,0,NA,61,36.6,2.6,1.18,-0.28,"ARI",21,19,-0.86,0.49,1.35,29,4,80,0.21,20,173,0.79,15,0.097,0,5.6,"Kendall Hinton 3900 0"
"108","DeVante Parker","NE",3700,0,NA,71.7,48,3.3,1.64,0.062,"LV",30,22,-0.0900000000000001,1.67,1.76,7,26,80,0.4,25,170,0.6,22,0.174,1,3.8,"DeVante Parker 3700 0"
"109","KJ Hamler","DEN",3600,0,NA,NA,NA,NA,NA,NA,"ARI",21,19,NA,NA,NA,29,4,NA,0.21,20,NA,0.79,15,0.097,NA,NA,"KJ Hamler 3600 0"
"110","Rashard Higgins","CAR",3000,0,NA,NA,NA,NA,NA,NA,"PIT",19,21,NA,NA,NA,4,29,NA,0.429,10,NA,0.571,26,0.094,NA,NA,"Rashard Higgins 3000 0"
"111","Andre Roberts","CAR",3000,0,NA,NA,NA,NA,NA,NA,"PIT",19,21,NA,NA,NA,4,29,NA,0.429,10,NA,0.571,26,0.094,NA,NA,"Andre Roberts 3000 0"
"112","Derek Wright","CAR",3000,0,NA,NA,NA,NA,NA,NA,"PIT",19,21,NA,NA,NA,4,29,NA,0.429,10,NA,0.571,26,0.094,NA,NA,"Derek Wright 3000 0"
"113","Preston Williams","CAR",3000,0,NA,NA,NA,NA,NA,NA,"PIT",19,21,NA,NA,NA,4,29,NA,0.429,10,NA,0.571,26,0.094,NA,NA,"Preston Williams 3000 0"
"114","C.J. Saunders","CAR",3000,0,NA,NA,NA,NA,NA,NA,"PIT",19,21,NA,NA,NA,4,29,NA,0.429,10,NA,0.571,26,0.094,NA,NA,"C.J. Saunders 3000 0"
"115","Calvin Austin III","PIT",3000,0,NA,NA,NA,NA,NA,NA,"CAR",8,25,NA,NA,NA,30,3,NA,0.205,32,NA,0.795,23,-0.042,NA,NA,"Calvin Austin III 3000 0"
"116","Anthony Miller","PIT",3000,0,NA,NA,NA,NA,NA,NA,"CAR",8,25,NA,NA,NA,30,3,NA,0.205,32,NA,0.795,23,-0.042,NA,NA,"Anthony Miller 3000 0"
"117","Ja'Marcus Bradley","PIT",3000,0,NA,NA,NA,NA,NA,NA,"CAR",8,25,NA,NA,NA,30,3,NA,0.205,32,NA,0.795,23,-0.042,NA,NA,"Ja'Marcus Bradley 3000 0"
"118","Cody White","PIT",3000,0,NA,71.1,NA,1,2,NA,"CAR",8,25,NA,NA,2,30,3,0,0.205,32,1,0.795,23,-0.042,0,1,"Cody White 3000 0"
"119","Auden Tate","PHI",3000,0,NA,NA,NA,NA,NA,NA,"CHI",32,20,NA,NA,NA,15,18,NA,0.282,22,NA,0.718,26,0.293,NA,NA,"Auden Tate 3000 0"
"120","Devon Allen","PHI",3000,0,NA,NA,NA,NA,NA,NA,"CHI",32,20,NA,NA,NA,15,18,NA,0.282,22,NA,0.718,26,0.293,NA,NA,"Devon Allen 3000 0"
"121","Greg Ward","PHI",3000,0,NA,NA,NA,NA,NA,NA,"CHI",32,20,NA,NA,NA,15,18,NA,0.282,22,NA,0.718,26,0.293,NA,NA,"Greg Ward 3000 0"
