"","Name","TeamAbbrev","Salary","proj_own","fpts","sum_sd","touches_game","runBlockAdv","opp","off_def","off_rush_epa_rank","def_rush_epa_rank","rdef_rank","mtf_per_attempt","breakaway_percent","elusive_rating","tack_rank","grades_offense","yco_attempt","yprr","name_salary_own"
"15","Caleb Huntley","ATL",4000,0.02,1.66,0.362,7,13,"NO",13,5,13,23,3.7,22.8,62.3,23,87.3,3.43,0.1,"Caleb Huntley 4000 0.02"
"16","Isiah Pacheco","KC",5900,9.57,15.24,0.352,10.2,19,"HOU",20.5,10,29,32,1.2,20.3,46,28,70.9,2.91,0.68,"Isiah Pacheco 5900 9.57"
"17","Zonovan Knight","NYJ",5300,19.96,15.51,0.319,18.7,-25,"DET",-3.5,27,25,22,1.3,29.1,151.4,13,89,3.39,1.42,"Zonovan Knight 5300 19.96"
"18","D'Onta Foreman","CAR",5400,3.02,11.38,0.242,11.7,-18,"PIT",12.5,2,22,7,2.1,25,56.8,5,73.9,3.08,0.28,"D'Onta Foreman 5400 3.02"
"19","Jamaal Williams","DET",5600,1.27,9.85,0.14,16.4,-7,"NYJ",-15.5,26,15,6,1.6,17.8,29.2,12,68.7,2.59,0.6,"Jamaal Williams 5600 1.27"
"20","James Conner","ARI",6900,17.56,16.93,0.135,16.9,-38,"DEN",-15.5,28,16,9,1.2,13.9,55.3,18,67,2.83,0.82,"James Conner 6900 17.56"
"21","Jerick McKinnon","KC",5200,8.14,11.01,0.125,7,19,"HOU",20.5,10,29,32,1.6,21.7,35.9,28,56.6,2.33,1.38,"Jerick McKinnon 5200 8.14"
"22","Latavius Murray","DEN",5100,16.06,14.42,0.124,14.7,-7,"ARI",-2,29,26,28,1.1,11.9,33.4,16,78.5,2.21,0.66,"Latavius Murray 5100 16.06"
"23","Darrynton Evans","CHI",4200,0.12,2.73,0.099,4.3,-2,"PHI",10,6,14,18,0.3,38.2,62.8,22,58.5,4.08,2.06,"Darrynton Evans 4200 0.12"
"24","Samaje Perine","CIN",5600,0.96,9.03,0.037,8.5,-12,"TB",1,20,18,24,3.5,8.3,72.8,11,74.5,3.23,1.42,"Samaje Perine 5600 0.96"
"25","Joshua Kelley","LAC",5000,0.21,5.03,0.026,5.1,-44,"TEN",-11.5,14,1,4,1.8,22.8,67.9,17,66.3,3.47,0.86,"Joshua Kelley 5000 0.21"
"26","Alvin Kamara","NO",6800,22.87,18.92,-0.017,17.6,-44,"ATL",0,22,31,13,1.5,15.1,44.8,22,65.9,2.48,1.77,"Alvin Kamara 6800 22.87"
"27","Julius Chestnut","TEN",4000,0.16,3.08,-0.017,3.5,20,"LAC",15,12,24,30,9,0,34.3,24,64.4,2.4,1,"Julius Chestnut 4000 0.16"
"28","Jaylen Warren","PIT",4400,0.16,6.39,-0.033,5.2,-38,"CAR",-1,13,8,16,8.1,19.4,132.7,14,70.1,3.43,1.24,"Jaylen Warren 4400 0.16"
"29","Leonard Fournette","TB",5500,2,10.47,-0.061,17,-21,"CIN",-15,32,20,14,1.8,6.5,33.6,7,65.9,2.28,1.17,"Leonard Fournette 5500 2"
"30","Kevin Harris","NE",4000,0.07,4.52,-0.076,4,-22,"LV",-4,11,3,11,Inf,0,54.2,29,59,2.17,0,"Kevin Harris 4000 0.07"
"31","Hassan Haskins","TEN",4000,0.06,0.35,-0.096,1.3,20,"LAC",15,12,24,30,3.8,0,73.8,24,61.1,3.2,0.19,"Hassan Haskins 4000 0.06"
"32","Trestan Ebner","CHI",4000,0.05,0.23,-0.113,2.5,-2,"PHI",10,6,14,18,0,0,0,22,52.1,2.28,0.32,"Trestan Ebner 4000 0.05"
"33","Benny Snell Jr.","PIT",4000,0.02,1.5,-0.126,4.4,-38,"CAR",-1,13,8,16,0.9,17.8,61.4,14,84,2.7,1.31,"Benny Snell Jr. 4000 0.02"
"34","Chuba Hubbard","CAR",4900,0.75,8.02,-0.137,5.7,-18,"PIT",12.5,2,22,7,1.6,6.8,59.8,5,70.1,2.69,1.13,"Chuba Hubbard 4900 0.75"
"35","Michael Carter","NYJ",4900,0.73,7.49,-0.166,11.2,-25,"DET",-3.5,27,25,22,3.2,32.8,59.7,13,60.2,2.78,1.11,"Michael Carter 4900 0.73"
"36","Pierre Strong Jr.","NE",4000,0.21,4.05,-0.166,2,-22,"LV",-4,11,3,11,4.3,84,66.7,29,87.5,2.67,2.22,"Pierre Strong Jr. 4000 0.21"
"37","D'Andre Swift","DET",5700,2.31,11.78,-0.21,10.1,-7,"NYJ",-15.5,26,15,6,2.3,40,61.5,12,69.8,2.96,1.51,"D'Andre Swift 5700 2.31"
"38","Trayveon Williams","CIN",4000,0.01,0.55,-0.23,2,-12,"TB",1,20,18,24,0,53.3,64.6,11,83.8,5.17,1.88,"Trayveon Williams 4000 0.01"
"39","Raheem Blackshear","CAR",4400,0.06,3.2,-0.246,3.9,-18,"PIT",12.5,2,22,7,1.5,21.9,59.6,5,70.1,2.68,2.05,"Raheem Blackshear 4400 0.06"
"40","JaMycal Hasty","JAX",4600,0.08,4.16,-0.328,3.4,-48,"DAL",-9.5,21,4,19,2.9,45.9,60.1,6,66.2,2.24,1.22,"JaMycal Hasty 4600 0.08"
"41","Ameer Abdullah","LV",4600,0.1,3.94,-0.412,2.2,-26,"NE",-4,16,12,12,0,0,14.6,2,68.9,3.5,1.67,"Ameer Abdullah 4600 0.1"
"42","Rachaad White","TB",5400,5.35,12.8,-0.445,10.5,-21,"CIN",-15,32,20,14,0.7,22.3,25.2,7,66,2.28,1.19,"Rachaad White 5400 5.35"
"43","Zamir White","LV",4400,0.06,0.99,-0.454,1.5,-26,"NE",-4,16,12,12,1.1,62.9,46.2,2,72,3.47,0,"Zamir White 4400 0.06"
"44","Marlon Mack","DEN",4400,0.18,7.38,-0.463,3.7,-7,"ARI",-2,29,26,28,0.3,0,59.7,16,75.2,3.29,4.06,"Marlon Mack 4400 0.18"
"45","Snoop Conner","JAX",4000,0.05,0.11,-0.486,1,-48,"DAL",-9.5,21,4,19,3.3,0,50,6,65.1,2,0,"Snoop Conner 4000 0.05"
"46","Ty Johnson","NYJ",4500,0.04,1.12,-0.504,3,-25,"DET",-3.5,27,25,22,Inf,50.5,151.7,13,73.9,5.2,0.96,"Ty Johnson 4500 0.04"
"47","Rex Burkhead","HOU",4600,1.25,6.26,-0.551,4.6,-28,"KC",-12.5,30,19,16,1.1,0,33.8,26,59.2,2.65,1.13,"Rex Burkhead 4600 1.25"
"48","Keaontay Ingram","ARI",4900,0.05,1.84,-0.712,3.3,-38,"DEN",-15.5,28,16,9,2.1,0,85.7,18,52.6,2.19,0.66,"Keaontay Ingram 4900 0.05"
"49","Dare Ogunbowale","HOU",4700,2.69,9.55,-0.746,2.1,-28,"KC",-12.5,30,19,16,0.3,0,44.6,26,70.2,1.88,2.21,"Dare Ogunbowale 4700 2.69"
"50","Devine Ozigbo","DEN",4000,0.01,1.37,-0.761,1,-7,"ARI",-2,29,26,28,NA,0,0,16,59.8,1,0.75,"Devine Ozigbo 4000 0.01"
"51","Ke'Shawn Vaughn","TB",4000,0.03,0.1,-0.846,3,-21,"CIN",-15,32,20,14,44.8,0,66.7,7,62.9,3,2.2,"Ke'Shawn Vaughn 4000 0.03"
"52","Dwayne Washington","NO",4300,0.02,1.02,-0.957,1.2,-44,"ATL",0,22,31,13,5.6,0,50,22,64.2,3,0.64,"Dwayne Washington 4300 0.02"
"53","David Johnson","NO",4000,0.03,2.3,-1.09,2,-44,"ATL",0,22,31,13,0,0,0,22,57.7,0,1.57,"David Johnson 4000 0.03"
"54","Travis Etienne Jr.","JAX",6000,13.41,15.41,NA,NA,-48,"DAL",-9.5,21,4,19,NA,NA,NA,6,NA,NA,NA,"Travis Etienne Jr. 6000 13.41"
"55","Ronald Jones II","KC",4000,0.05,0.85,NA,NA,19,"HOU",20.5,10,29,32,NA,NA,NA,28,NA,NA,NA,"Ronald Jones II 4000 0.05"
"56","Royce Freeman","HOU",4000,0.05,1.35,NA,NA,-28,"KC",-12.5,30,19,16,NA,NA,NA,26,NA,NA,NA,"Royce Freeman 4000 0.05"
