player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Michael Lufile,159387,LB,INDIANA ST,2,0,191,1,1,0,1,0,0,66.7,2,1,25.0,0,0,0,0,12.5,4,32,2,25.0,0,0,0,0,33.3,1,0,0.0,0,0,0,0,0,0
Bryce Shaw,77139,LB,NEW HAMP,4,0,240,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,2.4,2,82,1,25.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Luke Kelley,159466,ED,LIUSHAR,1,0,1298,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,100.0,4,4,1,25.0,0,0,0,0,100.0,4,1,25.0,1,1,0,1,1,0
Joedrick Lewis,159624,CB,SE MO ST,3,0,293,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,2.1,2,96,1,25.0,0,1,0,0,100.0,2,1,25.0,0,0,0,0,0,0
Max Epps,160080,S,TXAMCO,4,0,1139,0,2,0,0,2,1,100.0,3,2,33.3,0,0,0,1,4.1,4,98,2,25.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Mason Shelton,122355,LB,COAST CAR,3,0,141,0,1,0,0,1,0,50.0,1,1,50.0,0,0,0,0,10.0,2,20,1,25.0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,0,0
TraJon Cotton,52147,CB,MONTANA,4,0,232,0,1,0,0,1,0,100.0,2,1,25.0,0,0,0,0,2.0,2,100,1,25.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Upton Stout,121906,CB,W KENTUCKY,4,0,346,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,1.9,2,108,1,25.0,0,0,1,0,100.0,2,1,25.0,0,0,0,0,0,0
Napoleon Collier,168467,CB,ALCORN ST,4,0,107,0,1,0,0,1,0,100.0,2,1,25.0,0,0,0,0,5.7,2,35,1,25.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Taylon Doss,121516,S,ARK STATE,4,0,113,0,1,0,0,0,0,50.0,1,0,0.0,0,0,0,0,3.1,2,65,1,25.0,0,0,1,0,50.0,1,1,50.0,0,0,0,0,0,0
Jordan Clark,112766,DI,MARS HILL,1,0,383,0,1,0,0,0,0,16.7,1,0,0.0,0,0,0,0,100.0,6,6,2,25.0,0,0,1,0,83.3,5,2,30.0,1,1,0,1,1,0
Jaiden Clayton,54518,LB,N GREENVLE,1,0,390,0,1,0,0,1,0,50.0,1,1,50.0,0,0,0,0,10.5,2,19,1,25.0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,0,0
Aapri Washington,55013,CB,E CAROLINA,2,0,156,0,1,0,0,1,0,50.0,1,1,50.0,0,0,0,0,33.3,2,6,1,25.0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,0,0
Wankeith Akin Jr.,55014,CB,ARKAPB,4,0,112,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,2.8,2,71,1,25.0,0,1,0,0,100.0,2,1,25.0,0,0,0,0,0,0
Jayden Johnson,108365,LB,DUQUESNE,4,0,155,0,1,0,0,0,0,50.0,1,0,0.0,0,0,0,0,8.7,2,23,1,25.0,0,0,1,0,50.0,1,1,50.0,0,0,0,0,0,0
Treylin Payne,131350,LB,HOUSTON,2,0,182,1,0,0,1,0,0,100.0,2,1,25.0,0,0,0,0,33.3,2,6,1,25.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Ryan Hamilton,108122,LB,COLUMBIA,2,0,145,0,1,0,0,1,0,100.0,2,1,25.0,0,0,0,0,5.9,2,34,1,25.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Donquavious Brown,167685,LB,KYCRST,1,0,1474,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,16.7,2,12,1,25.0,0,0,1,0,100.0,2,1,25.0,0,0,0,0,0,0
Carson Bruener,131889,LB,WASHINGTON,5,0,340,0,3,0,0,3,1,66.7,4,3,37.5,0,0,0,1,18.2,6,33,3,25.0,0,0,0,0,33.3,2,0,0.0,0,0,0,0,0,0
Meki Pei,131909,S,HAWAII,5,0,180,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,4.2,2,48,1,25.0,0,0,1,0,100.0,2,1,25.0,0,0,0,0,0,0
Amarian Williams,132048,CB,LIBERTY,4,0,206,1,0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,9.5,2,21,1,25.0,0,1,0,0,50.0,1,1,50.0,0,0,0,0,0,0
Wyatt Crespi,123381,DI,WAKE,1,0,339,0,1,0,0,0,0,50.0,1,0,0.0,0,0,0,0,100.0,2,2,1,25.0,0,0,1,0,50.0,1,1,50.0,0,0,0,0,0,0
Jael Feliz,167530,LB,ASSMPT,1,0,1257,0,1,0,0,0,0,33.3,2,0,0.0,0,0,0,0,20.7,6,29,2,25.0,0,0,1,0,66.7,4,2,37.5,1,0,0,1,0,0
Jake Clifton,134280,LB,KANSAS ST,1,0,199,0,1,0,0,1,0,50.0,1,1,50.0,0,0,0,0,16.7,2,12,1,25.0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,0,0
Regan Cherry,167299,LB,PSTEAG,1,0,1476,0,1,0,0,0,0,,0,0,,0,0,0,0,20.0,2,10,1,25.0,0,0,0,0,,0,0,,0,0,0,0,0,0
Terry Thomas,123725,LB,TROY,4,0,318,0,1,0,0,0,0,50.0,1,0,0.0,0,0,0,0,3.3,2,60,1,25.0,0,0,1,0,50.0,1,1,50.0,0,0,0,0,0,0
Dorian Jackson,106202,CB,W MICHIGAN,4,0,347,0,1,0,0,1,1,100.0,2,1,25.0,0,0,0,1,2.6,2,76,1,25.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Russell Dandy,138002,CB,E ILLINOIS,3,0,158,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,3.2,2,63,1,25.0,0,1,0,0,100.0,2,1,25.0,0,0,0,0,0,0
Brandon Barbee,106164,CB,SE LA,4,0,294,0,1,0,0,1,1,50.0,1,1,50.0,0,0,0,1,2.7,2,73,1,25.0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,0,0
Nick Cagnetto,106084,S,DRAKE,4,0,153,0,1,0,0,1,0,100.0,2,1,25.0,0,0,0,0,4.0,2,50,1,25.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Isaiah Morrison,167209,DI,ALBANY ST,1,0,360,0,0,0,0,0,0,66.7,2,1,50.0,1,0,0,0,100.0,4,4,1,25.0,0,0,0,0,33.3,1,0,0.0,0,0,0,1,0,0
Ethan Ball,138229,S,N DAKOTA,4,0,249,0,1,0,0,0,0,0.0,0,0,,0,0,0,1,4.0,2,50,1,25.0,0,0,1,1,100.0,2,1,25.0,0,0,0,0,0,0
Jalan Campbell,167140,LB,SOUTHERN U,3,0,297,0,2,0,0,2,0,100.0,4,2,25.0,0,0,0,0,6.6,4,61,2,25.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Dyvine Wallace,55656,LB,N ARIZONA,4,0,252,1,0,0,0,0,0,40.0,2,0,0.0,0,0,0,0,25.0,6,24,2,25.0,0,1,0,0,60.0,3,1,16.7,0,0,0,1,1,0
Caleb Francl,138302,LB,S DAK ST,1,0,292,1,0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,14.3,2,14,1,25.0,0,1,0,0,50.0,1,1,50.0,0,0,0,0,0,0
Keyon Blankenbaker,55749,CB,TEXAS TECH,4,0,315,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,8.3,2,24,1,25.0,0,0,1,0,100.0,2,1,25.0,0,0,0,0,0,0
Michael Voitus,138361,ED,YNGTOWN ST,1,0,353,0,1,0,0,0,0,50.0,1,0,0.0,0,0,0,0,100.0,2,2,1,25.0,0,0,1,0,50.0,1,1,50.0,0,0,0,0,0,0
Tylar Wiltz,105309,LB,PITTSBURGH,4,0,268,0,0,0,0,0,0,25.0,1,0,0.0,0,0,0,0,14.3,4,28,1,25.0,0,0,0,0,75.0,3,1,33.3,1,0,0,1,0,0
