player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Parker Hesse,48369,TE,ATL,1,0,2,76.7,0,0,10,45.5,50.0,100.0,0,0,0,12,24,,0,0,0,0.0,0.0,,0,0,0,4
Lucas Patrick,11435,G,CHI,1,0,6,71.2,0,1,11,100.0,100.0,95.5,0,1,0,11,11,59.5,0,1,5,100.0,100.0,90.0,1,0,5,5
Tony Pollard,27126,HB,DAL,1,0,9,64.0,0,0,10,40.0,40.7,90.0,0,1,1,11,27,54.4,0,0,6,46.2,50.0,83.3,1,1,7,14
Quinn Meinerz,112915,G,DEN,1,0,10,80.0,0,0,11,100.0,100.0,100.0,0,0,0,11,11,76.0,0,0,3,100.0,100.0,100.0,0,0,3,3
Joshua Ezeudu,77355,G,NYG,1,0,21,0.0,0,1,10,100.0,100.0,85.0,0,2,1,11,11,0.0,0,1,4,100.0,100.0,62.5,2,1,4,4
Alvin Kamara,11822,HB,NO,1,0,20,9.8,0,2,10,37.0,39.3,80.0,0,3,1,11,28,18.5,0,1,6,31.6,31.6,91.7,1,0,6,19
Donovan Smith,9467,T,TB,1,0,30,5.4,1,1,10,100.0,100.0,80.0,0,3,1,10,10,0.0,1,1,5,100.0,100.0,60.0,3,1,5,5
Michael Carter,57337,HB,NYJ,1,0,22,50.8,0,1,10,27.8,26.3,85.0,0,2,1,10,38,56.1,0,1,3,18.8,16.7,83.3,1,0,3,18
Patrick Ricard,48862,FB,BLT,1,0,3,77.0,0,0,9,47.4,50.0,100.0,0,0,0,10,20,71.5,0,0,2,40.0,40.0,100.0,0,0,2,5
Chris Manhertz,10211,TE,JAX,1,0,15,65.0,1,0,8,80.0,80.0,93.7,0,1,0,8,10,,0,0,0,,,,0,0,0,0
Pharaoh Brown,12247,TE,HST,1,0,13,41.0,0,1,7,31.8,34.8,78.6,0,2,1,8,23,,0,0,0,0.0,0.0,,0,0,0,2
Rex Burkhead,7971,HB,HST,1,0,13,42.3,0,0,8,24.2,23.5,100.0,0,0,0,8,34,74.1,0,0,1,11.1,10.0,100.0,0,0,1,10
David Njoku,11784,TE,CLV,1,0,8,78.2,0,0,8,25.0,21.1,100.0,0,0,0,8,38,71.8,0,0,2,12.5,11.1,100.0,0,0,2,18
Austin Jackson,60816,T,MIA,1,0,17,77.9,0,0,8,100.0,100.0,100.0,0,0,0,8,8,74.2,0,0,2,100.0,100.0,100.0,0,0,2,2
Ezekiel Elliott,10638,HB,DAL,1,0,9,35.9,0,1,6,25.0,29.6,91.7,0,1,0,8,27,30.1,0,1,6,35.3,35.3,91.7,1,0,6,17
Durham Smythe,47257,TE,MIA,1,0,17,79.1,0,0,8,38.1,38.1,100.0,0,0,0,8,21,,0,0,0,0.0,0.0,,0,0,0,5
Lecitus Smith,61069,G,ARZ,1,0,1,36.7,1,0,7,100.0,100.0,92.9,0,1,0,7,7,32.4,1,0,6,100.0,100.0,91.7,1,0,6,6
Kenneth Gainwell,77737,HB,PHI,1,0,24,37.4,0,1,6,37.5,41.2,75.0,0,2,1,7,17,30.5,0,1,5,50.0,54.5,70.0,2,1,6,11
Josh Jacobs,45953,HB,LV,1,0,23,17.6,1,0,6,26.1,28.0,75.0,0,2,1,7,25,15.9,1,0,2,20.0,18.2,75.0,1,0,2,11
Kyle Pitts,83964,TE,ATL,1,0,2,77.2,0,0,6,18.2,20.0,100.0,0,0,0,7,35,,0,0,0,0.0,0.0,,0,0,0,10
Hassan Haskins,83701,HB,TEN,1,0,31,84.6,0,0,5,100.0,87.5,100.0,0,0,0,7,8,84.1,0,0,3,100.0,100.0,100.0,0,0,5,5
Bernhard Raimann,77948,T,IND,1,0,14,81.5,0,0,5,100.0,100.0,100.0,0,0,0,7,7,76.0,0,0,1,100.0,100.0,100.0,0,0,2,2
Max Garcia,9566,G,ARZ,1,0,1,36.7,0,1,7,100.0,100.0,92.9,0,1,0,7,7,32.4,0,1,6,100.0,100.0,91.7,1,0,6,6
Najee Harris,57121,HB,PIT,1,0,25,69.6,0,1,7,31.8,29.2,92.9,0,1,0,7,24,82.3,0,0,4,40.0,36.4,100.0,0,0,4,11
Josh Jones,26634,T,ARZ,1,0,1,40.2,0,2,7,100.0,100.0,85.7,0,2,0,7,7,36.3,0,2,6,100.0,100.0,83.3,2,0,6,6
John Bates,42275,TE,WAS,1,0,32,74.1,0,0,7,28.0,26.9,100.0,0,0,0,7,26,69.6,0,0,2,28.6,28.6,100.0,0,0,2,7
Dawson Knox,35883,TE,BUF,1,0,4,79.4,0,0,7,21.9,21.9,100.0,0,0,0,7,32,71.3,0,0,1,8.3,8.3,100.0,0,0,1,12
Adam Trautman,109795,TE,NO,1,0,20,77.1,0,0,5,55.6,60.0,100.0,0,0,0,6,10,69.3,0,0,1,25.0,25.0,100.0,0,0,1,4
Derrick Henry,10679,HB,TEN,1,0,31,82.0,0,0,6,30.0,28.6,100.0,0,0,0,6,21,74.6,0,0,1,25.0,20.0,100.0,0,0,1,5
Pat Freiermuth,84085,TE,PIT,1,0,25,74.0,0,0,6,16.7,15.4,100.0,0,0,0,6,39,69.3,0,0,1,6.7,6.3,100.0,0,0,1,16
T.J. Hockenson,40912,TE,DET,1,0,11,77.7,0,0,6,16.7,15.8,100.0,0,0,0,6,38,71.6,0,0,1,7.1,6.3,100.0,0,0,1,16
Ty Montgomery,9527,HB,NE,1,0,19,82.7,0,0,5,31.3,35.3,100.0,0,0,0,6,17,81.5,0,0,4,36.4,36.4,100.0,0,0,4,11
Nick Chubb,45783,HB,CLV,1,0,8,39.1,0,0,5,33.3,33.3,80.0,0,1,1,6,18,74.1,0,0,1,25.0,25.0,100.0,0,0,1,4
James Ferentz,9258,C,NE,1,0,19,61.1,0,0,6,100.0,100.0,100.0,0,0,0,6,6,53.9,0,0,4,100.0,100.0,100.0,0,0,4,4
