"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"201","Pharaoh Brown","CLV","te","9","@BUF","4.4","0","0","0","0","0","0","0","0","0","2.6322","1.9685","18.1961","0.0988","0.0256","0.0128","0.007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202","Tyree Jackson","PHI","te","7","@IND","4.4","0","0","0","0","0","0","0","0","0","2.3292","1.6977","17.8812","0.1448","0.0198","0.0099","0.0037","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"203","Jordan Akins","HST","te","6","WAS","4.4","0","0","0","0","0","0","0","0","0","2.4106","1.7938","19.6557","0.112","0.0223","0.0112","0.0072","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"204","Kyle Juszczyk","SF","rb","9","@ARZ","2.2","0","0","0","0","0","0","0.94","3.4297","0.0503","0.8368","0.6432","6.6602","0.0459","0.0137","0.0068","0.0017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"205","Sony Michel","LAC","rb","8","KC","2.2","0","0","0","0","0","0","1.333","5.4188","0.0287","0.9268","0.7674","5.6659","0.028","0.0115","0.0058","0.0012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"206","Nelson Agholor","NE","wr","10","NYJ","5","0","0","0","0","0","0","0","0","0","2.6855","1.5957","25.0382","0.1571","0.0222","0.0111","0.0019","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"207","Craig Reynolds","DET","rb","6","@NYG","2.1","0","0","0","0","0","0","1.7366","7.7351","0.0452","0.6613","0.5369","3.9914","0.0191","0.0147","0.0074","0.0012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"208","C.J. Uzomah","NYJ","te","10","@NE","4.3","0","0","0","0","0","0","0","0","0","2.5649","1.9094","17.835","0.0983","0.0181","0.009","0.0039","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"209","Jack Stoll","PHI","te","7","@IND","4.3","0","0","0","0","0","0","0","0","0","2.3292","1.7145","17.6936","0.138","0.0198","0.0099","0.0037","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"210","Tyler Conklin","NYJ","te","10","@NE","4.3","0","0","0","0","0","0","0","0","0","2.6802","1.9107","18.2025","0.0973","0.0375","0.0188","0.0034","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"211","Montrell Washington","DEN","wr","9","LV","4.9","0","0","0","0","0","0","0.4543","3.1284","0.0193","2.5784","1.6713","20.4694","0.1288","0.092","0.046","0.0047","63.4902","0.0538","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"212","Brycen Hopkins","LA","te","7","@NO","4.2","0","0","0","0","0","0","0","0","0","2.1765","1.5778","17.5438","0.1366","0.0184","0.0092","0.0057","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"213","Chris Evans","CIN","rb","10","@PIT","1.9","0","0","0","0","0","0","1.3108","5.349","0.033","0.5751","0.4555","4.6021","0.0353","0.0123","0.0062","0.0016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"214","Zack Moss","IND","rb","14","PHI","1.9","0","0","0","0","0","0","2.3455","9.8425","0.0758","0.2648","0.2182","1.655","0.0084","0.0165","0.0082","0.0018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"215","Equanimeous St. Brown","CHI","wr","14","@ATL","4.7","0","0","0","0","0","0","0.0482","0.2816","0.002","2.7666","1.6045","21.2542","0.1492","0.0153","0.0077","0.0059","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216","Tre' McKitty","LAC","te","8","KC","4","0","0","0","0","0","0","0","0","0","2.1502","1.6011","16.9361","0.1155","0.0227","0.0113","0.0067","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"217","James Mitchell","DET","te","6","@NYG","4","0","0","0","0","0","0","0","0","0","2.2357","1.5912","17.3993","0.1181","0.0186","0.0093","0.0042","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"218","A.J. Green","ARZ","wr","13","SF","4.6","0","0","0","0","0","0","0","0","0","2.7713","1.6442","21.4187","0.1267","0.01","0.005","0.0082","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"219","Zander Horvath","LAC","rb","8","KC","1.7","0","0","0","0","0","0","0.9789","4.1529","0.0266","0.6673","0.5575","4.3411","0.0226","0.0117","0.0058","0.0016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"220","Lawrence Cager","NYG","te","9","DET","3.7","0","0","0","0","0","0","0","0","0","1.9547","1.4322","14.9315","0.1314","0.0168","0.0084","0.0041","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"221","Kylen Granson","IND","te","14","PHI","3.7","0","0","0","0","0","0","0","0","0","2.0189","1.4843","15.9591","0.0949","0.0198","0.0099","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"222","James Proche","BLT","wr","10","CAR","4.3","0","0","0","0","0","0","0","0","0","2.3449","1.5794","18.4755","0.1382","0.0157","0.0079","0.0036","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
