player_id,team,opp,pos,name,fpts,proj_own,smash,value_percent,ceil,floor,min_exposure,max_exposure,rg_value,salary,custom,rg_id,partner_id
822014,TB,ARI,WR,Russell Gage,7.64,14.52,3.8,28,15.23,3.13,0,0,-2.51,3700,,328706,822014
1130833,TB,ARI,WR,Deven Thompkins,,0,,,,,0,0,-8.75,3000,,3515974,1130833
836347,LAR,DEN,QB,John Wolford,,0,,,,,0,0,-15.15,4700,,508426,836347
912137,GB,MIA,QB,Jordan Love,,0,,,,,0,0,-16.15,5200,,1844276,912137
1191983,DEN,LAR,RB,Tyreik McAllister,,0,,,,,0,0,-10.75,4000,,3516004,1191983
748755,MIA,GB,WR,DaeSean Hamilton,,0,,,,,0,0,-8.75,3000,,-748755,748755
1054923,ARI,TB,TE,Chris Pierce Jr.,,0,,,,,0,0,-7.75,2500,,3504127,1054923
463393,TB,ARI,QB,Blaine Gabbert,,0,,,,,0,0,-15.15,4700,,11637,463393
911236,TB,ARI,WR,Tyler Johnson,,0,,,,,0,0,-8.75,3000,,-911236,911236
838878,DEN,LAR,WR,Courtland Sutton,11.08,15.76,8.8,33.6,21.31,4.95,0,0,-1.47,4900,,328827,838878
835127,TB,ARI,WR,Chris Godwin,15.7,35.23,15.1,43,26.44,8.67,0,0,-0.85,6900,,37002,835127
865895,MIA,GB,RB,Myles Gaskin,,0,,,,,0,0,-10.95,4100,,982233,865895
1060545,GB,MIA,RB,AJ Dillon,9.19,13.39,1.5,20.7,16.98,4.82,0,0,-4.96,5700,,1844274,1060545
910852,ARI,TB,WR,Greg Dortch,1.29,0.79,,2.3,2.57,0.01,0,0,-7.46,3000,,982285,910852
832213,MIA,GB,RB,John Lovett,,0,,,,,0,0,-10.75,4000,,982689,832213
866115,DEN,LAR,RB,Devine Ozigbo,,0,,,,,0,0,-10.75,4000,,982597,866115
879799,ARI,TB,QB,Kyler Murray,,0,,,,,0,0,-13.75,4000,,973153,879799
866049,MIA,GB,RB,Jake Bargas,,0,,,,,0,0,-10.75,4000,,-866049,866049
660151,GB,MIA,TE,Robert Tonyan,6.19,16.17,5.6,21,15.54,2.15,0,0,-3.96,3700,,36860,660151
822038,ARI,TB,RB,Darrel Williams,,0,,,,,0,0,-10.75,4000,,328854,822038
922017,MIA,GB,RB,La'Mical Perine,,0,,,,,0,0,-10.75,4000,,-922017,922017
880294,LAR,DEN,TE,Brycen Hopkins,0.99,0.64,,1.8,1.97,0.01,0,0,-6.96,2600,,1849778,880294
922039,ARI,TB,WR,Javon Wims,,0,,,,,0,0,-8.75,3000,,328210,922039
840760,DEN,LAR,RB,Marlon Mack,5.96,2.97,1,16.9,11.9,2.52,0,0,-5.99,4600,,36932,840760
866578,TB,ARI,WR,Scotty Miller,0.66,0.63,,0.8,1.31,0.01,0,0,-8.09,3000,,982629,866578
866149,GB,MIA,TE,Josiah Deguara,1.88,0.9,0.4,6.8,3.74,0.02,0,0,-6.27,2700,,1844275,866149
554431,DEN,LAR,TE,Eric Tomlinson,0.97,0.82,,2.8,1.93,0.01,0,0,-6.98,2600,,21704,554431
1168918,GB,MIA,RB,Tyler Goodson,,0,,,,,0,0,-10.75,4000,,3491514,1168918
879955,LAR,DEN,TE,Jared Pinkney,,0,,,,,0,0,-7.75,2500,,1844711,879955
604724,LAR,DEN,RB,Malcolm Brown,1.77,1.52,,1.6,4.63,,0,0,-8.98,4000,,21789,604724
977404,LAR,DEN,WR,Jaquarii Roberson,,0,,,,,0,0,-8.75,3000,,-977404,977404
866216,DEN,LAR,QB,Brett Rypien,,0,,,,,0,0,-15.75,5000,,982658,866216
592195,MIA,GB,QB,Teddy Bridgewater,,0,,,,,0,0,-15.35,4800,,18114,592195
749968,MIA,GB,TE,Durham Smythe,1.5,1.28,0.1,5.9,2.99,0.02,0,0,-6.25,2500,,328366,749968
921458,DEN,LAR,QB,Jarrett Guarantano,,0,,,,,0,0,-13.75,4000,,-921458,921458
466883,TB,ARI,QB,Ryan Griffin,,0,,,,,0,0,-13.75,4000,,16643,466883
1120915,MIA,GB,WR,Erik Ezukanma,,0,,,,,0,0,-8.75,3000,,3491600,1120915
911239,TB,ARI,TE,Ko Kieft,0.42,0.37,,1.5,0.84,,0,0,-7.33,2500,,3492019,911239
891054,LAR,DEN,QB,Case Cookus,,0,,,,,0,0,-13.75,4000,,-891054,891054
