player_id,team,opp,pos,name,fpts,proj_own,smash,value_percent,ceil,floor,min_exposure,max_exposure,rg_value,salary,custom,rg_id,partner_id
822350,HOU,LV,QB,Kyle Allen,,0,0,0,,,0,0,-15.55,4900,,328736,822350
866174,GB,WAS,TE,Tyler Davis,1.24,0.03,0,0,2.47,0.01,0,0,-6.51,2500,,1844521,866174
1060285,HOU,LV,WR,Johnny Johnson III,,0,0,0,,,0,0,-8.75,3000,,-1060285,1060285
866086,DEN,NYJ,WR,Kendall Hinton,0.44,0.1,0,0,0.88,,0,0,-8.31,3000,,1844836,866086
1215308,TEN,IND,WR,Mason Kinsey,0.2,0,0,0,0.4,,0,0,-8.55,3000,,1844553,1215308
1165720,CAR,TB,WR,Derek Wright,,0,0,0,,,0,0,-8.75,3000,,3491958,1165720
846264,ATL,CIN,TE,Parker Hesse,1.34,0.01,0,0,2.67,0.01,0,0,-6.41,2500,,1019199,846264
935156,CIN,ATL,WR,Kwamie Lassiter II,,0,0,0,,,0,0,-8.75,3000,,-935156,935156
913387,HOU,LV,RB,Darius Anderson,,0,0,0,,,0,0,-10.75,4000,,1844577,913387
1131214,WAS,GB,WR,Dax Milne,0.61,0.05,0,0,1.21,0.01,0,0,-8.14,3000,,2862098,1131214
836079,GB,WAS,WR,Juwann Winfree,1.47,0.12,0,0,2.93,0.01,0,0,-7.28,3000,,982664,836079
1123712,DET,DAL,TE,James Mitchell,0.23,0,0,0,0.46,,0,0,-7.52,2500,,3491484,1123712
1058625,DET,DAL,WR,Josh Johnson,,0,0,0,,,0,0,-8.75,3000,,3515426,1058625
916467,CLE,BAL,TE,Harrison Bryant,4.42,0.37,0,0,11.8,0.25,0,0,-3.33,2500,,1844156,916467
1125846,TEN,IND,RB,Julius Chestnut,,0,0,0,,,0,0,-10.75,4000,,3503728,1125846
974492,CLE,BAL,QB,Kellen Mond,,0,0,0,,,0,0,-13.75,4000,,2861722,974492
918238,SEA,LAC,WR,Cade Johnson,,0,0,0,,,0,0,-8.75,3000,,2862462,918238
359,SF,KC,DST,49ers,5.83,1.52,0,0,11.97,0.97,0,0,-0.57,2700,,18440,359
