player_id,team,opp,pos,name,fpts,proj_own,min_exposure,max_exposure,salary,custom,rg_id,partner_id
1254177,MINN,COL,RB,Kendall Moore,,0,0,0,3000,,,1254177
1213664,ORE,BYU,QB,Jay Butterfield,,0,0,0,4500,,,1213664
1325600,PUR,SYR,WR,Ben Van Noord,,0,0,0,3000,,,1325600
1106854,CAL,ND,QB,Jack Plummer,14.02,2,0,0,4900,,,1106854
1106975,CINCY,MIAOH,RB,Charles McClelland,12.86,4,0,0,3700,,,1106975
1213345,UGA,SCAR,RB,Kendall Milton,14.13,5,0,0,5100,,,1213345
1400653,ORE,BYU,QB,Marcus Sanders,,0,0,0,4500,,,1400653
1379247,NEB,OU,WR,Decoldest Crawford,,0,0,0,3000,,,1379247
1321299,ND,CAL,WR,Jayden Thomas,6.75,0,0,0,3000,,,1321299
1379258,PSU,AUB,QB,Drew Allar,,0,0,0,4500,,,1379258
1325655,SYR,PUR,RB,Mario Escobar,,0,0,0,3000,,,1325655
1379269,UH,KU,QB,Roman Mula,,0,0,0,4500,,,1379269
1400686,ORE,BYU,WR,Darrian Anderson,,0,0,0,3000,,,1400686
1401665,PUR,SYR,WR,Charlie Kenrich,,0,0,0,3000,,,1401665
1214005,NEB,OU,WR,Elliott Brown,,0,0,0,3000,,,1214005
1380270,WKU,IU,WR,Jax Cooper,,0,0,0,3000,,,1380270
1214016,NEB,OU,WR,Ty Hahn,,0,0,0,3000,,,1214016
1128106,UCLA,SALA,WR,Josiah Norwood,1.09,0,0,0,3000,,,1128106
1383790,ND,CAL,QB,Steve Angeli,,0,0,0,5000,,,1383790
1403997,ND,CAL,WR,Leo Scheidler,,0,0,0,3000,,,1403997
1400367,CINCY,MIAOH,WR,Michael McCalmont,,0,0,0,3000,,,1400367
1325589,PUR,SYR,WR,Drew Biber,0.88,0,0,0,3000,,,1325589
1176782,MISS,GT,WR,Jonathan Mingo,13.44,6,0,0,6200,,,1176782
1218637,UGA,SCAR,WR,Braxton Hicks,,0,0,0,3000,,,1218637
1229769,SCAR,UGA,RB,Rashad Amos,,0,0,0,3000,,,1229769
1286540,COL,MINN,WR,Erik Olsen,,0,0,0,3000,,,1286540
1296462,VAND,NIU,WR,Gamarion Carter,,0,0,0,3000,,,1296462
1176793,MISS,GT,WR,Sellers Shy,,0,0,0,3000,,,1176793
1293074,KU,UH,RB,DeAndre Thomas Jr.,,0,0,0,3000,,,1293074
1289950,BYU,ORE,RB,Beau Robinson,,0,0,0,3000,,,1289950
1402469,KU,UH,QB,Ethan Vasko,,0,0,0,4500,,,1402469
1385562,MISS,GT,WR,Austin Morphis,,0,0,0,3000,,,1385562
1178410,BYU,ORE,RB,Jackson McChesney,1.12,0,0,0,3000,,,1178410
1385573,UGA,SCAR,WR,Randon Jernigan,,0,0,0,3000,,,1385573
1131473,SCAR,UGA,RB,D.J. Twitty,,0,0,0,3000,,,1131473
1287684,NEB,OU,WR,James Carnie,,0,0,0,3000,,,1287684
1069763,UGA,SCAR,QB,Stetson Bennett,20.77,9,0,0,7300,,,1069763
1395143,MINN,COL,WR,Kristen Hoskins,0.44,0,0,0,3000,,,1395143
1396001,UGA,SCAR,RB,Jacob Hardie,,0,0,0,3000,,,1396001
1405428,UCLA,SALA,WR,Elijah Rodriguez,,0,0,0,3000,,,1405428
1163076,AUB,PSU,QB,Zach Calzada,,0,0,0,4500,,,1163076
1178344,UCLA,SALA,QB,Chase Artopoeus,,0,0,0,4500,,,1178344
1230495,UH,KU,WR,Khiyon Wafer,,0,0,0,3000,,,1230495
1178355,CAL,ND,WR,Elijah Mojarro,0.53,0,0,0,3000,,,1178355
1286177,ORE,BYU,QB,Ty Thompson,,0,0,0,5000,,,1286177
1232574,ND,CAL,RB,Chase Ketterer,,0,0,0,3000,,,1232574
1248810,CAL,ND,WR,Jake Muller,,0,0,0,3000,,,1248810
1125632,SALA,UCLA,QB,Carter Bradley,17.16,5,0,0,6100,,,1125632
1321300,ORE,BYU,RB,Byron Cardwell,8.11,1,0,0,5200,,,1321300
1123102,WKU,IU,QB,Austin Reed,22.79,11,0,0,7800,,,1123102
1399103,OU,NEB,WR,Davion Woolen,,0,0,0,3000,,,1399103
1223301,SCAR,UGA,WR,Jalen Brooks,3.49,0,0,0,3600,,,1223301
1168246,IU,WKU,WR,Emery Simmons,4.27,0,0,0,3900,,,1168246
1213753,KU,UH,WR,Will Huggins,,0,0,0,3000,,,1213753
1125555,ORE,BYU,WR,Chase Cota,5.89,0,0,0,3000,,,1125555
1389225,AUB,PSU,RB,Luke Reebals,,0,0,0,3000,,,1389225
1234114,SALA,UCLA,WR,Christian Wortham,2.51,0,0,0,3000,,,1234114
1400852,CAL,ND,WR,Jack Endries,,0,0,0,3000,,,1400852
1320398,OU,NEB,QB,Ralph Rucker,,0,0,0,4500,,,1320398
1226634,NIU,VAND,RB,Billy Dozier,4.4,0,0,0,3000,,,1226634
1125599,OU,NEB,WR,Drake Stoops,8.54,0,0,0,4300,,,1125599
1324655,COL,MINN,WR,Ty Robinson,1.33,0,0,0,3000,,,1324655
1321267,NIU,VAND,QB,Justin Lynch,,0,0,0,4500,,,1321267
1183580,WKU,IU,WR,Kendall Abdur-Rahman,,0,0,0,3000,,,1183580
1180071,WKU,IU,RB,Davion Ervin-Poindexter,10,0,0,0,3900,,,1180071
1106745,GT,MISS,RB,Dontae Smith,11.47,3,0,0,4700,,,1106745
1225688,KU,UH,RB,Malik Johnson,,0,0,0,3000,,,1225688
1379237,NEB,OU,QB,Richard Torres,,0,0,0,4500,,,1379237
1400654,ORE,BYU,WR,Kyler Kasper,1.7,0,0,0,3000,,,1400654
1311125,UH,KU,WR,Matt Byrnes,2.06,0,0,0,3000,,,1311125
1400786,CAL,ND,QB,Fernando Mendoza,,0,0,0,4500,,,1400786
1379259,PSU,AUB,RB,Kaytron Allen,7.25,1,0,0,3500,,,1379259
1214105,CINCY,MIAOH,WR,Norman Love,,0,0,0,3000,,,1214105
1381580,KU,UH,QB,Jack Jackson,,0,0,0,4500,,,1381580
1162460,UH,KU,WR,Logan Compton,,0,0,0,3000,,,1162460
1403976,ND,CAL,WR,Tobias Merriweather,,0,0,0,3000,,,1403976
1214017,NEB,OU,RB,Isaiah Harris,,0,0,0,3000,,,1214017
1383791,ND,CAL,RB,Jadarian Price,,0,0,0,3000,,,1383791
1214028,NEB,OU,RB,Beau Psencik,,0,0,0,3000,,,1214028
1394692,COL,MINN,WR,Jordyn Tyson,3.35,0,0,0,3000,,,1394692
1176771,MISS,GT,WR,Dannis Jackson,,0,0,0,3000,,,1176771
1403998,ND,CAL,WR,Holden Staes,,0,0,0,3000,,,1403998
1400368,VAND,NIU,WR,Richie Hoskins,,0,0,0,3000,,,1400368
1293064,KU,UH,WR,Mack Moeller,,0,0,0,3000,,,1293064
1166872,MIAOH,CINCY,WR,Rhett Williams,,0,0,0,3000,,,1166872
1380074,PSU,AUB,WR,Evan Clark,,0,0,0,3000,,,1380074
1296463,VAND,NIU,WR,Ezra McAllister,,0,0,0,3600,,,1296463
1164694,MINN,COL,WR,Michael Brown-Stephens,4.56,0,0,0,4300,,,1164694
1056652,WKU,IU,RB,Jakairi Moses,6.23,0,0,0,5500,,,1056652
1384100,MISS,GT,QB,Jack Woche,,0,0,0,4500,,,1384100
1287663,NEB,OU,RB,Matthew Schuster,,0,0,0,3000,,,1287663
1287685,NEB,OU,WR,Alex Bullock,,0,0,0,3000,,,1287685
1405407,UCLA,SALA,RB,Josiah Gonzales,,0,0,0,3000,,,1405407
1230210,SCAR,UGA,WR,Ben Rollins,,0,0,0,3000,,,1230210
1384133,MISS,GT,WR,Hayden Farrar,,0,0,0,3000,,,1384133
1168753,ORE,BYU,WR,Patrick Herbert,0.62,0,0,0,3000,,,1168753
1395144,MINN,COL,WR,Evan Redding,,0,0,0,3000,,,1395144
1396002,UGA,SCAR,WR,Cooper Johnson,,0,0,0,3000,,,1396002
1399995,NIU,VAND,RB,Christian Nash,,0,0,0,3000,,,1399995
1230232,PUR,SYR,QB,Michael Alaimo,,0,0,0,4500,,,1230232
1123642,UCLA,SALA,QB,Sean Holland,,0,0,0,4500,,,1123642
1178367,UCLA,SALA,WR,Hudson Habermehl,1.1,0,0,0,3400,,,1178367
1398587,WKU,IU,WR,KD Hutchinson,,0,0,0,3000,,,1398587
1287278,IU,WKU,RB,Brett Wethington,,0,0,0,3000,,,1287278
1397025,SALA,UCLA,WR,Cameron Henderson,,0,0,0,3000,,,1397025
1213721,UCLA,SALA,QB,Ethan Garbers,,0,0,0,7300,,,1213721
1168236,UCLA,SALA,QB,Chase Griffin,,0,0,0,4500,,,1168236
1313931,SALA,UCLA,WR,Lincoln Sefcik,4.13,0,0,0,3500,,,1313931
1399115,SALA,UCLA,QB,JT McArdle,,0,0,0,4500,,,1399115
1325800,BYU,ORE,WR,Chase Roberts,13.38,20,0,0,3200,,,1325800
1323864,SCAR,UGA,WR,O'Mega Blake,,0,0,0,3000,,,1323864
1124456,KU,UH,RB,Spencer Roe,,0,0,0,3000,,,1124456
1214733,SCAR,UGA,WR,Corey Rucker,,0,0,0,3000,,,1214733
1248734,CAL,ND,RB,Damien Moore,6.74,0,0,0,3600,,,1248734
1248855,CAL,ND,WR,Andy Alfieri,1,0,0,0,3000,,,1248855
1389215,AUB,PSU,RB,Damari Alston,3.05,0,0,0,3000,,,1389215
1323886,CAL,ND,QB,Blake DeBisschop,,0,0,0,4500,,,1323886
1324623,AUB,PSU,RB,Sean Jackson,,0,0,0,3200,,,1324623
1125589,OU,NEB,WR,Brayden Willis,10.35,2,0,0,3700,,,1125589
1214414,PSU,AUB,WR,Theo Johnson,,0,0,0,3700,,,1214414
1225667,COL,MINN,WR,Montana Lemonious-Craig,2.59,0,0,0,3400,,,1225667
1324414,UCLA,SALA,RB,Deshun Murrell,1.73,0,0,0,5300,,,1324414
1401733,KU,UH,WR,Max Dowling,,0,0,0,3000,,,1401733
