player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Jaden Robinson,83074,CB,OREGON ST,1,0,0,100.0,0,0,265,55.5,56.2,70.9,,60.6,73.5,0,0,0,24,0.0,0,0,0,118.8,1,0,1,9,5,11,0,0,0,0,0,0,11,0,6,1,0,1,1,0,0,24,1,24.0
Trent Gordon,83076,CB,ARKANSAS,6,2,0,77.8,0,0,111,47.3,51.5,80.3,57.7,69.3,54.5,0,0,0,30,25.0,3,0,0,101.4,7,0,21,1,67,113,5,0,0,5,0,0,108,4,42,83,2,7,9,0,0,75,43,10.7
Cedarious Barfield,83078,CB,S DIEGO ST,8,4,0,61.5,1,2,284,70.4,71.3,18.4,63.5,74.5,49.7,0,2,1,38,17.6,6,1,2,106.9,16,0,53,7,177,300,5,0,0,5,0,55,295,3,120,180,7,24,26,2,3,194,91,12.1
Nehemiah Shelton,83083,CB,S JOSE ST,8,3,0,65.6,1,0,285,70.5,71.0,84.6,45.9,71.9,55.5,0,1,2,48,18.2,6,1,3,82.7,21,0,32,450,276,490,3,0,0,3,0,1,487,1,213,4,8,24,32,1,1,319,81,15.2
Kendall Williamson,83090,S,STANFORD,9,9,0,52.4,1,1,300,77.3,68.1,87.2,63.6,46.3,57.6,1,1,1,41,19.4,12,2,1,74.5,11,0,121,3,279,525,8,0,0,8,0,262,517,4,242,131,8,41,21,2,1,165,26,15.0
Ethan Bonner,83091,CB,STANFORD,7,3,0,50.0,0,0,300,69.4,68.9,83.6,66.9,60.1,72.2,0,0,0,56,11.1,3,1,1,85.4,14,0,18,337,201,374,6,0,0,6,0,1,368,0,173,12,7,21,28,0,1,200,75,14.3
Craig Slocum Jr.,83096,S,TROY,9,8,0,76.9,0,0,318,76.3,75.9,86.0,57.1,73.5,68.1,0,0,1,21,14.8,9,3,1,88.3,20,0,154,6,326,539,0,0,0,0,0,280,539,3,210,99,13,44,26,0,1,158,110,7.9
CD Daniels,83097,CB,UAB,5,1,0,71.4,0,0,321,56.9,60.0,77.8,,69.7,58.8,0,0,0,13,20.0,2,0,0,84.8,5,0,6,83,44,93,0,0,0,0,0,0,93,0,49,3,2,7,7,0,0,39,12,7.8
Starling Thomas V,83098,CB,UAB,9,5,0,41.0,0,0,321,70.3,72.0,37.3,60.0,79.6,72.7,0,0,0,21,8.7,2,6,6,60.5,16,0,24,465,272,518,4,0,0,4,0,2,514,1,245,22,3,16,39,0,1,147,26,9.2
Chase Williams,83102,S,S JOSE ST,7,2,0,44.4,0,0,285,73.5,69.4,85.4,59.1,57.4,60.0,0,2,1,39,17.9,5,1,0,88.7,4,0,100,6,242,429,6,0,0,6,0,244,423,2,185,73,5,21,9,2,1,127,18,31.8
Michael Anyanwu,83103,CB,UTAH ST,8,1,0,48.7,1,0,329,60.6,65.1,84.4,56.0,82.0,49.2,0,0,1,34,20.0,7,5,3,84.9,19,0,27,356,220,424,6,0,0,6,0,7,418,2,202,27,10,27,39,0,3,255,82,13.4
Corey Mayfield Jr.,83106,CB,UTSA,9,5,0,50.0,0,1,331,83.7,81.7,32.7,61.8,71.7,70.8,0,1,3,58,13.3,6,8,1,74.8,22,1,58,469,322,545,5,0,0,5,0,9,540,9,214,4,15,34,44,2,4,308,121,14.0
Donte Burton,83110,CB,TULSA,2,0,0,,0,0,320,64.2,65.7,76.8,,63.6,,0,0,0,,,0,0,0,0.0,0,0,0,17,7,19,0,0,0,0,0,0,19,0,12,0,0,0,0,0,0,0,0,
Alexander Smith,83112,CB,WISCONSIN,3,1,0,80.0,0,0,349,70.3,71.6,80.6,,71.7,82.0,0,0,0,27,0.0,0,0,1,95.8,8,0,8,108,80,136,0,0,0,0,0,0,136,0,56,20,3,6,10,0,0,70,13,8.8
Eddie Smith,83121,S,ARK STATE,9,7,0,62.5,0,0,113,69.2,69.9,35.3,65.0,69.4,74.2,0,0,2,77,12.0,6,5,1,103.8,15,0,180,0,251,465,0,0,0,0,0,166,465,0,214,118,7,37,24,0,6,258,146,17.2
