player,player_id,position,team_name,player_game_count,allowed_pressure_dropbacks,ce_percent,declined_penalties,franchise_id,hits_allowed,hurries_allowed,lg_percent,lt_percent,ol_te_percent,other_percent,penalties,pressures_allowed,pressures_ce,pressures_lg,pressures_lt,pressures_off,pressures_ol_te,pressures_other,pressures_rg,pressures_rt,pressures_self,pressures_te,rg_percent,rt_percent,sacks_allowed,self_percent,te_percent
Doug Brumfield,128348,QB,UNLV,7,51,5.9,0,325,0,0,15.7,41.2,90.2,5.9,0,3,3,8,21,51,46,3,11,13,3,1,21.6,25.5,3,5.9,2.0
John Rhys Plumlee,97602,QB,UCF,8,51,3.9,0,323,0,3,15.7,25.5,74.5,9.8,0,10,2,8,13,51,38,5,5,13,10,4,9.8,25.5,7,19.6,7.8
Parker McNeil,123714,QB,LA TECH,8,49,28.6,0,208,1,1,4.1,24.5,85.7,4.1,0,5,14,2,12,49,42,2,10,7,5,2,20.4,14.3,3,10.2,4.1
Zion Turner,158636,QB,UCONN,10,49,8.2,0,146,4,6,6.1,22.4,63.3,8.2,0,13,4,3,11,49,31,4,2,12,13,3,4.1,24.5,3,26.5,6.1
Andrew Peasley,83581,QB,WYOMING,9,48,14.6,0,351,2,4,14.6,16.7,66.7,10.4,0,11,7,7,8,48,32,5,6,5,11,1,12.5,10.4,5,22.9,2.1
Austin Reed,111760,QB,W KENTUCKY,10,47,14.9,0,346,3,4,14.9,19.1,74.5,8.5,0,8,7,7,9,47,35,4,11,10,8,0,23.4,21.3,1,17.0,0.0
Austin Aune,83528,QB,N TEXAS,10,46,4.3,0,251,2,2,4.3,17.4,65.2,15.2,0,8,2,2,8,46,30,7,7,11,8,2,15.2,23.9,4,17.4,4.3
Dillon Gabriel,86272,QB,OKLAHOMA,8,45,26.7,0,261,2,5,11.1,20.0,71.1,2.2,0,14,12,5,9,45,32,1,5,6,14,0,11.1,13.3,7,31.1,0.0
Bo Nix,97790,QB,OREGON,9,45,4.4,0,264,3,6,20.0,28.9,77.8,0.0,0,10,2,9,13,45,35,0,8,6,10,2,17.8,13.3,1,22.2,4.4
Evan Simon,129906,QB,RUTGERS,6,44,13.6,0,278,1,0,31.8,20.5,90.9,4.5,0,3,6,14,9,44,40,2,9,8,3,2,20.5,18.2,2,6.8,4.5
C.J. Stroud,129759,QB,OHIO STATE,9,44,6.8,0,260,2,5,20.5,18.2,61.4,11.4,0,13,3,9,8,44,27,5,3,3,13,2,6.8,6.8,6,29.5,4.5
Braylon Braxton,144442,QB,TULSA,7,43,16.3,0,320,2,9,14.0,14.0,72.1,2.3,0,12,7,6,6,43,31,1,9,11,12,1,20.9,25.6,1,27.9,2.3
J.T. Shrout,83562,QB,COLORADO,7,43,14.0,0,143,2,5,7.0,30.2,83.7,2.3,0,7,6,3,13,43,36,1,4,16,7,1,9.3,37.2,0,16.3,2.3
Drew Pyne,122910,QB,NOTRE DAME,8,43,14.0,0,258,6,4,9.3,4.7,55.8,7.0,0,16,6,4,2,43,24,3,6,9,16,0,14.0,20.9,6,37.2,0.0
Austin Smith,145763,QB,E MICHIGAN,7,42,16.7,0,160,0,2,16.7,28.6,78.6,14.3,0,4,7,7,12,42,33,6,6,5,4,0,14.3,11.9,2,9.5,0.0
J.J. McCarthy,144918,QB,MICHIGAN,9,42,7.1,0,222,3,7,26.2,14.3,64.3,4.8,0,13,3,11,6,42,27,2,5,5,13,1,11.9,11.9,3,31.0,2.4
Brett Gabbert,97404,QB,MIAMI OH,4,42,9.5,0,221,0,2,11.9,19.0,71.4,14.3,0,6,4,5,8,42,30,6,4,10,6,1,9.5,23.8,4,14.3,2.4
AJ Swann,157186,QB,VANDERBILT,8,42,11.9,0,333,2,3,9.5,23.8,85.7,0.0,0,6,5,4,10,42,36,0,11,11,6,2,26.2,26.2,1,14.3,4.8
Shane Illingworth,71512,QB,NEVADA,5,42,31.0,0,239,2,3,14.3,16.7,78.6,4.8,0,7,13,6,7,42,33,2,4,9,7,0,9.5,21.4,2,16.7,0.0
Ryan Hilinski,71295,QB,NWESTERN,7,41,17.1,0,256,2,3,19.5,4.9,82.9,4.9,0,5,7,8,2,41,34,2,6,11,5,1,14.6,26.8,0,12.2,2.4
Aveon Smith,130529,QB,MIAMI OH,7,40,10.0,0,221,2,4,12.5,27.5,62.5,17.5,0,9,4,5,11,40,25,7,5,5,9,1,12.5,12.5,3,22.5,2.5
Cooper Legas,101286,QB,UTAH ST,6,40,12.5,0,329,2,3,7.5,10.0,67.5,15.0,0,7,5,3,4,40,27,6,9,9,7,1,22.5,22.5,2,17.5,2.5
Jalen Mayden,83520,QB,S DIEGO ST,4,40,2.5,0,284,0,3,7.5,17.5,67.5,15.0,0,7,1,3,7,40,27,6,9,9,7,1,22.5,22.5,4,17.5,2.5
Henry Colombi,60583,QB,MARSHALL,6,40,15.0,0,214,0,1,7.5,30.0,77.5,10.0,0,6,6,3,12,40,31,4,3,10,6,1,7.5,25.0,5,15.0,2.5
Logan Fife,128176,QB,FRESNO ST,5,38,10.5,0,169,0,2,10.5,18.4,89.5,2.6,0,5,4,4,7,38,34,1,13,8,5,4,34.2,21.1,3,13.2,10.5
Diego Pavia,156927,QB,NEW MEX ST,7,37,0.0,0,242,0,3,10.8,24.3,81.1,8.1,0,5,0,4,9,37,30,3,7,12,5,1,18.9,32.4,2,13.5,2.7
Stetson Bennett,60387,QB,GEORGIA,9,37,18.9,0,173,2,2,27.0,10.8,70.3,16.2,0,5,7,10,4,37,26,6,4,5,5,0,10.8,13.5,1,13.5,0.0
Emmett Morehead,143834,QB,BOSTON COL,6,35,14.3,0,121,0,2,22.9,14.3,85.7,2.9,0,5,5,8,5,35,30,1,6,12,5,1,17.1,34.3,3,14.3,2.9
Devin Leary,77628,QB,NC STATE,6,34,11.8,0,248,0,4,5.9,14.7,76.5,5.9,0,6,4,2,5,34,26,2,5,10,6,4,14.7,29.4,2,17.6,11.8
Owen McCown,157688,QB,COLORADO,4,33,3.0,0,143,3,5,3.0,24.2,60.6,6.1,0,13,1,1,8,33,20,2,3,6,13,1,9.1,18.2,5,39.4,3.0
Cam Fancher,145266,QB,MARSHALL,8,33,15.2,0,214,1,0,6.1,18.2,78.8,9.1,0,5,5,2,6,33,26,3,5,7,5,2,15.2,21.2,4,15.2,6.1
Max Johnson,124099,QB,TEXAS A&M,4,33,6.1,0,312,2,0,24.2,12.1,75.8,12.1,0,5,2,8,4,33,25,4,9,2,5,1,27.3,6.1,3,15.2,3.0
