"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Large Ownership","DK Small Ownership","DKSlateID","DK Floor","DK Ceiling"
"Gary Brightwell","NYG","MIA","RB","4600","4.6","-7.5","0.0","0.0","30030809","0.7","10.3"
"Xavier Gipson","NYJ","DEN","WR","3000","1.5","-7.5","0.0","0.0","30031207","0.0","4.9"
"Trevon Wesco","TEN","IND","TE","2500","0.5","-7.5","0.0","0.0","30031505","0.0","1.9"
"Blake Bell","KC","MIN","TE","2500","0.4","-7.6","0.0","0.0","30031403","0.0","1.4"
"Johnny Mundt","MIN","KC","TE","2500","0.3","-7.6","0.0","0.0","30031481","0.0","1.3"
"Giovanni Ricci","CAR","DET","TE","2500","0.3","-7.7","0.0","0.0","30031527","0.0","1.0"
"Lawrence Cager","NYG","MIA","TE","2500","0.3","-7.7","0.0","0.0","30031545","0.0","1.0"
"Grant Calcaterra","PHI","LA","TE","2500","0.3","-7.7","0.0","0.0","30031413","0.0","1.0"
"Isaiah Hodgins","NYG","MIA","WR","4500","3.8","-8.1","0.0","0.0","30031027","0.0","9.5"
"Isaiah McKenzie","IND","TEN","WR","3000","0.8","-8.2","0.0","0.0","30031191","0.0","3.2"
"Clyde Edwards-Helaire","KC","MIN","RB","4500","3.7","-8.2","0.0","0.0","30030813","0.2","9.4"
"Ronnie Rivers","LA","PHI","RB","4600","4.0","-8.2","0.0","0.0","30030805","0.5","9.5"
"KhaDarel Hodge","ATL","HOU","WR","3000","0.6","-8.3","0.0","0.0","30031177","0.0","2.5"
"Justyn Ross","KC","MIN","WR","3000","0.7","-8.3","0.0","0.0","30031111","0.0","2.7"
"Antoine Green","DET","CAR","WR","3000","0.6","-8.4","0.0","0.0","30031145","0.0","2.3"
"Ben Skowronek","LA","PHI","WR","3000","0.5","-8.4","0.0","0.0","30031245","0.0","2.1"
"Britain Covey","PHI","LA","WR","3000","0.5","-8.4","0.0","0.0","30031125","0.0","2.1"
"Trayveon Williams","CIN","ARI","RB","4600","3.7","-8.5","0.0","0.0","30030803","0.2","8.9"
"Keith Kirkwood","NO","NE","WR","3000","0.4","-8.5","0.0","0.0","30031279","0.0","1.7"
"Lynn Bowden Jr.","NO","NE","WR","3000","0.5","-8.5","0.0","0.0","30031281","0.0","1.8"
"Amari Rodgers","IND","TEN","WR","3000","0.3","-8.7","0.0","0.0","30031193","0.0","1.0"
"Brandon Powell","MIN","KC","WR","3000","0.3","-8.7","0.0","0.0","30031231","0.0","1.2"
"Ty Montgomery II","NE","NO","WR","3000","0.2","-8.7","0.0","0.0","30031215","0.0","1.0"
"Sterling Shepard","NYG","MIA","WR","3000","0.3","-8.7","0.0","0.0","30031327","0.0","1.0"
"Mecole Hardman Jr.","NYJ","DEN","WR","3000","0.3","-8.7","0.0","0.0","30031205","0.0","1.1"
"Miles Boykin","PIT","BAL","WR","3000","0.2","-8.7","0.0","0.0","30031297","0.0","0.9"
"Colton Dowell","TEN","IND","WR","3000","0.3","-8.7","0.0","0.0","30031269","0.0","1.0"
