Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
36,2939221448,atrain00 (3/100),0,173.1,C Auston Matthews UTIL Tomas Hertl C Mikael Backlund W William Nylander W Brendan Gallagher W Josh Anderson D Jakob Chychrun D Jeff Petry G Jack Campbell,,Nikolaj Ehlers,W,6.55%,8
37,2939244574,prytula23 (48/150),0,172.90001,C Auston Matthews C Sean Couturier UTIL Kevin Fiala W Brendan Gallagher W Josh Anderson W Marcus Foligno D Ivan Provorov D Jeff Petry G John Gibson,,Lucas Raymond,W,6.36%,6
37,2938848957,bionicknee (94/150),0,172.9,C Auston Matthews C Tomas Hertl W William Nylander W Mitchell Marner W Michael Bunting UTIL Alexander Barabanov D Jeff Petry D Ryan Merkley G Jack Campbell,,Brendan Gallagher,W,6.35%,18
39,2937812539,kejjo,0,172.7,C Auston Matthews C Tomas Hertl UTIL Jamie Benn W Kevin Fiala W Andrew Mangiapane W Alexander Kerfoot D Adam Fox D T.J. Brodie G Carter Hart,,Drake Batherson,W,6.14%,19.5
40,2939415929,Jeddy3030 (21/150),0,172.59999,C Auston Matthews C Mikael Backlund UTIL William Nylander W Mitchell Marner W Brendan Gallagher W Josh Anderson D Jeff Petry D Keith Yandle G Carter Hart,,Alexander Kerfoot,W,6.08%,9.5
41,2939221477,atrain00 (32/100),0,172.4,C Auston Matthews C Jamie Benn W William Nylander UTIL Jason Robertson W Brendan Gallagher W Josh Anderson D Jakob Chychrun D Jeff Petry G Jack Campbell,,Jonathan Marchessault,W,5.98%,4.5
42,2939216379,oliveratticus (83/150),0,172.09999,C John Tavares C Nick Suzuki UTIL Mitchell Marner W Brendan Gallagher W Josh Anderson W Alexander Kerfoot D Brent Burns D Jakob Chychrun G Jack Campbell,,Blake Wheeler,W,5.94%,6.5
43,2939105967,Fabio_damari (38/40),0,171.90001,C Elias Pettersson C Nick Suzuki UTIL Nikolaj Ehlers W J.T. Miller W Tyler Toffoli W Brendan Gallagher D Nate Schmidt D Josh Morrissey G Jack Campbell,,Roope Hintz,C,5.91%,4.3
43,2939015927,Kydan1,0,171.9,C Auston Matthews C Pierre-Luc Dubois UTIL Jamie Benn W Artemi Panarin W Kevin Fiala W Jason Robertson D Moritz Seider D Filip Hronek G Alex Nedeljkovic,,Brady Tkachuk,W,5.77%,10.5
43,2939053007,carnattitan (5/40),0,171.9,C Auston Matthews UTIL Tyler Seguin C Jamie Benn W William Nylander W Alexander Radulov W Jason Robertson D Moritz Seider D Filip Hronek G Alex Nedeljkovic,,Marcus Foligno,W,5.66%,27.5
46,2938653546,jdaraitis87 (5/5),0,171.50002,C Auston Matthews UTIL Tomas Hertl C Mikael Backlund W Kirill Kaprizov W Mitchell Marner W Drake Batherson D Jake Muzzin D Filip Hronek G Alex Nedeljkovic,,John Klingberg,D,5.63%,14.9
46,2938782622,drgonzo1,0,171.50002,C Auston Matthews UTIL Tomas Hertl C Mikael Backlund W Kirill Kaprizov W Mitchell Marner W Drake Batherson D Jake Muzzin D Filip Hronek G Alex Nedeljkovic,,Craig Anderson,G,5.58%,-2.1
46,2938993884,bundybunz420,0,171.50002,C Auston Matthews UTIL Tomas Hertl C Mikael Backlund W Kirill Kaprizov W Mitchell Marner W Drake Batherson D Jake Muzzin D Filip Hronek G Alex Nedeljkovic,,Joe Pavelski,W,5.56%,11
46,2939540658,bsross75,0,171.50002,C Auston Matthews UTIL Tomas Hertl C Mikael Backlund W Kirill Kaprizov W Mitchell Marner W Drake Batherson D Jake Muzzin D Filip Hronek G Alex Nedeljkovic,,Pierre-Luc Dubois,C,5.54%,23.3
46,2938715352,LeroySane10 (10/150),0,171.49998,C Auston Matthews C John Tavares UTIL Tomas Hertl W Mitchell Marner W Rudolfs Balcers W Alexander Barabanov D Morgan Rielly D Mattias Ekholm G Jack Campbell,,J.T. Miller,W,5.50%,30.5
51,2938994264,Skiffy1227 (1/8),0,170.59999,C Auston Matthews C Tomas Hertl UTIL Sean Monahan W Claude Giroux W Jeff Skinner W Connor Brown D Morgan Rielly D Keith Yandle G Carter Hart,,Moritz Seider,D,5.47%,18.9
