Player,Team,Pos,Draft Rank,Points
Onyeka,Brentford,M,224,35
Pérez,Leicester,M,225,35
Hughes,Crystal Palace,M,226,34
Roberts,Leeds,M,227,34
Ghoddos,Brentford,M,229,30
Vlasic,West Ham,M,232,30
Tella,Southampton,M,233,29
Caicedo,Brighton,M,235,27
Chiquinho,Wolves,M,236,20
Barkley,Chelsea,M,237,14
Traoré,Aston Villa,M,238,13
Djenepo,Southampton,M,239,13
Davies,Everton,M,240,12
Elliott,Liverpool,M,241,12
Walcott,Southampton,M,242,12
Maitland-Niles,Arsenal,M,243,0
Nelson,Arsenal,M,244,0
Marquinhos,Arsenal,M,245,0
El Ghazi,Aston Villa,M,247,0
Kamara,Aston Villa,M,248,0
Stanislas,Bournemouth,M,249,0
Marcondes,Bournemouth,M,250,0
Lerma,Bournemouth,M,251,0
Cook,Bournemouth,M,252,0
Dembélé,Bournemouth,M,253,0
Mitoma,Brighton,M,254,0
Cairney,Fulham,M,256,0
Knockaert,Fulham,M,257,0
Cavaleiro,Fulham,M,258,0
Palhinha,Fulham,M,259,0
Roca,Leeds,M,261,0
Lolley,Nott'm Forest,M,262,0
Yates,Nott'm Forest,M,263,0
Xande Silva,Nott'm Forest,M,264,0
Mighten,Nott'm Forest,M,266,0
Moutinho,Wolves,M,268,96
Adams,Leeds,M,269,0
Rothwell,Bournemouth,M,271,0
C.Doucouré,Crystal Palace,M,273,0
O'Brien,Nott'm Forest,M,274,0
Murphy,Newcastle,M,315,62
Moder,Brighton,M,319,58
S.Longstaff,Newcastle,M,331,48
Diallo,Southampton,M,335,44
Forshaw,Leeds,M,343,38
Milner,Liverpool,M,344,38
Soumaré,Leicester,M,348,36
Baptiste,Brentford,M,349,35
Skipp,Spurs,M,352,34
Winks,Spurs,M,353,33
Sambi,Arsenal,M,354,32
Elneny,Arsenal,M,360,27
Mendy,Leicester,M,362,24
Nakamba,Aston Villa,M,364,22
Milivojevic,Crystal Palace,M,371,19
Shackleton,Leeds,M,372,19
André Gomes,Everton,M,374,18
Chukwuemeka,Aston Villa,M,377,16
Sanson,Aston Villa,M,380,13
Alzate,Brighton,M,381,13
Palmer,Man City,M,386,9
Choudhury,Leicester,M,387,8
Dasilva,Brentford,M,389,7
Cundle,Wolves,M,391,7
Summerville,Leeds,M,392,6
Sarmiento,Brighton,M,393,5
Smallbone,Southampton,M,394,5
Iroegbunam,Aston Villa,M,395,4
Riedewald,Crystal Palace,M,396,4
Rak-Sakyi,Crystal Palace,M,397,4
Gbamin,Everton,M,398,3
Bate,Leeds,M,399,3
