Player,Team,Draft Rank,Points,Pos
Gomez,Liverpool,374,22,D
Hause,Aston Villa,375,20,D
Ritchie,Newcastle,376,20,D
Lyanco,Southampton,380,19,D
Fofana,Leicester,382,17,D
Boly,Wolves,383,17,D
Clark,Newcastle,386,14,D
Stephens,Southampton,389,12,D
Fernández,Newcastle,390,11,D
Lewis,Newcastle,392,10,D
Fredericks,Bournemouth,395,7,D
Pablo Marí,Arsenal,411,0,D
Saliba,Arsenal,413,0,D
Smith,Bournemouth,416,0,D
Stacey,Bournemouth,417,0,D
Mepham,Bournemouth,419,0,D
Kelly,Bournemouth,421,0,D
Zemura,Bournemouth,422,0,D
Ampadu,Chelsea,428,0,D
Ream,Fulham,431,0,D
Bryan,Fulham,433,0,D
Tosin,Fulham,434,0,D
Tete,Fulham,437,0,D
Robinson,Fulham,439,0,D
Botman,Newcastle,446,0,D
Cook,Nott'm Forest,448,0,D
McKenna,Nott'm Forest,453,0,D
Worrall,Nott'm Forest,454,0,D
Laryea,Nott'm Forest,455,0,D
Mbe Soh,Nott'm Forest,456,0,D
Biancone,Nott'm Forest,459,0,D
Bella-Kotchap,Southampton,461,0,D
Niakhaté,Nott'm Forest,466,0,D
Richards,Nott'm Forest,469,0,D
Collins,Wolves,470,55,D
Malacia,Man Utd,471,0,D
Spence,Spurs,474,0,D
Toffolo,Nott'm Forest,475,0,D
Augustinsson,Aston Villa,476,0,D
Mee,Brentford,477,74,D
Martínez,Man Utd,478,0,D
Mbabu,Fulham,479,0,D
Vinagre,Everton,481,0,D
Richards,Crystal Palace,486,0,D
Hill,Bournemouth,489,0,D
Young,Aston Villa,490,50,D
B.Williams,Man Utd,492,36,D
Tanganga,Spurs,493,29,D
Tomkins,Crystal Palace,495,17,D
Vestergaard,Leicester,497,11,D
Valery,Southampton,498,9,D
Branthwaite,Everton,500,7,D
Dummett,Newcastle,502,7,D
Toti,Wolves,503,6,D
Kenedy,Chelsea,504,4,D
Bertrand,Leicester,505,4,D
