player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Marquise Goodwin,7859,WR,CLV,5,2,0,1,95.2,20,0,21,1,0,0,5,0.0,1,1,8,0,0,67.8,46.1,78.0,,,44.8,61.1,58.9,20,0,4,2,29,18,0,0,7,4,0,21,5,2.5,10.5,0.14,0
Puka Nacua,100632,WR,LA,6,2,2,0,0.0,0,0,4,5,4,2,4,23.1,0,1,26,1,2,39.0,82.2,87.1,,55.6,80.9,65.8,67.7,4,1,598,50,238,123,0,0,66,52,0,4,4,2.0,2.0,2.51,0
Alec Ingold,34934,FB,MIA,6,2,0,0,,0,0,0,0,0,0,1,0.0,0,0,17,0,0,68.7,54.8,84.0,,78.3,59.4,53.5,45.9,0,0,57,3,58,85,0,0,3,5,0,0,1,0.5,0.0,0.98,0
Wan'Dale Robinson,101735,WR,NYG,4,2,0,0,0.0,0,1,8,0,2,0,4,16.7,0,1,21,0,1,75.6,67.3,28.2,,,67.5,65.6,57.4,7,1,141,22,97,49,0,0,25,24,0,8,4,2.0,4.0,1.45,0
Blaine Gabbert,6162,QB,KC,1,2,0,0,0.0,0,0,-1,0,0,0,0,0.0,0,0,16,0,0,70.8,40.2,75.0,38.3,,,60.0,60.0,0,0,0,0,0,15,0,0,0,2,0,-1,0,0.0,-0.5,,0
Tyler Scott,123578,WR,CHI,6,2,0,0,0.0,0,0,19,1,1,0,0,0.0,1,0,6,0,0,73.7,55.6,9.9,,,57.2,59.9,56.2,11,1,32,5,61,40,0,0,9,7,0,19,0,0.0,9.5,0.52,0
Keenan Allen,7857,WR,LAC,5,2,0,0,0.0,0,0,6,0,3,0,6,20.5,0,1,27,1,0,32.0,85.5,57.7,73.6,77.5,86.5,,38.9,4,1,519,42,203,90,0,0,54,44,0,6,6,3.0,3.0,2.56,0
Xavier Hutchinson,122518,WR,HST,4,2,1,0,0.0,0,0,15,0,0,1,13,216.7,1,1,13,0,1,66.7,51.7,78.2,,,51.2,60.2,58.8,12,0,9,1,32,13,0,0,2,3,0,15,13,6.5,7.5,0.28,0
DeAndre Carter,9859,WR,LV,6,2,0,0,0.0,0,0,3,1,0,0,1,0.0,0,1,23,0,0,79.8,45.7,78.7,,,46.7,62.3,40.0,3,0,21,2,30,27,0,0,4,4,0,3,1,0.5,1.5,0.7,0
Brandon Powell,48036,WR,MIN,4,2,0,0,0.0,0,0,8,1,0,0,2,0.0,0,0,18,0,0,29.2,59.8,78.3,,,63.8,61.9,29.5,9,0,68,8,46,14,0,0,11,10,0,8,2,1.0,4.0,1.48,0
