player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_pass_rush_defense,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_pass_rush_defense,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_pass_rush_defense,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_pass_rush_defense,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Josh Allen,46601,QB,BUF,6,228,81.0,58,62,7.7,2.79,0,3,4.6,71.0,44,29,6.4,70,30.7,3,31,,,,83.0,83.7,79.5,79.8,,,74.1,1,0,75,13.8,116.3,5.7,4,4,0,3,4,1,1.3,500,8.1,0,4,73.5,88.6,86.5,69.3,79.9,134,143,9.3,3.04,3,9,6.0,72.0,103,44,3.7,158,69.3,4,53,,,,88.8,86.5,82.5,84.2,,,68.4,1,6,169,11.4,97.0,3.2,5,10,1,4,9,5,3.0,1076,7.5,85.6,146,151,7.8,2.47,3,8,5.1,78.8,119,0,4.8,155,68.0,6,62,,,,88.4,92.6,82.4,92.0,,,56.0,0,2,162,,113.7,0.0,0,4,1,1,8,2,1.2,1264,8.4,0,63.0,46,54,12.0,4.0,0,4,6.9,51.9,28,73,3.4,73,32.0,1,22,,,,83.6,65.4,79.8,58.1,,,79.8,2,4,82,12.3,69.4,12.3,9,10,0,6,5,4,4.9,312,5.8
Joshua Dobbs,11890,QB,ARZ,6,220,70.9,55,61,9.0,2.48,1,3,4.5,60.7,37,27,5.1,66,30.0,2,28,,,,82.7,68.8,79.3,66.5,,,65.6,3,2,72,7.4,77.3,3.0,2,1,0,2,2,2,2.8,401,6.6,0,1,63.7,63.7,58.5,78.8,72.1,129,135,8.6,2.82,2,1,0.7,63.7,86,53,7.5,154,70.0,7,41,,,,88.5,58.7,82.5,54.3,,,83.5,0,1,166,17.0,87.1,5.8,9,9,0,4,4,7,4.2,814,6.0,72.7,128,132,8.3,2.44,3,3,2.1,65.2,86,0,7.5,140,63.6,7,45,,,,87.8,70.5,82.1,67.9,,,73.6,0,2,150,,87.6,0.0,0,5,0,1,4,3,2.0,869,6.6,2,69.6,56,64,9.6,3.21,0,1,1.4,57.8,37,80,5.1,80,36.4,2,24,,,,83.8,49.9,80.1,44.7,,,85.2,3,1,88,13.8,76.7,13.8,11,5,0,5,2,6,6.8,346,5.4
Mac Jones,60323,QB,NE,6,219,71.4,42,45,7.8,1.96,3,1,2.2,62.2,28,13,6.7,48,21.9,2,12,,,,80.3,46.2,77.9,47.1,,,,0,1,49,23.1,67.0,6.3,3,0,0,0,0,3,6.1,241,5.4,0,19,60.2,53.7,54.4,55.6,71.8,149,156,8.4,2.57,1,6,3.7,64.7,101,62,5.6,171,78.1,6,44,,,,69.3,59.8,82.8,58.2,,,69.9,2,6,180,14.5,76.5,5.3,9,6,0,4,5,11,6.1,967,6.2,78.4,134,140,7.2,2.11,4,5,3.5,70.7,99,0,5.7,144,65.8,6,37,,,,87.7,63.6,82.0,63.7,,,55.4,0,4,148,,84.7,0.0,0,4,0,2,4,7,4.7,877,6.3,2,56.1,57,61,10.7,3.05,0,2,3.1,49.2,30,75,6.3,75,34.2,2,19,,,,48.0,44.8,79.7,41.7,,,78.1,2,3,81,16.0,50.6,16.0,12,2,0,2,1,7,8.6,331,5.4
Russell Wilson,7077,QB,DEN,6,219,76.5,34,44,7.6,2.98,3,2,4.2,54.5,24,29,7.7,53,24.2,2,11,,,,24.2,46.6,78.6,50.2,,,45.3,0,2,59,24.1,65.2,13.2,7,2,0,7,1,4,6.8,306,7.0,0,10,43.9,72.0,68.9,72.0,78.1,128,141,8.2,3.14,3,8,5.3,69.5,98,57,2.0,166,75.8,2,52,,,,68.7,77.7,82.7,74.9,,,71.6,2,2,176,21.1,109.6,7.2,12,13,3,5,11,4,2.3,999,7.1,77.8,117,127,7.0,2.56,3,5,3.7,70.1,89,0,2.2,133,60.7,2,40,,,,87.3,74.4,81.8,71.3,,,75.4,0,3,140,,101.2,0.0,0,6,3,4,8,4,2.9,902,7.1,1,77.8,45,58,10.9,3.93,3,5,7.8,56.9,33,86,5.7,86,39.3,2,23,,,,23.7,60.2,80.3,61.8,,,53.8,2,1,95,22.1,94.3,22.1,19,9,0,8,4,4,4.2,403,6.9
Jared Goff,10635,QB,DET,6,216,77.8,63,72,6.9,2.43,3,3,4.1,58.3,42,31,14.3,77,35.6,7,27,,,,83.2,67.7,79.6,65.4,,,65.6,0,2,78,12.9,81.1,5.2,4,1,0,6,3,2,2.6,486,6.8,0,11,90.3,90.4,88.4,72.1,84.6,123,131,7.5,2.64,2,6,4.4,75.6,99,39,4.8,139,64.4,5,51,,,,87.6,92.7,81.9,91.9,,,54.6,1,1,145,15.4,118.2,4.3,6,2,1,4,8,1,0.7,1131,8.6,88.2,136,145,6.9,2.36,5,7,4.7,75.9,110,0,8.3,146,67.6,10,61,,,,87.8,93.6,82.0,92.3,,,65.6,0,1,149,,119.0,0.0,0,1,1,3,9,1,0.7,1247,8.6,1,66.0,50,58,8.5,2.98,0,2,3.3,53.4,31,70,6.1,70,32.4,2,17,,,,82.9,61.4,79.4,62.1,,,54.6,1,2,74,14.3,70.3,14.3,10,2,0,7,2,2,2.7,370,6.4
Lamar Jackson,46416,QB,BLT,6,215,71.0,69,73,7.9,2.75,1,3,3.9,58.9,43,34,12.2,85,39.5,6,20,,,,50.6,75.4,80.1,70.6,,,79.8,0,2,89,17.6,80.1,7.1,6,6,0,3,3,3,3.4,467,6.4,0,3,25.6,88.7,86.2,75.0,84.5,97,100,8.5,3.13,1,7,6.5,78.0,78,39,4.9,130,60.5,4,44,,,,23.5,90.6,81.8,90.2,,,67.5,1,1,141,25.6,101.9,7.7,10,19,0,1,2,5,3.5,786,7.9,84.0,125,126,7.0,2.59,1,5,3.8,78.6,99,0,5.7,142,66.0,6,49,,,,27.0,92.2,82.0,92.2,,,59.3,0,2,147,,99.2,0.7,1,14,0,0,3,5,3.4,944,7.5,1,63.4,41,47,11.9,3.75,1,5,9.6,46.8,22,73,15.4,73,34.0,4,15,,,,26.8,67.4,79.8,58.7,,,83.9,1,1,83,20.5,73.8,20.5,15,11,0,4,2,3,3.6,309,6.6
Dak Prescott,10769,QB,DAL,6,214,78.4,51,54,7.8,2.49,2,2,3.4,72.2,39,26,2.5,63,29.4,1,25,,,,82.3,70.4,79.1,66.9,,,74.5,1,2,68,15.4,94.5,6.3,4,4,0,0,3,1,1.5,378,7.0,0,9,75.8,75.8,72.2,78.9,77.3,132,136,7.3,2.67,0,6,4.2,68.4,93,45,8.8,151,70.6,9,44,,,,66.5,74.2,82.3,72.3,,,67.5,1,2,159,22.2,89.5,6.6,10,3,0,3,3,4,2.5,954,7.0,80.9,136,138,6.7,2.19,1,6,4.3,72.5,100,0,9.1,143,66.8,10,52,,,,87.7,76.3,82.0,76.3,,,47.9,0,2,147,,95.0,0.0,0,2,0,1,4,3,2.0,956,6.9,2,68.1,47,52,9.7,3.5,1,2,3.3,61.5,32,71,0.0,71,33.2,0,17,,,,47.6,67.1,79.7,60.2,,,90.0,2,2,80,19.7,80.3,19.7,14,5,0,2,2,2,2.5,376,7.2
Zach Wilson,82096,QB,NYJ,6,213,73.1,52,56,8.2,2.84,1,1,1.7,62.5,35,29,7.9,64,30.0,3,22,,,,53.9,55.6,79.0,54.6,,,66.0,0,2,66,20.7,77.5,9.4,6,2,0,3,1,2,3.0,434,7.8,0,22,47.6,61.4,57.4,75.6,75.5,110,126,7.6,2.95,3,4,3.0,59.5,75,60,9.6,149,70.0,8,31,,,,66.5,64.8,82.3,59.6,,,83.6,3,3,159,21.7,71.6,8.7,13,10,2,8,3,4,2.5,663,5.3,76.5,115,120,7.8,2.45,1,4,3.2,69.2,83,0,5.7,124,58.2,5,37,,,,86.8,72.8,81.6,69.6,,,76.6,0,4,131,,85.3,0.0,0,4,2,2,4,4,3.1,818,6.8,0,70.2,47,62,7.8,3.56,3,1,1.5,43.5,27,89,18.2,89,41.8,6,16,,,,30.6,45.8,80.3,40.0,,,78.7,3,1,94,21.3,50.4,21.3,19,8,0,9,0,2,2.1,279,4.5
Justin Herbert,28237,QB,LAC,5,211,80.0,75,78,8.1,2.47,1,3,3.6,75.6,59,34,1.7,87,41.2,1,32,,,,53.4,69.7,80.3,67.3,58.4,,71.8,1,2,94,14.7,115.5,5.7,5,4,0,1,7,4,4.3,584,7.5,0,27,60.9,74.0,70.3,75.0,68.4,98,104,9.1,2.85,1,5,4.3,63.5,66,39,1.5,124,58.8,1,38,,,,63.3,73.3,81.7,69.9,,,74.2,1,0,136,12.8,91.4,4.0,5,12,0,4,2,3,2.2,749,7.2,79.0,124,128,7.3,2.38,2,4,2.9,75.8,97,0,1.0,138,65.4,1,51,,,,87.8,76.2,82.1,74.2,58.4,,67.8,0,0,149,,111.6,0.0,0,7,0,2,6,3,2.0,944,7.4,1,59.2,49,54,12.1,3.29,0,4,6.7,51.9,28,73,3.4,73,34.6,1,19,,,,27.1,65.1,79.7,60.0,,,77.9,2,2,81,13.7,78.4,13.7,10,9,0,3,3,4,4.9,389,7.2
Tua Tagovailoa,60326,QB,MIA,6,209,81.7,60,67,7.1,2.19,2,6,8.6,68.7,46,17,6.1,68,32.5,3,32,,,,82.4,92.1,79.3,91.0,,,,2,0,71,5.9,121.4,1.5,1,0,1,2,6,0,0.0,518,7.7,0,17,57.3,86.3,88.7,30.0,78.7,122,130,9.1,2.37,5,8,5.9,72.3,94,28,2.1,141,67.5,2,63,,,,87.7,80.7,82.0,79.6,,,58.8,0,5,148,17.9,110.4,3.5,5,5,0,3,8,7,4.7,1358,10.4,84.4,154,160,7.8,2.11,4,10,5.9,78.1,125,0,3.8,164,78.5,5,82,,,,88.9,93.3,82.6,92.2,,,61.4,0,3,173,,128.6,0.0,0,3,1,1,13,4,2.3,1640,10.3,1,53.6,28,37,12.0,3.05,3,4,10.8,40.5,15,45,0.0,45,21.5,0,13,,,,79.8,51.2,77.7,52.1,,,57.0,2,2,46,13.3,48.9,13.3,6,2,0,4,1,3,6.5,236,6.4
