player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Lavonte David,7060,LB,TB,6,26,8.7,6.5,30,0,90.6,3,4,0,25,11,0.96
Quay Walker,82547,LB,GB,6,17,8.5,8.5,12,0,97.9,2,2,0,15,3,0.88
Cody Barton,50727,LB,WAS,6,17,8.5,8.5,32,0,93.8,2,2,0,13,2,0.76
Asante Samuel Jr.,76625,CB,LAC,2,17,8.5,8.5,27,0,118.8,2,2,0,43,18,2.53
Zyon McCollum,66769,CB,TB,4,17,8.5,5.7,30,0,109.7,2,3,0,67,45,3.94
Roger McCreary,83176,CB,TEN,6,151,8.4,6.0,31,0,93.3,18,25,0,187,111,1.24
Tre Herndon,50380,CB,JAX,7,200,8.3,6.9,15,0,128.4,24,29,2,270,163,1.35
Trent McDuffie,72191,CB,KC,7,149,8.3,5.7,16,0,86.4,18,26,0,166,64,1.11
Harrison Smith,7641,S,MIN,7,41,8.2,4.6,18,0,69.7,5,9,0,46,24,1.12
Jevon Holland,83873,S,MIA,7,49,8.2,6.1,17,0,84.9,6,8,0,39,20,0.8
Keisean Nixon,56167,CB,GB,6,147,8.2,6.4,12,0,109.6,18,23,1,157,103,1.07
Jalen Davis,50431,CB,CIN,3,8,8.0,4.0,7,0,135.4,1,2,1,25,4,3.13
Theo Jackson,62919,S,MIN,1,8,8.0,8.0,18,0,100.0,1,1,0,8,0,1.0
Garrett Williams,99723,CB,ARZ,1,16,8.0,4.0,1,1,19.8,2,4,0,15,13,0.94
Jayron Kearse,10878,S,DAL,6,56,8.0,6.2,9,0,98.1,7,9,0,68,18,1.21
Nakobe Dean,99018,LB,PHI,2,8,8.0,8.0,24,0,104.2,1,1,0,9,3,1.13
Adrian Phillips,9177,S,NE,5,8,8.0,8.0,19,0,79.2,1,1,0,2,-2,0.25
Bradley Roby,8666,CB,PHI,2,32,8.0,3.6,24,0,51.6,4,9,0,6,1,0.19
Azeez Al-Shaair,49792,LB,TEN,5,8,8.0,8.0,31,0,95.8,1,1,0,7,1,0.88
Rodney McLeod,7271,S,CLV,5,16,8.0,4.0,8,0,62.5,2,4,0,18,8,1.13
Blake Cashman,35413,LB,HST,4,24,8.0,3.0,13,0,45.8,3,8,0,9,12,0.38
Eric Wilson,38587,LB,GB,4,8,8.0,8.0,12,0,95.8,1,1,0,7,6,0.88
Isaiah Simmons,42451,LB,NYG,5,16,8.0,8.0,21,0,118.8,2,2,0,25,24,1.56
Kendall Fuller,10718,CB,WAS,5,8,8.0,8.0,32,0,100.0,1,1,0,8,-1,1.0
Brian Branch,123907,CB,DET,5,127,7.9,6.4,11,1,110.6,16,20,3,121,33,0.95
Ja'Quan McMillian,100931,CB,DEN,5,102,7.8,6.0,10,0,134.1,13,17,3,117,88,1.15
Elijah Molden,56290,S,TEN,4,30,7.5,6.0,31,0,85.0,4,5,0,22,15,0.73
C.J. Gardner-Johnson,49371,S,DET,2,15,7.5,7.5,11,0,97.9,2,2,0,15,2,1.0
Terrel Bernard,57739,LB,BUF,5,15,7.5,7.5,4,0,118.8,2,2,0,27,23,1.8
Quentin Lake,56245,S,LA,7,52,7.4,4.7,26,0,82.4,7,11,0,72,25,1.38
Adoree' Jackson,11773,CB,NYG,6,51,7.3,6.4,21,0,118.8,7,8,0,130,93,2.55
Will Harris,51336,CB,DET,5,73,7.3,5.6,11,1,78.4,10,13,0,138,41,1.89
Artie Burns,10659,CB,SEA,3,73,7.3,5.2,29,0,94.6,10,14,0,111,63,1.52
Isaiah Oliver,50393,CB,SF,7,182,7.3,6.5,28,1,91.2,25,28,1,185,70,1.02
Essang Bassey,45258,CB,LAC,3,65,7.2,7.2,27,0,98.6,9,9,0,69,42,1.06
Budda Baker,11791,S,ARZ,2,7,7.0,7.0,1,0,158.3,1,1,1,28,3,4.0
Kareem Jackson,5545,S,DEN,7,35,7.0,5.8,10,0,134.7,5,6,1,41,13,1.17
David Long Jr.,29367,LB,MIA,7,56,7.0,6.2,17,0,115.3,8,9,0,105,42,1.88
Dee Delaney,31078,CB,TB,1,7,7.0,7.0,30,0,83.3,1,1,0,4,7,0.57
Johnathan Abram,34646,S,NO,2,7,7.0,7.0,20,0,118.8,1,1,0,42,36,6.0
Jamel Dean,34918,CB,TB,4,7,7.0,7.0,30,0,91.7,1,1,0,6,1,0.86
Luke Masterson,45046,LB,LV,4,7,7.0,3.5,23,0,56.3,1,2,0,4,7,0.57
Tavierre Thomas,66931,CB,HST,2,42,7.0,7.0,13,0,88.9,6,6,0,32,22,0.76
Isaac Yiadom,49355,CB,NO,3,7,7.0,7.0,20,0,79.2,1,1,0,3,7,0.43
Drue Tranquill,51276,LB,KC,4,7,7.0,7.0,16,0,79.2,1,1,0,2,5,0.29
Dre Greenlaw,51503,LB,SF,6,21,7.0,4.2,28,0,108.3,3,5,1,20,19,0.95
Russ Yeast,55629,S,LA,6,35,7.0,4.4,26,0,76.6,5,8,0,43,32,1.23
Byron Murphy Jr.,44027,CB,MIN,7,76,6.9,5.4,18,0,152.4,11,14,2,155,92,2.04
Dee Alford,110542,CB,ATL,7,161,6.7,4.7,2,0,107.5,24,34,2,220,136,1.37
Kenneth Murray Jr.,58099,LB,LAC,6,20,6.7,5.0,27,0,95.8,3,4,0,30,10,1.5
Ar'Darius Washington,77848,CB,BLT,2,74,6.7,5.3,3,0,114.6,11,14,1,81,57,1.09
Keanu Neal,10651,S,PIT,6,40,6.7,4.0,25,0,78.3,6,10,0,63,35,1.58
K'Von Wallace,42467,S,ARZ,6,53,6.6,4.4,1,1,53.5,8,12,0,88,40,1.66
Kaden Elliss,51485,LB,ATL,7,33,6.6,6.6,2,0,105.0,5,5,0,46,31,1.39
Chidobe Awuzie,11815,CB,CIN,5,13,6.5,4.3,7,0,137.5,2,3,1,29,1,2.23
