"","Name","TeamAbbrev","Salary","proj_own","fpts","sum_sd","touches_game","runBlockAdv","opp","off_def","off_rush_epa_rank","def_rush_epa_rank","rdef_rank","mtf_per_attempt","breakaway_percent","elusive_rating","tack_rank","grades_offense","yco_attempt","yprr","name_salary_own"
"11","Brian Robinson Jr.","WAS",5200,17.68,18.41,0.679,17.3,-18,"CLE",15,16,30,32,1.5,15.6,42.6,28,84.2,2.61,0.79,"Brian Robinson Jr. 5200 17.68"
"12","Jamaal Williams","DET",5000,1.19,10.48,0.511,15.7,42,"CHI",-1.5,28,24,29,2,16.8,29.4,28,66.6,2.56,0.57,"Jamaal Williams 5000 1.19"
"13","Dalvin Cook","MIN",7000,9.81,15.95,0.439,18.7,27,"GB",4.5,24,31,26,2.7,29.7,68.6,17,69.8,3.25,0.75,"Dalvin Cook 7000 9.81"
"14","David Montgomery","CHI",6900,1.83,14.79,0.407,15.7,7,"DET",11.5,15,29,24,3.9,9.4,73,14,68.7,2.92,1.26,"David Montgomery 6900 1.83"
"15","Kareem Hunt","CLE",4500,0.16,4.56,0.398,9.9,13,"WAS",13.5,7,18,23,3.8,20,62.1,10,70.2,2.97,0.83,"Kareem Hunt 4500 0.16"
"16","Damien Harris","NE",5600,0.08,7.78,0.337,10.8,-31,"MIA",0.5,5,6,5,1.1,17.8,41.8,26,78,3.12,1.1,"Damien Harris 5600 0.08"
"17","Raheem Mostert","MIA",5500,1.16,9.83,0.307,13,7,"NE",-3.5,14,11,10,3.7,26.3,74.2,1,70.8,3.55,0.56,"Raheem Mostert 5500 1.16"
"18","Austin Ekeler","LAC",8500,4.63,17.63,0.287,18.8,-43,"LAR",-5.5,11,10,1,2.5,21.2,60.8,4,79.5,2.72,1.59,"Austin Ekeler 8500 4.63"
"19","Chuba Hubbard","CAR",4900,0.69,7.92,0.281,6.3,-22,"TB",17.5,1,17,20,1.8,29.9,55.5,11,71.1,2.85,1.51,"Chuba Hubbard 4900 0.69"
"20","Latavius Murray","DEN",5500,0.7,9.52,0.24,15.1,-22,"KC",-13.5,29,15,16,1.5,18,38.9,24,83.4,2.58,0.65,"Latavius Murray 5500 0.7"
"21","Isiah Pacheco","KC",5600,4.62,12.67,0.218,10.9,-4,"DEN",3.5,12,20,11,1.4,18.8,39.5,20,70.1,2.95,0.93,"Isiah Pacheco 5600 4.62"
"22","Aaron Jones","GB",7100,3.7,15.59,0.214,16.1,-52,"MIN",-13,18,7,3,3.6,24,77.8,2,85.3,3.24,1.28,"Aaron Jones 7100 3.7"
"23","Kenneth Walker III","SEA",6200,13.28,15.46,0.214,15.5,-50,"NYJ",-13,24,14,8,2.1,48.1,68.8,14,78.7,2.94,0.71,"Kenneth Walker III 6200 13.28"
"24","Khalil Herbert","CHI",4000,0.64,5.51,0.177,11.1,7,"DET",11.5,15,29,24,4.4,32.7,85,14,71.5,3.84,0.64,"Khalil Herbert 4000 0.64"
"25","D'Andre Swift","DET",5300,9.38,13.24,0.172,9.9,42,"CHI",-1.5,28,24,29,2.2,37.8,59.3,28,70.4,2.94,1.4,"D'Andre Swift 5300 9.38"
"26","Jeff Wilson Jr.","MIA",5400,2.18,9.19,0.157,11.6,7,"NE",-3.5,14,11,10,2.1,38.2,43.9,1,66.9,2.63,0.73,"Jeff Wilson Jr. 5400 2.18"
"27","Jordan Mason","SF",4200,0.02,0.87,0.115,4.7,-8,"LV",2.5,8,9,12,2.9,42.4,143.3,30,92.5,4.73,0,"Jordan Mason 4200 0.02"
"28","Eno Benjamin","NO",4000,0.01,0.24,0.112,8,-40,"PHI",-7,21,8,20,NA,30.4,93,21,71.7,3.31,0.97,"Eno Benjamin 4000 0.01"
"29","Leonard Fournette","TB",5600,6.33,13.83,0.093,17.6,-47,"CAR",-18.5,32,12,15,1.8,8.9,34.1,18,67.6,2.34,1.34,"Leonard Fournette 5600 6.33"
"30","Kenneth Gainwell","PHI",4400,0.05,6.36,0.086,4.5,-13,"NO",19,3,22,22,0.7,0,31.6,25,55,2.69,0.85,"Kenneth Gainwell 4400 0.05"
"31","Raheem Blackshear","CAR",4200,0.05,3.05,0.07,3.4,-22,"TB",17.5,1,17,20,2.1,21.1,63.3,11,70.8,2.45,2.09,"Raheem Blackshear 4200 0.05"
"32","Boston Scott","PHI",4000,0.05,1.92,0.065,3.7,-13,"NO",19,3,22,22,0.8,22.3,25.8,25,60.5,3.09,0.26,"Boston Scott 4000 0.05"
"33","Tyrion Davis-Price","SF",4400,0.04,4.07,0.06,6.2,-8,"LV",2.5,8,9,12,Inf,29.9,59.5,30,52.3,2.48,0,"Tyrion Davis-Price 4400 0.04"
"34","Zonovan Knight","NYJ",5100,11.31,13.32,-0.005,15.2,-39,"SEA",-5,27,27,17,1.7,26.7,116.7,23,81.1,2.86,1.32,"Zonovan Knight 5100 11.31"
"35","Jerick McKinnon","KC",6000,4.11,13.37,-0.021,7.8,-4,"DEN",3.5,12,20,11,1.3,26.4,33.5,20,59.5,2.3,1.48,"Jerick McKinnon 6000 4.11"
"36","James Conner","ARI",7200,14.54,17.67,-0.024,17.5,-33,"ATL",-0.5,26,32,19,1.5,14.2,58.7,22,67.1,2.8,0.87,"James Conner 7200 14.54"
"37","Royce Freeman","HOU",4600,0.72,9.57,-0.025,14.5,-38,"JAX",-12.5,30,21,14,0.6,0,49,32,64.1,2.37,0.92,"Royce Freeman 4600 0.72"
"38","Avery Williams","ATL",4000,0.01,2.82,-0.046,2.2,40,"ARI",22,4,25,27,7.5,21.2,38.5,12,61,2.24,0.98,"Avery Williams 4000 0.01"
"39","Jonathan Williams","WAS",4000,0.09,4.23,-0.147,2.7,-18,"CLE",15,16,30,32,1.1,45.6,100,28,70.8,4,1.75,"Jonathan Williams 4000 0.09"
"40","D'Ernest Johnson","CLE",4000,0.02,0.16,-0.152,1.2,13,"WAS",13.5,7,18,23,2.4,0,42.9,10,66.1,3,0.37,"D'Ernest Johnson 4000 0.02"
"41","Kevin Harris","NE",4000,0.04,1.4,-0.165,3.6,-31,"MIA",0.5,5,6,5,Inf,0,95.1,26,67.5,2.44,0,"Kevin Harris 4000 0.04"
"42","JaMycal Hasty","JAX",4500,0.02,4.56,-0.188,3.4,-24,"HOU",9.5,20,28,31,3.3,39.1,52.5,27,69.1,2.24,1.07,"JaMycal Hasty 4500 0.02"
"43","David Johnson","NO",4100,0.03,5.24,-0.193,4.7,-40,"PHI",-7,21,8,20,0,0,0,21,48,1.92,0.9,"David Johnson 4100 0.03"
"44","Pierre Strong Jr.","NE",4300,0.03,0.37,-0.199,2.8,-31,"MIA",0.5,5,6,5,6.6,63,63.5,26,81,2.7,2,"Pierre Strong Jr. 4300 0.03"
"45","Kyle Juszczyk","SF",4000,0.02,3.26,-0.287,1.6,-8,"LV",2.5,8,9,12,0,0,27.8,30,60.4,1.6,0.97,"Kyle Juszczyk 4000 0.02"
"46","Marlon Mack","DEN",4300,0.04,2.84,-0.304,4.8,-22,"KC",-13.5,29,15,16,0.6,20.2,87.2,24,86.2,4.19,2.91,"Marlon Mack 4300 0.04"
"47","Michael Carter","NYJ",5100,0.5,8.52,-0.308,10.5,-39,"SEA",-5,27,27,17,3.5,31.1,58.1,23,61.2,2.75,1.18,"Michael Carter 5100 0.5"
"48","Snoop Conner","JAX",4000,0.04,0.43,-0.316,1.2,-24,"HOU",9.5,20,28,31,8.6,0,104.1,27,70.7,2.43,0,"Snoop Conner 4000 0.04"
"49","Demetric Felton","CLE",4000,0.04,0.12,-0.323,0.6,13,"WAS",13.5,7,18,23,9.4,0,33.3,10,50.8,1,0.32,"Demetric Felton 4000 0.04"
"50","Rachaad White","TB",5500,1.03,11.47,-0.349,10.6,-47,"CAR",-18.5,32,12,15,0.9,22.6,27.8,18,67.6,2.32,1.14,"Rachaad White 5500 1.03"
"51","Salvon Ahmed","MIA",4000,0.01,0.34,-0.356,2.8,7,"NE",-3.5,14,11,10,6.2,0,59.5,1,78.5,3.27,0,"Salvon Ahmed 4000 0.01"
"52","Chase Edmonds","DEN",4400,0.16,8.05,-0.392,5.9,-22,"KC",-13.5,29,15,16,Inf,31.9,20.3,24,47.5,1.88,0.89,"Chase Edmonds 4400 0.16"
"53","Matt Breida","NYG",4500,0.04,3.28,-0.474,3.5,-20,"IND",-2,16,20,8,1.2,0,17.3,10,63.8,2.29,0.97,"Matt Breida 4500 0.04"
"54","Alexander Mattison","MIN",4500,0.04,3.2,-0.478,4.6,27,"GB",4.5,24,31,26,5.4,7.9,102.2,17,65.9,2.82,0.57,"Alexander Mattison 4500 0.04"
"55","Joshua Kelley","LAC",5300,0.06,5.25,-0.498,6.1,-43,"LAR",-5.5,11,10,1,1.9,17,44,4,61.3,2.95,0.85,"Joshua Kelley 5300 0.06"
"56","Travis Homer","SEA",4300,0.01,0.86,-0.535,3.5,-50,"NYJ",-13,24,14,8,1.2,21.6,61.1,14,63.2,3.05,1.6,"Travis Homer 4300 0.01"
"57","Ameer Abdullah","LV",4100,0.06,2.99,-0.54,2.2,-42,"SF",-18,20,2,2,0,0,12.5,3,66.5,3.5,1.73,"Ameer Abdullah 4100 0.06"
"58","DeeJay Dallas","SEA",4100,0.07,4.66,-0.587,3.2,-50,"NYJ",-13,24,14,8,17.3,14,39.6,14,57.6,2.58,0.77,"DeeJay Dallas 4100 0.07"
"59","Gary Brightwell","NYG",4000,0.03,0.3,-0.607,2.1,-20,"IND",-2,16,20,8,1.8,20.8,26.3,10,68.7,1.67,1.2,"Gary Brightwell 4000 0.03"
"60","Deon Jackson","IND",5500,0.12,6.11,-0.636,7.4,-37,"NYG",-5.5,31,26,25,0.5,17.3,25.9,6,59.9,2.33,1.16,"Deon Jackson 5500 0.12"
"61","Ty Johnson","NYJ",4000,0.04,1.27,-0.653,2.9,-39,"SEA",-5,27,27,17,Inf,47.1,146.6,23,75.9,4.76,0.88,"Ty Johnson 4000 0.04"
"62","Rex Burkhead","HOU",4800,0.11,4.45,-0.654,4.2,-38,"JAX",-12.5,30,21,14,12.4,0,31.5,32,59.7,2.65,1.14,"Rex Burkhead 4800 0.11"
"63","Zack Moss","IND",5400,2.03,12.24,-0.708,6.2,-37,"NYG",-5.5,31,26,25,0.8,22.4,63.1,6,61.6,2.38,0.43,"Zack Moss 5400 2.03"
"64","Dare Ogunbowale","HOU",4200,0.08,5.55,-0.758,3.1,-38,"JAX",-12.5,30,21,14,0.6,0,46.8,32,66.5,2.17,1.51,"Dare Ogunbowale 4200 0.08"
"65","Brandon Bolden","LV",4000,0.04,0.29,-0.758,2,-42,"SF",-18,20,2,2,1.4,0,7.4,3,53.2,0.44,1.12,"Brandon Bolden 4000 0.04"
"66","Ke'Shawn Vaughn","TB",4000,0.04,0.1,-0.822,2.5,-47,"CAR",-18.5,32,12,15,40.2,0,57.8,18,59.6,2.89,1.83,"Ke'Shawn Vaughn 4000 0.04"
"67","C.J. Ham","MIN",4000,0.01,0.68,-0.832,0.7,27,"GB",4.5,24,31,26,NA,0,25,17,53.6,1.25,1.11,"C.J. Ham 4000 0.01"
"68","Jordan Wilkins","IND",4000,0.02,2.73,-0.861,3.7,-37,"NYG",-5.5,31,26,25,Inf,0,66.2,6,59.5,2.43,0.88,"Jordan Wilkins 4000 0.02"
"69","Zander Horvath","LAC",4000,0.02,0.16,-0.977,0.6,-43,"LAR",-5.5,11,10,1,0,0,0,4,55.1,1,0.25,"Zander Horvath 4000 0.02"
"70","Keaontay Ingram","ARI",4500,0.01,2.09,-1.003,2.8,-33,"ATL",-0.5,26,32,19,1.9,0,73.6,22,50.5,2.04,0.53,"Keaontay Ingram 4500 0.01"
"71","Travis Etienne Jr.","JAX",6400,15.29,16.02,NA,NA,-24,"HOU",9.5,20,28,31,NA,NA,NA,27,NA,NA,NA,"Travis Etienne Jr. 6400 15.29"
"72","Cam Akers","LAR",6100,3.92,13.99,NA,12.1,-35,"LAC",NA,NA,23,30,1.7,15.4,54.2,19,76,2.74,0.68,"Cam Akers 6100 3.92"
"73","AJ Dillon","GB",5800,1.82,12.29,NA,NA,-52,"MIN",-13,18,7,3,NA,NA,NA,2,NA,NA,NA,"AJ Dillon 5800 1.82"
"74","Kyren Williams","LAR",4400,0.01,3.59,NA,6,-35,"LAC",NA,NA,23,30,1.5,12.8,48.5,19,68.1,2.91,0.97,"Kyren Williams 4400 0.01"
"75","Corey Clement","ARI",4200,0.02,0.29,NA,NA,-33,"ATL",-0.5,26,32,19,NA,NA,NA,22,NA,NA,NA,"Corey Clement 4200 0.02"
"76","Khari Blasingame","CHI",4000,0.04,0.16,NA,NA,7,"DET",11.5,15,29,24,NA,NA,NA,14,NA,NA,NA,"Khari Blasingame 4000 0.04"
"77","Ronald Jones II","KC",4000,0.04,0.21,NA,NA,-4,"DEN",3.5,12,20,11,NA,NA,NA,20,NA,NA,NA,"Ronald Jones II 4000 0.04"
"78","Jaret Patterson","WAS",4000,0.04,0.92,NA,NA,-18,"CLE",15,16,30,32,NA,NA,NA,28,NA,NA,NA,"Jaret Patterson 4000 0.04"
"79","Ronnie Rivers","LAR",4000,0.02,0.17,NA,4.7,-35,"LAC",NA,NA,23,30,NA,0,30.2,19,64.6,2.11,2.23,"Ronnie Rivers 4000 0.02"
"80","Larry Rountree III","LAC",4000,0.01,0.04,NA,NA,-43,"LAR",-5.5,11,10,1,NA,NA,NA,4,NA,NA,NA,"Larry Rountree III 4000 0.01"
"81","Malcolm Brown","LAR",4000,0.03,1.77,NA,2.8,-35,"LAC",NA,NA,23,30,Inf,29.3,53.5,19,61.6,2.35,0.79,"Malcolm Brown 4000 0.03"
