"","Name","TeamAbbrev","Salary","proj_own","fpts","grades_pass_route","advantage","adv","targets_per_game","yprr","sum_sd","opp","def_pass_epa_rank","cov_rank","man_zone_yprr_split","man_yprr","zone_yprr","man_rank","zone_rank","man_pass_plays","man_percentage","def_man_grade_rank","zone_pass_plays","zone_percentage","route_rate","slot_rate_cov","slot_rate","slot","wide","def_zone_grade_rank","def_pass_epa","touchdowns","yards_after_catch_per_reception","name_salary_own"
"61","Marquez Valdes-Scantling","KC",4100,0.87,6.53,63.9,31,-8.00000000000001,4.2,1.28,-0.222,"DEN",3,1,0.16,1.31,1.15,23,10,196,0.244,2,251,0.756,93.7,71.9,38.6,67.55,74.66,12,-0.083,2,3.2,"Marquez Valdes-Scantling 4100 0.87"
"62","Marvin Jones Jr.","JAX",3600,0.32,6.38,59.6,34.9,NA,4.9,1.03,-0.12,"HOU",22,29,-0.0600000000000001,0.98,1.04,24,9,127,0.239,21,253,0.761,95.5,NA,15,NA,NA,30,0.085,3,2,"Marvin Jones Jr. 3600 0.32"
"63","Hunter Renfrow","LV",4000,0.32,6.17,63.1,39.3,-2.1,4.8,1.06,-0.25,"SF",6,2,-0.36,0.58,0.94,28,4,50,0.212,12,142,0.788,95.1,65.2,86.9,64.79,67.77,2,-0.059,1,4.1,"Hunter Renfrow 4000 0.32"
"64","Quez Watkins","PHI",3300,0.12,6.08,57.4,42.3,-1,2.9,0.96,-0.37,"NO",11,12,-0.32,0.44,0.76,10,23,119,0.298,20,220,0.702,94.2,58.4,74.5,60.71,51.56,11,0.009,3,4.6,"Quez Watkins 3300 0.12"
"65","Tyquan Thornton","NE",3000,0.29,5.98,52.9,NA,-5.3,3.1,0.65,NA,"MIA",25,24,0.0600000000000001,0.55,0.49,3,30,72,0.436,24,162,0.564,94.1,58.2,23.4,61.35,57.23,24,0.117,1,3.1,"Tyquan Thornton 3000 0.29"
"66","Dante Pettis","CHI",3700,1.75,5.89,54.7,29.3,2.8,2,0.83,-0.507,"DET",24,32,-1.26,0.03,1.29,2,31,86,0.453,24,166,0.547,93.5,51.9,38,56.29,49.17,31,0.116,3,3.2,"Dante Pettis 3700 1.75"
"67","Russell Gage","TB",3800,1.01,5.87,64.7,NA,6.2,5.5,1.17,NA,"CAR",16,28,-0.39,0.93,1.32,30,3,88,0.2,32,203,0.8,94.5,58.5,37.6,56.66,59.54,28,0.042,4,3.4,"Russell Gage 3800 1.01"
"68","Ray-Ray McCloud III","SF",3400,0.37,5.85,70.5,54.4,10.8,1.3,1.38,-0.169,"LV",28,25,-0.84,0.85,1.69,6,27,40,0.39,27,89,0.61,93,59.7,44.6,60.4,59.08,21,0.136,1,3.9,"Ray-Ray McCloud III 3400 0.37"
"69","Kendall Hinton","DEN",3800,0.39,5.77,61.4,NA,-7.3,2.6,1.18,NA,"KC",10,5,-0.86,0.49,1.35,8,25,80,0.362,3,173,0.638,91,68.7,51.7,70.49,66.81,12,-0.006,0,5.6,"Kendall Hinton 3800 0.39"
"70","Phillip Dorsett II","HOU",3200,0.58,5.69,NA,NA,NA,NA,NA,NA,"JAX",20,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.59,67.53,NA,0.064,NA,NA,"Phillip Dorsett II 3200 0.58"
