"","Name","TeamAbbrev","Salary","proj_own","fpts","grades_pass_route","advantage","adv","targets_per_game","yprr","sum_sd","opp","def_pass_epa_rank","cov_rank","man_zone_yprr_split","man_yprr","zone_yprr","man_rank","zone_rank","man_pass_plays","man_percentage","def_man_grade_rank","zone_pass_plays","zone_percentage","route_rate","slot_rate_cov","slot_rate","slot","wide","def_zone_grade_rank","def_pass_epa","touchdowns","yards_after_catch_per_reception","name_salary_own"
"125","Dax Milne","WAS",3000,0.02,0.09,61.8,NA,NA,0.6,1.06,NA,"CLE",4,19,-0.0599999999999998,1.11,1.17,22,11,10,0.248,8,19,0.752,94.6,NA,54.1,NA,NA,23,-0.079,1,2.3,"Dax Milne 3000 0.02"
"126","Jalen Nailor","MIN",3000,0.03,0.09,72.4,NA,3.5,1,2.55,NA,"GB",17,13,NA,NA,1.67,21,12,0,0.251,6,9,0.749,100,68.9,27.3,62.29,71.41,24,0.054,0,3,"Jalen Nailor 3000 0.03"
"127","Cam Sims","WAS",3000,0.01,0.08,51.8,NA,NA,1.1,0.43,NA,"CLE",4,19,-0.1,0.31,0.41,22,11,40,0.248,8,111,0.752,96.6,NA,22.7,NA,NA,23,-0.079,0,3.1,"Cam Sims 3000 0.01"
"128","Michael Bandy","LAC",3000,0,0.08,54.3,NA,NA,2,0.62,NA,"LAR",30,21,-0.24,0.61,0.85,32,1,32,0.133,31,86,0.867,95.4,NA,21.2,NA,NA,10,0.149,0,2,"Michael Bandy 3000 0"
"129","Frank Darby","ATL",3000,0.05,0.07,NA,NA,NA,NA,NA,NA,"ARI",18,17,NA,NA,NA,31,2,NA,0.198,14,NA,0.802,NA,NA,NA,NA,NA,3,0.059,NA,NA,"Frank Darby 3000 0.05"
"130","Andre Roberts","CAR",3000,0,0.07,NA,NA,NA,NA,NA,NA,"TB",5,7,NA,NA,NA,28,4,NA,0.212,5,NA,0.788,NA,NA,NA,66.09,68.49,15,-0.063,NA,NA,"Andre Roberts 3000 0"
"131","Kirk Merritt","NO",3000,0.03,0.06,56,NA,-14.3,0.5,0,NA,"PHI",1,11,0,0,0,18,15,3,0.266,12,2,0.734,100,70.3,40,60.8,76.57,8,-0.097,0,NA,"Kirk Merritt 3000 0.03"
"132","DeAndre Hopkins","ARI",7700,0,NA,73.5,72.6,15.4,10.3,1.98,0.759,"ATL",31,30,-1.03,1.19,2.22,19,14,51,0.265,26,237,0.735,93.3,58.1,27.3,59.98,57.35,29,0.212,3,2.8,"DeAndre Hopkins 7700 0"
"133","Deebo Samuel","SF",6000,0,NA,77.1,NA,17.7,7.1,1.74,NA,"LV",28,25,-0.78,1.25,2.03,6,27,95,0.39,27,231,0.61,93.6,59.4,27.1,60.4,59.08,21,0.136,2,8.7,"Deebo Samuel 6000 0"
"134","Marquise Goodwin","SEA",4400,0,NA,64.5,21.7,-6.90000000000001,3,1.29,-0.337,"NYJ",12,4,0.39,1.79,1.4,14,19,81,0.287,4,174,0.713,94,71.4,58.8,63.15,83.22,6,0.014,4,4.4,"Marquise Goodwin 4400 0"
"135","Ben Skowronek","LAR",4100,0,NA,NA,NA,NA,NA,NA,NA,"LAC",8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.79,64.99,NA,-0.037,NA,NA,"Ben Skowronek 4100 0"
"136","DeVante Parker","NE",3700,0,NA,71.5,73.1,13.9,3.3,1.64,0.387,"MIA",25,24,-0.0900000000000001,1.67,1.76,3,30,80,0.436,24,170,0.564,93.3,57.6,8.3,61.35,57.23,24,0.117,1,3.8,"DeVante Parker 3700 0"
"137","Mecole Hardman","KC",3600,0,NA,65.8,NA,-5.2,4.1,1.49,NA,"DEN",3,1,0.85,1.9,1.05,23,10,94,0.244,2,97,0.756,91.3,71,52.1,67.55,74.66,12,-0.083,4,6.6,"Mecole Hardman 3600 0"
"138","Jarvis Landry","NO",3600,0,NA,66.5,NA,1,4.1,1.31,NA,"PHI",1,11,-0.73,1.04,1.77,18,15,50,0.266,12,122,0.734,93.7,65.5,70.1,60.8,76.57,8,-0.097,1,2.5,"Jarvis Landry 3600 0"
"139","KJ Hamler","DEN",3500,0,NA,NA,NA,NA,NA,NA,NA,"KC",10,5,NA,NA,NA,8,25,NA,0.362,3,NA,0.638,NA,NA,NA,70.49,66.81,12,-0.006,NA,NA,"KJ Hamler 3500 0"
"140","Ashton Dulin","IND",3400,0,NA,71.6,NA,12.2,1.8,1.86,NA,"NYG",26,31,1.08,2.19,1.11,1,32,28,0.503,20,71,0.497,92.5,59.4,42.5,54.97,62.75,32,0.121,1,2.3,"Ashton Dulin 3400 0"
"141","Bo Melton","GB",3000,0,NA,NA,NA,NA,NA,NA,NA,"MIN",29,23,NA,NA,NA,25,8,NA,0.234,1,NA,0.766,NA,NA,NA,55.58,71.92,18,0.138,NA,NA,"Bo Melton 3000 0"
"142","Rondale Moore","ARI",3000,0,NA,63.6,NA,4.8,6.9,1.47,NA,"ATL",31,30,-0.2,1.22,1.42,19,14,50,0.265,26,179,0.735,93.4,58.8,56.8,59.98,57.35,29,0.212,1,7.1,"Rondale Moore 3000 0"
"143","Antoine Wesley","ARI",3000,0,NA,NA,NA,NA,NA,NA,NA,"ATL",31,30,NA,NA,NA,19,14,NA,0.265,26,NA,0.735,NA,NA,NA,59.98,57.35,29,0.212,NA,NA,"Antoine Wesley 3000 0"
"144","Javon Wims","ARI",3000,0,NA,NA,NA,NA,NA,NA,NA,"ATL",31,30,NA,NA,NA,19,14,NA,0.265,26,NA,0.735,NA,NA,NA,59.98,57.35,29,0.212,NA,NA,"Javon Wims 3000 0"
"145","Jared Bernhardt","ATL",3000,0,NA,NA,NA,NA,NA,NA,NA,"ARI",18,17,NA,NA,NA,31,2,NA,0.198,14,NA,0.802,NA,NA,NA,NA,NA,3,0.059,NA,NA,"Jared Bernhardt 3000 0"
"146","Emeka Emezie","ATL",3000,0,NA,NA,NA,NA,NA,NA,NA,"ARI",18,17,NA,NA,NA,31,2,NA,0.198,14,NA,0.802,NA,NA,NA,NA,NA,3,0.059,NA,NA,"Emeka Emezie 3000 0"
"147","Cameron Batson","ATL",3000,0,NA,NA,NA,NA,NA,NA,NA,"ARI",18,17,NA,NA,NA,31,2,NA,0.198,14,NA,0.802,NA,NA,NA,NA,NA,3,0.059,NA,NA,"Cameron Batson 3000 0"
"148","Josh Ali","ATL",3000,0,NA,NA,NA,NA,NA,NA,NA,"ARI",18,17,NA,NA,NA,31,2,NA,0.198,14,NA,0.802,NA,NA,NA,NA,NA,3,0.059,NA,NA,"Josh Ali 3000 0"
"149","Ra'Shaun Henry","ATL",3000,0,NA,NA,NA,NA,NA,NA,NA,"ARI",18,17,NA,NA,NA,31,2,NA,0.198,14,NA,0.802,NA,NA,NA,NA,NA,3,0.059,NA,NA,"Ra'Shaun Henry 3000 0"
"150","Quintez Cephus","DET",3000,0,NA,63.6,NA,4.9,0.8,0.71,NA,"CHI",32,20,-1.29,0,1.29,16,17,11,0.282,24,9,0.718,84,58.7,28,58.72,58.69,20,0.251,0,2,"Quintez Cephus 3000 0"
"151","Trinity Benson","DET",3000,0,NA,NA,NA,NA,NA,NA,NA,"CHI",32,20,NA,NA,NA,16,17,NA,0.282,24,NA,0.718,NA,NA,NA,58.72,58.69,20,0.251,NA,NA,"Trinity Benson 3000 0"
"152","Stanley Berryhill","DET",3000,0,NA,NA,NA,NA,NA,NA,NA,"CHI",32,20,NA,NA,NA,16,17,NA,0.282,24,NA,0.718,NA,NA,NA,58.72,58.69,20,0.251,NA,NA,"Stanley Berryhill 3000 0"
"153","Brandon Zylstra","DET",3000,0,NA,NA,NA,NA,NA,NA,NA,"CHI",32,20,NA,NA,NA,16,17,NA,0.282,24,NA,0.718,NA,NA,NA,58.72,58.69,20,0.251,NA,NA,"Brandon Zylstra 3000 0"
"154","Maurice Alexander","DET",3000,0,NA,57.5,NA,-1.2,0.3,1.4,NA,"CHI",32,20,3.5,3.5,0,16,17,3,0.282,24,3,0.718,83.3,58.7,16.7,58.72,58.69,20,0.251,0,5,"Maurice Alexander 3000 0"
"155","Tom Kennedy","DET",3000,0,NA,62.8,NA,4.09999999999999,1.9,1.13,NA,"CHI",32,20,1.29,1.69,0.4,16,17,58,0.282,24,58,0.718,90.6,58.7,50,58.72,58.69,20,0.251,0,9.4,"Tom Kennedy 3000 0"
"156","Nsimba Webster","CHI",3000,0,NA,48.2,NA,-1,3,2,NA,"DET",24,32,NA,NA,2.33,2,31,0,0.453,24,6,0.547,100,49.2,0,56.29,49.17,31,0.116,0,2.5,"Nsimba Webster 3000 0"
"157","Darnell Mooney","CHI",3000,0,NA,68.9,NA,15.4,4.8,1.58,NA,"DET",24,32,0.14,1.79,1.65,2,31,106,0.453,24,200,0.547,92.6,53.5,60.5,56.29,49.17,31,0.116,2,4.3,"Darnell Mooney 3000 0"
"158","Daurice Fountain","CHI",3000,0,NA,NA,NA,NA,NA,NA,NA,"DET",24,32,NA,NA,NA,2,31,NA,0.453,24,NA,0.547,NA,NA,NA,56.29,49.17,31,0.116,NA,NA,"Daurice Fountain 3000 0"
"159","Nico Collins","HOU",3000,0,NA,72,NA,5.40000000000001,6.4,1.68,NA,"JAX",20,26,0.19,1.77,1.58,NA,NA,94,NA,NA,179,NA,93.8,66.6,9.8,57.59,67.53,NA,0.064,2,3.9,"Nico Collins 3000 0"
"160","Kendric Pryor","JAX",3000,0,NA,NA,NA,NA,NA,NA,NA,"HOU",22,29,NA,NA,NA,24,9,NA,0.239,21,NA,0.761,NA,NA,NA,NA,NA,30,0.085,NA,NA,"Kendric Pryor 3000 0"
"161","Willie Johnson","JAX",3000,0,NA,NA,NA,NA,NA,NA,NA,"HOU",22,29,NA,NA,NA,24,9,NA,0.239,21,NA,0.761,NA,NA,NA,NA,NA,30,0.085,NA,NA,"Willie Johnson 3000 0"
"162","Calvin Ridley","JAX",3000,0,NA,NA,NA,NA,NA,NA,NA,"HOU",22,29,NA,NA,NA,24,9,NA,0.239,21,NA,0.761,NA,NA,NA,NA,NA,30,0.085,NA,NA,"Calvin Ridley 3000 0"
"163","Seth Williams","JAX",3000,0,NA,NA,NA,NA,NA,NA,NA,"HOU",22,29,NA,NA,NA,24,9,NA,0.239,21,NA,0.761,NA,NA,NA,NA,NA,30,0.085,NA,NA,"Seth Williams 3000 0"
"164","Jaylon Moore","JAX",3000,0,NA,NA,NA,NA,NA,NA,NA,"HOU",22,29,NA,NA,NA,24,9,NA,0.239,21,NA,0.761,NA,NA,NA,NA,NA,30,0.085,NA,NA,"Jaylon Moore 3000 0"
"165","Kevin Austin Jr.","JAX",3000,0,NA,NA,NA,NA,NA,NA,NA,"HOU",22,29,NA,NA,NA,24,9,NA,0.239,21,NA,0.761,NA,NA,NA,NA,NA,30,0.085,NA,NA,"Kevin Austin Jr. 3000 0"
"166","John Metchie III","HOU",3000,0,NA,NA,NA,NA,NA,NA,NA,"JAX",20,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.59,67.53,NA,0.064,NA,NA,"John Metchie III 3000 0"
"167","D.J. Montgomery","HOU",3000,0,NA,NA,NA,NA,NA,NA,NA,"JAX",20,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.59,67.53,NA,0.064,NA,NA,"D.J. Montgomery 3000 0"
"168","Johnny Johnson III","HOU",3000,0,NA,NA,NA,NA,NA,NA,NA,"JAX",20,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.59,67.53,NA,0.064,NA,NA,"Johnny Johnson III 3000 0"
"169","Davion Davis","HOU",3000,0,NA,NA,NA,NA,NA,NA,NA,"JAX",20,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.59,67.53,NA,0.064,NA,NA,"Davion Davis 3000 0"
"170","Alex Bachman","HOU",3000,0,NA,NA,NA,NA,NA,NA,NA,"JAX",20,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.59,67.53,NA,0.064,NA,NA,"Alex Bachman 3000 0"
"171","Malik Turner","HOU",3000,0,NA,NA,NA,NA,NA,NA,NA,"JAX",20,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.59,67.53,NA,0.064,NA,NA,"Malik Turner 3000 0"
"172","Justyn Ross","KC",3000,0,NA,NA,NA,NA,NA,NA,NA,"DEN",3,1,NA,NA,NA,23,10,NA,0.244,2,NA,0.756,NA,NA,NA,67.55,74.66,12,-0.083,NA,NA,"Justyn Ross 3000 0"
"173","Marcus Kemp","KC",3000,0,NA,NA,NA,NA,NA,NA,NA,"DEN",3,1,NA,NA,NA,23,10,NA,0.244,2,NA,0.756,NA,NA,NA,67.55,74.66,12,-0.083,NA,NA,"Marcus Kemp 3000 0"
"174","Ihmir Smith-Marsette","KC",3000,0,NA,42,NA,-30.6,0.8,0.5,NA,"DEN",3,1,-0.83,0,0.83,23,10,10,0.244,2,19,0.756,88.2,72.6,29.4,67.55,74.66,12,-0.083,0,5,"Ihmir Smith-Marsette 3000 0"
"175","Bryan Edwards","KC",3000,0,NA,50.8,NA,-22.4,0.7,0.29,NA,"DEN",3,1,-0.33,0,0.33,23,10,10,0.244,2,37,0.756,98.1,73.2,20.8,67.55,74.66,12,-0.083,0,3.7,"Bryan Edwards 3000 0"
"176","Cornell Powell","KC",3000,0,NA,NA,NA,NA,NA,NA,NA,"DEN",3,1,NA,NA,NA,23,10,NA,0.244,2,NA,0.756,NA,NA,NA,67.55,74.66,12,-0.083,NA,NA,"Cornell Powell 3000 0"
"177","Jerrion Ealy","KC",3000,0,NA,NA,NA,NA,NA,NA,NA,"DEN",3,1,NA,NA,NA,23,10,NA,0.244,2,NA,0.756,NA,NA,NA,67.55,74.66,12,-0.083,NA,NA,"Jerrion Ealy 3000 0"
"178","Brandon Johnson","DEN",3000,0,NA,52.1,NA,-15.1,2.4,0.35,NA,"KC",10,5,-0.25,0.04,0.29,8,25,31,0.362,3,79,0.638,94.5,67.2,9.4,70.49,66.81,12,-0.006,1,2.2,"Brandon Johnson 3000 0"
"179","Tim Patrick","DEN",3000,0,NA,NA,NA,NA,NA,NA,NA,"KC",10,5,NA,NA,NA,8,25,NA,0.362,3,NA,0.638,NA,NA,NA,70.49,66.81,12,-0.006,NA,NA,"Tim Patrick 3000 0"
"180","Kaden Davis","DEN",3000,0,NA,NA,NA,NA,NA,NA,NA,"KC",10,5,NA,NA,NA,8,25,NA,0.362,3,NA,0.638,NA,NA,NA,70.49,66.81,12,-0.006,NA,NA,"Kaden Davis 3000 0"
"181","Tyrie Cleveland","DEN",3000,0,NA,51.9,NA,-15.9,1.5,0.7,NA,"KC",10,5,1.1,1.6,0.5,8,25,13,0.362,3,28,0.638,85.1,67.8,27.7,70.49,66.81,12,-0.006,0,8.5,"Tyrie Cleveland 3000 0"
"182","Victor Bolden Jr.","DEN",3000,0,NA,NA,NA,NA,NA,NA,NA,"KC",10,5,NA,NA,NA,8,25,NA,0.362,3,NA,0.638,NA,NA,NA,70.49,66.81,12,-0.006,NA,NA,"Victor Bolden Jr. 3000 0"
"183","Ty Montgomery","NE",3000,0,NA,71.8,NA,14.6,4,1.36,NA,"MIA",25,24,1.22,2,0.78,3,30,5,0.436,24,11,0.564,64.7,57.2,0,61.35,57.23,24,0.117,1,2.7,"Ty Montgomery 3000 0"
"184","Matthew Slater","NE",3000,0,NA,NA,NA,NA,NA,NA,NA,"MIA",25,24,NA,NA,NA,3,30,NA,0.436,24,NA,0.564,NA,NA,NA,61.35,57.23,24,0.117,NA,NA,"Matthew Slater 3000 0"
"185","Raleigh Webb","NE",3000,0,NA,NA,NA,NA,NA,NA,NA,"MIA",25,24,NA,NA,NA,3,30,NA,0.436,24,NA,0.564,NA,NA,NA,61.35,57.23,24,0.117,NA,NA,"Raleigh Webb 3000 0"
"186","Kristian Wilkerson","NE",3000,0,NA,NA,NA,NA,NA,NA,NA,"MIA",25,24,NA,NA,NA,3,30,NA,0.436,24,NA,0.564,NA,NA,NA,61.35,57.23,24,0.117,NA,NA,"Kristian Wilkerson 3000 0"
"187","Lynn Bowden Jr.","NE",3000,0,NA,NA,NA,NA,NA,NA,NA,"MIA",25,24,NA,NA,NA,3,30,NA,0.436,24,NA,0.564,NA,NA,NA,61.35,57.23,24,0.117,NA,NA,"Lynn Bowden Jr. 3000 0"
"188","Tre Nixon","NE",3000,0,NA,NA,NA,NA,NA,NA,NA,"MIA",25,24,NA,NA,NA,3,30,NA,0.436,24,NA,0.564,NA,NA,NA,61.35,57.23,24,0.117,NA,NA,"Tre Nixon 3000 0"
"189","River Cracraft","MIA",3000,0,NA,77.8,NA,13.7,1.4,1.35,NA,"NE",9,9,-1.15,0.17,1.32,5,28,12,0.395,11,47,0.605,97.3,64.1,31.1,64.67,63.81,14,-0.027,2,3.1,"River Cracraft 3000 0"
"190","Erik Ezukanma","MIA",3000,0,NA,NA,NA,NA,NA,NA,NA,"NE",9,9,NA,NA,NA,5,28,NA,0.395,11,NA,0.605,NA,NA,NA,64.67,63.81,14,-0.027,NA,NA,"Erik Ezukanma 3000 0"
"191","DaeSean Hamilton","MIA",3000,0,NA,NA,NA,NA,NA,NA,NA,"NE",9,9,NA,NA,NA,5,28,NA,0.395,11,NA,0.605,NA,NA,NA,64.67,63.81,14,-0.027,NA,NA,"DaeSean Hamilton 3000 0"
"192","David Sills V","NYG",3000,0,NA,NA,NA,NA,NA,NA,NA,"IND",14,18,NA,NA,NA,27,6,NA,0.227,22,NA,0.773,NA,NA,NA,56.54,71.71,4,0.025,NA,NA,"David Sills V 3000 0"
"193","Sterling Shepard","NYG",3000,0,NA,60.1,NA,-6.8,7,1.56,NA,"IND",14,18,0.0799999999999998,1.69,1.61,27,6,17,0.227,22,87,0.773,91.7,66.9,31.5,56.54,71.71,4,0.025,1,4,"Sterling Shepard 3000 0"
"194","Wan'Dale Robinson","NYG",3000,0,NA,70.9,NA,11.4,5,1.76,NA,"IND",14,18,-1.08,1.38,2.46,27,6,48,0.227,22,69,0.773,92.1,59.5,80.7,56.54,71.71,4,0.025,1,5.5,"Wan'Dale Robinson 3000 0"
"195","Collin Johnson","NYG",3000,0,NA,NA,NA,NA,NA,NA,NA,"IND",14,18,NA,NA,NA,27,6,NA,0.227,22,NA,0.773,NA,NA,NA,56.54,71.71,4,0.025,NA,NA,"Collin Johnson 3000 0"
"196","Kalil Pimpleton","NYG",3000,0,NA,NA,NA,NA,NA,NA,NA,"IND",14,18,NA,NA,NA,27,6,NA,0.227,22,NA,0.773,NA,NA,NA,56.54,71.71,4,0.025,NA,NA,"Kalil Pimpleton 3000 0"
"197","Jaydon Mickens","NYG",3000,0,NA,NA,NA,NA,NA,NA,NA,"IND",14,18,NA,NA,NA,27,6,NA,0.227,22,NA,0.773,NA,NA,NA,56.54,71.71,4,0.025,NA,NA,"Jaydon Mickens 3000 0"
"198","Makai Polk","NYG",3000,0,NA,NA,NA,NA,NA,NA,NA,"IND",14,18,NA,NA,NA,27,6,NA,0.227,22,NA,0.773,NA,NA,NA,56.54,71.71,4,0.025,NA,NA,"Makai Polk 3000 0"
"199","Ethan Fernea","IND",3000,0,NA,NA,NA,NA,NA,NA,NA,"NYG",26,31,NA,NA,NA,1,32,NA,0.503,20,NA,0.497,NA,NA,NA,54.97,62.75,32,0.121,NA,NA,"Ethan Fernea 3000 0"
"200","Dezmon Patmon","IND",3000,0,NA,55.3,NA,-5,6,1.6,NA,"NYG",26,31,-3.43,0,3.43,1,32,4,0.503,20,7,0.497,93.8,60.3,31.3,54.97,62.75,32,0.121,0,3.5,"Dezmon Patmon 3000 0"
"201","Vyncint Smith","IND",3000,0,NA,NA,NA,NA,NA,NA,NA,"NYG",26,31,NA,NA,NA,1,32,NA,0.503,20,NA,0.497,NA,NA,NA,54.97,62.75,32,0.121,NA,NA,"Vyncint Smith 3000 0"
"202","Devon Allen","PHI",3000,0,NA,NA,NA,NA,NA,NA,NA,"NO",11,12,NA,NA,NA,10,23,NA,0.298,20,NA,0.702,NA,NA,NA,60.71,51.56,11,0.009,NA,NA,"Devon Allen 3000 0"
"203","Greg Ward","PHI",3000,0,NA,NA,NA,NA,NA,NA,NA,"NO",11,12,NA,NA,NA,10,23,NA,0.298,20,NA,0.702,NA,NA,NA,60.71,51.56,11,0.009,NA,NA,"Greg Ward 3000 0"
"204","Michael Thomas","NO",3000,0,NA,77.4,NA,4,7.3,1.64,NA,"PHI",1,11,0.47,2.11,1.64,18,15,21,0.266,12,73,0.734,95.4,73.4,20.2,60.8,76.57,8,-0.097,3,1.6,"Michael Thomas 3000 0"
"205","Deonte Harty","NO",3000,0,NA,49.3,NA,-21.4,0.5,0.81,NA,"PHI",1,11,-1.18,0,1.18,18,15,3,0.266,12,11,0.734,100,70.7,37.5,60.8,76.57,8,-0.097,0,4,"Deonte Harty 3000 0"
"206","Kevin White","NO",3000,0,NA,52.8,NA,-20.3,0.7,0.99,NA,"PHI",1,11,3.37,3.37,0,18,15,20,0.266,12,43,0.734,96.2,73.1,21.8,60.8,76.57,8,-0.097,0,34,"Kevin White 3000 0"
"207","Rashard Higgins","CAR",3000,0,NA,NA,NA,NA,NA,NA,NA,"TB",5,7,NA,NA,NA,28,4,NA,0.212,5,NA,0.788,NA,NA,NA,66.09,68.49,15,-0.063,NA,NA,"Rashard Higgins 3000 0"
"208","C.J. Saunders","CAR",3000,0,NA,NA,NA,NA,NA,NA,NA,"TB",5,7,NA,NA,NA,28,4,NA,0.212,5,NA,0.788,NA,NA,NA,66.09,68.49,15,-0.063,NA,NA,"C.J. Saunders 3000 0"
"209","Derek Wright","CAR",3000,0,NA,NA,NA,NA,NA,NA,NA,"TB",5,7,NA,NA,NA,28,4,NA,0.212,5,NA,0.788,NA,NA,NA,66.09,68.49,15,-0.063,NA,NA,"Derek Wright 3000 0"
"210","Preston Williams","CAR",3000,0,NA,NA,NA,NA,NA,NA,NA,"TB",5,7,NA,NA,NA,28,4,NA,0.212,5,NA,0.788,NA,NA,NA,66.09,68.49,15,-0.063,NA,NA,"Preston Williams 3000 0"
"211","Breshad Perriman","TB",3000,0,NA,54.8,NA,-3.8,1.7,0.88,NA,"CAR",16,28,2.06,2.43,0.37,30,3,28,0.2,32,72,0.8,94.3,58.6,33.6,56.66,59.54,28,0.042,1,5.8,"Breshad Perriman 3000 0"
"212","Deven Thompkins","TB",3000,0,NA,56.9,NA,-2.6,0.5,1.4,NA,"CAR",16,28,-1.75,0,1.75,30,3,2,0.2,32,4,0.8,83.3,59.5,0,56.66,59.54,28,0.042,0,4,"Deven Thompkins 3000 0"
"213","Tyler Johnson","TB",3000,0,NA,NA,NA,NA,NA,NA,NA,"CAR",16,28,NA,NA,NA,30,3,NA,0.2,32,NA,0.8,NA,NA,NA,56.66,59.54,28,0.042,NA,NA,"Tyler Johnson 3000 0"
"214","Kaylon Geiger Sr.","TB",3000,0,NA,NA,NA,NA,NA,NA,NA,"CAR",16,28,NA,NA,NA,30,3,NA,0.2,32,NA,0.8,NA,NA,NA,56.66,59.54,28,0.042,NA,NA,"Kaylon Geiger Sr. 3000 0"
"215","Marken Michel","WAS",3000,0,NA,NA,NA,NA,NA,NA,NA,"CLE",4,19,NA,NA,NA,22,11,NA,0.248,8,NA,0.752,NA,NA,NA,NA,NA,23,-0.079,NA,NA,"Marken Michel 3000 0"
"216","Alex Erickson","WAS",3000,0,NA,NA,NA,NA,NA,NA,NA,"CLE",4,19,NA,NA,NA,22,11,NA,0.248,8,NA,0.752,NA,NA,NA,NA,NA,23,-0.079,NA,NA,"Alex Erickson 3000 0"
"217","Kyric McGowan","WAS",3000,0,NA,NA,NA,NA,NA,NA,NA,"CLE",4,19,NA,NA,NA,22,11,NA,0.248,8,NA,0.752,NA,NA,NA,NA,NA,23,-0.079,NA,NA,"Kyric McGowan 3000 0"
"218","Jaelon Darden","CLE",3000,0,NA,57.7,NA,-6.3,0.3,0.7,NA,"WAS",13,10,-1.04,0,1.04,11,22,9,0.296,15,25,0.704,92.5,64,35,65.23,63.36,7,0.017,0,7.5,"Jaelon Darden 3000 0"
"219","Anthony Schwartz","CLE",3000,0,NA,47.3,NA,-16.9,1,0.82,NA,"WAS",13,10,-1.6,0.11,1.71,11,22,31,0.296,15,28,0.704,93.9,64.2,45.5,65.23,63.36,7,0.017,0,7.5,"Anthony Schwartz 3000 0"
"220","Jakeem Grant Sr.","CLE",3000,0,NA,NA,NA,NA,NA,NA,NA,"WAS",13,10,NA,NA,NA,11,22,NA,0.296,15,NA,0.704,NA,NA,NA,65.23,63.36,7,0.017,NA,NA,"Jakeem Grant Sr. 3000 0"
"221","Isaiah Weston","CLE",3000,0,NA,NA,NA,NA,NA,NA,NA,"WAS",13,10,NA,NA,NA,11,22,NA,0.296,15,NA,0.704,NA,NA,NA,65.23,63.36,7,0.017,NA,NA,"Isaiah Weston 3000 0"
"222","Mike Harley Jr.","CLE",3000,0,NA,NA,NA,NA,NA,NA,NA,"WAS",13,10,NA,NA,NA,11,22,NA,0.296,15,NA,0.704,NA,NA,NA,65.23,63.36,7,0.017,NA,NA,"Mike Harley Jr. 3000 0"
"223","Marquez Stevenson","CLE",3000,0,NA,NA,NA,NA,NA,NA,NA,"WAS",13,10,NA,NA,NA,11,22,NA,0.296,15,NA,0.704,NA,NA,NA,65.23,63.36,7,0.017,NA,NA,"Marquez Stevenson 3000 0"
"224","Daylen Baldwin","CLE",3000,0,NA,81.2,NA,17.5,2,5,NA,"WAS",13,10,NA,NA,6.25,11,22,0,0.296,15,4,0.704,100,63.7,20,65.23,63.36,7,0.017,0,0,"Daylen Baldwin 3000 0"
"225","Willie Snead IV","SF",3000,0,NA,NA,NA,NA,NA,NA,NA,"LV",28,25,NA,NA,NA,6,27,NA,0.39,27,NA,0.61,NA,NA,NA,60.4,59.08,21,0.136,NA,NA,"Willie Snead IV 3000 0"
"226","Dazz Newsome","SF",3000,0,NA,NA,NA,NA,NA,NA,NA,"LV",28,25,NA,NA,NA,6,27,NA,0.39,27,NA,0.61,NA,NA,NA,60.4,59.08,21,0.136,NA,NA,"Dazz Newsome 3000 0"
"227","Isaiah Zuber","LV",3000,0,NA,NA,NA,NA,NA,NA,NA,"SF",6,2,NA,NA,NA,28,4,NA,0.212,12,NA,0.788,NA,NA,NA,64.79,67.77,2,-0.059,NA,NA,"Isaiah Zuber 3000 0"
"228","Chris Lacy","LV",3000,0,NA,NA,NA,NA,NA,NA,NA,"SF",6,2,NA,NA,NA,28,4,NA,0.212,12,NA,0.788,NA,NA,NA,64.79,67.77,2,-0.059,NA,NA,"Chris Lacy 3000 0"
"229","Albert Wilson","LV",3000,0,NA,NA,NA,NA,NA,NA,NA,"SF",6,2,NA,NA,NA,28,4,NA,0.212,12,NA,0.788,NA,NA,NA,64.79,67.77,2,-0.059,NA,NA,"Albert Wilson 3000 0"
"230","DJ Turner","LV",3000,0,NA,42,NA,-24.3,0.2,0,NA,"SF",6,2,0,0,0,28,4,1,0.212,12,5,0.788,100,66.3,50,64.79,67.77,2,-0.059,0,NA,"DJ Turner 3000 0"
"231","Dee Eskridge","SEA",3000,0,NA,NA,NA,NA,NA,NA,NA,"NYJ",12,4,NA,NA,NA,14,19,NA,0.287,4,NA,0.713,NA,NA,NA,63.15,83.22,6,0.014,NA,NA,"Dee Eskridge 3000 0"
"232","Cody Thompson","SEA",3000,0,NA,NA,NA,NA,NA,NA,NA,"NYJ",12,4,NA,NA,NA,14,19,NA,0.287,4,NA,0.713,NA,NA,NA,63.15,83.22,6,0.014,NA,NA,"Cody Thompson 3000 0"
