player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Leighton Vander Esch,50950,LB,DAL,11,27,9.0,9.0,9,0,90.3,3,3,0,17,24,0.63
Geno Stone,55967,S,BLT,10,36,9.0,7.2,3,0,90.0,4,5,0,28,12,0.78
Greg Newsome II,83341,CB,CLV,12,234,9.0,6.9,8,0,101.1,26,34,1,208,154,0.89
Derek Stingley Jr.,98253,CB,HST,5,9,9.0,4.5,13,0,70.8,1,2,0,13,5,1.44
Marcus Epps,51391,S,PHI,14,53,8.8,7.6,24,0,158.3,6,7,1,109,85,2.06
Byron Murphy Jr.,44027,CB,ARZ,9,105,8.8,6.2,1,0,128.8,12,17,2,117,64,1.11
Chandon Sullivan,49349,CB,MIN,14,455,8.8,7.0,18,0,110.4,52,65,1,602,392,1.32
Cody Barton,50727,LB,SEA,12,26,8.7,5.2,29,0,64.6,3,5,0,15,9,0.58
John Reid,49381,CB,TEN,2,26,8.7,8.7,31,0,102.8,3,3,0,26,5,1.0
Tashaun Gipson Sr.,7288,S,SF,13,52,8.7,5.8,28,0,97.5,6,9,0,86,27,1.65
Julian Love,51081,S,NYG,14,96,8.7,5.3,21,1,87.5,11,18,2,89,59,0.93
Rasul Douglas,11854,CB,GB,9,113,8.7,6.6,12,1,75.9,13,17,0,141,42,1.25
Tre Flowers,49059,CB,CIN,12,52,8.7,6.5,7,1,75.0,6,8,0,96,44,1.85
Matt Milano,11918,LB,BUF,12,69,8.6,7.7,4,1,54.9,8,9,0,60,41,0.87
Taron Johnson,49511,CB,BUF,14,430,8.6,6.1,4,1,103.8,50,71,4,513,262,1.19
Daxton Hill,97519,S,CIN,6,43,8.6,7.2,7,0,129.9,5,6,1,34,11,0.79
Dre Greenlaw,51503,LB,SF,13,60,8.6,6.0,28,0,85.4,7,10,0,60,31,1.0
Dee Alford,110542,CB,ATL,13,136,8.5,5.9,2,0,110.4,16,23,1,198,67,1.46
Michael Carter II,60644,CB,NYJ,14,358,8.3,5.7,22,2,77.5,43,63,1,401,295,1.12
Damar Hamlin,43291,S,BUF,13,83,8.3,8.3,4,0,92.5,10,10,0,62,33,0.75
A.J. Green,50394,CB,CLV,7,33,8.3,8.3,8,0,135.4,4,4,1,28,17,0.85
