player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Jamie Collins Sr.,7833,LB,NE,2,0,19,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,20.0,2,10,0,0.0,0,0,0,0,100.0,2,0,0.0,0,0,0,0,0,0
Jon Bostic,7831,LB,WAS,8,0,32,0,0,0,0,0,0,33.3,2,0,0.0,0,0,0,0,5.0,6,121,0,0.0,0,0,0,0,66.7,4,0,0.0,0,0,0,0,0,0
Tre Herndon,50380,CB,JAX,7,0,15,0,0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0.6,1,164,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Michael Thomas,7279,S,CIN,2,0,7,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,7.1,1,14,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Prince Emili,106599,DI,BUF,2,1,4,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,100.0,11,11,0,0.0,1,0,0,0,100.0,11,0,0.0,0,0,0,0,0,0
Rodney Thomas II,108389,S,IND,11,0,14,0,0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,1.2,3,251,0,0.0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,0,0
Jalen Davis,50431,CB,CIN,2,0,7,0,0,0,0,0,0,50.0,2,0,0.0,0,0,0,0,12.5,4,32,0,0.0,0,0,0,0,50.0,2,0,0.0,0,0,0,0,0,0
Amani Oruwariye,50533,CB,DET,8,0,11,0,0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0.4,1,252,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Nick Bellore,6515,FB,SEA,1,0,29,0,0,0,0,0,0,,0,0,,0,0,0,0,50.0,1,2,0,0.0,0,0,0,0,,0,0,,0,0,0,0,0,0
DaMarcus Mitchell,129826,ED,NE,1,0,19,0,0,0,0,0,0,40.0,2,0,0.0,0,0,0,0,100.0,5,5,0,0.0,0,0,0,0,60.0,3,0,0.0,0,0,0,0,0,0
Jaylen Watson,131960,CB,KC,12,0,16,0,0,0,0,0,0,100.0,4,0,0.0,0,0,0,0,1.3,4,319,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Sam Webb,134606,CB,LV,8,0,23,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,1.1,2,188,0,0.0,0,0,0,0,100.0,2,0,0.0,0,0,0,0,0,0
Patrick Peterson,6157,CB,MIN,13,0,18,0,0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0.2,1,541,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Devin McCourty,5552,S,NE,13,0,19,0,0,0,0,0,0,100.0,2,0,0.0,0,0,0,0,0.4,2,476,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Kareem Jackson,5545,S,DEN,13,0,10,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.4,2,506,0,0.0,0,0,0,0,100.0,2,0,0.0,0,0,0,0,0,0
Eric Stokes,55912,CB,GB,9,0,12,0,0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0.4,1,239,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
