player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Riley Reiff,7029,T,CHI,6,0,6,54.5,100.0,48,33.6,48,59.5,0,100.0,143,143,63.9,100.0,78,54.5,78
Jaylen Waddle,84088,WR,MIA,10,0,17,59.8,100.0,47,32.9,47,44.2,0,98.6,143,145,60.8,100.0,85,59.4,85
Cooper Rush,12324,QB,DAL,6,0,9,60.0,98.4,62,43.4,63,60.0,0,94.7,143,151,60.0,100.0,71,49.7,71
Romeo Doubs,84329,WR,GB,8,0,12,68.4,100.0,47,32.9,47,58.3,0,99.3,143,144,59.8,100.0,92,64.3,92
Brandin Cooks,8655,WR,HST,9,0,13,60.4,100.0,67,47.2,67,61.5,0,99.3,142,143,62.2,100.0,69,48.6,69
Daniel Bellinger,84041,TE,NYG,7,0,21,57.7,100.0,74,52.1,74,62.3,1,100.0,142,142,69.2,100.0,50,35.2,50
K.J. Osborn,23503,WR,MIN,10,0,18,64.1,100.0,46,32.4,46,57.7,0,98.6,142,144,66.6,100.0,86,60.6,86
Marquise Brown,61568,WR,ARZ,6,0,1,56.4,100.0,60,42.3,60,37.8,0,100.0,142,142,62.2,100.0,60,42.3,60
Mike Williams,11762,WR,LAC,8,0,27,64.7,100.0,48,33.8,48,43.9,0,100.0,142,142,55.0,100.0,78,54.9,78
Bradley Bozeman,27934,C,CAR,5,0,5,70.0,100.0,71,50.0,71,76.0,0,100.0,142,142,71.9,100.0,65,45.8,65
Noah Fant,42388,TE,SEA,10,0,29,53.4,100.0,42,29.8,42,53.5,1,100.0,141,141,57.3,100.0,82,58.2,82
Tyler Boyd,10689,WR,CIN,10,0,7,53.5,100.0,77,55.0,77,52.0,0,100.0,140,140,57.7,100.0,43,30.7,43
Spencer Brown,42296,T,BUF,8,0,4,52.2,100.0,67,48.2,67,52.3,1,100.0,139,139,62.0,100.0,45,32.4,45
Terrace Marshall Jr.,84271,WR,CAR,8,0,5,76.4,100.0,65,46.8,65,73.7,0,100.0,139,139,83.6,100.0,68,48.9,68
Marvin Jones Jr.,7158,WR,JAX,9,0,15,53.5,100.0,50,36.2,50,51.7,0,100.0,138,138,56.1,100.0,72,52.2,72
Travis Kelce,7844,TE,KC,10,0,16,59.1,97.7,42,30.7,43,63.7,0,99.3,137,138,65.4,100.0,86,62.8,86
Kyle Juszczyk,7912,FB,SF,9,0,28,56.0,100.0,51,37.2,51,58.2,0,97.2,137,141,61.0,100.0,74,54.0,74
Kenny Pickett,60515,QB,PIT,7,0,25,60.2,95.1,39,28.5,41,60.5,0,91.9,137,149,60.6,98.6,73,53.3,74
Joshua Ezeudu,77355,G,NYG,8,0,21,62.2,100.0,76,55.5,76,53.1,0,100.0,137,137,44.4,100.0,52,38.0,52
Stefon Diggs,9579,WR,BUF,10,0,4,61.0,100.0,75,54.7,75,60.7,0,100.0,137,137,62.4,100.0,40,29.2,40
George Pickens,99229,WR,PIT,10,0,25,54.6,100.0,45,32.8,45,48.1,0,97.9,137,140,62.0,100.0,66,48.2,66
Ja'Marr Chase,84270,WR,CIN,7,0,7,58.9,97.1,67,49.3,69,57.2,0,97.1,136,140,57.7,100.0,57,41.9,57
Quinn Meinerz,112915,G,DEN,6,0,10,82.8,100.0,32,23.5,32,82.7,0,100.0,136,136,71.6,100.0,93,68.4,93
Gabe Jackson,8716,G,SEA,8,0,29,46.6,100.0,38,28.1,38,57.6,0,100.0,135,135,63.8,100.0,72,53.3,72
