player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Demetric Felton,40568,WR,CLV,2,5.0,0,50.0,,0,0,0,0.0,0,0,8,0,64.7,76.6,56.1,,58.7,0.0,0,0,3,0.0,0,3,0,1,100.0,3,66.7,2,56.3,2,0,33.3,1,3,5,5.0,3.0,1.0
Tony Jones Jr.,40498,HB,SEA,2,0.0,0,100.0,,0,0,0,0.0,0,0,29,0,68.3,67.8,53.8,71.5,53.8,0.0,0,0,7,21.2,7,33,0,2,72.7,24,0.0,0,91.7,2,0,6.1,2,12,12,6.0,6.0,0.5
Stephen Sullivan,40411,TE,CAR,5,12.5,0,100.0,,0,0,0,0.0,0,2,5,0,68.3,66.8,68.8,,79.6,63.2,12,0,33,0.0,0,19,1,2,100.0,19,26.3,5,118.8,2,0,10.5,2,46,21,10.5,23.0,2.42
Devin Asiasi,40294,TE,CIN,3,25.0,0,0.0,,0,0,0,,0,0,7,0,,62.8,51.6,34.4,47.2,92.3,12,0,0,38.5,5,13,0,0,61.5,8,0.0,0,39.6,2,0,0.0,0,0,0,,,0.0
Feleipe Franks,40217,WR,ATL,5,27.0,0,0.0,0.0,0,1,0,,0,0,2,0,,,49.7,73.0,45.9,19.0,4,0,0,9.5,2,21,0,0,90.5,19,42.9,9,39.6,2,0,33.3,7,0,0,,,0.0
Malik Davis,57196,HB,DAL,2,-0.5,0,100.0,,0,0,0,0.0,0,2,9,0,68.3,75.2,76.9,27.3,80.1,0.0,0,0,10,28.6,4,14,0,2,71.4,10,0.0,0,104.2,2,0,0.0,0,18,19,9.5,9.0,1.8
Shane Zylstra,143786,TE,DET,4,11.0,0,50.0,,0,0,0,50.0,1,1,11,0,28.9,61.2,48.0,69.7,50.2,25.0,6,0,1,4.2,1,24,0,1,83.3,20,33.3,8,95.8,2,1,41.7,10,1,0,0.0,1.0,0.05
Jakob Johnson,32565,FB,LV,9,0.5,1,100.0,,0,0,0,0.0,0,0,23,0,68.3,64.0,56.4,86.2,55.0,14.6,7,0,5,33.3,16,48,1,2,64.6,31,0.0,0,79.2,2,0,8.3,4,6,5,2.5,3.0,0.19
Braylon Sanders,61457,WR,MIA,1,6.5,0,100.0,,0,0,0,0.0,0,0,17,1,68.3,13.3,51.1,,48.2,0.0,0,0,13,0.0,0,6,0,2,100.0,6,33.3,2,102.1,2,0,66.7,4,17,4,2.0,8.5,2.83
Jaelon Darden,61522,WR,TB,6,5.5,0,100.0,,0,0,0,0.0,0,1,30,0,68.3,87.2,53.3,,57.7,0.0,0,0,25,0.0,0,40,1,2,92.5,37,35.0,14,118.8,2,0,65.0,26,26,15,7.5,13.0,0.7
Tanner Conner,22777,TE,MIA,5,6.5,0,0.0,,0,0,0,100.0,2,0,17,0,25.5,,29.8,,28.6,58.3,7,0,0,0.0,0,12,0,0,75.0,9,8.3,1,39.6,2,0,33.3,4,0,0,,,0.0
Jalen Tolbert,61637,WR,DAL,5,19.5,0,50.0,100.0,1,1,0,0.0,0,0,9,0,64.7,61.2,47.8,62.3,51.0,0.0,0,0,4,3.0,1,33,1,1,90.9,30,12.1,4,56.3,2,0,87.9,29,4,0,0.0,4.0,0.13
Keaontay Ingram,77761,HB,ARZ,3,-2.5,4,100.0,,0,0,0,0.0,0,1,1,0,68.3,75.2,59.0,73.7,67.6,0.0,0,0,24,11.1,2,18,0,2,88.9,16,22.2,4,114.6,2,0,11.1,2,23,28,14.0,11.5,1.44
Mason Schreck,12007,TE,HST,2,3.5,0,100.0,100.0,1,1,0,0.0,0,0,13,0,68.3,64.0,53.0,62.9,48.2,92.6,25,0,6,22.2,6,27,0,2,74.1,20,3.7,1,79.2,2,0,3.7,1,6,-1,-0.5,3.0,0.3
Stephen Anderson,11160,TE,ARZ,8,1.0,0,50.0,,0,0,0,50.0,1,0,1,0,28.8,61.2,32.8,15.0,37.7,60.0,18,0,2,23.3,7,30,0,1,63.3,19,26.7,8,56.3,2,0,3.3,1,2,0,0.0,2.0,0.11
Nick Vannett,10728,TE,NO,3,5.5,0,100.0,100.0,1,1,1,0.0,0,0,20,0,68.3,64.0,32.3,13.7,51.0,73.9,17,0,8,26.1,6,23,1,2,69.6,16,13.0,3,93.8,2,0,13.0,3,13,2,1.0,6.5,0.81
Malcolm Brown,9902,HB,LA,5,-2.5,0,100.0,,0,0,0,0.0,0,2,26,0,68.3,75.5,55.4,74.0,66.4,0.0,0,0,13,30.6,11,36,0,2,66.7,24,8.3,3,114.6,2,0,19.4,7,23,28,14.0,11.5,0.96
Deonte Harty,91470,WR,NO,4,2.5,0,100.0,,0,0,0,0.0,0,0,20,0,68.3,26.0,47.9,,49.3,0.0,0,0,9,0.0,0,16,0,2,100.0,16,37.5,6,93.8,2,0,62.5,10,13,8,4.0,6.5,0.81
Jason Moore,91472,WR,LAC,6,13.0,0,50.0,0.0,0,1,0,0.0,0,0,27,0,64.7,61.2,50.1,,50.3,2.6,1,0,5,0.0,0,38,0,1,92.1,35,15.8,6,56.3,2,0,81.6,31,5,0,0.0,5.0,0.14
Keith Smith,9302,FB,ATL,10,1.0,0,50.0,,0,0,0,0.0,0,0,2,0,64.7,67.2,52.1,51.0,54.4,22.6,12,0,8,50.9,27,53,0,1,45.3,24,7.5,4,60.4,2,0,9.4,5,8,8,8.0,8.0,0.33
Richard Rodgers,8733,TE,LAC,7,4.5,1,50.0,,0,0,1,0.0,0,0,27,0,64.7,61.2,45.9,78.6,48.6,78.6,22,0,4,32.1,9,28,1,1,67.9,19,7.1,2,56.3,2,0,14.3,4,4,3,3.0,4.0,0.21
Tyrion Davis-Price,99169,HB,SF,2,0.0,0,0.0,,0,0,0,,0,0,28,0,,76.2,52.6,,50.1,4.5,1,0,0,0.0,0,22,0,0,95.5,21,13.6,3,39.6,2,0,13.6,3,0,0,,,0.0
DeSean Jackson,4363,WR,BLT,1,32.0,0,50.0,50.0,1,2,0,0.0,0,1,3,0,68.3,64.0,91.1,,89.9,0.0,0,0,16,0.0,0,7,0,1,71.4,5,28.6,2,77.1,2,0,71.4,5,16,0,0.0,16.0,3.2
Zach Wilson,82096,QB,NYJ,6,4.0,0,100.0,,0,0,0,0.0,0,1,22,1,64.7,73.3,54.9,,90.6,0.0,0,0,2,0.0,0,198,0,1,0.5,1,0.0,0,118.8,1,1,0.0,0,2,0,0.0,2.0,2.0
Tanner Gentry,12170,WR,BUF,1,7.0,0,0.0,,0,0,0,,0,0,4,0,,,53.1,,53.5,0.0,0,0,0,0.0,0,7,0,0,100.0,7,28.6,2,39.6,1,0,71.4,5,0,0,,,0.0
Penny Hart,13534,WR,SEA,5,7.0,1,100.0,,0,0,1,0.0,0,1,29,0,64.7,61.2,66.7,,65.8,0.0,0,0,15,0.0,0,9,1,1,66.7,6,44.4,4,118.8,1,0,55.6,5,15,8,8.0,15.0,2.5
J.J. Taylor,25512,HB,NE,1,3.0,1,100.0,,0,0,0,0.0,0,0,19,0,64.7,73.6,51.3,,70.8,0.0,0,0,8,0.0,0,7,0,1,100.0,7,0.0,0,100.0,1,0,0.0,0,8,5,5.0,8.0,1.14
Justin Herbert,28237,QB,LAC,9,-8.0,0,100.0,,0,0,1,0.0,0,0,27,3,,87.1,76.6,,60.0,0.0,0,0,-8,0.0,0,432,1,1,0.2,1,0.0,0,79.2,1,0,0.0,0,-8,0,0.0,-8.0,-8.0
Grant Calcaterra,60997,TE,PHI,5,17.0,1,100.0,,0,0,0,0.0,0,1,24,0,64.7,61.2,75.3,77.5,68.5,59.1,13,0,40,22.7,5,22,0,1,72.7,16,9.1,2,118.8,1,0,22.7,5,40,23,23.0,40.0,2.5
Tom Brady,698,QB,TB,10,15.0,0,0.0,,0,0,0,,0,0,30,2,,79.7,78.1,,59.9,0.0,0,1,0,0.0,0,473,1,0,0.2,1,0.0,0,0.0,1,0,0.2,1,0,0,,,0.0
Noah Togiai,47282,TE,PHI,1,3.0,0,0.0,,0,0,0,100.0,1,0,24,0,27.9,,26.7,20.4,28.1,100.0,4,0,0,50.0,2,4,0,0,50.0,2,0.0,0,39.6,1,0,0.0,0,0,0,,,0.0
Mason Kinsey,115664,WR,TEN,1,3.0,0,100.0,,0,0,0,0.0,0,0,31,0,64.7,61.2,55.8,,55.9,0.0,0,0,3,0.0,0,9,0,1,100.0,9,88.9,8,79.2,1,0,11.1,1,3,0,0.0,3.0,0.33
Jake Tonges,60864,TE,CHI,3,14.0,0,0.0,,0,0,0,,0,0,6,0,,,52.5,,55.7,33.3,1,0,0,0.0,0,3,0,0,100.0,3,33.3,1,39.6,1,0,33.3,1,0,0,,,0.0
Keke Coutee,47698,WR,IND,2,10.0,0,100.0,,0,0,0,0.0,0,0,14,1,64.7,26.8,37.5,,43.9,0.0,0,0,20,0.0,0,2,0,1,100.0,2,100.0,2,118.8,1,0,0.0,0,20,10,10.0,20.0,10.0
KaVontae Turpin,47658,WR,DAL,8,4.0,0,100.0,,0,0,0,0.0,0,0,9,0,64.7,86.3,53.9,,54.0,0.0,0,0,9,0.0,0,15,0,1,100.0,15,86.7,13,104.2,1,0,13.3,2,9,5,5.0,9.0,0.6
Bailey Zappe,60396,QB,NE,4,-8.0,0,100.0,,0,0,0,0.0,0,0,19,2,,26.1,67.1,,,0.0,0,0,-6,0.0,0,109,3,1,0.0,0,0.0,0,79.2,1,0,0.0,0,-6,2,2.0,-6.0,
Maurice Alexander,33465,WR,DET,3,2.0,0,100.0,,0,0,0,0.0,0,0,11,0,64.7,72.9,57.2,,57.5,0.0,0,0,7,0.0,0,6,0,1,83.3,5,16.7,1,95.8,1,0,83.3,5,7,5,5.0,7.0,1.4
Gunner Olszewski,95015,WR,PIT,4,-4.0,1,100.0,,0,0,0,0.0,0,0,25,0,64.7,26.5,54.2,,52.3,0.0,0,0,4,0.0,0,22,0,1,95.5,21,95.5,21,83.3,1,0,4.5,1,4,8,8.0,4.0,0.19
Tyron Johnson,34427,WR,HST,4,-2.0,0,100.0,,0,0,0,0.0,0,0,13,0,64.7,65.7,54.2,,53.6,0.0,0,0,8,0.0,0,19,0,1,94.7,18,0.0,0,100.0,1,0,100.0,19,8,10,10.0,8.0,0.44
Elijah Mitchell,57272,HB,SF,2,-4.0,0,100.0,,0,0,0,0.0,0,0,28,0,64.7,78.3,84.5,72.4,57.7,0.0,0,0,-1,10.0,1,10,1,1,90.0,9,10.0,1,79.2,1,0,10.0,1,-1,3,3.0,-1.0,-0.11
Adam Prentice,35639,FB,NO,4,2.0,0,100.0,,0,0,0,0.0,0,0,20,1,64.7,18.4,35.5,78.5,27.8,0.0,0,0,2,20.0,3,15,0,1,80.0,12,6.7,1,79.2,1,0,13.3,2,2,0,0.0,2.0,0.17
David Bakhtiari,7891,T,GB,7,4.0,0,0.0,,0,0,1,,0,0,12,0,,,80.1,85.6,60.0,0.0,0,1,0,99.5,210,211,4,0,0.5,1,0.0,0,0.0,1,0,0.0,0,0,0,,,0.0
Boston Scott,39462,HB,PHI,7,2.0,0,100.0,,0,0,0,0.0,0,0,24,0,64.7,78.8,57.0,77.0,51.5,0.0,0,0,2,6.3,2,32,0,1,93.8,30,6.3,2,79.2,1,0,12.5,4,2,0,0.0,2.0,0.07
