player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Chandon Sullivan,49349,CB,MIN,11,5,4.1,0,0,18,51.1,56.2,84.2,77.6,72.0,69.8,13.3,2,1,184,185,2.7,5,8
Jaire Alexander,49350,CB,GB,11,2,7.6,0,0,12,77.5,75.6,56.4,,66.1,64.5,18.8,3,1,310,318,1.6,5,11
Ugo Amadi,49352,CB,KC,2,1,4.0,0,0,16,66.4,66.3,76.3,56.7,65.3,34.4,20.0,1,0,31,31,6.5,2,3
Isaac Yiadom,49355,CB,NO,1,0,,0,0,20,,60.0,66.5,,60.0,,,0,0,2,2,0.0,0,0
Chris Lammons,49368,CB,KC,2,0,,0,0,16,43.0,44.4,81.5,59.7,60.0,76.4,,0,0,2,2,0.0,0,0
Chauncey Gardner-Johnson,49371,S,PHI,11,3,4.6,0,0,24,63.3,63.0,88.5,66.7,56.4,47.4,22.7,5,2,237,242,2.5,6,14
Jaylon Jones,49374,CB,CHI,7,3,5.0,0,0,6,51.4,47.3,18.1,38.4,45.1,51.4,14.3,1,2,91,94,1.1,1,3
Donte Jackson,49377,CB,CAR,9,0,5.0,1,0,5,55.2,55.0,85.8,,51.1,40.8,28.6,2,2,166,171,2.4,4,5
Danny Johnson,49379,CB,WAS,2,2,,0,0,32,62.1,62.5,75.8,51.0,67.1,81.2,0.0,0,0,14,14,0.0,0,0
Cameron Lewis,49395,S,BUF,2,1,6.0,0,0,4,56.1,47.0,79.8,,29.9,52.1,25.0,1,0,22,22,0.0,0,2
M.J. Stewart,49397,S,HST,5,1,7.7,0,0,13,56.5,62.7,76.1,,69.1,77.4,0.0,0,0,51,52,3.9,2,6
Donovan Wilson,49408,S,DAL,11,6,4.8,0,0,9,69.5,66.6,9.4,89.4,55.9,49.0,20.5,9,3,249,258,6.4,16,29
Julian Blackmon,49434,S,IND,9,3,8.7,0,0,14,59.7,65.7,85.5,55.5,77.6,90.4,0.0,0,0,161,168,1.2,2,7
Keion Crossen,49454,CB,MIA,9,0,5.3,0,0,17,46.4,46.0,2.6,60.0,60.3,43.8,0.0,0,2,43,43,4.7,2,3
Darius Phillips,49507,CB,DEN,2,0,,0,0,10,66.2,66.4,84.2,,60.0,29.8,,0,0,2,2,0.0,0,0
Taron Johnson,49511,CB,BUF,12,6,4.0,0,0,4,67.1,64.0,84.6,57.9,50.8,56.3,20.0,6,4,237,240,4.6,11,18
Nick McCloud,49535,CB,NYG,6,0,6.4,0,0,21,55.0,60.5,79.2,63.0,70.3,85.3,0.0,0,1,95,96,1.1,1,5
Juju Hughes,49545,S,DET,4,1,3.7,0,0,11,55.0,52.3,77.3,58.0,51.1,51.6,20.0,2,0,62,65,8.1,5,7
Denzel Ward,49558,CB,CLV,8,2,9.8,3,0,8,49.4,46.2,10.1,65.4,42.5,45.3,27.3,3,6,184,187,1.1,2,6
Ashtyn Davis,49560,S,NYJ,2,0,,0,0,22,57.5,49.7,71.3,,60.0,,,0,0,4,4,0.0,0,0
Rock Ya-Sin,49564,CB,LV,10,4,3.8,0,0,23,64.6,64.5,85.7,60.0,58.9,44.9,33.3,4,3,250,254,0.8,2,4
Duke Shelley,49569,CB,MIN,2,1,,0,0,18,64.8,65.8,79.0,,65.9,79.1,0.0,0,0,16,16,0.0,0,0
Breiden Fehoko,49589,DI,LAC,3,1,1.7,0,0,27,61.7,57.9,81.0,54.7,55.7,72.4,0.0,0,0,61,63,8.2,5,6
Matt Dickerson,49601,DI,ATL,4,1,0.0,0,0,2,60.9,40.6,78.0,48.2,41.0,41.5,0.0,0,0,21,21,4.8,1,1
