tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2022,2022,RBC Canadian Open,32,"Conners, Corey",17576,6,1,St. George's G&CC,772,71,0.401,-0.119,0.27,-0.001,0.151,0.6,280.7,0.769,0.611,0.75,36.568,30.07
pga,2022,2022,RBC Canadian Open,32,"Conners, Corey",17576,6,2,St. George's G&CC,772,69,0.775,-0.724,1.348,1.18,1.804,2.579,297.4,0.846,0.722,0.5,55.554,24.742
pga,2022,2022,RBC Canadian Open,32,"Conners, Corey",17576,6,3,St. George's G&CC,772,66,2.275,1.315,-0.862,0.671,1.125,3.4,296.5,0.769,0.722,0.8,34.546,33.889
pga,2022,2022,RBC Canadian Open,32,"Conners, Corey",17576,6,4,St. George's G&CC,772,62,1.245,-0.959,4.926,1.389,5.355,6.6,296.9,0.923,1.0,0.333,33.448,18.444
pga,2022,2022,RBC Canadian Open,32,"Kirk, Chris",12423,T7,1,St. George's G&CC,772,69,1.521,0.023,0.513,0.494,1.031,2.6,285.6,0.692,0.611,0.778,63.218,29.175
pga,2022,2022,RBC Canadian Open,32,"Kirk, Chris",12423,T7,2,St. George's G&CC,772,69,-1.263,-0.201,2.509,1.534,3.842,2.579,298.4,0.769,0.889,1.0,29.587,26.063
pga,2022,2022,RBC Canadian Open,32,"Kirk, Chris",12423,T7,3,St. George's G&CC,772,66,1.448,0.503,0.656,0.792,1.952,3.4,300.9,0.692,0.833,0.833,54.258,26.666
pga,2022,2022,RBC Canadian Open,32,"Kirk, Chris",12423,T7,4,St. George's G&CC,772,66,0.345,1.867,-0.761,1.15,2.255,2.6,302.3,0.846,0.778,1.0,35.592,22.767
pga,2022,2022,RBC Canadian Open,32,"Mitchell, Keith",17365,T7,1,St. George's G&CC,772,67,1.792,0.681,1.541,0.537,2.76,4.6,299.1,0.692,0.722,0.6,39.945,29.355
pga,2022,2022,RBC Canadian Open,32,"Mitchell, Keith",17365,T7,2,St. George's G&CC,772,67,0.933,0.715,1.598,1.333,3.646,4.579,296.3,0.769,0.667,0.833,28.875,34.162
pga,2022,2022,RBC Canadian Open,32,"Mitchell, Keith",17365,T7,3,St. George's G&CC,772,70,0.223,-1.616,-0.818,1.61,-0.823,-0.6,314.5,0.692,0.667,0.7,34.372,28.905
pga,2022,2022,RBC Canadian Open,32,"Mitchell, Keith",17365,T7,4,St. George's G&CC,772,66,0.983,0.015,0.057,1.546,1.617,2.6,307.9,0.769,0.833,0.667,42.343,27.746
pga,2022,2022,RBC Canadian Open,32,"Clark, Wyndham",23604,T7,1,St. George's G&CC,772,63,3.865,0.759,2.446,1.481,4.687,8.6,299.1,0.692,0.944,1.0,45.442,24.524
pga,2022,2022,RBC Canadian Open,32,"Clark, Wyndham",23604,T7,2,St. George's G&CC,772,70,1.005,1.896,-1.954,0.632,0.574,1.579,302.0,0.769,0.5,0.818,36.156,33.249
pga,2022,2022,RBC Canadian Open,32,"Clark, Wyndham",23604,T7,3,St. George's G&CC,772,68,2.775,0.392,-1.528,-0.24,-1.375,1.4,317.3,0.692,0.722,0.8,120.948,30.756
pga,2022,2022,RBC Canadian Open,32,"Clark, Wyndham",23604,T7,4,St. George's G&CC,772,69,3.295,-0.206,-2.058,-1.43,-3.695,-0.4,298.4,0.769,0.611,0.857,15.178,31.128
pga,2022,2022,RBC Canadian Open,32,"Lee, Danny",11826,T10,1,St. George's G&CC,772,68,-0.857,1.25,1.954,1.204,4.409,3.6,292.0,0.846,0.833,0.667,59.677,25.911
pga,2022,2022,RBC Canadian Open,32,"Lee, Danny",11826,T10,2,St. George's G&CC,772,69,0.264,0.24,1.274,0.801,2.315,2.579,293.8,0.846,0.722,0.667,4.744,32.733
pga,2022,2022,RBC Canadian Open,32,"Lee, Danny",11826,T10,3,St. George's G&CC,772,69,0.31,-2.026,2.388,-0.273,0.09,0.4,294.3,0.538,0.667,0.6,61.279,18.036
pga,2022,2022,RBC Canadian Open,32,"Lee, Danny",11826,T10,4,St. George's G&CC,772,65,1.642,0.597,0.598,0.764,1.958,3.6,298.5,0.769,0.778,1.0,25.892,29.467
pga,2022,2022,RBC Canadian Open,32,"Lowry, Shane",13900,T10,1,St. George's G&CC,772,67,-0.502,2.177,1.485,1.391,5.054,4.6,292.5,0.846,0.889,1.0,19.986,31.362
pga,2022,2022,RBC Canadian Open,32,"Lowry, Shane",13900,T10,2,St. George's G&CC,772,69,-1.241,0.828,0.925,2.067,3.82,2.579,303.2,0.923,0.778,0.6,70.781,27.502
pga,2022,2022,RBC Canadian Open,32,"Lowry, Shane",13900,T10,3,St. George's G&CC,772,69,-0.264,0.593,1.061,-0.991,0.664,0.4,301.9,0.462,0.611,0.833,27.456,20.404
pga,2022,2022,RBC Canadian Open,32,"Lowry, Shane",13900,T10,4,St. George's G&CC,772,66,0.276,-0.56,1.793,1.092,2.324,2.6,297.9,0.846,0.833,0.571,47.166,27.315
pga,2022,2022,RBC Canadian Open,32,"Fitzpatrick, Matt",17646,T10,1,St. George's G&CC,772,64,1.905,0.551,3.632,1.463,5.647,7.6,297.6,0.769,0.778,0.75,33.55,24.439
pga,2022,2022,RBC Canadian Open,32,"Fitzpatrick, Matt",17646,T10,2,St. George's G&CC,772,70,0.215,-1.058,0.078,2.344,1.364,1.579,310.7,0.846,0.778,0.286,95.308,27.093
pga,2022,2022,RBC Canadian Open,32,"Fitzpatrick, Matt",17646,T10,3,St. George's G&CC,772,70,1.946,-0.522,-2.123,0.098,-2.546,-0.6,307.2,0.538,0.611,0.7,50.065,30.225
pga,2022,2022,RBC Canadian Open,32,"Fitzpatrick, Matt",17646,T10,4,St. George's G&CC,772,67,0.957,-0.479,-0.044,1.167,0.643,1.6,307.4,0.692,0.778,0.667,53.064,35.803
pga,2022,2022,RBC Canadian Open,32,"Todd, Brendon",12425,T13,1,St. George's G&CC,772,69,2.564,0.311,0.974,-1.298,-0.012,2.6,269.7,0.692,0.667,1.0,,35.726
pga,2022,2022,RBC Canadian Open,32,"Todd, Brendon",12425,T13,2,St. George's G&CC,772,69,0.872,-0.281,2.64,-0.652,1.707,2.579,275.6,0.769,0.833,0.8,,25.131
pga,2022,2022,RBC Canadian Open,32,"Todd, Brendon",12425,T13,3,St. George's G&CC,772,68,1.731,0.492,-0.315,-0.509,-0.331,1.4,280.5,0.692,0.611,0.857,67.371,29.91
pga,2022,2022,RBC Canadian Open,32,"Todd, Brendon",12425,T13,4,St. George's G&CC,772,66,0.494,1.458,0.531,0.118,2.106,2.6,282.7,0.846,0.667,0.75,51.068,37.069
pga,2022,2022,RBC Canadian Open,32,"Kraft, Kelly",15852,T13,1,St. George's G&CC,772,69,-0.085,0.809,0.805,1.022,2.637,2.6,290.9,0.846,0.722,0.778,30.428,39.266
pga,2022,2022,RBC Canadian Open,32,"Kraft, Kelly",15852,T13,2,St. George's G&CC,772,69,0.262,1.854,0.155,0.308,2.317,2.579,284.4,0.692,0.556,0.846,27.7,31.353
pga,2022,2022,RBC Canadian Open,32,"Kraft, Kelly",15852,T13,3,St. George's G&CC,772,70,0.486,-0.514,-0.558,-0.015,-1.086,-0.6,289.6,0.692,0.556,0.556,29.979,34.46
pga,2022,2022,RBC Canadian Open,32,"Kraft, Kelly",15852,T13,4,St. George's G&CC,772,64,1.953,0.871,1.465,0.312,2.647,4.6,284.0,0.846,0.722,1.0,14.669,26.873
pga,2022,2022,RBC Canadian Open,32,"Varner III, Harold",16602,T13,1,St. George's G&CC,772,65,3.359,1.011,1.892,0.289,3.193,6.6,294.7,0.615,0.556,0.857,53.724,24.391
pga,2022,2022,RBC Canadian Open,32,"Varner III, Harold",16602,T13,2,St. George's G&CC,772,72,-1.061,0.329,-0.644,0.955,0.64,-0.421,298.6,0.615,0.611,0.667,60.566,29.236
pga,2022,2022,RBC Canadian Open,32,"Varner III, Harold",16602,T13,3,St. George's G&CC,772,68,-2.139,0.44,1.938,1.16,3.539,1.4,310.4,0.692,0.833,0.6,10.205,26.103
pga,2022,2022,RBC Canadian Open,32,"Varner III, Harold",16602,T13,4,St. George's G&CC,772,67,-1.535,0.026,2.541,0.569,3.135,1.6,297.1,0.692,0.778,0.667,28.112,24.688
pga,2022,2022,RBC Canadian Open,32,"Rai, Aaron",18554,T13,1,St. George's G&CC,772,69,-0.025,-0.154,1.356,1.374,2.577,2.6,290.3,0.923,0.833,0.6,75.119,26.533
pga,2022,2022,RBC Canadian Open,32,"Rai, Aaron",18554,T13,2,St. George's G&CC,772,70,0.307,0.007,1.728,-0.463,1.272,1.579,288.7,0.769,0.667,0.667,,26.994
pga,2022,2022,RBC Canadian Open,32,"Rai, Aaron",18554,T13,3,St. George's G&CC,772,67,-1.019,-0.455,3.224,0.649,3.419,2.4,294.6,0.769,0.944,0.333,56.623,27.226
pga,2022,2022,RBC Canadian Open,32,"Rai, Aaron",18554,T13,4,St. George's G&CC,772,66,-0.88,1.375,0.87,1.236,3.48,2.6,290.2,1.0,0.944,1.0,17.622,28.32
pga,2022,2022,RBC Canadian Open,32,"Cook, Austin",18579,T13,1,St. George's G&CC,772,71,3.394,-0.593,-0.803,-1.447,-2.842,0.6,273.0,0.615,0.5,0.625,,29.475
pga,2022,2022,RBC Canadian Open,32,"Cook, Austin",18579,T13,2,St. George's G&CC,772,64,2.196,1.656,2.679,1.048,5.383,7.579,291.4,0.846,0.889,1.0,60.373,24.414
pga,2022,2022,RBC Canadian Open,32,"Cook, Austin",18579,T13,3,St. George's G&CC,772,68,2.077,0.08,-0.679,-0.079,-0.677,1.4,285.3,0.692,0.778,0.667,18.675,34.827
pga,2022,2022,RBC Canadian Open,32,"Cook, Austin",18579,T13,4,St. George's G&CC,772,69,1.906,-0.227,-1.48,-0.598,-2.306,-0.4,271.1,0.769,0.611,0.5,10.589,32.246
pga,2022,2022,RBC Canadian Open,32,"Rodgers, Patrick",16283,T18,1,St. George's G&CC,772,67,2.492,-0.371,0.995,1.435,2.06,4.6,299.1,0.769,0.778,0.75,23.976,26.808
pga,2022,2022,RBC Canadian Open,32,"Rodgers, Patrick",16283,T18,2,St. George's G&CC,772,69,2.232,-1.51,0.174,1.683,0.347,2.579,302.4,0.769,0.611,0.455,61.713,35.518
pga,2022,2022,RBC Canadian Open,32,"Rodgers, Patrick",16283,T18,3,St. George's G&CC,772,72,-0.434,-0.834,-0.189,-1.144,-2.166,-2.6,299.5,0.385,0.667,0.444,36.714,27.067
pga,2022,2022,RBC Canadian Open,32,"Rodgers, Patrick",16283,T18,4,St. George's G&CC,772,65,2.631,0.318,0.914,-0.262,0.969,3.6,295.7,0.615,0.667,0.857,35.244,22.151
pga,2022,2022,RBC Canadian Open,32,"Scheffler, Scottie",18417,T18,1,St. George's G&CC,772,69,-0.938,2.144,1.167,0.178,3.49,2.6,293.5,0.692,0.611,0.625,34.983,29.438
pga,2022,2022,RBC Canadian Open,32,"Scheffler, Scottie",18417,T18,2,St. George's G&CC,772,67,0.121,0.057,3.082,1.319,4.458,4.579,295.4,0.769,0.833,0.5,75.949,24.229
pga,2022,2022,RBC Canadian Open,32,"Scheffler, Scottie",18417,T18,3,St. George's G&CC,772,71,0.169,-0.675,-1.006,-0.089,-1.769,-1.6,295.9,0.538,0.611,0.444,57.81,28.152
pga,2022,2022,RBC Canadian Open,32,"Scheffler, Scottie",18417,T18,4,St. George's G&CC,772,66,0.103,0.723,0.764,1.011,2.497,2.6,292.2,0.846,0.722,0.833,28.906,29.973
pga,2022,2022,RBC Canadian Open,32,"Ghim, Doug",24550,T18,1,St. George's G&CC,772,65,2.705,0.26,2.32,1.266,3.847,6.6,286.7,0.923,0.611,0.889,,25.151
pga,2022,2022,RBC Canadian Open,32,"Ghim, Doug",24550,T18,2,St. George's G&CC,772,71,-0.09,0.036,1.412,-0.779,0.669,0.579,288.5,0.692,0.667,0.857,85.712,29.108
pga,2022,2022,RBC Canadian Open,32,"Ghim, Doug",24550,T18,3,St. George's G&CC,772,68,1.391,2.328,-2.422,0.102,0.009,1.4,289.8,0.692,0.611,1.0,45.818,34.286
pga,2022,2022,RBC Canadian Open,32,"Ghim, Doug",24550,T18,4,St. George's G&CC,772,69,-2.354,0.004,1.167,0.784,1.954,-0.4,296.6,0.769,0.833,0.25,100.252,19.316
pga,2022,2022,RBC Canadian Open,32,"Svensson, Adam",13997,T21,1,St. George's G&CC,772,72,-0.701,-0.736,-0.232,1.22,0.253,-0.4,294.4,0.769,0.611,0.727,49.83,31.097
pga,2022,2022,RBC Canadian Open,32,"Svensson, Adam",13997,T21,2,St. George's G&CC,772,68,1.408,1.162,0.279,0.73,2.171,3.579,293.2,0.692,0.556,0.625,43.049,33.344
pga,2022,2022,RBC Canadian Open,32,"Svensson, Adam",13997,T21,3,St. George's G&CC,772,67,0.099,1.347,1.172,-0.219,2.301,2.4,290.5,0.769,0.889,0.6,30.187,31.326
pga,2022,2022,RBC Canadian Open,32,"Svensson, Adam",13997,T21,4,St. George's G&CC,772,67,-0.157,0.13,1.235,0.393,1.757,1.6,285.8,0.846,0.833,0.5,41.268,35.159
pga,2022,2022,RBC Canadian Open,32,"Long, Adam",15473,T21,1,St. George's G&CC,772,70,1.053,0.28,-0.277,0.495,0.499,1.6,280.1,0.846,0.722,0.857,30.678,37.232
pga,2022,2022,RBC Canadian Open,32,"Long, Adam",15473,T21,2,St. George's G&CC,772,67,0.126,1.601,1.716,1.136,4.453,4.579,293.7,0.846,0.778,0.833,54.577,26.757
pga,2022,2022,RBC Canadian Open,32,"Long, Adam",15473,T21,3,St. George's G&CC,772,67,1.401,0.285,-0.02,0.733,0.999,2.4,296.4,0.846,0.889,0.667,34.25,31.782
pga,2022,2022,RBC Canadian Open,32,"Long, Adam",15473,T21,4,St. George's G&CC,772,70,-0.628,-0.651,0.31,-0.43,-0.772,-1.4,283.3,0.615,0.833,0.5,52.559,31.692
pga,2022,2022,RBC Canadian Open,32,"Smalley, Alex",18474,T21,1,St. George's G&CC,772,67,-0.43,0.361,2.358,2.262,4.982,4.6,299.2,1.0,0.944,0.667,,34.098
pga,2022,2022,RBC Canadian Open,32,"Smalley, Alex",18474,T21,2,St. George's G&CC,772,67,-1.251,2.399,3.361,0.07,5.83,4.579,288.7,0.538,0.611,0.75,20.474,24.701
pga,2022,2022,RBC Canadian Open,32,"Smalley, Alex",18474,T21,3,St. George's G&CC,772,67,-0.226,0.944,0.421,1.26,2.626,2.4,311.3,0.846,0.833,0.8,,24.417
pga,2022,2022,RBC Canadian Open,32,"Smalley, Alex",18474,T21,4,St. George's G&CC,772,73,-2.251,-0.704,-1.594,0.15,-2.149,-4.4,299.8,0.692,0.667,0.143,51.375,36.895
pga,2022,2022,RBC Canadian Open,32,"Piercy, Scott",7899,T21,1,St. George's G&CC,772,70,1.061,0.599,-1.11,1.001,0.491,1.6,284.7,0.923,0.667,0.625,5.489,35.328
pga,2022,2022,RBC Canadian Open,32,"Piercy, Scott",7899,T21,2,St. George's G&CC,772,70,0.432,0.262,0.505,0.38,1.147,1.579,291.9,0.769,0.667,0.286,84.639,26.91
pga,2022,2022,RBC Canadian Open,32,"Piercy, Scott",7899,T21,3,St. George's G&CC,772,66,1.695,0.596,0.708,0.4,1.705,3.4,299.8,0.615,0.667,0.75,29.28,30.186
pga,2022,2022,RBC Canadian Open,32,"Piercy, Scott",7899,T21,4,St. George's G&CC,772,68,-2.322,0.343,1.685,0.895,2.922,0.6,292.2,0.846,0.722,0.714,17.049,29.254
pga,2022,2022,RBC Canadian Open,32,"Huh, John",14606,T25,1,St. George's G&CC,772,69,-0.148,0.373,1.146,1.18,2.7,2.6,285.8,0.923,0.722,0.714,,32.52
pga,2022,2022,RBC Canadian Open,32,"Huh, John",14606,T25,2,St. George's G&CC,772,69,1.753,1.129,0.057,-0.36,0.826,2.579,288.1,0.615,0.556,0.75,39.199,33.064
pga,2022,2022,RBC Canadian Open,32,"Huh, John",14606,T25,3,St. George's G&CC,772,72,-4.745,0.831,1.552,-0.239,2.145,-2.6,298.4,0.692,0.722,0.75,31.096,25.332
pga,2022,2022,RBC Canadian Open,32,"Huh, John",14606,T25,4,St. George's G&CC,772,65,0.216,0.471,1.583,1.331,3.384,3.6,295.7,1.0,0.833,0.75,,24.76
pga,2022,2022,RBC Canadian Open,32,"Knous, Jim",16382,T25,1,St. George's G&CC,772,67,0.145,0.876,2.132,1.398,4.407,4.6,289.9,0.923,0.722,0.429,,27.784
pga,2022,2022,RBC Canadian Open,32,"Knous, Jim",16382,T25,2,St. George's G&CC,772,67,3.26,1.743,-0.436,0.012,1.319,4.579,297.0,0.615,0.722,0.833,47.489,30.105
pga,2022,2022,RBC Canadian Open,32,"Knous, Jim",16382,T25,3,St. George's G&CC,772,69,0.324,-0.462,-0.575,1.112,0.076,0.4,299.9,0.846,0.722,0.625,34.273,25.395
pga,2022,2022,RBC Canadian Open,32,"Knous, Jim",16382,T25,4,St. George's G&CC,772,72,-0.284,-0.409,-2.321,-0.385,-3.116,-3.4,294.2,0.846,0.556,0.625,9.288,29.519
pga,2022,2022,RBC Canadian Open,32,"Munoz, Sebastian",20770,T25,1,St. George's G&CC,772,69,1.488,-0.391,1.358,0.096,1.064,2.6,286.3,0.769,0.556,0.75,10.573,31.827
pga,2022,2022,RBC Canadian Open,32,"Munoz, Sebastian",20770,T25,2,St. George's G&CC,772,70,-1.266,1.077,1.426,0.342,2.845,1.579,288.8,0.769,0.611,0.571,53.055,24.541
pga,2022,2022,RBC Canadian Open,32,"Munoz, Sebastian",20770,T25,3,St. George's G&CC,772,65,1.818,-0.228,0.998,1.811,2.582,4.4,303.9,1.0,0.833,0.571,,36.179
pga,2022,2022,RBC Canadian Open,32,"Munoz, Sebastian",20770,T25,4,St. George's G&CC,772,71,-0.805,-0.409,-1.5,0.315,-1.595,-2.4,285.7,0.769,0.667,0.714,,30.829
pga,2022,2022,RBC Canadian Open,32,"Grillo, Emiliano",12808,T28,1,St. George's G&CC,772,70,1.573,-0.519,-0.276,0.773,-0.021,1.6,293.3,0.692,0.611,0.625,31.259,29.77
pga,2022,2022,RBC Canadian Open,32,"Grillo, Emiliano",12808,T28,2,St. George's G&CC,772,70,-1.607,0.201,1.589,1.396,3.186,1.579,300.1,0.769,0.722,0.286,60.945,29.907
pga,2022,2022,RBC Canadian Open,32,"Grillo, Emiliano",12808,T28,3,St. George's G&CC,772,67,-3.368,1.812,1.939,2.016,5.768,2.4,311.1,0.923,0.778,0.667,41.819,30.145
pga,2022,2022,RBC Canadian Open,32,"Grillo, Emiliano",12808,T28,4,St. George's G&CC,772,69,0.898,-1.962,0.83,-0.165,-1.298,-0.4,285.4,0.615,0.667,0.375,63.549,28.177
pga,2022,2022,RBC Canadian Open,32,"Willett, Danny",12920,T28,1,St. George's G&CC,772,71,-0.475,-0.68,1.022,0.684,1.027,0.6,290.3,0.692,0.722,0.571,20.349,27.484
pga,2022,2022,RBC Canadian Open,32,"Willett, Danny",12920,T28,2,St. George's G&CC,772,68,3.149,-0.222,0.397,0.255,0.43,3.579,293.1,0.462,0.556,0.625,46.653,25.899
pga,2022,2022,RBC Canadian Open,32,"Willett, Danny",12920,T28,3,St. George's G&CC,772,72,1.383,-1.2,-2.313,-0.471,-3.983,-2.6,295.8,0.615,0.611,0.556,52.835,31.486
pga,2022,2022,RBC Canadian Open,32,"Willett, Danny",12920,T28,4,St. George's G&CC,772,65,1.449,0.039,2.049,0.064,2.151,3.6,291.0,0.615,0.833,0.75,43.896,29.541
pga,2022,2022,RBC Canadian Open,32,"Taylor, Nick",13126,T28,1,St. George's G&CC,772,70,0.02,0.613,-0.36,1.278,1.532,1.6,288.1,0.923,0.722,0.875,,33.935
pga,2022,2022,RBC Canadian Open,32,"Taylor, Nick",13126,T28,2,St. George's G&CC,772,68,0.359,1.034,1.099,1.087,3.22,3.579,297.3,0.692,0.667,0.714,57.142,28.672
pga,2022,2022,RBC Canadian Open,32,"Taylor, Nick",13126,T28,3,St. George's G&CC,772,67,2.583,-0.011,0.813,-0.986,-0.183,2.4,290.1,0.538,0.667,0.833,50.98,22.015
pga,2022,2022,RBC Canadian Open,32,"Taylor, Nick",13126,T28,4,St. George's G&CC,772,71,-0.541,-0.024,-1.646,-0.188,-1.859,-2.4,289.5,0.769,0.5,0.667,13.793,32.469
pga,2022,2022,RBC Canadian Open,32,"Hughes, Mackenzie",15556,T28,1,St. George's G&CC,772,66,0.876,1.628,1.719,1.328,4.676,5.6,294.4,0.846,0.667,0.875,68.068,27.314
pga,2022,2022,RBC Canadian Open,32,"Hughes, Mackenzie",15556,T28,2,St. George's G&CC,772,75,-1.289,0.17,-1.701,-0.601,-2.132,-3.421,292.3,0.462,0.5,0.545,62.793,33.526
pga,2022,2022,RBC Canadian Open,32,"Hughes, Mackenzie",15556,T28,3,St. George's G&CC,772,68,0.49,-0.593,1.254,0.248,0.91,1.4,293.2,0.615,0.778,0.625,48.35,22.581
pga,2022,2022,RBC Canadian Open,32,"Hughes, Mackenzie",15556,T28,4,St. George's G&CC,772,67,0.729,-0.071,0.966,-0.023,0.871,1.6,290.9,0.615,0.778,0.667,51.371,23.387
pga,2022,2022,RBC Canadian Open,32,"Seiffert, Chase",17509,T28,1,St. George's G&CC,772,69,-1.024,0.574,1.899,1.102,3.576,2.6,287.8,0.769,0.833,0.8,41.944,28.054
pga,2022,2022,RBC Canadian Open,32,"Seiffert, Chase",17509,T28,2,St. George's G&CC,772,70,-0.444,-0.501,2.347,0.177,2.023,1.579,293.1,0.769,0.667,0.4,33.819,25.992
pga,2022,2022,RBC Canadian Open,32,"Seiffert, Chase",17509,T28,3,St. George's G&CC,772,67,-0.017,0.698,0.659,1.059,2.417,2.4,296.0,0.846,0.889,0.5,16.257,29.295
pga,2022,2022,RBC Canadian Open,32,"Seiffert, Chase",17509,T28,4,St. George's G&CC,772,70,-1.91,-0.017,-0.18,0.708,0.51,-1.4,285.7,0.923,0.667,0.667,,27.074
pga,2022,2022,RBC Canadian Open,32,"Lebioda, Hank",21943,T28,1,St. George's G&CC,772,69,-0.439,1.013,2.555,-0.578,2.991,2.6,280.4,0.692,0.667,0.5,96.643,22.529
pga,2022,2022,RBC Canadian Open,32,"Lebioda, Hank",21943,T28,2,St. George's G&CC,772,70,0.726,0.347,0.413,0.093,0.853,1.579,290.6,0.692,0.667,0.778,27.721,37.194
pga,2022,2022,RBC Canadian Open,32,"Lebioda, Hank",21943,T28,3,St. George's G&CC,772,71,1.011,-1.101,-0.611,-0.9,-2.611,-1.6,286.4,0.462,0.556,0.6,24.876,25.751
pga,2022,2022,RBC Canadian Open,32,"Lebioda, Hank",21943,T28,4,St. George's G&CC,772,66,-0.588,1.702,0.802,0.685,3.188,2.6,290.3,0.846,0.833,0.8,40.673,31.888
pga,2022,2022,RBC Canadian Open,32,"Blixt, Jonas",8182,T28,1,St. George's G&CC,772,67,2.247,-0.043,1.296,1.051,2.305,4.6,287.9,0.846,0.722,0.667,36.549,36.192
pga,2022,2022,RBC Canadian Open,32,"Blixt, Jonas",8182,T28,2,St. George's G&CC,772,74,1.507,-2.871,-1.635,0.578,-3.928,-2.421,285.8,0.692,0.389,0.529,25.133,37.12
pga,2022,2022,RBC Canadian Open,32,"Blixt, Jonas",8182,T28,3,St. George's G&CC,772,70,-1.75,2.448,-0.94,-0.359,1.15,-0.6,292.8,0.538,0.667,0.5,40.223,41.849
