"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","ownership","total_pts","odds_per_dollar","residuals","own_change","adj_own","date","tournament"
"122","Mike Weir",22969303,6000,54.89,45.25,0.08,72.5,23,0.2544,9e-04,0.0337,0.015,0.0037,0.0011,4e-04,0,100,0.0307,25.5,0,-0.01,0,0,2022-06-12,"RBC Canadian Open"
"123","Johnny Travale",22969304,6000,0,25.31,0.01,53.16,13.92,0.1484,2e-04,0.0097,0.0036,8e-04,2e-04,1e-04,0,100,7e-04,15,0,-0.01,0,0,2022-06-12,"RBC Canadian Open"
"124","Ricky Barnes",22969305,6000,34.8,32.13,0.05,57,19,0.2361,6e-04,0.0297,0.0138,0.0035,0.0011,5e-04,1e-04,100,8e-04,22,0.02,0.01,0,0,2022-06-12,"RBC Canadian Open"
"125","John Merrick",22969306,6000,22.12,33.43,0.01,58.5,19.5,0.1045,3e-04,0.0053,0.0015,2e-04,0,0,0,100,4e-04,18.5,0,-0.01,0,0,2022-06-12,"RBC Canadian Open"
"126","Myles Creighton",22969307,6000,0,25.66,0.01,53.89,14.11,0.2029,7e-04,0.0198,0.0081,0.0018,4e-04,1e-04,0,100,7e-04,20.5,0,-0.01,0,0,2022-06-12,"RBC Canadian Open"
"127","Stuart Macdonald",22969310,6000,49.31,25.96,0.01,54.51,14.28,0.3458,0.0019,0.071,0.0337,0.0108,0.0033,0.0016,3e-04,100,0.0047,25,0.05,0.04,0.01,0,2022-06-12,"RBC Canadian Open"
"128","Johnson Wagner",22969311,6000,41.25,31.65,0.09,55.5,19,0.2061,7e-04,0.021,0.0082,0.0015,4e-04,1e-04,0,100,0.0013,10,0,-0.01,0,0,2022-06-12,"RBC Canadian Open"
"129","Ben Crane",22969312,6000,32.83,31.71,0.02,56,18.5,0.2346,5e-04,0.0327,0.0141,0.004,8e-04,3e-04,1e-04,63,4e-04,60,0.02,0.01,0,0,2022-06-12,"RBC Canadian Open"
"130","Brian Davis",22969313,6000,33.75,25.37,0.03,53.27,13.95,0.1317,2e-04,0.0092,0.0035,7e-04,1e-04,0,0,100,4e-04,13,0,-0.01,0,0,2022-06-12,"RBC Canadian Open"
"131","A.J. Ewart",22969314,6000,0,25.12,0.01,52.74,13.81,0.2043,4e-04,0.0249,0.011,0.0033,9e-04,5e-04,1e-04,100,0.0011,17.5,0.02,0.01,0,0,2022-06-12,"RBC Canadian Open"
