"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","scoring_points","finish_points","total_points","value","projected_ownership","sg_putt_pred","sg_putt_rank","sg_arg_pred","sg_arg_rank","sg_app_pred","sg_app_rank","sg_ott_pred","sg_ott_rank","sg_total_pred","sg_total_rank","distance_pred","distance_rank","accuracy_pred","accuracy_rank","baseline","age","age_adj","true_sg_adj","timing_adj","sg_category_adj","course_history_adj","driving_dist_adj","driving_acc_adj","fit_other_adj","course_fit_total_adj","final_prediction","make_cut","top_20","top_10","top_5","win","odds_per_dollar","residuals","proj_own_avg","fpts_avg","course_fit","own_change","manual_change","adj_own","one","date","tournament"
"11","Matt Kuchar",28225678,9100,62.06,64.33,5.2,83,27.5,67.1,3.8,70.9,-0.03,8.5,0.319,33,0.387,1,0.022,142,-0.123,189,0.606,66,-8.281,342,0.044,70,0.858,44,-0.044,-0.133,0.019,-0.094,-0.04,0,0,0,0,0.566,0.6933,0.289,0.1531,0.0763,0.0151,1.66,-1.29,6.85,67.62,1.74,7.19,0,15,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"12","Keith Mitchell",28225679,8900,64.79,64.26,9,83,28,68.4,4,72.4,0.13,9.26,0.167,79,-0.026,201,-0.005,155,0.554,18,0.69,55,13.234,27,0.014,145,0.477,31,0.004,0.013,0.033,0.162,-0.04,0,0,0,0,0.65,0.7041,0.3086,0.1667,0.0845,0.015,1.69,-0.87,9.13,68.33,1.12,4.61,0,15,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"13","Adam Hadwin",28225681,8700,61.5,64.26,7.9,83.5,27.5,67.9,3.8,71.7,0.18,9.05,0.282,44,0.152,59,0.101,115,0.075,123,0.61,64,-3.905,277,0.058,40,0.663,35,-0.01,-0.044,0.011,-0.01,-0.04,0,0,0,0,0.57,0.6923,0.2915,0.1587,0.0808,0.0159,1.83,-0.39,8.48,67.98,1.5,6.56,0,15,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"14","Adrian Meronk",28225682,8600,69.8,72.48,12.5,88.5,56.5,71.1,4.3,75.5,0.45,16.35,0.197,74,0.029,150,0.129,105,0.433,39,0.789,46,6.005,98,0.003,183,0.706,30,0.01,-0.001,-0.008,0.083,-0.04,0,0,0,0,0.749,0.7135,0.3356,0.189,0.1015,0.0215,2.5,0.43,14.43,73.99,1.03,4.85,0,20,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"15","Adam Svensson",28225683,8500,61.08,59.54,11.1,80,25.5,66,3.4,69.4,0.13,11.79,0.142,86,0.019,158,0.154,95,0.111,112,0.424,89,-4.602,296,0.04,74,0.502,29,0.012,-0.023,-0.016,-0.051,-0.04,0,0,0,0,0.384,0.6564,0.2513,0.1319,0.0666,0.012,1.41,-0.51,11.45,64.47,0.81,3.39,0,15,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"16","Nicolai Hojgaard",28225684,8400,76.81,61.79,8.7,81,27,65.3,3.3,68.6,0.14,8.3,0.161,80,-0.148,306,0.059,127,0.331,58,0.403,91,16.543,11,-0.064,378,0.289,22,0.038,-0.019,-0.011,0.107,-0.04,0,0,0,0,0.363,0.6564,0.2463,0.1241,0.0608,0.0103,1.23,-0.56,8.5,65.19,0.33,1.21,0,10,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"17","Nick Taylor",28225687,8100,61.11,63.24,10.3,82.35,27.5,67.3,3.7,71,0.42,11.75,0.187,76,0.159,56,0.208,79,0.03,134,0.585,69,-5.062,304,0.016,141,0.647,35,-0.009,-0.017,0.025,-0.062,-0.04,0,0,0,0,0.545,0.6774,0.2762,0.1437,0.0713,0.013,1.6,0.12,11.03,67.12,1.05,4.78,0,15,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"18","Michael Kim",28225688,8000,52.6,63,9.4,82,27,63.6,3,66.6,0.2,10.81,0.097,110,0.077,111,0.176,89,-0.038,159,0.312,103,3.749,134,-0.013,239,0.27,29,0.01,0.009,-0.038,0.061,-0.04,0,0,0,0,0.272,0.6364,0.2242,0.112,0.0525,0.0087,1.09,-0.31,10.11,64.8,0.8,3.45,0,15,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"19","Eric Cole",28225689,7900,58.24,62.15,12.5,82,27,67.1,3.6,70.7,0.49,16.16,0.211,69,0.211,38,0.212,77,-0.101,181,0.534,73,-1.641,233,-0.045,337,0.668,34,-0.008,0.027,-0.038,-0.114,-0.04,0,0,0,0,0.494,0.6622,0.2646,0.1372,0.0695,0.0133,1.68,0.35,14.33,66.42,0.83,3.91,0,20,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"20","Brendon Todd",28225690,7900,59.97,53.11,6.3,75,24.5,61.6,2.6,64.2,0.1,6.58,0.445,16,0.302,7,-0.086,180,-0.497,328,0.165,120,-17.543,409,0.088,11,0.544,37,-0.019,-0.169,0.015,-0.207,-0.04,0,0,0,0,0.125,0.6139,0.1965,0.0932,0.0432,0.0064,0.81,-0.52,6.44,58.66,1.62,7.03,0,15,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"21","Alex Smalley",28225691,7800,55.5,56.83,6.9,78.5,25,67.4,3.7,71.1,0.56,8.66,-0.201,328,0,178,0.439,34,0.341,56,0.579,70,5.739,99,0.02,126,0.351,26,0.022,0.07,-0.013,0.148,-0.04,0,0,0,0,0.539,0.6815,0.2865,0.152,0.0776,0.0141,1.81,0.55,7.78,63.96,0.77,3.74,0,10,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"22","Aaron Wise",28225692,7800,62.29,55.31,4.3,77,25,60.5,2.5,63,0.07,4.9,0.372,22,0.177,48,-0.348,280,-0.137,196,0.065,133,4.967,111,-0.009,215,0.148,26,0.021,0.045,-0.09,-0.059,-0.04,0,0,0,0,0.025,0.5798,0.1757,0.0818,0.0367,0.0053,0.68,-0.58,4.6,59.16,1.04,4.39,0,10,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"23","Maverick McNealy",28225693,7700,56.41,52.09,6.6,75.35,24,59.8,2.4,62.2,0.07,6.03,0.645,2,0.146,61,-0.244,240,-0.53,331,0.017,140,2.712,155,-0.038,319,0.274,27,0.018,0.007,-0.047,-0.234,-0.04,0,0,0,0,-0.023,0.5851,0.1715,0.0773,0.0334,0.0043,0.56,-0.63,6.31,57.15,1.16,4.9,0,10,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"24","Taylor Pendrith",28225694,7700,54.94,56.62,7,78.5,25.5,62.8,2.8,65.6,0.28,6.3,-0.023,201,-0.043,216,0.02,143,0.219,76,0.174,119,10.531,45,-0.061,372,0.061,32,0.002,0.054,-0.012,0.068,-0.04,0,0,0,0,0.134,0.6094,0.2012,0.0964,0.0456,0.0072,0.94,-0.25,6.65,61.11,0.01,-0.08,0,5,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"25","Harry Hall",28225695,7600,61.85,53.23,8.5,76,24.5,61.4,2.6,63.9,0.22,5.43,0.322,30,0.279,12,-0.267,251,-0.188,219,0.146,125,0.095,203,-0.041,326,0.215,25,0.025,0.035,-0.017,-0.112,-0.04,0,0,0,0,0.106,0.6063,0.1883,0.0902,0.0421,0.0056,0.74,-0.38,6.96,58.56,0.79,3.37,0,10,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"26","Aaron Rai",28225697,7600,55.96,57.6,9.7,79,25.5,67,3.6,70.6,0.62,8.91,-0.213,338,0.041,138,0.452,31,0.282,67,0.563,71,-4.578,293,0.098,7,0.397,28,0.016,-0.009,0.011,0.148,-0.04,0,0,0,0,0.523,0.6732,0.2695,0.1395,0.0698,0.0127,1.67,0.55,9.3,64.1,1.12,5.32,0,15,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"27","Lee Hodges",28225699,7500,51.98,57.74,9.5,78.5,25.5,67.6,3.6,71.1,0.7,11.32,-0.052,226,-0.096,257,0.314,57,0.339,57,0.504,79,1.459,175,0.039,78,0.413,27,0.017,0.039,-0.031,0.066,-0.04,0,0,0,0,0.464,0.6552,0.2632,0.1399,0.0688,0.0123,1.64,0.59,10.41,64.42,0.64,3.17,0,15,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"28","Brandon Wu",28225700,7500,61.36,54.53,8,76.5,25,64.8,3.2,68,0.51,6.21,0.075,127,0.051,130,0.109,112,0.115,111,0.35,98,-2.707,253,0.022,115,0.34,26,0.023,0.031,0.002,-0.046,-0.04,0,0,0,0,0.31,0.6377,0.2299,0.1145,0.0547,0.0088,1.17,0.12,7.11,61.26,0.66,3.03,0,10,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"29","Vincent Norrman",28225701,7500,57.94,55.44,10.1,78,25,64.2,3,67.2,0.47,10.89,-0.177,311,-0.019,192,0.107,113,0.383,49,0.294,105,12.078,33,-0.011,230,0.118,25,0.026,0.038,0.009,0.102,-0.04,0,0,0,0,0.254,0.631,0.2247,0.1136,0.0532,0.0086,1.15,0.1,10.5,61.32,0.43,1.99,0,10,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"30","David Lipsky",28225702,7400,50.43,53.01,8.8,76,24.5,62.2,2.6,64.8,0.37,7.81,-0.168,307,0.079,109,0.348,51,-0.101,183,0.157,122,-7.009,329,0.046,64,0.165,34,-0.008,0.029,-0.009,-0.021,-0.04,0,0,0,0,0.117,0.6078,0.1965,0.0957,0.0441,0.0069,0.93,-0.04,8.3,58.91,0.61,2.72,0,10,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"31","Mackenzie Hughes",28225703,7400,54.83,49.77,8.1,73.5,23.5,64.1,3.1,67.1,0.51,10.2,0.308,37,0.239,27,-0.092,183,-0.114,186,0.341,100,1.732,173,-0.04,324,0.336,32,0.001,-0.042,-0.015,0.061,-0.04,0,0,0,0,0.301,0.6429,0.2353,0.1178,0.0552,0.0089,1.2,0.23,9.15,58.44,0.93,4.3,0,15,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"32","Will Gordon",28225705,7400,63.64,54.6,9.1,77,24.5,65.5,3.2,68.6,0.6,4.55,-0.019,199,-0.199,341,0.178,88,0.41,45,0.369,96,13.764,22,0.011,154,0.166,26,0.021,0.059,-0.003,0.126,-0.04,0,0,0,0,0.329,0.6528,0.2445,0.1259,0.0622,0.0103,1.39,0.42,6.82,61.6,0.58,2.82,0,10,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"33","Webb Simpson",28225706,7300,45.62,49.08,2.5,73,23,54.4,1.7,56,-0.07,4.06,-0.025,204,0.003,175,-0.025,160,-0.365,286,-0.411,199,-2.122,240,0.033,92,-0.157,37,-0.019,-0.096,-0.124,-0.014,-0.04,0,0,0,0,-0.451,0.4854,0.1092,0.0446,0.0191,0.0024,0.33,-0.55,3.28,52.54,0.37,1.39,0,5,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"34","Ben Martin",28225707,7300,62.15,57.4,8.7,78.5,25.5,62.1,2.7,64.8,0.41,9.08,0.022,170,-0.195,338,0.202,82,0.145,98,0.174,118,-3.498,267,0.04,75,0.249,35,-0.011,-0.054,0.025,-0.034,-0.04,0,0,0,0,0.134,0.6032,0.2004,0.0973,0.0442,0.0068,0.93,0.05,8.89,61.1,0.19,0.88,0,10,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"35","Mark Hubbard",28225708,7300,54.67,56.55,15.9,78,25.5,64.7,3.2,68,0.6,15.25,-0.005,188,0.082,104,0.423,40,-0.1,180,0.4,92,-7.93,336,0.034,90,0.517,34,-0.005,-0.021,-0.011,-0.079,-0.04,0,0,0,0,0.36,0.639,0.2342,0.1167,0.055,0.0089,1.22,0.34,15.57,62.27,0.81,3.82,0,20,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"36","Nate Lashley",28225709,7300,58.45,53.84,4.7,76.5,24.5,58.7,2.3,61,0.19,4.13,0.059,139,0.047,133,0.206,80,-0.293,257,0.019,139,-6.349,321,0.032,95,0.241,40,-0.028,-0.046,0.028,-0.176,-0.04,0,0,0,0,-0.021,0.5816,0.1686,0.0769,0.033,0.0045,0.62,-0.26,4.42,57.42,0.65,2.8,0,5,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"37","Seonghyeon Kim",28225710,7300,60.41,55.03,5.8,77.5,24.5,66.3,3.4,69.7,0.7,7.09,0.114,104,0.084,99,-0.14,204,0.388,47,0.446,86,7.574,77,-0.022,274,0.172,24,0.029,0.059,0.004,0.183,-0.04,0,0,0,0,0.406,0.6633,0.2545,0.1321,0.0625,0.0112,1.53,0.65,6.44,62.37,0.6,3.02,0,10,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"38","Akshay Bhatia",28225711,7200,66.22,52.04,6.2,75.5,24,63.5,3,66.4,0.56,6.73,-0.146,290,-0.095,256,0.211,78,0.293,62,0.263,108,2.436,162,0,186,0.039,21,0.041,0.058,0.045,0.079,-0.04,0,0,0,0,0.223,0.6296,0.2188,0.1075,0.0505,0.008,1.11,0.34,6.46,59.22,0.07,0.49,0,5,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"39","Doug Ghim",28225713,7200,48.56,53.52,6.4,76,24.5,59.8,2.3,62.2,0.3,3.27,-0.128,279,0.005,172,0.042,134,0.084,119,0.003,141,-3.614,269,0.06,33,-0.118,27,0.02,-0.015,0.006,0.11,-0.04,0,0,0,0,-0.037,0.5781,0.1724,0.0796,0.0355,0.0056,0.78,0.01,4.84,57.86,0.45,2.03,0,5,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"40","Cameron Champ",28225714,7200,39.41,49.12,1.1,73.5,23,56.7,1.9,58.6,0.09,2.57,-0.251,361,-0.448,418,-0.063,173,0.491,27,-0.271,176,15.528,15,0.005,176,-0.476,27,0.017,0.016,-0.023,0.195,-0.04,0,0,0,0,-0.311,0.5215,0.1316,0.0575,0.0249,0.0035,0.49,-0.28,1.83,53.86,-0.63,-2.98,0,0,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"41","Aaron Baddeley",28225715,7200,65.77,48.87,4.3,72,23.5,56.1,1.8,57.9,0.05,3.69,0.193,75,0.274,15,-0.125,196,-0.637,353,-0.294,184,-14.227,397,-0.032,299,0.008,42,-0.034,-0.083,0.004,-0.189,-0.04,0,0,0,0,-0.334,0.5215,0.1229,0.0539,0.0229,0.0029,0.4,-0.37,4,53.38,0.18,0.62,0,5,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"42","Garrick Higgo",28225717,7100,54.04,50.44,4.5,74,23.5,64.2,3,67.1,0.65,5.45,-0.068,239,-0.027,203,-0.087,182,0.495,26,0.312,102,8.658,65,-0.019,263,-0.111,24,0.031,0.076,0.042,0.274,-0.04,0,0,0,0,0.272,0.6241,0.2188,0.1112,0.0528,0.0089,1.25,0.59,4.97,58.77,0.16,1.02,0,5,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"43","Robby Shelton",28225718,7100,59.02,49.04,5,72.5,23.5,62.7,2.8,65.4,0.54,2.73,0.051,147,0.193,44,0.136,97,-0.15,199,0.23,113,-4.581,294,-0.007,208,0.181,27,0.018,0.008,-0.009,0.033,-0.04,0,0,0,0,0.19,0.6226,0.2092,0.1021,0.0468,0.0075,1.06,0.4,3.87,57.22,0.66,3.17,0,5,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"44","C.T. Pan",28225719,7100,60.8,60.53,9.4,80,26.5,59.5,2.3,61.8,0.33,5.48,-0.043,223,0.041,137,0.033,139,-0.083,174,-0.051,151,-2.017,237,0.034,89,-0.181,31,0.004,-0.04,0.141,0.026,-0.04,0,0,0,0,-0.091,0.5495,0.1536,0.0686,0.0303,0.0044,0.62,-0.04,7.44,61.16,0.5,2.23,20,10,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"45","Patton Kizzire",28225720,7100,54.37,48.3,2.7,72.5,23,58.3,2.1,60.4,0.24,1.6,0.044,156,0.066,116,-0.03,163,-0.183,217,-0.102,158,0.924,185,-0.016,256,-0.058,37,-0.016,-0.029,0.028,-0.027,-0.04,0,0,0,0,-0.142,0.5495,0.1497,0.0674,0.0293,0.0043,0.61,-0.05,2.15,54.35,0.32,1.42,0,5,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"46","Chez Reavie",28225721,7100,44.07,45.95,3.9,70.5,22.5,56,1.8,57.8,0.09,4.99,-0.012,193,-0.144,301,0.079,120,-0.21,228,-0.288,181,-13.203,387,0.086,14,0.039,41,-0.032,-0.1,0.038,-0.234,-0.04,0,0,0,0,-0.327,0.5098,0.12,0.0504,0.0198,0.0028,0.39,-0.27,4.44,51.88,0.12,0.4,0,5,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"47","Scott Piercy",28225722,7100,52.91,51.06,2.5,75,23.5,58.7,2.1,60.8,0.27,1.4,-0.026,205,0.044,134,0.04,135,-0.131,194,-0.072,155,-5.92,317,-0.015,249,0.05,44,-0.043,-0.027,0.01,-0.061,-0.04,0,0,0,0,-0.112,0.5475,0.1504,0.0677,0.0294,0.0041,0.58,-0.08,1.95,55.93,-0.06,-0.31,0,0,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"48","Carson Young",28225723,7100,50.02,55.09,10.3,77.5,24.5,57.9,2,59.9,0.21,12.26,0.037,161,-0.162,314,-0.032,166,-0.009,147,-0.166,162,-3.972,280,0.039,77,-0.153,28,0.015,0.054,0.004,-0.084,-0.04,0,0,0,0,-0.206,0.5283,0.1348,0.0574,0.0242,0.003,0.42,-0.24,11.28,57.5,0.03,0.01,0,10,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"49","Dylan Wu",28225724,7000,61.28,54.4,9.4,76.5,24.5,61,2.6,63.6,0.48,6.46,0.06,138,-0.034,209,0.127,106,-0.025,151,0.128,127,-1.025,219,0.011,152,0.045,26,0.021,0.054,0.028,-0.021,-0.04,0,0,0,0,0.088,0.6063,0.1919,0.0901,0.0409,0.0064,0.91,0.37,7.93,59,0.42,2.07,0,10,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"50","Lanto Griffin",28225726,7000,50.55,44.9,1.5,70.5,22,54.6,1.6,56.2,0.04,0.22,-0.061,233,-0.226,362,-0.125,195,-0.029,153,-0.441,202,3.061,151,0.006,170,-0.314,34,-0.008,-0.027,-0.14,0.048,-0.04,0,0,0,0,-0.481,0.4808,0.107,0.0443,0.0181,0.0023,0.33,-0.21,0.86,50.55,-0.37,-1.77,0,0,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"51","Aaron Cockerill",28225727,7000,67.79,47.64,5.2,72.5,23,56.5,1.9,58.3,0.17,6.01,0.302,38,-0.065,231,-0.188,227,-0.335,276,-0.286,179,-7.482,330,-0.002,196,-0.301,31,0.006,0.047,0.067,-0.105,-0.04,0,0,0,0,-0.326,0.5238,0.1314,0.0561,0.0229,0.0033,0.47,-0.07,5.61,52.97,0.02,0.06,0,5,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"52","Chad Ramey",28225728,7000,44.98,37.03,1.3,62.5,20,55.3,1.6,56.9,0.08,0.49,0.198,73,-0.01,185,-0.392,291,-0.179,215,-0.383,193,-7.559,333,0.025,110,-0.315,30,0.007,0.01,0.018,-0.103,-0.04,0,0,0,0,-0.423,0.5025,0.1157,0.0482,0.0201,0.0028,0.4,-0.14,0.9,46.97,0.01,-0.03,0,0,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"53","Brandt Snedeker",28225729,7000,61,44.05,3,69.5,22,54.9,1.7,56.6,0.06,3.05,-0.09,245,0.127,70,-0.009,156,-0.382,291,-0.354,190,-13.672,392,0.028,101,-0.319,42,-0.035,-0.101,0.156,-0.055,-0.04,0,0,0,0,-0.394,0.5169,0.1205,0.0496,0.0212,0.003,0.43,-0.11,3.02,50.33,0.03,0.08,0,5,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"54","Augusto Nunez",28225730,7000,52.08,45.22,0.88,70,22,55.2,1.7,56.9,0.08,0.48,-0.243,357,-0.042,215,0.019,147,-0.054,164,-0.319,186,8.752,64,-0.04,322,-0.425,30,0.007,0.008,0.021,0.07,-0.04,0,0,0,0,-0.359,0.5146,0.1153,0.0476,0.0188,0.0028,0.4,-0.14,0.68,51.06,-0.23,-1.11,0,0,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"55","Andrew Novak",28225731,7000,60.8,49.75,3,73,23,56.9,2,58.9,0.2,2.15,-0.001,185,-0.012,189,0.038,136,-0.23,239,-0.205,165,-1.552,231,-0.028,288,-0.195,28,0.016,0.038,0.009,-0.073,-0.04,0,0,0,0,-0.245,0.5434,0.1393,0.0605,0.0259,0.0034,0.49,-0.05,2.58,54.33,-0.09,-0.43,0,0,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"56","MJ Daffue",28225735,6900,56.02,44.71,2,70.5,22,56.5,1.9,58.4,0.22,0.43,-0.134,283,-0.154,309,-0.132,200,0.197,83,-0.224,168,9.237,56,-0.044,333,-0.387,34,-0.006,0.05,0.037,0.083,-0.04,0,0,0,0,-0.264,0.5146,0.1267,0.0539,0.0227,0.003,0.43,0.01,1.22,51.56,-0.5,-2.24,0,0,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"57","Austin Smotherman",28225739,6900,49.98,48.67,5.7,72.5,23,56.5,1.9,58.4,0.22,2.33,0.057,141,-0.118,276,-0.167,217,-0.057,166,-0.286,180,0.36,198,0.012,150,-0.28,29,0.013,0.052,0.022,-0.094,-0.04,0,0,0,0,-0.326,0.5261,0.1305,0.0561,0.0242,0.003,0.43,0.01,4.02,53.53,-0.02,-0.09,0,5,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"58","Kevin Chappell",28225740,6900,53.54,48.43,4.5,73,23,54.3,1.6,55.9,0.07,0.56,-0.1,255,-0.049,218,-0.279,258,-0.022,149,-0.45,204,5.291,107,-0.051,349,-0.484,36,-0.015,-0.056,0.066,0.039,-0.04,0,0,0,0,-0.49,0.4926,0.1063,0.0434,0.0173,0.0021,0.3,-0.12,2.53,52.16,-0.57,-2.62,0,0,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"59","Tyler Duncan",28225742,6800,44.98,48.22,1.1,72.5,23,57,1.9,59,0.3,1.02,-0.28,379,-0.264,381,0.02,144,0.274,69,-0.25,171,-2.992,257,0.068,21,-0.393,33,-0.004,-0.023,0.041,0.129,-0.04,0,0,0,0,-0.29,0.5327,0.1348,0.0595,0.0253,0.0031,0.46,0.14,1.06,53.61,-0.38,-1.64,0,0,1,2023-06-07,"2023-06-07 RBC Canadian Open"
