player_name,sample_size,school,dg_rank,dg_change,wagr_rank,wagr_change,dg_index
"Rivera, Jackson",150,"southern california",188,-11,110,4,-0.31716048835096
"Comegys, Matthew",71,"texas tech",189,8,364,21,-0.31741467970851506
"Montojo Fernandez, Jaime",129,"—",190,10,136,9,-0.32056356191755103
"Lotter, Reed",79,"—",191,-17,649,-25,-0.337979601402264
"Chirravuri, Mahanth",130,"southern california",192,9,234,15,-0.341149376622939
"La Sasso, Michael",66,"nc state",193,-18,358,-5,-0.344718288091162
"Vo, Keaton",124,"texas",194,63,250,74,-0.34824881206096703
"Tankersley, Cameron",90,"ole miss",195,9,393,20,-0.349492430378377
"Svard, Daniel",125,"northwestern",196,7,243,12,-0.3500899225566971
"Behr, Stephen",146,"—",197,10,425,14,-0.353145504830052
"Debove, Quentin",150,"florida",198,12,146,9,-0.358320387868374
"Peng, Bo",150,"washington",199,-6,185,1,-0.36349650351328605
"Tillmanns, Tim",150,"kansas state",200,11,365,19,-0.3697922370555539
"Kennon, Scotty",150,"wake forest",201,12,162,10,-0.383429256985738
"Solhaug, Gregory",126,"oregon",202,12,249,7,-0.384098705780211
"Amat, Bastien",150,"new mexico",203,26,132,18,-0.386493217004085
"Ashfield, James",140,"—",204,14,141,8,-0.392946304819154
"Oliva, Segundo",150,"arkansas",205,11,156,8,-0.39539276026281295
"Sutherland, Matthew",150,"fresno state",206,13,490,19,-0.39913590556687295
"Scott, Brantley",65,"troy",207,13,780,17,-0.404784823516459
"Eshleman, Ryan",68,"auburn",208,9,259,11,-0.4049098867495321
"Biwer, Justin",121,"colorado",209,6,380,24,-0.414433484087375
"De Beer, Kyle",150,"—",210,11,73,4,-0.41679836515920793
"Manuel, Caleb",126,"georgia",211,15,255,10,-0.433786836728175
"Trolio, Cohen",150,"lsu",212,28,205,14,-0.438503328368185
"Sample, Luke",150,"duke",213,-1,166,5,-0.44413850257964904
"Simpson, Lance",42,"tennessee",214,9,338,9,-0.445349156847193
"Crowe, Harrison",150,"—",215,7,34,-2,-0.446636296219052
"Vo, Evan",127,"auburn",216,9,159,11,-0.44824588319288894
"Nome, Mason",150,"texas",217,-21,116,-4,-0.47097374924336605
"Salyers, Drew",150,"indiana",218,13,211,11,-0.47521157443543705
"Graham, Connor",78,"—",219,15,184,13,-0.480210945391482
"Bellar, Kash",21,"—",220,15,486,12,-0.4895880376511621
"Barela, Griffin",150,"—",221,15,335,8,-0.49213414641572995
"Buchanan, Jack",150,"—",222,-24,193,-8,-0.49860427170230703
"Conroy, Paul",150,"chattanooga",223,15,427,18,-0.501052459270191
"Perkins, Logan",150,"—",224,15,387,21,-0.503990727590366
"Sommerhauser, Sam",150,"arizona",225,-16,209,-8,-0.507366184220872
"Lintunen, Antti-Jussi",150,"—",226,11,267,10,-0.510752563177397
"Moon, Donghyun",24,"—",227,1,296,8,-0.519291293710377
"Mcclean, Matthew",150,"—",228,2,68,2,-0.519824743313473
"Burnette, Beck",150,"lee university",229,18,307,11,-0.520554430742213
"Neuheisel, Joe",92,"—",230,14,551,19,-0.521394954216889
"Kress, Matthew",60,"florida",231,11,466,10,-0.529715946587813
"Bowen, Tomi",27,"—",232,26,298,9,-0.531282176826488
"Ereno Perez, Pablo",122,"ucla",233,13,300,8,-0.542944088929924
"Wall, Jack",150,"texas tech",234,15,158,8,-0.542962217110871
"Gerhardsen, Nicola",150,"—",235,19,86,5,-0.54408715637054
"Mathiesen, Mikkel",150,"wright state",236,17,269,9,-0.5447615050088789
"Dodd-Berry, Matthew",43,"east tennessee st.",237,8,328,9,-0.546166058042468
"Yamashita, Masayuki",51,"—",238,3,53,3,-0.547125781805763
"Jones, Sam",150,"—",239,-15,91,-3,-0.5475301257816789
"Edwards-hill, Arron",150,"—",240,10,133,5,-0.548723552929661
"Marzilio, Vicente",150,"north texas",241,-9,244,-7,-0.552582416794802
"Michetti, Flavio",150,"—",242,6,560,14,-0.5551155470369039
"Kayne, Dylan",25,"—",243,8,715,8,-0.556963117635494
"Watkins, Matthew",92,"new mexico",244,11,482,12,-0.5636207782450601
"Woosley-Reed, Evan",62,"—",245,7,756,13,-0.566823626355549
"Aurilia, Chaz",72,"arizona",246,13,304,7,-0.588294569987378
"Meeks, Kye",91,"ole miss",247,16,669,14,-0.593611754400395
"Balbin, Symon",26,"—",248,14,397,15,-0.6030242552224089
"Tsuda, Kohei",34,"—",249,12,656,-28,-0.610531340960123
"Samuels, Patton",53,"ole miss",250,15,844,13,-0.61547428591698
"Desmarchais, Laurent",150,"tennessee",251,-8,350,17,-0.6161003724353741
"Wilfong, Chad",57,"—",252,18,351,17,-0.61650751704464
"An, Seonghyeon",24,"—",253,7,423,-31,-0.621684426120316
"Thomas, Aidan",147,"new mexico state",254,42,594,63,-0.623156446783783
"Du, Aaron",136,"california",255,-28,245,-21,-0.6274389083149471
"Meekhof, August",63,"michigan state",256,12,289,7,-0.62840346425621
"Davis, Mitchell",150,"indiana",257,14,512,11,-0.6318153269268311
"Morales, Omar",92,"ucla",258,6,278,32,-0.63330341123694
"Rafferty, Caolan",150,"—",259,10,109,8,-0.6377741451383779
"Vanarragon, Caleb",130,"valparaiso",260,15,567,12,-0.6430149874908929
"Brenchley, Max",53,"brigham young",261,12,692,11,-0.648816721814338
"Haavisto, Elias",150,"west florida",262,17,392,19,-0.651582282785287
"van der Merwe, Altin",150,"—",263,14,320,13,-0.657272143884765
"Rose, Kian",82,"clemson",264,10,253,11,-0.65940304851604
"Oyama, Dylan",91,"san diego state",265,67,726,85,-0.661598497834542
"Owens, Boyd",55,"wake forest",266,10,505,15,-0.667858298780339
"Haefner, Grant",107,"—",267,11,820,18,-0.6723229315628501
"Delong, Charles",100,"grand valley state",268,17,411,13,-0.6773165446946441
"Grinberg, Lev",44,"—",269,13,216,11,-0.678726266277664
"Smith, Jansen",150,"little rock",270,14,455,11,-0.6797918054084261
"Kim, Kris",26,"—",271,16,779,17,-0.6810553953601121
"Coggin, Austin",126,"auburn",272,11,533,3,-0.6817144659377921
"Skeen, Jackson",24,"tennessee tech",273,15,833,13,-0.688041839858128
"Sosa, Jacob",150,"texas",274,-2,303,-1,-0.6994686085376041
"Wallin, Adam",150,"ohio state university",275,11,173,5,-0.6997050202392261
"Parr, Jean-Philippe",126,"—",276,21,367,26,-0.7022889775187039
"Oyo, Leo",150,"oklahoma state",277,-21,302,-23,-0.7028018166986271
"Hall, Jake",129,"tennessee",278,-45,233,-7,-0.706142260064254
"Keever, Calahan",40,"anderson (sc)",279,22,939,12,-0.7094161620368611
"Woodruff, Ben",150,"charlotte",280,10,256,10,-0.712506943495701
"Esteve, Jeronimo",150,"—",281,22,323,7,-0.729693149869141
"Duangmanee, George",150,"virginia",282,12,203,13,-0.733265214824318
"Shaw-Radford, Dylan",63,"—",283,19,337,7,-0.7333603741360849
"Davies, Archie",150,"east tennessee st.",284,15,114,6,-0.7426152532696461
"Healy, Brock",56,"—",285,13,920,15,-0.7433959212890291
"McKinlay, Brady",150,"utah valley",286,20,409,25,-0.743789399793023
"Moto, Taishi",74,"—",287,6,171,9,-0.74380352124897
"Sumiuchi, Masato",40,"—",288,1,137,6,-0.7458486262547049
"Troutman, Matthew",49,"—",289,11,401,17,-0.7495913504333879
"Guezzale, Youssef",145,"san diego state",290,19,415,13,-0.754587100477159
"Malik, Yannick-Vincent",61,"—",291,19,274,-7,-0.758728949604833
"Stevens, Nate",59,"—",292,12,485,26,-0.763032317284146
"Sanders, Michael",150,"lsu",293,-27,282,-2,-0.763313819546044
"Delisanti, Anthony",98,"valparaiso",294,59,570,67,-0.7634204758139069
"Zheng, Jimmy",150,"duke",295,88,330,51,-0.766185140089477
"Hill, Josh",150,"—",296,12,135,4,-0.767003258779927
"Jones, Cooper",55,"—",297,36,534,6,-0.769895592321655
"Reuter, Benjamin",125,"georgia tech",298,14,194,8,-0.772042048996922
"Barry, Carson",150,"oregon state",299,12,314,5,-0.7733455043784431
"Bondesson, Alfons",109,"missouri",300,15,313,8,-0.775086220323888
"Menon, Nate",150,"stanford",301,13,252,8,-0.7768579002241609
"Dowell, Jaxon",64,"oklahoma",302,11,493,4,-0.7801735872789499
"Morlan, Will",101,"furman",303,13,382,27,-0.78127789593163
"Siemens, Carl",90,"—",304,18,151,11,-0.7835171177805992
"Surtani, Nels",62,"purdue",305,13,463,11,-0.788262375072125
"Wilkinson, Brice",104,"—",306,13,172,16,-0.788430813320812
"Ronne, Craig",150,"—",307,17,605,-46,-0.796496495001865
"Charles, Max",148,"boise state",308,17,385,15,-0.809789649969784
"Byers, Zack",44,"south carolina",309,17,507,6,-0.8233995619727321
"Taylor, Seth",125,"coastal carolina",310,17,704,16,-0.8248544827547181
"Nicholas, Drue",43,"drexel",311,-44,796,-114,-0.8258580541171321
"Kluver, Luke",150,"oklahoma",312,-31,349,3,-0.826785395880161
"O'Neill, Luke",150,"kansas state",313,15,508,19,-0.835937381914168
"Franks, Nathan",126,"south carolina",314,20,333,17,-0.850294498895819
"Gutschewski, Luke",115,"iowa state",315,-24,402,-7,-0.852529647207323
"Johnson, Rylan",55,"oregon state",316,14,419,12,-0.8557654570947141
"Tait, Gregor",150,"—",317,19,293,12,-0.858696897653601
"Naglic, Luka",150,"arkansas state",318,24,554,14,-0.8718266506309749
"Weaver, Tyler",48,"—",319,21,477,14,-0.874873753059624
"Wrightson, Drew",83,"baylor",320,18,565,17,-0.8753693809155708
"Engle, Garrett",102,"chattanooga",321,20,742,22,-0.878502331160563
"Hearn, Jack",143,"south alabama",322,22,550,12,-0.889489687206956
"Boneta, Albert",150,"new mexico",323,26,182,8,-0.897623665301856
"Nakano, Rintaro",40,"—",324,11,319,13,-0.898721578186859
"Prieto, Nicholas",104,"—",325,4,935,-24,-0.899621352629565
"Haskew, Luke",68,"lsu",326,153,811,161,-0.900871197583504
"Arcement, Nicholas",150,"lsu",327,-10,251,-11,-0.903158214673236
"Nolan, Liam",124,"—",328,26,153,12,-0.9071712606862441
"McLauchlan, Andrew",92,"wake forest",329,21,395,22,-0.909859124984843
"Buynder, Otto Van",150,"ulm",330,26,891,13,-0.9115448504873741
"Beauvy, Paul",150,"iowa state",331,20,248,6,-0.9119923339125501
"Moriyama, Yuki",150,"unlv",332,77,275,22,-0.912973443415218
"Bolton, Harry",150,"—",333,13,389,16,-0.9172844364917571
"Enright, Carson",65,"san diego",334,23,774,16,-0.9232209519992151
"Espinosa Trueba, Samuel",150,"chattanooga",335,25,405,15,-0.9238320813241379
"Easterbrook, Sam",59,"—",336,19,679,20,-0.9242719742627521
"Cave, JP",90,"alabama",337,22,339,10,-0.9250173203142321
"Shimoke, Suguru",54,"—",338,7,222,12,-0.9284716232771109
"Sadagopan, Vishnu",85,"texas a&m",339,22,283,9,-0.9300871950127131
"Lee, Davis",150,"north florida",340,22,464,9,-0.9323310157204839
"Ingham, Jack",139,"—",341,23,200,13,-0.9346177283047901
"Driscoll, John",150,"northwestern",342,5,451,-13,-0.938629531542445
"Salvanera, Gabriel",89,"arizona state",343,9,370,-5,-0.939379388060646
"Schultz, Cooper",90,"kansas state",344,-21,666,-81,-0.942952301908495
"Georg Schmidt, Thomas",84,"arkansas state",345,24,544,8,-0.943276138470962
"Chang, Xihuan",54,"—",346,-3,70,5,-0.946799353066091
"Chandler, Jackson",150,"ohio state university",347,18,336,15,-0.9500828706098791
"Heffner, Alex",139,"davidson college",348,-43,682,-28,-0.951952279603573
"Nurski, Brad",110,"—",349,19,740,10,-0.957483241959729
"Gilkison, Jordan",85,"kent state",350,20,577,10,-0.960840297646424
"Cherichella, Austin",126,"florida gulf coast u",351,-71,369,-15,-0.964247081822298
"Ellis, Jimmy",49,"—",352,79,525,69,-0.9647329910087941
"Partridge, Benjamin",101,"san francisco",353,20,626,19,-0.97050609845084
"Fewkes, Connor",150,"—",354,12,327,8,-0.970619059378009
"Merchent, Clay",150,"indiana",355,16,728,5,-0.9714464678551021
"Herron, Carson",78,"new mexico",356,16,777,12,-0.9737404008889531
"Shears, Michael",89,"vanderbilt",357,10,543,5,-0.974940671822607
