player_name,sg_putt_pred,sg_putt_rank,sg_arg_pred,sg_arg_rank,sg_app_pred,sg_app_rank,sg_ott_pred,sg_ott_rank,sg_total_pred,sg_total_rank,distance_pred,distance_rank,accuracy_pred,accuracy_rank
"Soderberg, Sebastian",-0.215,336,0.001,172,-0.231,235,-0.325,272,-0.769,257,-3.625,272,-0.023,280
"Schwab, Matthias",-0.111,260,0.197,40,-0.385,287,-0.472,323,-0.771,258,-3.929,277,0.000,193
"Westmoreland, Kyle",-0.250,355,-0.108,262,-0.450,317,0.028,137,-0.780,259,15.509,17,-0.116,428
"Whitnell, Dale",0.182,77,-0.246,369,-0.403,294,-0.321,269,-0.787,260,-5.226,311,0.003,185
"Lingmerth, David",0.024,164,-0.017,190,-0.407,300,-0.391,299,-0.791,261,-20.406,419,0.080,17
"Armour, Ryan",-0.287,370,-0.164,317,-0.116,188,-0.241,246,-0.808,262,-16.052,404,0.106,6
"Arnaus, Adri",0.165,81,-0.268,383,-0.398,293,-0.309,266,-0.809,263,8.705,60,-0.080,404
"Roy, Kevin",-0.317,381,-0.152,304,-0.113,187,-0.227,240,-0.810,264,4.714,113,-0.014,250
"Brun, Julien",0.216,69,0.090,92,-0.174,215,-0.955,397,-0.824,265,-9.399,353,-0.036,313
"Gouveia, Ricardo",0.118,102,-0.289,389,-0.350,273,-0.305,265,-0.826,266,-3.109,257,-0.010,227
"Percy, Cameron",-0.266,360,-0.121,273,-0.258,244,-0.190,220,-0.835,267,-10.481,369,0.028,103
"Wu, Ashun",0.203,73,-0.086,241,-0.327,268,-0.627,350,-0.838,268,-8.833,346,0.007,173
"Moore, Ryan",-0.196,318,-0.134,286,-0.151,203,-0.364,287,-0.845,269,-15.977,403,0.096,9
"De Jager, Louis",-0.080,236,-0.093,246,-0.508,328,-0.165,209,-0.847,270,9.892,49,-0.072,396
"Bradbury, Dan",-0.184,313,-0.429,417,-0.265,249,0.032,136,-0.847,271,3.451,138,0.007,172
"Haas, Bill",-0.059,218,0.141,61,-0.635,357,-0.297,262,-0.849,272,-0.737,215,-0.040,328
"Baldwin, Matthew",-0.347,390,-0.304,398,-0.006,144,-0.195,221,-0.852,273,-3.884,275,0.014,148
"Howie, Craig",-0.118,266,-0.088,244,-0.476,323,-0.174,213,-0.856,274,-0.205,207,0.007,170
"Haley II, Paul",-0.035,200,-0.038,207,-0.428,311,-0.362,286,-0.862,275,-14.021,395,0.043,66
"Catlin, John",-0.276,363,-0.091,245,-0.343,272,-0.152,203,-0.862,276,-4.492,294,0.061,34
"Fisher, Ross",-0.788,430,-0.489,423,0.196,85,0.216,85,-0.865,277,8.298,65,-0.026,288
"Merritt, Troy",-0.289,371,-0.039,209,-0.147,199,-0.402,302,-0.877,278,-7.895,339,0.034,88
"Schmid, Matthias",-0.058,217,-0.370,410,-0.327,267,-0.132,193,-0.888,279,15.014,19,-0.032,302
"Werenski, Richy",0.135,91,-0.003,178,-0.589,350,-0.436,312,-0.893,280,-2.273,251,-0.026,287
"Cabrera Bello, Rafa",-0.107,257,0.087,94,-0.464,320,-0.410,304,-0.894,281,-10.459,367,-0.002,201
"Huizing, Daan",0.109,105,-0.055,220,-0.213,231,-0.750,379,-0.910,282,-12.115,381,-0.010,229
"Saddier, Adrien",0.002,181,-0.180,331,-0.360,279,-0.376,293,-0.914,283,3.555,137,-0.034,310
"Kinhult, Marcus",0.058,140,-0.081,239,-0.411,303,-0.486,327,-0.920,284,-4.884,305,0.006,174
"Sullivan, Andy",-0.112,261,-0.144,298,-0.230,234,-0.441,315,-0.927,285,-4.442,293,-0.011,233
"Gligic, Michael",-0.228,343,-0.254,374,-0.443,315,-0.004,148,-0.929,286,5.024,105,-0.045,344
"Hillier, Daniel",-0.205,326,-0.476,421,-0.132,197,-0.115,185,-0.929,287,7.514,75,-0.021,276
"Snedeker, Brandt",-0.145,287,0.072,109,-0.307,258,-0.578,336,-0.957,288,-13.602,392,0.022,119
"Ritchie, JC",-0.332,387,-0.228,359,-0.194,223,-0.204,224,-0.958,289,2.467,163,-0.018,268
"Walters, Justin",-0.138,280,-0.291,390,-0.355,275,-0.174,214,-0.959,290,2.927,152,-0.016,259
