"","Name","TeamAbbrev","Salary","fpts","proj_own","status","pass_plays","grades_offense","yprr","opponent","grades_defense","grades_pass_rush_defense","grades_coverage_defense"
"322","Justin Robinson","MSST",3000,9.03,1,"Healthy",44,75,2.16,"ARK",46.5,46.1,12.9
"323","Scoobie Ford","MSST",3000,NA,0,"Healthy",22,55.9,0.91,"ARK",46.5,46.1,12.9
"324","Jordan Mosley","MSST",3000,0.95,0,"Healthy",11,53.4,0,"ARK",46.5,46.1,12.9
"325","Brad Cumbest","MSST",3000,NA,0,"Healthy",NA,NA,NA,"ARK",46.5,46.1,12.9
"326","Trip Wilson","MSST",3000,NA,0,"Out indefinitely - Suspension",NA,NA,NA,"ARK",46.5,46.1,12.9
"327","Brodie King","MSST",3000,NA,0,"Healthy",NA,NA,NA,"ARK",46.5,46.1,12.9
"328","Nick Lauderdale","MSST",3000,NA,0,"Healthy",NA,NA,NA,"ARK",46.5,46.1,12.9
"329","Zavion Thomas","MSST",3000,NA,0,"Healthy",NA,NA,NA,"ARK",46.5,46.1,12.9
"330","Jarnorris Hopson","MSST",3000,NA,0,"Healthy",NA,NA,NA,"ARK",46.5,46.1,12.9
"331","Bo Brooks","MSST",3000,NA,0,"out for season - Lower Body",NA,NA,NA,"ARK",46.5,46.1,12.9
"332","Kaydin Pope","MSST",3000,NA,0,"Healthy",NA,NA,NA,"ARK",46.5,46.1,12.9
"333","Andrew Berquist","MSST",3000,NA,0,"Healthy",NA,NA,NA,"ARK",46.5,46.1,12.9
"334","Kade Kolka","MSST",3000,NA,0,"Healthy",NA,NA,NA,"ARK",46.5,46.1,12.9
"335","Marquez Dortch","MSST",3000,NA,0,"Healthy",NA,NA,NA,"ARK",46.5,46.1,12.9
"336","Braden Coffey","MSST",3000,NA,0,"Healthy",NA,NA,NA,"ARK",46.5,46.1,12.9
"337","Jace Dean","MSST",3000,NA,0,"Healthy",NA,NA,NA,"ARK",46.5,46.1,12.9
"338","Casey Kelly","MISS",3000,3.63,0,"Healthy",60,50.6,0.08,"VAND",37.8,30,43.5
"339","Hudson Wolfe","MISS",3000,NA,0,"Healthy",NA,NA,NA,"VAND",37.8,30,43.5
"340","Trace Campbell","MISS",3000,NA,0,"Healthy",NA,NA,NA,"VAND",37.8,30,43.5
"341","DJ Ruff","MISS",3000,NA,0,"Healthy",NA,NA,NA,"VAND",37.8,30,43.5
"342","Landon Thomason","MISS",3000,NA,0,"Healthy",NA,NA,NA,"VAND",37.8,30,43.5
"343","Kyirin Heath","MISS",3000,NA,0,"Healthy",NA,NA,NA,"VAND",37.8,30,43.5
"344","Jonathan Hess","MISS",3000,NA,0,"Healthy",NA,NA,NA,"VAND",37.8,30,43.5
"345","Salathiel Hemphill","MISS",3000,NA,0,"Healthy",NA,NA,NA,"VAND",37.8,30,43.5
"346","Matt Ware","MISS",3000,NA,0,"Healthy",NA,NA,NA,"VAND",37.8,30,43.5
"347","Bralon Brown","MISS",3000,NA,0,"Healthy",5,57,0,"VAND",37.8,30,43.5
"348","Larry Simmons","MISS",3000,NA,0,"Healthy",NA,NA,NA,"VAND",37.8,30,43.5
"349","Jalen Knox","MISS",3000,0.61,0,"Healthy",NA,NA,NA,"VAND",37.8,30,43.5
"350","JJ Henry","MISS",3000,5.83,1,"Healthy",42,61.2,1.47,"VAND",37.8,30,43.5
"351","Jeremiah Dillon","MISS",3000,NA,0,"Healthy",NA,NA,NA,"VAND",37.8,30,43.5
"352","Joshua Pfeifer","MISS",3000,NA,0,"Healthy",NA,NA,NA,"VAND",37.8,30,43.5
"353","Dannis Jackson","MISS",3000,NA,0,"Healthy",NA,NA,NA,"VAND",37.8,30,43.5
"354","Calvin Wilson","MISS",3000,NA,0,"Healthy",NA,NA,NA,"VAND",37.8,30,43.5
"355","Qua Davis","MISS",3000,0.58,0,"Healthy",2,60.8,1,"VAND",37.8,30,43.5
"356","Brandon Buckhaulter","MISS",3000,NA,0,"Healthy",NA,NA,NA,"VAND",37.8,30,43.5
"357","Jacobi Moore","MISS",3000,NA,0,"Healthy",NA,NA,NA,"VAND",37.8,30,43.5
"358","Lex Boucvalt","MISS",3000,NA,0,"Healthy",NA,NA,NA,"VAND",37.8,30,43.5
"359","Drew Burnett","MISS",3000,NA,0,"Healthy",NA,NA,NA,"VAND",37.8,30,43.5
"360","Mac Owen","MISS",3000,NA,0,"Healthy",NA,NA,NA,"VAND",37.8,30,43.5
"361","Sellers Shy","MISS",3000,NA,0,"Healthy",NA,NA,NA,"VAND",37.8,30,43.5
"362","Austin Morphis","MISS",3000,NA,0,"Healthy",NA,NA,NA,"VAND",37.8,30,43.5
"363","Hayden Farrar","MISS",3000,NA,0,"Healthy",NA,NA,NA,"VAND",37.8,30,43.5
"364","Gavin Schoenwald","VAND",3000,2.65,0,"Healthy",84,56,0.78,"MISS",78.5,30.6,75.6
"365","Justin Ball","VAND",3000,2.65,0,"Healthy",50,54.3,1,"MISS",78.5,30.6,75.6
"366","Joel DeCoursey","VAND",3000,NA,0,"Healthy",NA,NA,NA,"MISS",78.5,30.6,75.6
"367","Cole Spence","VAND",3000,0.5,0,"Healthy",NA,NA,NA,"MISS",78.5,30.6,75.6
"368","Ezra McAllister","VAND",3000,NA,0,"Healthy",NA,NA,NA,"MISS",78.5,30.6,75.6
"369","Gamarion Carter","VAND",3000,NA,0,"Healthy",4,57.8,1.75,"MISS",78.5,30.6,75.6
"370","Daveon Walker","VAND",3000,NA,0,"Ques Sat - Undisclosed",NA,NA,NA,"MISS",78.5,30.6,75.6
"371","Hutch Baird","VAND",3000,NA,0,"Healthy",NA,NA,NA,"MISS",78.5,30.6,75.6
"372","Wilson Long","VAND",3000,NA,0,"Healthy",NA,NA,NA,"MISS",78.5,30.6,75.6
"373","Richie Hoskins","VAND",3000,NA,0,"Healthy",NA,NA,NA,"MISS",78.5,30.6,75.6
"374","Quincy Skinner Jr.","VAND",3000,NA,0,"Healthy",22,53.6,1.29,"MISS",78.5,30.6,75.6
"375","Landon Wells","VAND",3000,NA,0,"Healthy",NA,NA,NA,"MISS",78.5,30.6,75.6
"376","Jalin Conyers","ASU",3000,3.21,0,"Healthy",49,53.2,1.38,"UW",NA,NA,NA
"377","Bryce Pierre","ASU",3000,NA,0,"Healthy",NA,NA,NA,"UW",NA,NA,NA
"378","Jacob Newell","ASU",3000,NA,0,"out for season - Leg",NA,NA,NA,"UW",NA,NA,NA
"379","Ryan Morgan","ASU",3000,NA,0,"Healthy",NA,NA,NA,"UW",NA,NA,NA
"380","Colby Garvin","ASU",3000,NA,0,"Healthy",NA,NA,NA,"UW",NA,NA,NA
"381","Justin Roehl","ASU",3000,NA,0,"Healthy",NA,NA,NA,"UW",NA,NA,NA
"382","Cade Veach","ASU",3000,NA,0,"Healthy",NA,NA,NA,"UW",NA,NA,NA
"383","Jack Cole","ASU",3000,NA,0,"Healthy",NA,NA,NA,"UW",NA,NA,NA
"384","Jake Ray","ASU",3000,NA,0,"Healthy",NA,NA,NA,"UW",NA,NA,NA
"385","Chad Johnson Jr.","ASU",3000,0.95,0,"Healthy",8,49.4,0,"UW",NA,NA,NA
"386","Josh Hart","ASU",3000,NA,0,"Healthy",NA,NA,NA,"UW",NA,NA,NA
"387","Charles Hall IV","ASU",3000,NA,0,"Healthy",NA,NA,NA,"UW",NA,NA,NA
"388","Elijah Parker","ASU",3000,NA,0,"Healthy",NA,NA,NA,"UW",NA,NA,NA
"389","Max Ware","ASU",3000,NA,0,"Healthy",NA,NA,NA,"UW",NA,NA,NA
"390","Isaac Yates","ASU",3000,NA,0,"Healthy",NA,NA,NA,"UW",NA,NA,NA
"391","James Pearson","ASU",3000,NA,0,"Healthy",NA,NA,NA,"UW",NA,NA,NA
"392","Javen Jacobs","ASU",3000,0.51,0,"out for season - Undisclosed",NA,NA,NA,"UW",NA,NA,NA
"393","Cooper Wallace","ASU",3000,NA,0,"Healthy",NA,NA,NA,"UW",NA,NA,NA
"394","Patrick Williams II","ASU",3000,NA,0,"Healthy",NA,NA,NA,"UW",NA,NA,NA
"395","Zeek Freeman","ASU",3000,0.51,0,"Healthy",7,53.5,0,"UW",NA,NA,NA
"396","Coben Bourguet","ASU",3000,NA,0,"Healthy",NA,NA,NA,"UW",NA,NA,NA
"397","Devin Culp","UW",3000,5.82,2,"Healthy",99,58,0.95,"ASU",39.1,47.8,34.7
"398","Jack Westover","UW",3000,4.52,0,"Healthy",100,58.9,1.28,"ASU",39.1,47.8,34.7
"399","Quentin Moore","UW",3000,0.83,0,"Healthy",51,49.4,0.36,"ASU",39.1,47.8,34.7
"400","Griffin Waiss","UW",3000,NA,0,"Healthy",3,48.1,0,"ASU",39.1,47.8,34.7
"401","Mason West","UW",3000,NA,0,"Healthy",NA,NA,NA,"ASU",39.1,47.8,34.7
"402","Caden Jumper","UW",3000,NA,0,"Healthy",NA,NA,NA,"ASU",39.1,47.8,34.7
"403","Zeke Pelluer","UW",3000,NA,0,"Healthy",NA,NA,NA,"ASU",39.1,47.8,34.7
"404","John Frazier","UW",3000,NA,0,"Healthy",NA,NA,NA,"ASU",39.1,47.8,34.7
"405","Ryan Otton","UW",3000,NA,0,"Healthy",NA,NA,NA,"ASU",39.1,47.8,34.7
"406","Lonyatta Alexander Jr.","UW",3000,NA,0,"Healthy",NA,NA,NA,"ASU",39.1,47.8,34.7
"407","Brennan Holmes","UW",3000,0.82,0,"Healthy",3,78.3,5,"ASU",39.1,47.8,34.7
"408","Jackson Girouard","UW",3000,NA,0,"Healthy",NA,NA,NA,"ASU",39.1,47.8,34.7
"409","Mason Wheeler","UW",3000,NA,0,"Healthy",NA,NA,NA,"ASU",39.1,47.8,34.7
"410","Jake Parnigan","UW",3000,NA,0,"Healthy",NA,NA,NA,"ASU",39.1,47.8,34.7
"411","Keanu Wallace","UW",3000,NA,0,"Healthy",NA,NA,NA,"ASU",39.1,47.8,34.7
"412","David Pritchard","UW",3000,NA,0,"Healthy",NA,NA,NA,"ASU",39.1,47.8,34.7
"413","Nick Juran","UW",3000,NA,0,"Healthy",NA,NA,NA,"ASU",39.1,47.8,34.7
"414","Denzel Boston","UW",3000,0.82,0,"Healthy",9,69.2,1.25,"ASU",39.1,47.8,34.7
"415","Jabez Tinae","UW",3000,NA,0,"Healthy",NA,NA,NA,"ASU",39.1,47.8,34.7
"416","Hudson Habermehl","UCLA",3000,4.93,0,"Healthy",110,57.9,0.99,"UTAH",65,26.9,67.8
"417","David Priebe","UCLA",3000,NA,0,"Healthy",NA,NA,NA,"UTAH",65,26.9,67.8
"418","Mike Martinez","UCLA",3000,NA,0,"Healthy",NA,NA,NA,"UTAH",65,26.9,67.8
"419","Grant Norberg","UCLA",3000,NA,0,"Healthy",NA,NA,NA,"UTAH",65,26.9,67.8
"420","Sam Summa","UCLA",3000,NA,0,"Healthy",NA,NA,NA,"UTAH",65,26.9,67.8
"421","Michael Churich","UCLA",3000,NA,0,"Healthy",NA,NA,NA,"UTAH",65,26.9,67.8
"422","Carsen Ryan","UCLA",3000,0.6,0,"Healthy",44,82.9,2.48,"UTAH",65,26.9,67.8
"423","Matt Sykes","UCLA",3000,1.67,0,"Healthy",42,64.5,1.17,"UTAH",65,26.9,67.8
"424","Josiah Norwood","UCLA",3000,1.13,0,"Healthy",27,65,3.65,"UTAH",65,26.9,67.8
"425","Colson Yankoff","UCLA",3000,1.13,0,"Healthy",7,67.2,3.33,"UTAH",65,26.9,67.8
"426","Ashton Authement","UCLA",3000,NA,0,"Healthy",NA,NA,NA,"UTAH",65,26.9,67.8
"427","Jadyn Marshall","UCLA",3000,0.6,0,"Healthy",3,42.4,0,"UTAH",65,26.9,67.8
"428","Braden Pegan","UCLA",3000,NA,0,"Healthy",2,57.8,0,"UTAH",65,26.9,67.8
"429","Devanti Dillard","UCLA",3000,NA,0,"Healthy",NA,NA,NA,"UTAH",65,26.9,67.8
"430","Ezavier Staples","UCLA",3000,NA,0,"Healthy",NA,NA,NA,"UTAH",65,26.9,67.8
"431","DJ Justice","UCLA",3000,NA,0,"Healthy",NA,NA,NA,"UTAH",65,26.9,67.8
"432","Ryan Cragun","UCLA",3000,NA,0,"Healthy",NA,NA,NA,"UTAH",65,26.9,67.8
"433","Elijah Rodriguez","UCLA",3000,NA,0,"Healthy",NA,NA,NA,"UTAH",65,26.9,67.8
"434","Bradley Schlom","UCLA",3000,NA,0,"Healthy",NA,NA,NA,"UTAH",65,26.9,67.8
"435","Brant Kuithe","UTAH",3000,NA,0,"out for season - Leg",89,68.8,2.37,"UCLA",74.3,23.1,67.2
"436","Thomas Yassmin","UTAH",3000,2.89,0,"Healthy",31,61.9,3.79,"UCLA",74.3,23.1,67.2
"437","Landon Morris","UTAH",3000,NA,0,"Healthy",NA,NA,NA,"UCLA",74.3,23.1,67.2
"438","Logan Kendall","UTAH",3000,1.95,0,"Healthy",24,68.8,0.67,"UCLA",74.3,23.1,67.2
"439","Hayden Erickson","UTAH",3000,NA,0,"Healthy",NA,NA,NA,"UCLA",74.3,23.1,67.2
"440","Deven Johnson","UTAH",3000,NA,0,"Healthy",NA,NA,NA,"UCLA",74.3,23.1,67.2
"441","Isaac Vaha","UTAH",3000,NA,0,"Healthy",NA,NA,NA,"UCLA",74.3,23.1,67.2
"442","Sire Woods","UTAH",3000,NA,0,"Healthy",NA,NA,NA,"UCLA",74.3,23.1,67.2
"443","Taniela Pututau","UTAH",3000,NA,0,"Healthy",NA,NA,NA,"UCLA",74.3,23.1,67.2
"444","Luca Caldarella","UTAH",3000,NA,0,"Healthy",NA,NA,NA,"UCLA",74.3,23.1,67.2
"445","Chris Reed","UTAH",3000,NA,0,"Healthy",NA,NA,NA,"UCLA",74.3,23.1,67.2
"446","Jett Meine","UTAH",3000,NA,0,"Healthy",NA,NA,NA,"UCLA",74.3,23.1,67.2
"447","Zach Vaughn","UTAH",3000,NA,0,"Healthy",NA,NA,NA,"UCLA",74.3,23.1,67.2
"448","Tao Johnson","UTAH",3000,1.46,0,"Late Nov - Elbow",NA,NA,NA,"UCLA",74.3,23.1,67.2
"449","Pierre Moudourou","UTAH",3000,NA,0,"Healthy",NA,NA,NA,"UCLA",74.3,23.1,67.2
"450","Bennett Redell","UTAH",3000,NA,0,"Healthy",NA,NA,NA,"UCLA",74.3,23.1,67.2
"451","Noah Bennee","UTAH",3000,NA,0,"Healthy",NA,NA,NA,"UCLA",74.3,23.1,67.2
"452","Sidney Mbanasor","UTAH",3000,NA,0,"Healthy",NA,NA,NA,"UCLA",74.3,23.1,67.2
"453","Jack Platt","UTAH",3000,NA,0,"Healthy",NA,NA,NA,"UCLA",74.3,23.1,67.2
"454","Tiquan Gilmore","UTAH",3000,0.82,0,"Healthy",NA,NA,NA,"UCLA",74.3,23.1,67.2
"455","Masaki Kudo","UTAH",3000,NA,0,"Healthy",NA,NA,NA,"UCLA",74.3,23.1,67.2
"456","Braxton Wehrli","UTAH",3000,NA,0,"Healthy",NA,NA,NA,"UCLA",74.3,23.1,67.2
"457","Trevor Kardell","KU",3000,1.35,0,"Healthy",16,90.5,4.36,"TCU",63.2,13.5,55
"458","Jared Casey","KU",3000,3.07,0,"Healthy",57,67.4,1.7,"TCU",63.2,13.5,55
"459","Tevita Noa","KU",3000,NA,0,"Healthy",NA,NA,NA,"TCU",63.2,13.5,55
"460","Will Huggins","KU",3000,NA,0,"Healthy",NA,NA,NA,"TCU",63.2,13.5,55
"461","Mason Brotherton","KU",3000,NA,0,"Healthy",NA,NA,NA,"TCU",63.2,13.5,55
"462","Mac Copeland","KU",3000,NA,0,"Healthy",NA,NA,NA,"TCU",63.2,13.5,55
"463","Max Dowling","KU",3000,NA,0,"Healthy",NA,NA,NA,"TCU",63.2,13.5,55
"464","Mack Moeller","KU",3000,NA,0,"Healthy",NA,NA,NA,"TCU",63.2,13.5,55
"465","Kevin Terry","KU",3000,1.34,0,"Healthy",26,58.5,1.27,"TCU",63.2,13.5,55
"466","Tanaka Scott","KU",3000,1.34,0,"Healthy",17,65.2,1.44,"TCU",63.2,13.5,55
"467","Quinton Conley","KU",3000,NA,0,"Healthy",NA,NA,NA,"TCU",63.2,13.5,55
"468","Majik Rector","KU",3000,NA,0,"Healthy",NA,NA,NA,"TCU",63.2,13.5,55
"469","Jordan Medley","KU",3000,NA,0,"Healthy",NA,NA,NA,"TCU",63.2,13.5,55
"470","Cole Rhoden","KU",3000,NA,0,"Healthy",NA,NA,NA,"TCU",63.2,13.5,55
"471","Trevor Wilson","KU",3000,NA,0,"Out indefinitely - Suspension",NA,NA,NA,"TCU",63.2,13.5,55
"472","Kelan Robinson","KU",3000,NA,0,"Healthy",NA,NA,NA,"TCU",63.2,13.5,55
"473","Griffin Koch","KU",3000,NA,0,"Healthy",NA,NA,NA,"TCU",63.2,13.5,55
"474","Geor'Quarius Spivey","TCU",3000,3.17,0,"Healthy",54,58,0.9,"KU",66,32.7,52.9
"475","Dominic DiNunzio","TCU",3000,0.71,0,"Healthy",NA,NA,NA,"KU",66,32.7,52.9
"476","Carter Ware","TCU",3000,NA,0,"Healthy",NA,NA,NA,"KU",66,32.7,52.9
"477","D'Andre Rogers","TCU",3000,NA,0,"Healthy",NA,NA,NA,"KU",66,32.7,52.9
"478","Ben Reppenhagen","TCU",3000,NA,0,"Healthy",NA,NA,NA,"KU",66,32.7,52.9
"479","Henry Deakins","TCU",3000,NA,0,"Healthy",NA,NA,NA,"KU",66,32.7,52.9
"480","Dylan Adams","TCU",3000,NA,0,"Healthy",NA,NA,NA,"KU",66,32.7,52.9
"481","Brent Matiscik","TCU",3000,NA,0,"Healthy",NA,NA,NA,"KU",66,32.7,52.9
"482","Hilton Harris","TCU",3000,NA,0,"Healthy",NA,NA,NA,"KU",66,32.7,52.9
"483","Alex Honig","TCU",3000,NA,0,"Healthy",NA,NA,NA,"KU",66,32.7,52.9
"484","Curtis Raymond III","TCU",3000,NA,0,"Healthy",NA,NA,NA,"KU",66,32.7,52.9
"485","Austin Scheets","TCU",3000,NA,0,"Healthy",NA,NA,NA,"KU",66,32.7,52.9
"486","Quincy Brown","TCU",3000,0.61,0,"Out indefinitely - Undisclosed",18,75.4,1.82,"KU",66,32.7,52.9
"487","Gunnar Henderson","TCU",3000,2,0,"Healthy",19,85.3,7.84,"KU",66,32.7,52.9
"488","Colton Dobson","TCU",3000,NA,0,"Healthy",NA,NA,NA,"KU",66,32.7,52.9
"489","Major Everhart","TCU",3000,NA,0,"Healthy",NA,NA,NA,"KU",66,32.7,52.9
"490","Caleb Medford","TCU",3000,NA,0,"Healthy",NA,NA,NA,"KU",66,32.7,52.9
"491","Chase Jackson","TCU",3000,0.71,0,"Healthy",5,58.8,1.4,"KU",66,32.7,52.9
"492","Drew Scott","TCU",3000,NA,0,"Healthy",NA,NA,NA,"KU",66,32.7,52.9
"493","Chase Curtis","TCU",3000,NA,0,"Healthy",14,65.6,2.85,"KU",66,32.7,52.9
"494","JR Justice","TCU",3000,NA,0,"Healthy",NA,NA,NA,"KU",66,32.7,52.9
"495","Joe Staubach","TCU",3000,NA,0,"Healthy",NA,NA,NA,"KU",66,32.7,52.9
"496","Parker Clark","TCU",3000,NA,0,"Healthy",NA,NA,NA,"KU",66,32.7,52.9
"497","Hunter Krepp","TCU",3000,NA,0,"Healthy",NA,NA,NA,"KU",66,32.7,52.9
"498","Christopher Chosen","TCU",3000,NA,0,"Healthy",NA,NA,NA,"KU",66,32.7,52.9
"499","Stayton Ankrom","TCU",3000,NA,0,"Healthy",NA,NA,NA,"KU",66,32.7,52.9
"500","DJ Allen","TCU",3000,NA,0,"Healthy",NA,NA,NA,"KU",66,32.7,52.9
"501","Keagan Cunningham","TCU",3000,NA,0,"Healthy",NA,NA,NA,"KU",66,32.7,52.9
"502","Christian MacDonald","TCU",3000,NA,0,"Healthy",NA,NA,NA,"KU",66,32.7,52.9
"503","Daniel Parker Jr.","OU",3000,1.91,0,"Healthy",39,73.1,0.85,"UT",78.2,42.2,63.2
"504","Kaden Helms","OU",3000,0.57,0,"Healthy",7,55,0.8,"UT",78.2,42.2,63.2
"505","Jason Llewellyn","OU",3000,NA,0,"Healthy",NA,NA,NA,"UT",78.2,42.2,63.2
"506","Carsten Groos","OU",3000,NA,0,"Healthy",NA,NA,NA,"UT",78.2,42.2,63.2
"507","Jackson Sumlin","OU",3000,NA,0,"Healthy",NA,NA,NA,"UT",78.2,42.2,63.2
"508","Trevon West","OU",3000,NA,0,"Healthy",NA,NA,NA,"UT",78.2,42.2,63.2
"509","Jayden Gibson","OU",3000,3.53,0,"Healthy",25,54.5,0.52,"UT",78.2,42.2,63.2
"510","Brian Darby","OU",3000,NA,0,"Healthy",NA,NA,NA,"UT",78.2,42.2,63.2
"511","LV Bunkley-Shelton","OU",3000,0.93,0,"Healthy",13,63.5,0.83,"UT",78.2,42.2,63.2
"512","J.J. Hester","OU",3000,0.56,0,"Healthy",NA,NA,NA,"UT",78.2,42.2,63.2
"513","Damon Smith","OU",3000,NA,0,"Healthy",NA,NA,NA,"UT",78.2,42.2,63.2
"514","Dallas Dudley","OU",3000,NA,0,"Healthy",NA,NA,NA,"UT",78.2,42.2,63.2
"515","Luke Creeger","OU",3000,NA,0,"Healthy",NA,NA,NA,"UT",78.2,42.2,63.2
"516","Nasir Kemper","OU",3000,NA,0,"Healthy",NA,NA,NA,"UT",78.2,42.2,63.2
"517","Nic Anderson","OU",3000,NA,0,"Healthy",NA,NA,NA,"UT",78.2,42.2,63.2
"518","Davion Woolen","OU",3000,NA,0,"Healthy",NA,NA,NA,"UT",78.2,42.2,63.2
"519","Gavin Freeman","OU",3000,0.93,0,"Healthy",4,84.6,0.25,"UT",78.2,42.2,63.2
"520","Adrian Scott","OU",3000,NA,0,"Healthy",NA,NA,NA,"UT",78.2,42.2,63.2
"521","Major Melson","OU",3000,NA,0,"Healthy",NA,NA,NA,"UT",78.2,42.2,63.2
"522","Gunnar Helm","UT",3000,1.86,1,"Healthy",38,49.4,0.44,"OU",51.9,30.2,35.7
"523","Juan Davis","UT",3000,0.63,0,"Out indefinitely - Undisclosed",NA,NA,NA,"OU",51.9,30.2,35.7
"524","Nathan Hatter","UT",3000,NA,0,"Healthy",NA,NA,NA,"OU",51.9,30.2,35.7
"525","Myles Hill","UT",3000,NA,0,"Healthy",NA,NA,NA,"OU",51.9,30.2,35.7
"526","Patrick Bayouth","UT",3000,NA,0,"Healthy",NA,NA,NA,"OU",51.9,30.2,35.7
"527","Jahleel Billingsley","UT",3000,NA,0,"Healthy",NA,NA,NA,"OU",51.9,30.2,35.7
"528","Brayden Liebrock","UT",3000,NA,0,"Healthy",NA,NA,NA,"OU",51.9,30.2,35.7
"529","Troy Omeire","UT",3000,0.63,0,"Healthy",5,68.9,1.8,"OU",51.9,30.2,35.7
"530","Remy Patson","UT",3000,NA,0,"Healthy",NA,NA,NA,"OU",51.9,30.2,35.7
"531","Dajon Harrison","UT",3000,NA,0,"Healthy",25,52.7,0.36,"OU",51.9,30.2,35.7
"532","Savion Red","UT",3000,0.63,0,"Healthy",6,61.2,0.83,"OU",51.9,30.2,35.7
"533","Reece Beauchamp","UT",3000,NA,0,"Healthy",NA,NA,NA,"OU",51.9,30.2,35.7
"534","Isaiah Neyor","UT",3000,NA,0,"out for season - Knee",NA,NA,NA,"OU",51.9,30.2,35.7
"535","Parker Alford","UT",3000,NA,0,"Healthy",NA,NA,NA,"OU",51.9,30.2,35.7
"536","Agiye Hall","UT",3000,1.75,0,"Healthy",9,55.4,0.88,"OU",51.9,30.2,35.7
"537","Quinn Merritt","UT",3000,NA,0,"Healthy",NA,NA,NA,"OU",51.9,30.2,35.7
"538","Thatcher Milton","UT",3000,NA,0,"Healthy",NA,NA,NA,"OU",51.9,30.2,35.7
"539","Jaden Alexis","UT",3000,NA,0,"Healthy",NA,NA,NA,"OU",51.9,30.2,35.7
"540","Hamilton McMartin","UT",3000,NA,0,"Healthy",NA,NA,NA,"OU",51.9,30.2,35.7
"541","Gabe Sulser","UT",3000,0.67,0,"Healthy",5,70.3,2,"OU",51.9,30.2,35.7
"542","Gus Asel","UT",3000,NA,0,"Healthy",NA,NA,NA,"OU",51.9,30.2,35.7
"543","Paxton Anderson","UT",3000,NA,0,"Healthy",NA,NA,NA,"OU",51.9,30.2,35.7
"544","Jake Schultz","OKST",3000,2.67,0,"Healthy",45,54.8,0.41,"TTU",70.1,40.6,36.8
"545","Quinton Stewart","OKST",3000,0.72,0,"Healthy",NA,NA,NA,"TTU",70.1,40.6,36.8
"546","Blaine Green","OKST",3000,NA,0,"Ques Sat - Wrist",NA,NA,NA,"TTU",70.1,40.6,36.8
"547","Tabry Shettron","OKST",3000,NA,0,"Healthy",NA,NA,NA,"TTU",70.1,40.6,36.8
"548","Luke McEndoo","OKST",3000,NA,0,"Healthy",NA,NA,NA,"TTU",70.1,40.6,36.8
"549","Jaden Bray","OKST",3000,NA,0,"Ques Sat - Arm",NA,NA,NA,"TTU",70.1,40.6,36.8
"550","Cale Cabbiness","OKST",3000,3.31,0,"Healthy",16,58.9,2.31,"TTU",70.1,40.6,36.8
"551","Talyn Shettron","OKST",3000,0.71,0,"Healthy",5,71.5,4.2,"TTU",70.1,40.6,36.8
"552","Langston Anderson","OKST",3000,1.36,0,"Healthy",8,48.2,0,"TTU",70.1,40.6,36.8
"553","Peyton Kramer","OKST",3000,NA,0,"Healthy",NA,NA,NA,"TTU",70.1,40.6,36.8
"554","CJ Tate","OKST",3000,0.71,0,"Healthy",16,47.9,0,"TTU",70.1,40.6,36.8
"555","Rylan McQuarters","OKST",3000,NA,0,"Healthy",NA,NA,NA,"TTU",70.1,40.6,36.8
"556","Xavier Dandridge","OKST",3000,NA,0,"Healthy",NA,NA,NA,"TTU",70.1,40.6,36.8
"557","Braylin Presley","OKST",3000,1.36,0,"Healthy",20,54.8,0.6,"TTU",70.1,40.6,36.8
"558","Rashad Dixon","OKST",3000,NA,0,"Healthy",NA,NA,NA,"TTU",70.1,40.6,36.8
"559","Clayton Barbour","OKST",3000,NA,0,"Healthy",NA,NA,NA,"TTU",70.1,40.6,36.8
"560","Stephon Johnson Jr.","OKST",3000,1.06,0,"Healthy",25,66.1,2.2,"TTU",70.1,40.6,36.8
"561","Mason Gilkey","OKST",3000,NA,0,"Healthy",NA,NA,NA,"TTU",70.1,40.6,36.8
"562","Vance Hooper","OKST",3000,NA,0,"Healthy",NA,NA,NA,"TTU",70.1,40.6,36.8
"563","Baylor Cupp","TTU",3000,2.36,0,"Healthy",37,74.4,2.68,"OKST",66.4,16.5,41.5
"564","Henry Teeter","TTU",3000,0.83,0,"Healthy",44,57.4,0.59,"OKST",66.4,16.5,41.5
"565","Jayden York","TTU",3000,NA,0,"Healthy",NA,NA,NA,"OKST",66.4,16.5,41.5
"566","Tanner Allen","TTU",3000,NA,0,"Healthy",NA,NA,NA,"OKST",66.4,16.5,41.5
"567","Charles Robinson","TTU",3000,NA,0,"Healthy",1,59.8,0,"OKST",66.4,16.5,41.5
"568","Zack McCown","TTU",3000,NA,0,"Healthy",NA,NA,NA,"OKST",66.4,16.5,41.5
"569","Jason Lloyd","TTU",3000,NA,0,"Healthy",NA,NA,NA,"OKST",66.4,16.5,41.5
"570","Cole Ramsey","TTU",3000,NA,0,"Healthy",NA,NA,NA,"OKST",66.4,16.5,41.5
"571","Brady Boyd","TTU",3000,3.11,0,"Healthy",100,55.5,0.52,"OKST",66.4,16.5,41.5
"572","Chadarius Townsend","TTU",3000,NA,0,"Healthy",NA,NA,NA,"OKST",66.4,16.5,41.5
"573","Drew Hocutt","TTU",3000,NA,0,"Healthy",5,69.3,2.2,"OKST",66.4,16.5,41.5
"574","Jordan Brown","TTU",3000,0.59,0,"Healthy",2,90.3,7,"OKST",66.4,16.5,41.5
