"","Name","TeamAbbrev","Salary","fpts","proj_own","status","pass_plays","grades_offense","yprr","opponent","grades_defense","grades_pass_rush_defense","grades_coverage_defense"
"162","Dominick Blaylock","UGA",3200,3.77,0,"Healthy",42,70.5,2.23,"AUB",73.9,59.1,59.4
"163","Kole Taylor","LSU",3200,1.27,0,"Healthy",50,63.3,0.55,"TENN",49.6,17.4,25.9
"164","Princeton Fant","TENN",3200,4.71,0,"Healthy",76,55.3,1.4,"LSU",79.4,36.9,66.6
"165","Jimmy Holiday","TENN",3200,0.67,0,"Healthy",18,64.9,4.25,"LSU",79.4,36.9,66.6
"166","Antonio Harmon","MSST",3200,1.83,0,"Healthy",44,61.4,1.42,"ARK",46.5,46.1,12.9
"167","Messiah Swinson","ASU",3200,3.62,0,"Healthy",128,48.9,0.91,"UW",NA,NA,NA
"168","Taj Davis","UW",3200,1.51,0,"Healthy",52,58.9,1.57,"ASU",39.1,47.8,34.7
"169","Titus Mokiao-Atimalala","UCLA",3200,3.08,0,"Healthy",108,60.7,1.03,"UTAH",65,26.9,67.8
"170","Collin Edwards","UTAH",3200,NA,0,"Healthy",NA,NA,NA,"UCLA",74.3,23.1,67.2
"171","Douglas Emilien","KU",3200,3.48,0,"Healthy",9,62.3,1.22,"TCU",63.2,13.5,55
"172","Brenen Thompson","UT",3200,0.63,0,"Ques Sat - Knee",NA,NA,NA,"OU",51.9,30.2,35.7
"173","Rashod Owens","OKST",3200,0.75,0,"Healthy",39,57,0.56,"TTU",70.1,40.6,36.8
"174","Andrel Anthony","MICH",3200,3.5,0,"Healthy",37,63.7,1.16,"IU",51.1,50.5,33.6
"175","Robert Smith","UMD",3200,NA,0,"Healthy",NA,NA,NA,"PUR",59.6,34.7,44.2
"176","Paul Piferi","PUR",3200,1.47,0,"Healthy",41,60.9,1.58,"UMD",52.2,27.5,54.2
"177","Tyler Hunt","MSU",3200,3.97,0,"Healthy",111,59.8,0.93,"OSU",77.6,11.1,60.7
"178","Terry Lockett Jr.","MSU",3200,NA,0,"Healthy",NA,NA,NA,"OSU",77.6,11.1,60.7
"179","Raymond Niro III","NW",3200,0.67,0,"Healthy",40,51,1.11,"WISC",57.6,28.4,48.5
"180","Stephan Bracey Jr.","WISC",3200,NA,0,"Healthy",NA,NA,NA,"NW",56.3,57.1,21.7
"181","John Samuel Shenker","AUB",3100,5.28,0,"Healthy",148,68.1,1.16,"UGA",78.2,6.1,86.2
"182","Arik Gilbert","UGA",3100,0.64,0,"Ques Sat - Personal",13,44.6,0,"AUB",73.9,59.1,59.4
"183","Cade Brock","UGA",3100,NA,0,"Healthy",NA,NA,NA,"AUB",73.9,59.1,59.4
"184","Nick Elksnis","UF",3000,NA,0,"Healthy",NA,NA,NA,"MIZZ",63.9,34.4,55.3
"185","Arlis Boardingham","UF",3000,NA,0,"Out indefinitely - Upper Body",NA,NA,NA,"MIZZ",63.9,34.4,55.3
"186","Noah Keeter","UF",3000,NA,0,"Healthy",NA,NA,NA,"MIZZ",63.9,34.4,55.3
"187","Scott Isacks III","UF",3000,NA,0,"Healthy",NA,NA,NA,"MIZZ",63.9,34.4,55.3
"188","Hayden Hansen","UF",3000,NA,0,"Healthy",NA,NA,NA,"MIZZ",63.9,34.4,55.3
"189","Gage Wilcox","UF",3000,NA,0,"Healthy",NA,NA,NA,"MIZZ",63.9,34.4,55.3
"190","Jonathan Odom","UF",3000,NA,0,"Healthy",NA,NA,NA,"MIZZ",63.9,34.4,55.3
"191","Dante Zanders","UF",3000,3.5,0,"Healthy",88,34.8,0.32,"MIZZ",63.9,34.4,55.3
"192","Griffin McDowell","UF",3000,NA,0,"Healthy",NA,NA,NA,"MIZZ",63.9,34.4,55.3
"193","Ja'Quavion Fraziars","UF",3000,1.53,0,"Healthy",28,56.4,0,"MIZZ",63.9,34.4,55.3
"194","Ja'Markis Weston","UF",3000,NA,0,"Healthy",4,55.6,0,"MIZZ",63.9,34.4,55.3
"195","Justin Curtis","UF",3000,NA,0,"Healthy",NA,NA,NA,"MIZZ",63.9,34.4,55.3
"196","Taylor Spierto","UF",3000,NA,0,"Healthy",NA,NA,NA,"MIZZ",63.9,34.4,55.3
"197","Daniel Cross","UF",3000,NA,0,"Healthy",NA,NA,NA,"MIZZ",63.9,34.4,55.3
"198","Kahleil Jackson","UF",3000,NA,0,"Healthy",4,84,10,"MIZZ",63.9,34.4,55.3
"199","Zak Sedaros","UF",3000,NA,0,"Healthy",NA,NA,NA,"MIZZ",63.9,34.4,55.3
"200","Marcus Burke","UF",3000,0.55,0,"Healthy",NA,NA,NA,"MIZZ",63.9,34.4,55.3
"201","Jordan Pouncey","UF",3000,NA,0,"Healthy",1,60.8,-2,"MIZZ",63.9,34.4,55.3
"202","William Sawyer","UF",3000,NA,0,"Healthy",NA,NA,NA,"MIZZ",63.9,34.4,55.3
"203","Caleb Douglas","UF",3000,NA,0,"Healthy",5,89.8,12.2,"MIZZ",63.9,34.4,55.3
"204","Thai Chiaokhiao-Bowman","UF",3000,0.55,0,"Healthy",13,63.5,1.33,"MIZZ",63.9,34.4,55.3
"205","Alex Gonzalez","UF",3000,NA,0,"Healthy",NA,NA,NA,"MIZZ",63.9,34.4,55.3
"206","Ryan Hoerstkamp","MIZZ",3000,NA,0,"Healthy",NA,NA,NA,"UF",69.8,38.9,54.7
"207","Kibet Chepyator","MIZZ",3000,2.09,0,"Healthy",54,34,0.63,"UF",69.8,38.9,54.7
"208","Gavin McKay","MIZZ",3000,NA,0,"Healthy",NA,NA,NA,"UF",69.8,38.9,54.7
"209","Max Whisner","MIZZ",3000,NA,0,"Healthy",NA,NA,NA,"UF",69.8,38.9,54.7
"210","Tucker Miller","MIZZ",3000,NA,0,"Healthy",NA,NA,NA,"UF",69.8,38.9,54.7
"211","Shawn Hendershot","MIZZ",3000,NA,0,"Healthy",NA,NA,NA,"UF",69.8,38.9,54.7
"212","Damon Johanns","MIZZ",3000,NA,0,"Healthy",NA,NA,NA,"UF",69.8,38.9,54.7
"213","Demariyon Houston","MIZZ",3000,NA,0,"Out indefinitely - Undisclosed",NA,NA,NA,"UF",69.8,38.9,54.7
"214","Mekhi Miller","MIZZ",3000,0.57,0,"Healthy",9,63.3,1.89,"UF",69.8,38.9,54.7
"215","Micah Manning","MIZZ",3000,NA,0,"Healthy",NA,NA,NA,"UF",69.8,38.9,54.7
"216","Zach Hahn","MIZZ",3000,NA,0,"Healthy",NA,NA,NA,"UF",69.8,38.9,54.7
"217","Wes Campbell VI","MIZZ",3000,NA,0,"Healthy",NA,NA,NA,"UF",69.8,38.9,54.7
"218","Jaden Nash","MIZZ",3000,NA,0,"Healthy",NA,NA,NA,"UF",69.8,38.9,54.7
"219","Logan Muckey","MIZZ",3000,NA,0,"Healthy",NA,NA,NA,"UF",69.8,38.9,54.7
"220","Luke Deal","AUB",3000,0.84,0,"Healthy",51,50.7,0.03,"UGA",78.2,6.1,86.2
"221","Tyler Fromm","AUB",3000,0.45,0,"Healthy",37,56,1.38,"UGA",78.2,6.1,86.2
"222","Brandon Frazier","AUB",3000,0.45,0,"Healthy",7,60.3,1.17,"UGA",78.2,6.1,86.2
"223","Camden Etheredge","AUB",3000,NA,0,"Healthy",NA,NA,NA,"UGA",78.2,6.1,86.2
"224","Micah Riley-Ducker","AUB",3000,NA,0,"Healthy",NA,NA,NA,"UGA",78.2,6.1,86.2
"225","Grant Hidalgo","AUB",3000,NA,0,"Healthy",NA,NA,NA,"UGA",78.2,6.1,86.2
"226","Malcolm Johnson Jr.","AUB",3000,2.88,0,"Healthy",42,57.6,0.7,"UGA",78.2,6.1,86.2
"227","Camden Brown","AUB",3000,3.5,0,"Healthy",63,54.3,0.43,"UGA",78.2,6.1,86.2
"228","Landen King","AUB",3000,0.45,0,"out for season - Redshirt",25,63.3,0.96,"UGA",78.2,6.1,86.2
"229","Tar'Varish Dawson Jr.","AUB",3000,1.59,0,"Healthy",18,61.3,1.88,"UGA",78.2,6.1,86.2
"230","Jackson Billings","AUB",3000,NA,0,"Healthy",NA,NA,NA,"UGA",78.2,6.1,86.2
"231","J.J. Evans","AUB",3000,NA,0,"Healthy",NA,NA,NA,"UGA",78.2,6.1,86.2
"232","Trent Mason","AUB",3000,NA,0,"Healthy",NA,NA,NA,"UGA",78.2,6.1,86.2
"233","Dazalin Worsham","AUB",3000,0.83,0,"Healthy",13,53.4,0,"UGA",78.2,6.1,86.2
"234","Tommy Nesmith","AUB",3000,NA,0,"Healthy",NA,NA,NA,"UGA",78.2,6.1,86.2
"235","Jay Fair","AUB",3000,0.45,0,"Healthy",NA,NA,NA,"UGA",78.2,6.1,86.2
"236","Omari Kelly","AUB",3000,1.21,0,"Healthy",23,68.5,1.68,"UGA",78.2,6.1,86.2
"237","Colby Stafford","AUB",3000,NA,0,"Healthy",NA,NA,NA,"UGA",78.2,6.1,86.2
"238","Jake Kruse","AUB",3000,NA,0,"Healthy",NA,NA,NA,"UGA",78.2,6.1,86.2
"239","Ze'Vian Capers","AUB",3000,0.37,0,"Healthy",12,53.5,0,"UGA",78.2,6.1,86.2
