"","Name","TeamAbbrev","Salary","fpts","proj_own","status","grades_offense","grades_run","opponent","grades_defense","grades_run_defense","grades_tackle","designed_yards","elusive_rating","breakaway_attempts","explosive","elu_yco","first_downs","attempts","rec_yards","targets","total_touches","player_game_count"
"35","Keegan Jones","UCLA",5000,6.94,0,"Healthy",69.2,73.7,"UTAH",65,56.4,53,37.6,52.8,0,0.1,2.3,0.2,9,16.8,1.8,10.4,5
"36","SaRodorick Thompson","TTU",5000,9.19,0,"out for season - Leg",72,75.8,"OKST",66.4,70.1,77.7,44.6,112.3,0,0.2,3.6,0.3,8.8,11.6,2.2,10.8,5
"37","Dylan Downing","PUR",5000,11.41,2,"Healthy",74.1,76.5,"UMD",52.2,50.7,76,48.2,70.7,0,0.2,2.7,0.3,10.2,9.8,1.2,11.4,5
"38","Jaylen Wright","TENN",4900,10.47,1,"Healthy",75,75.4,"LSU",79.4,69.3,58.7,64,72.2,0,0.1,3.1,0.3,13.8,0,0,13.8,4
"39","Micah Bernard","UTAH",4900,10.38,0,"Healthy",70.6,74.2,"UCLA",74.3,61.6,70,29.2,68.3,0,0.1,3,0.2,5.2,27,3.6,7.8,5
"40","Daniel Hishaw Jr.","KU",4900,NA,0,"Healthy",72.1,71.9,"TCU",63.2,65.5,98.1,52.2,222,0,0.2,3.9,0.3,8.8,19,0.6,9.4,5
"41","John Emery Jr.","LSU",4800,7.62,0,"Healthy",49.6,49.2,"TENN",49.6,63.7,70.8,39,44.9,0,0.1,2.8,0.2,9.3,18,1.3,10.3,3
"42","Cameron Davis","UW",4800,6.27,0,"out for season - Undisclosed",71.8,74.4,"ASU",39.1,36.1,26.6,41.2,20.1,0,0.2,2.3,0.3,9.5,13.5,1.8,11.2,4
"43","Colby McDonald","UMD",4700,3.09,0,"Healthy",65.5,75.1,"PUR",59.6,60.6,60.6,20.5,32.2,0,0.2,4.8,0.4,3,5.8,0.8,3.8,4
"44","Jarquez Hunter","AUB",4600,3.44,0,"Healthy",70.1,72.4,"UGA",78.2,61.2,80.1,27.8,192.5,0,0.1,3.4,0.3,6.8,21.4,1.6,7.8,5
"45","Dominique Johnson","ARK",4600,2.39,0,"Healthy",61.6,63.5,"MSST",NA,NA,NA,21.5,0,0,0.1,2.9,0.3,3.5,0,0,3.5,2
"46","Ulysses Bentley IV","MISS",4600,NA,0,"Healthy",66.5,73.6,"VAND",37.8,44.8,62.4,23.7,56.2,0,0.3,1.5,0.5,4.3,0,0.3,4.3,3
"47","Josh Henderson","IU",4600,6.47,0,"Healthy",74,77.3,"MICH",87.2,80.3,99.3,34.6,126,0,0.1,3.2,0.3,8,24,2,9.8,5
"48","Donovan Edwards","MICH",4600,15.69,9,"Healthy",87.5,85.7,"IU",51.1,58.8,35.3,39.7,42.3,0,0.2,2.8,0.5,6.7,19.3,2,8.7,3
"49","Jaden Nixon","OKST",4500,1.36,0,"Healthy",65.3,65.3,"TTU",70.1,68.2,68.2,8.7,42.6,0,0.1,2.6,0.3,3,11,1,4,3
"50","Jarek Broussard","MSU",4500,4.9,0,"Healthy",74.8,78.1,"OSU",77.6,77,59.1,35.4,140,0,0.1,3.5,0.3,7.6,4.8,0.4,8,5
"51","Jovantae Barnes","OU",4400,6.78,0,"Healthy",64.6,65,"UT",78.2,73.9,73.9,52.5,34.9,0,0.2,2.1,0.3,10.5,3.2,0.2,10.8,4
"52","Daijun Edwards","UGA",4300,9.45,0,"Healthy",76.8,76.5,"AUB",73.9,56.7,78.6,40.4,80.7,0,0.1,2.9,0.3,7.4,10.8,1.4,8.6,5
"53","Cody Schrader","MIZZ",4200,7.03,1,"Healthy",76,79.1,"UF",69.8,63.3,81,51.2,66.4,0,0.1,2.6,0.2,9,3.4,0.6,9.4,5
"54","Cam Porter","NW",4200,5.21,0,"Healthy",58.1,64.8,"WISC",57.6,44.8,60.4,36.4,48.6,0,0.1,2.3,0.2,11,1.6,0.6,11.4,5
"55","Emani Bailey","TCU",4100,6.05,0,"Healthy",70,72.6,"KU",66,75.6,93.9,28.2,38.5,0,0.2,1.7,0.2,3,3.5,0.8,3.2,4
"56","Trevor Etienne","UF",4000,9.34,2,"Healthy",70.1,72.9,"MIZZ",63.9,57.3,45.9,44.6,95.1,0,0.2,3.3,0.3,7,2,0.6,7.6,5
"57","Elijah Young","MIZZ",4000,NA,0,"Out Sat - Undisclosed",56.9,63.1,"UF",69.8,63.3,81,17.3,16.9,0,0.2,2.5,0.2,4.3,1,1,5,3
"58","Isaac Guerendo","WISC",4000,3.55,0,"Ques Sat - Undisclosed",75.1,71.1,"NW",56.3,71,55.8,17.8,63.5,0,0.1,2.8,0.3,4,12,1.6,5.2,5
"59","Noah Cain","LSU",3900,7.42,0,"Healthy",75.3,79.7,"TENN",49.6,63.7,70.8,37.8,121.2,0,0.1,4.1,0.3,6.6,1.8,0.8,6.8,5
"60","AJ Green","ARK",3900,5.63,0,"Healthy",71.6,73.2,"MSST",NA,NA,NA,23.4,42.7,0,0.1,2.4,0.3,5.6,0,0,5.6,5
"61","Ky Thomas","KU",3900,2.01,0,"Prob Sat - Lower Body",64.7,63,"TCU",63.2,65.5,98.1,8.3,112.6,0,0,2.1,0,3.7,1,0.7,4.3,3
"62","Kobe Lewis","PUR",3900,5.83,0,"Ques Sat - Undisclosed",63.3,68.1,"UMD",52.2,50.7,76,13.6,61.8,0,0.1,2.5,0.2,3.8,0.6,0.4,4,5
"63","Dallan Hayden","OSU",3900,10.89,0,"Healthy",75.4,75.6,"MSU",50.9,61.8,89.1,45,59.4,0,0.1,3.4,0.2,9.5,3.2,0.5,10,4
"64","Rocko Griffin","VAND",3800,3.93,0,"Healthy",80.1,79.2,"MISS",78.5,60,61.2,41,418.8,0,0.5,8.4,0.5,4,0,0,4,2
"65","Case Hatch","ASU",3800,0.52,0,"Healthy",56.4,59,"UW",NA,NA,NA,0,0,0,0,0,0,0.2,0,0.2,0.2,5
"66","Richard Newton","UW",3800,4.93,0,"Healthy",72.1,71.6,"ASU",39.1,36.1,26.6,29.3,99.5,0,0.1,3.3,0.3,6.3,1,0.7,6.7,3
"67","Bryson Donnell","TTU",3800,0.19,0,"Healthy",55.2,58.2,"OKST",66.4,70.1,77.7,23,175,0,0.1,3.5,0.1,8,0,0,8,1
"68","Simeon Price","MSST",3700,2.61,0,"Healthy",55.6,53.1,"ARK",46.5,50.6,18.4,6.8,19.9,0,0.1,1.7,0.1,2.6,13.8,1.2,3.4,5
"69","Ollie Gordon","OKST",3700,2.01,0,"Healthy",67.7,66.9,"TTU",70.1,68.2,68.2,22.2,167.9,0,0.2,4.1,0.3,3.2,8.2,1.2,4.2,4
"70","CJ Stokes","MICH",3700,1.38,0,"Healthy",61.3,64.1,"IU",51.1,58.8,35.3,28,33.7,0,0.2,2.7,0.2,5.8,3.8,0.5,6,4
"71","Nay'Quan Wright","UF",3600,9.24,2,"Healthy",63.9,66.2,"MIZZ",63.9,57.3,45.9,30.6,16.8,0,0,1.7,0.2,8,2.8,0.6,8.2,5
"72","Kurt Knisely","UGA",3600,NA,0,"Healthy",NA,NA,"AUB",73.9,56.7,78.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Tauheed Ferguson","UGA",3600,NA,0,"Healthy",NA,NA,"AUB",73.9,56.7,78.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Lorenzo Stephenson","UGA",3600,NA,0,"Healthy",NA,NA,"AUB",73.9,56.7,78.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Antwain Littleton II","UMD",3600,12.21,11,"Healthy",82.1,84,"PUR",59.6,60.6,60.6,53.6,229.1,0,0.1,6.3,0.4,8,8.8,1,8.8,5
"76","Armoni Goodwin","LSU",3500,NA,0,"Ques Sat - Hamstring",71.3,76.9,"TENN",49.6,63.7,70.8,49.8,105.2,0,0.1,4.3,0.4,8.5,3.8,1.2,9.2,4
"77","Bentavious Thompson","OU",3500,NA,0,"Ques Sat - Knee",NA,NA,"UT",78.2,73.9,73.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Keilan Robinson","UT",3500,5.26,0,"Healthy",78.6,63.7,"OU",51.9,52.6,35.7,2.8,125,0,0,3,0.2,1.2,15.2,1.2,2.4,5
"79","Devin Mockobee","PUR",3500,12.09,10,"Healthy",76.7,76.1,"UMD",52.2,50.7,76,61,215.9,0,0.2,5,0.4,9,18,2.2,11,4
"80","Chase Gillespie","VAND",3400,1.67,0,"Healthy",61.8,65.9,"MISS",78.5,60,61.2,29.5,53.2,0,0,2.5,0.1,6.8,2,0.5,7,4
"81","TJ Harden","UCLA",3400,1.43,0,"Healthy",82.3,80.7,"UTAH",65,56.4,53,40.3,157.5,0,0.1,3.1,0.3,6.7,0,0,6.7,3
"82","Jaylon Glover","UTAH",3400,5.01,0,"Healthy",78,77.1,"UCLA",74.3,61.6,70,38.2,53.2,0,0.1,2.8,0.2,9.2,0,0,9.2,4
"83","Jacob Hardie","UGA",3300,NA,0,"Healthy",NA,NA,"AUB",73.9,56.7,78.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Dylan Sampson","TENN",3200,NA,0,"Ques Sat - Ankle",63.3,64.8,"LSU",79.4,69.3,58.7,44.5,46.5,0,0.2,2.9,0.3,9,9.5,0.5,9.5,2
"85","Rashod Dubinion","ARK",3200,4.75,0,"Healthy",61.7,58.9,"MSST",NA,NA,NA,12.6,84.4,0,0.2,2.1,0.3,3.6,8.6,0.6,4,5
"86","Isaiah Woullard","MISS",3200,0.56,0,"Healthy",55.4,58.9,"VAND",37.8,44.8,62.4,4.5,25,0,0,2,0,4,0,0,4,2
"87","Daniyel Ngata","ASU",3200,5.62,2,"Healthy",68.1,69.3,"UW",NA,NA,NA,30.8,57.8,0,0.2,4.2,0.3,5.2,2,0.6,5.8,5
