"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","top_20","top_10","top_5","win","odds_per_dollar","one","residuals","own_change","adj_own","total_pts"
"63","Hayden Buckley",22969228,6900,49.98,0.0032,0.0031,82,-1e-04,-0.0313,49.19,2.4,77,24.5,0.4762,0.0901,0.0339,0.013,0.0013,0.45,1,-0.21,2.06,4,0
"64","Wyndham Clark",22969229,6900,53.85,0.0074,0.007,38,-4e-04,-0.0541,47.31,3.5,75.35,24,0.5652,0.1538,0.0695,0.0298,0.0037,1.01,1,0.35,2.41,6,0
"65","Luke Donald",22969230,6900,48.91,0.0042,0.0039,70,-3e-04,-0.0714,52.48,1.7,78.5,25,0.4878,0.0985,0.0406,0.0165,0.0019,0.57,1,-0.09,2.22,4,0
"66","Kramer Hickok",22969231,6900,45.46,0.0064,0.0061,43,-3e-04,-0.0469,50.57,1.8,77.35,24.5,0.5475,0.1418,0.0594,0.0245,0.0034,0.88,1,0.22,2.09,4,0
"67","Sean O'Hair",22969234,6800,53.94,0.0033,0.0031,82,-2e-04,-0.0606,48.92,1.2,76.5,24,0.4367,0.0741,0.0268,0.01,0.001,0.46,1,-0.14,2.25,3,0
"68","Wesley Bryan",22969235,6800,53.64,0.0036,0.0034,76,-2e-04,-0.0556,53.94,1.5,80.5,25,0.4367,0.0784,0.0293,0.0111,0.0015,0.5,1,-0.1,2.74,4,0
"69","Bill Haas",22969236,6800,53.46,0.0047,0.0044,62,-3e-04,-0.0638,44.63,2.3,72.5,23,0.4808,0.0944,0.0358,0.0132,0.0014,0.65,1,0.05,1.86,4,0
"70","Justin Lower",22969237,6800,56.85,0.0036,0.0034,76,-2e-04,-0.0556,40.38,4,68.85,21.5,0.495,0.1022,0.0408,0.0168,0.0019,0.5,1,-0.1,1.54,6,0
"71","Ryan Moore",22969238,6800,46.44,0.0032,0.0031,82,-1e-04,-0.0313,50.32,3.4,77,24.5,0.4184,0.0645,0.0226,0.0075,0.001,0.46,1,-0.14,1.9,5,0
"72","Vaughn Taylor",22969239,6800,50.79,0.0034,0.0032,78,-2e-04,-0.0588,54.26,2.2,79.5,25.5,0.4651,0.0861,0.0326,0.0126,0.0012,0.47,1,-0.13,2.44,5,0
"73","Harry Higgs",22969240,6800,45.79,0.0058,0.0055,52,-3e-04,-0.0517,46.29,2.5,73.5,23.5,0.5192,0.1244,0.0525,0.0224,0.0029,0.81,1,0.21,1.64,4,0
"74","Satoshi Kodaira",22969241,6700,49.73,0.002,0.0019,104,-1e-04,-0.05,53.04,3,80,25,0.4082,0.0611,0.0204,0.0069,0,0.28,1,-0.25,2.37,5,0
"75","Carlos Ortiz",22969242,6700,56.76,0.0059,0.0056,50,-3e-04,-0.0508,50.23,5.3,77.5,24,0.5305,0.1285,0.0533,0.022,0.0027,0.84,1,0.31,2.81,8,0
"76","Brice Garnett",22969243,6700,49.7,0.0029,0.0027,91,-2e-04,-0.069,53.9,3.5,80,25.5,0.5215,0.1196,0.0495,0.0201,0.0025,0.4,1,-0.13,2.43,6,0
"77","Paul Barjon",22969244,6700,46.35,0.0025,0.0024,98,-1e-04,-0.04,45.77,0.94,74,23,0.431,0.0693,0.0248,0.009,0.001,0.36,1,-0.17,1.51,2,0
"78","Ben Kohles",22969245,6700,54,0.0029,0.0027,91,-2e-04,-0.069,43.18,2.1,71.5,22.5,0.4808,0.0917,0.0362,0.014,0.0017,0.4,1,-0.13,1.66,4,0
"79","Callum Tarren",22969246,6700,54.18,0.004,0.0037,72,-3e-04,-0.075,47.17,2.2,75,23.5,0.505,0.1114,0.045,0.0175,0.0024,0.55,1,0.02,2.18,4,0
"80","Charley Hoffman",22969247,6700,45.74,0.0038,0.0036,74,-2e-04,-0.0526,54.06,4.7,81.5,25.5,0.4739,0.0935,0.0381,0.0138,0.0013,0.54,1,0.01,2.47,7,0
"81","Camilo Villegas",22969248,6600,45.47,0.0031,0.0029,87,-2e-04,-0.0645,48.43,1.6,76,24,0.4525,0.08,0.0304,0.0114,0.0013,0.44,1,-0.02,1.77,3,0
"82","Jonathan Byrd",22969249,6600,51.83,0.0031,0.0029,87,-2e-04,-0.0645,45.05,0.75,72.5,23,0.4695,0.0956,0.0382,0.0153,0.0017,0.44,1,-0.02,1.72,2,0
"83","Rafa Cabrera Bello",22969250,6600,41.4,0.0025,0.0024,98,-1e-04,-0.04,46.42,1.3,73.5,23.5,0.4132,0.0602,0.0208,0.0071,9e-04,0.36,1,-0.1,1.21,3,0
"84","Michael Gligic",22969251,6600,51.1,0.0027,0.0026,94,-1e-04,-0.037,40.69,2.3,69,22,0.4484,0.0792,0.0304,0.0115,0.0017,0.39,1,-0.07,1.25,4,0
"85","Sam Ryder",22969252,6600,51.4,0.0045,0.0043,64,-2e-04,-0.0444,52.3,1.6,79.5,24.5,0.5516,0.1458,0.0624,0.0255,0.0033,0.65,1,0.19,2.67,4,0
"86","Brandon Hagy",22969253,6600,42.32,0.0031,0.0029,87,-2e-04,-0.0645,42.03,1.1,70.35,22.5,0.4386,0.073,0.0264,0.0089,9e-04,0.44,1,-0.02,0.91,2,0
"87","Kelly Kraft",22969254,6600,39.28,0.0016,0.0015,110,-1e-04,-0.0625,37.77,0.21,66,21,0.4049,0.0578,0.0207,0.0074,8e-04,0.23,1,-0.23,0.09,0,0
"88","Danny Lee",22969255,6600,48.24,0.0032,0.0031,82,-1e-04,-0.0313,49.37,3.7,77.5,24.5,0.5327,0.1282,0.0538,0.0221,0.003,0.47,1,0.01,2.15,6,0
"89","David Lingmerth",22969256,6500,50.2,0.0031,0.0029,87,-2e-04,-0.0645,49.32,0.7,76,24.5,0.4425,0.0752,0.027,0.0102,0.0011,0.45,1,0.06,2.09,3,0
"90","Cameron Percy",22969257,6500,49.25,0.0031,0.0029,87,-2e-04,-0.0645,50.38,2.5,78,24.5,0.4348,0.0684,0.0246,0.0086,0.001,0.45,1,0.06,2.28,5,0
"91","Trevor Werbylo",22969258,6500,56.97,0.0016,0.0015,110,-1e-04,-0.0625,37.37,0.54,65.5,21,0.3484,0.0393,0.0127,0.0043,0,0.23,1,-0.16,1.1,2,0
"92","Dylan Wu",22969259,6500,48.12,0.004,0.0037,72,-3e-04,-0.075,46.96,0.75,75,23.5,0.4566,0.0806,0.0302,0.0108,0.0011,0.57,1,0.18,1.92,3,0
"93","Curtis Thompson",22969260,6500,43.31,0.0027,0.0026,94,-1e-04,-0.037,46.25,0.28,74,23,0.4219,0.0639,0.0234,0.0085,6e-04,0.4,1,0.01,1.44,2,0
"94","Ben Martin",22969261,6500,54.04,0.0032,0.0031,82,-1e-04,-0.0313,49.18,0.78,76,24,0.4673,0.0878,0.0337,0.0124,0.0011,0.48,1,0.09,2.36,3,0
"95","Robert Streb",22969262,6500,46.15,0.0056,0.0053,54,-3e-04,-0.0536,47.13,1.4,74.5,23.5,0.5169,0.1215,0.0494,0.0203,0.0025,0.82,1,0.43,1.91,3,0
"96","Scott Gutschewski",22969263,6500,49.2,0.0043,0.0041,67,-2e-04,-0.0465,54.99,0.95,80.5,25.5,0.5,0.099,0.0365,0.0139,0.0014,0.63,1,0.24,2.69,4,0
"97","Nick Watney",22969264,6400,44.65,0.0014,0.0014,112,0,0,36.47,0.3,64,20.5,0.3448,0.0357,0.0115,0.0038,0,0.22,1,-0.11,0.28,1,0
"98","Aaron Cockerill",22969265,6400,61.19,0.0011,0.001,116,-1e-04,-0.0909,40.94,3.9,69,22.5,0.3289,0.0343,0.0098,0.0036,0,0.16,1,-0.17,1.74,6,0
"99","Sung Kang",22969266,6400,48.84,0.0029,0.0027,91,-2e-04,-0.069,37.08,2.2,64,20.5,0.3774,0.0521,0.0192,0.0069,9e-04,0.42,1,0.09,0.6,3,0
"100","Henrik Norlander",22969267,6400,48.32,0.0027,0.0026,94,-1e-04,-0.037,51.12,1.2,78,24.5,0.4608,0.0881,0.0326,0.0124,0.0012,0.41,1,0.08,2.25,3,0
"101","Roger Sloan",22969268,6400,42.72,0.004,0.0037,72,-3e-04,-0.075,51.33,0.54,77.5,24.5,0.4587,0.084,0.031,0.0116,0.0011,0.58,1,0.25,1.94,2,0
"102","David Skinns",22969269,6400,47.94,0.0025,0.0024,98,-1e-04,-0.04,44.35,0.36,73,23,0.4049,0.0574,0.021,0.0076,8e-04,0.37,1,0.04,1.61,2,0
"103","Jason Dufner",22969270,6400,33.87,0.0013,0.0012,114,-1e-04,-0.0769,46.13,1.1,74,23.5,0.3484,0.0376,0.0124,0.004,0,0.19,1,-0.14,0.78,2,0
"104","Robert Garrigus",22969271,6400,61.42,0.0018,0.0017,108,-1e-04,-0.0556,47.21,0.81,74.5,24,0.3175,0.0322,0.0103,0.0033,0,0.27,1,-0.06,2.5,3,0
"105","Jim Knous",22969272,6300,46.43,0.0011,0.001,116,-1e-04,-0.0909,42.64,0.27,70.5,22.5,0.3311,0.0346,0.0108,0.0035,5e-04,0.16,1,-0.12,1.09,1,0
"106","Yi Cao",22969273,6300,0,9e-04,9e-04,119,0,0,25.41,0.04,55.9,13.98,0.2193,0.0115,0.0028,8e-04,0,0.14,1,-0.14,-3.3,0,0
"107","Tommy Gainey",22969274,6300,39.92,6e-04,6e-04,132,0,0,33.42,0.09,59,20,0.2865,0.0216,0.0064,0.002,0,0.1,1,-0.18,-0.63,0,0
"108","Mark Hensby",22969276,6300,56.5,6e-04,6e-04,132,0,0,30.59,0.85,52,18.5,0.241,0.0152,0.004,0.0014,0,0.1,1,-0.18,-0.5,0,0
"109","Max McGreevy",22969277,6300,46.81,0.0024,0.0022,101,-2e-04,-0.0833,41.22,0.33,69.5,22,0.4149,0.0631,0.0218,0.0073,6e-04,0.35,1,0.07,1.11,1,0
"110","Scott Brown",22969278,6300,57.04,0.0024,0.0022,101,-2e-04,-0.0833,45.5,0.72,74,23,0.4274,0.0668,0.0243,0.0086,9e-04,0.35,1,0.07,2.25,3,0
"111","Austin Cook",22969279,6300,41,0.0022,0.002,103,-2e-04,-0.0909,36.4,0.12,63.5,20.5,0.3584,0.0404,0.0124,0.0042,0,0.32,1,0.04,0.04,0,0
"112","Jared Du Toit",22969282,6200,21,6e-04,6e-04,132,0,0,25.55,0.14,56.21,14.05,0.1618,0.0047,0.001,0,0,0.1,1,-0.12,-2.03,0,0
"113","David Hearn",22969283,6200,42.75,6e-04,6e-04,132,0,0,35.9,0.11,63.5,20.5,0.2283,0.0109,0.0025,6e-04,0,0.1,1,-0.12,0.11,0,0
"114","Joshua Creel",22969284,6200,36.03,9e-04,9e-04,119,0,0,34.87,0.06,61.5,20.5,0.2882,0.0217,0.0058,0.0013,0,0.15,1,-0.07,-0.49,0,0
"115","Bo Van Pelt",22969285,6200,34.67,6e-04,6e-04,132,0,0,33.63,0.08,59.5,19.5,0.2353,0.0131,0.0032,0.0012,0,0.1,1,-0.12,-0.84,0,0
"116","Brett Drewitt",22969286,6200,45.4,0.0011,0.001,116,-1e-04,-0.0909,39.8,0.1,68.5,22,0.3378,0.0315,0.009,0.0027,0,0.16,1,-0.06,0.83,1,0
"117","D.A. Points",22969287,6200,54.5,6e-04,6e-04,132,0,0,31.37,0.43,55,19,0.2049,0.0093,0.0022,6e-04,0,0.1,1,-0.12,-0.22,0,0
"118","Jonas Blixt",22969288,6200,31.04,6e-04,6e-04,132,0,0,33.48,0.05,59.5,19.5,0.2577,0.0162,0.0049,0.0016,0,0.1,1,-0.12,-1.05,0,0
"119","Jared Wolfe",22969289,6200,44.22,0.0018,0.0017,108,-1e-04,-0.0556,46.46,0.26,74.5,24,0.3817,0.0507,0.0167,0.006,6e-04,0.27,1,0.05,1.57,2,0
"120","Greg Chalmers",22969290,6200,48.6,0.0024,0.0022,101,-2e-04,-0.0833,34.55,0.42,61.5,19.5,0.3597,0.046,0.016,0.0054,5e-04,0.35,1,0.13,0.3,1,0
"121","Albin Choi",22969291,6200,58.56,0.0027,0.0026,94,-1e-04,-0.037,25.41,0.24,55.9,13.98,0.3367,0.0365,0.0116,0.0036,0,0.42,1,0.2,0.29,1,0
"122","Callum Davison",22969292,6100,0,6e-04,6e-04,132,0,0,25.14,0.01,55.32,13.83,0.0284,0,0,0,0,0.1,1,-0.07,-3.33,0,0
"123","Max Sekulic",22969293,6100,0,6e-04,6e-04,132,0,0,25.09,0.02,55.19,13.8,0.062,5e-04,0,0,0,0.1,1,-0.07,-3.34,0,0
"124","William Buhl",22969294,6100,0,6e-04,6e-04,132,0,0,25.47,0.03,56.03,14.01,0.1218,0.0027,7e-04,0,0,0.1,1,-0.07,-3.24,0,0
"125","Jim Herman",22969295,6100,44.07,0.0042,0.0039,70,-3e-04,-0.0714,43.48,0.29,71.5,22.5,0.4032,0.059,0.0208,0.0078,0.001,0.64,1,0.47,1.44,2,0
"126","Brendan Leonard",22969296,6100,0,6e-04,6e-04,132,0,0,25.63,0.01,56.39,14.1,0.0303,0,0,0,0,0.1,1,-0.07,-3.2,0,0
"127","Wes Heffernan",22969297,6100,0,6e-04,6e-04,132,0,0,25.55,0.01,56.21,14.05,0.2155,0.0105,0.0028,9e-04,0,0.1,1,-0.07,-3.22,0,0
"128","Seth Reeves",22969298,6100,46.24,0.0014,0.0014,112,0,0,39.5,0.62,68,21.5,0.3953,0.0564,0.0197,0.0071,9e-04,0.23,1,0.06,0.95,2,0
"129","Martin Trainer",22969299,6100,44.59,0.0018,0.0017,108,-1e-04,-0.0556,31.83,0.35,56.5,19,0.3906,0.0543,0.0187,0.0068,9e-04,0.28,1,0.11,-0.52,0,0
"130","Kevin Stadler",22969300,6100,27.17,6e-04,6e-04,132,0,0,28.49,0.02,35.5,18,0.0639,6e-04,0,0,0,0.1,1,-0.07,-4.11,0,0
"131","Bo Hoag",22969301,6100,42.97,9e-04,9e-04,119,0,0,48.53,0.13,75.5,23.5,0.3876,0.0516,0.0168,0.0053,5e-04,0.15,1,-0.02,1.61,2,0
"132","Seung-Yul Noh",22969302,6100,45.75,0.002,0.0019,104,-1e-04,-0.05,40.08,0.17,68.5,22,0.4115,0.0615,0.0217,0.0079,8e-04,0.31,1,0.14,1,1,0
"133","Mike Weir",22969303,6000,54.89,6e-04,6e-04,132,0,0,46.56,0.31,74,23.5,0.2457,0.0136,0.0037,9e-04,0,0.1,1,-0.02,2.13,2,0
"134","Johnny Travale",22969304,6000,0,6e-04,6e-04,132,0,0,25.62,0.04,56.36,14.09,0.1339,0.0032,0,0,0,0.1,1,-0.02,-3.17,0,0
"135","Ricky Barnes",22969305,6000,34.8,6e-04,6e-04,132,0,0,32.07,0.12,56.5,19,0.2217,0.0113,0.0032,9e-04,0,0.1,1,-0.02,-1.13,0,0
