"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"35","Sony Michel","LA","rb","11","ARZ","12.5","0","0","0","0","0","0","13.7287","58.5918","0.3871","2.6518","2.1651","16.004","0.0928","0.0965","0.0483","0.0025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","Devin Singletary","BUF","rb","7","NE","12.3","0","0","0","0","0","0","13.8161","61.8696","0.3071","2.8522","2.3032","16.3706","0.0782","0.2555","0.1277","0.0011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","Tyler Boyd","CIN","wr","10","LV","12.8","0","0","0","0","0","0","0.0472","0.2512","0.0016","6.4196","4.802","58.2225","0.3678","0.0771","0.0386","0.0082","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","Darren Waller","LV","te","8","@CIN","14","0","0","0","0","0","0","0","0","0","7.4934","5.3037","59.4344","0.4488","0.0662","0.0331","0.028","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"39","Chase Edmonds","ARZ","rb","12","@LA","11.9","0","0","0","0","0","0","10.2713","39.3947","0.125","4.6437","3.7433","26.8135","0.1395","0.1152","0.0576","0.0075","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","Jakobi Meyers","NE","wr","14","@BUF","12.4","0","0","0","0","0","0","0.0252","0.1417","0.0007","7.0159","4.964","59.5465","0.2472","0.0587","0.0293","0.0293","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41","Clyde Edwards-Helaire","KC","rb","12","PIT","11.5","0","0","0","0","0","0","11.3911","51.8484","0.4235","2.3312","1.904","14.3098","0.0856","0.0937","0.0468","0.0098","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","Christian Kirk","ARZ","wr","12","@LA","11.9","0","0","0","0","0","0","0.0876","0.4651","0.0022","6.6338","4.5988","55.9518","0.2786","0.0257","0.0129","0.0187","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43","Rob Gronkowski","TB","te","9","PHI","13.2","0","0","0","0","0","0","0","0","0","6.1337","4.3721","59.6147","0.4838","0.0453","0.0227","0.0138","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","A.J. Green","ARZ","wr","12","@LA","11.5","0","0","0","0","0","0","0","0","0","6.3022","3.9822","56.0947","0.3176","0.0277","0.0138","0.0077","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","Tyler Johnson","TB","wr","9","PHI","11.4","0","0","0","0","0","0","0.0493","0.288","0.0015","5.7504","4.3543","51.1295","0.3057","0.0422","0.0211","0.0168","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"46","Breshad Perriman","TB","wr","9","PHI","11.1","0","0","0","0","0","0","0","0","0","5.367","3.376","56.878","0.3348","0.0273","0.0137","0.0111","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","Dalton Schultz","DAL","te","7","SF","12.4","0","0","0","0","0","0","0","0","0","6.5154","4.8494","49.0449","0.436","0.0334","0.0167","0.0148","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","Chase Claypool","PIT","wr","7","@KC","10.4","0","0","0","0","0","0","0.2984","1.6581","0.0105","6.1072","3.7222","50.0145","0.2446","0.0703","0.0352","0.006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"49","Van Jefferson","LA","wr","11","ARZ","10.4","0","0","0","0","0","0","0.1239","0.7358","0.0047","5.1269","3.3855","49.7529","0.3227","0.0313","0.0156","0.0092","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","Cedrick Wilson","DAL","wr","7","SF","10.3","0","0","0","0","0","0","0.3301","1.7649","0.0122","5.1066","3.7909","46.1753","0.2785","0.075","0.0375","0.0131","10.3106","0.014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"51","Cole Beasley","BUF","wr","7","NE","10.2","0","0","0","0","0","0","0","0","0","5.7043","4.3696","44.058","0.2213","0.0284","0.0142","0.0323","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"52","Miles Sanders","PHI","rb","14","@TB","9.4","0","0","0","0","0","0","8.4678","39.6152","0.1984","2.9235","2.294","16.0225","0.0616","0.1311","0.0655","0.0366","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"53","Emmanuel Sanders","BUF","wr","7","NE","9.8","0","0","0","0","0","0","0","0","0","5.4359","3.5905","47.6153","0.2317","0.0283","0.0142","0.0132","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"54","Dallas Goedert","PHI","te","14","@TB","11.2","0","0","0","0","0","0","0","0","0","6.1548","4.3295","49.6107","0.3276","0.0606","0.0303","0.0109","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55","Darrel Williams","KC","rb","12","PIT","9.2","0","0","0","0","0","0","7.6194","32.8496","0.2987","2.5339","2.0765","15.5544","0.0863","0.0589","0.0294","0.0098","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"56","Rhamondre Stevenson","NE","rb","14","@BUF","9.2","0","0","0","0","0","0","10.1889","48.3789","0.3119","1.6092","1.298","9.422","0.038","0.0789","0.0394","0.0061","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"57","Kendrick Bourne","NE","wr","14","@BUF","9.4","0","0","0","0","0","0","0.1258","0.6951","0.0033","4.6666","3.3915","45.1604","0.2301","0.0346","0.0173","0.0146","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"58","Zach Ertz","ARZ","te","12","@LA","10.7","0","0","0","0","0","0","0","0","0","6.1363","4.3252","42.7667","0.3464","0.0198","0.0099","0.0295","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"59","Tony Pollard","DAL","rb","7","SF","8.7","0","0","0","0","0","0","6.2977","30.2504","0.1808","2.9231","2.436","16.5619","0.0909","0.1122","0.0561","0.0107","64.7915","0.0388","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60","Cam Akers","LA","rb","11","ARZ","8.5","0","0","0","0","0","0","8.6734","37.7494","0.2649","1.8033","1.4679","12.076","0.0759","0.106","0.053","0.0086","47.3275","0.0288","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61","Damien Harris","NE","rb","14","@BUF","8.3","0","0","0","0","0","0","10.3147","46.2273","0.366","0.9655","0.7747","5.6771","0.0223","0.0966","0.0483","0.0029","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"62","Tyler Higbee","LA","te","11","ARZ","10","0","0","0","0","0","0","0","0","0","5.3037","4.0319","39.3666","0.3355","0.0359","0.018","0.0191","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"63","Antoine Wesley","ARZ","wr","12","@LA","8.4","0","0","0","0","0","0","0.0219","0.1238","0.0007","4.6437","3.163","39.4472","0.2076","0.0335","0.0167","0.0092","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"64","Pat Freiermuth","PIT","te","7","@KC","9.4","0","0","0","0","0","0","0","0","0","5.4528","3.9151","35.8491","0.3076","0.0461","0.023","0.0174","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65","Byron Pringle","KC","wr","12","PIT","8","0","0","0","0","0","0","0.1519","0.8236","0.0059","4.0543","2.9124","35.8539","0.2346","0.0705","0.0352","0.0048","58.542","0.0333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"66","Hunter Henry","NE","te","14","@BUF","9.1","0","0","0","0","0","0","0","0","0","4.8275","3.3003","37.8479","0.3379","0.0193","0.0097","0.0091","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
