player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
L'Jarius Sneed,40588,CB,KC,8,0,0,16,90.1,1,5,33,10.1,30.3,10,2,21.2,4,345,35,10,0,92.6,1,2,10,7.0,60.0,6,35.0,2,142,10,5
Rico Dowdle,40693,HB,DAL,1,0,0,9,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
Ed Oliver,42200,DI,BUF,5,1,0,4,63.1,4,3,83,100.0,9.6,8,1,5.4,1,93,93,8,0,62.9,2,2,31,100.0,16.1,5,9.7,1,33,33,5
Divine Deablo,42208,LB,LV,8,0,0,23,54.2,1,3,28,10.5,3.6,1,1,7.1,0,285,30,4,0,64.6,1,2,12,12.6,8.3,1,12.5,0,103,13,3
Bryce Hall,42313,CB,NYJ,1,0,0,22,58.4,0,0,1,20.0,0.0,0,0,0.0,0,5,1,0,0,58.4,0,0,1,20.0,0.0,0,0.0,0,5,1,0
Jonathan Kongbo,42433,ED,DEN,2,0,0,10,56.4,0,0,11,77.8,9.1,1,1,0.0,0,18,14,0,0,53.5,0,0,4,55.6,0.0,0,0.0,0,9,5,0
Isaiah Simmons,42451,LB,ARZ,9,1,0,1,91.5,1,3,35,12.3,25.7,9,0,11.4,2,300,37,6,0,92.7,1,2,16,11.5,31.3,5,15.6,1,148,17,4
Antoine Winfield Jr.,42475,S,TB,7,0,0,30,93.4,0,2,22,8.5,13.6,3,0,18.2,3,270,23,5,0,96.8,0,1,7,6.4,42.9,3,50.0,3,110,7,4
Tomon Fox,42486,ED,NYG,7,0,0,21,58.3,0,3,65,79.5,9.2,6,0,3.8,1,88,70,4,0,56.3,0,1,26,83.3,7.7,2,1.9,0,36,30,1
Rashad Weaver,42495,ED,TEN,7,0,0,31,64.7,5,11,205,95.2,15.1,31,1,5.4,3,230,219,19,0,64.1,4,10,106,95.1,19.8,21,9.4,3,122,116,17
Keir Thomas,42509,ED,LA,2,0,0,26,57.5,0,0,2,100.0,0.0,0,0,0.0,0,2,2,0,0,,0,0,0,,,0,,0,0,0,0
Krys Barnes,42548,LB,GB,2,0,0,12,59.0,0,0,1,5.6,0.0,0,1,0.0,0,18,1,0,0,59.0,0,0,1,10.0,0.0,0,0.0,0,10,1,0
Chauncey Golston,42718,DI,DAL,8,0,0,9,63.4,1,2,63,100.0,6.3,4,1,2.4,0,67,67,3,0,72.0,1,1,19,100.0,15.8,3,5.3,0,21,21,2
Nick Bosa,42741,ED,SF,7,0,2,28,86.4,12,16,187,99.5,24.1,45,3,11.8,8,202,201,36,0,86.8,6,11,91,100.0,30.8,28,15.9,6,101,101,23
Osa Odighizuwa,42754,DI,DAL,8,0,0,9,69.9,4,11,157,98.8,15.9,25,2,6.1,2,171,169,17,0,72.3,1,7,58,100.0,22.4,13,10.3,2,66,66,10
Shaka Toney,42806,ED,WAS,6,0,0,32,56.5,0,2,35,94.6,11.4,4,0,2.9,0,37,35,2,0,54.8,0,1,19,95.0,10.5,2,2.6,0,20,19,1
Terrell Lewis,42845,ED,LA,8,0,2,26,50.9,0,2,121,77.4,5.0,6,2,1.7,1,164,127,3,0,52.0,0,2,47,86.4,6.4,3,2.1,0,59,51,2
Kristian Fulton,42894,CB,TEN,7,0,2,31,59.1,0,0,1,0.3,0.0,0,3,0.0,0,338,1,0,0,,0,0,0,0.0,,0,,0,174,0,0
Rashan Gary,42905,ED,GB,9,0,0,12,83.0,8,24,191,99.0,20.9,40,2,11.5,6,206,204,38,0,91.4,5,13,77,98.8,33.8,26,18.2,5,85,84,23
Jonathon Cooper,43021,ED,DEN,5,0,0,10,60.7,2,3,41,79.6,12.2,5,1,6.1,0,54,43,5,0,68.4,1,3,16,85.0,25.0,4,12.5,0,20,17,4
Charvarius Ward,43034,CB,SF,8,0,1,28,77.0,0,0,3,1.1,33.3,1,3,0.0,0,285,3,0,0,,0,0,0,0.0,,0,,0,136,0,0
Brandon Jones,43049,S,MIA,7,0,0,17,65.2,0,3,26,12.7,11.5,3,1,13.5,2,228,29,5,0,51.0,0,1,6,7.3,16.7,1,8.3,0,82,6,1
Devin White,43089,LB,TB,9,0,0,30,62.3,4,10,58,17.5,17.2,10,2,17.2,3,355,62,17,0,65.7,1,4,31,23.1,16.1,5,17.7,3,143,33,8
Jeremy Chinn,43179,S,CAR,4,2,0,5,87.9,0,1,7,5.8,0.0,0,0,21.4,1,139,8,2,0,66.2,0,0,3,4.7,0.0,0,33.3,1,64,3,1
Mack Wilson,43190,LB,NE,9,0,0,19,62.2,0,6,25,20.0,20.0,5,2,20.0,2,140,28,8,0,52.6,0,4,18,25.6,16.7,3,16.7,1,82,21,5
Richie Grant,43196,S,ATL,10,0,1,2,68.5,1,1,14,3.4,7.1,1,1,7.1,0,417,14,2,0,72.2,1,1,5,2.6,0.0,0,20.0,0,189,5,2
Damar Hamlin,43291,S,BUF,8,0,0,4,70.7,0,1,9,5.0,11.1,1,0,27.8,2,238,12,3,0,55.8,0,0,1,2.1,0.0,0,0.0,0,97,2,0
