player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Chase Roullier,11954,C,WAS,2,0,32,55.9,0,3,97,100.0,100.0,98.5,0,3,0,106,106,55.9,0,1,37,100.0,100.0,98.6,1,0,40,40
Joshua Ezeudu,77355,G,NYG,7,2,21,40.4,2,7,93,100.0,100.0,91.9,2,12,3,101,101,23.8,1,4,44,100.0,100.0,87.5,8,3,45,45
Daniel Brunskill,34807,G,SF,5,0,28,71.5,0,5,91,100.0,100.0,97.3,0,5,0,99,99,56.3,0,5,37,100.0,100.0,93.2,5,0,37,37
Max Garcia,9566,G,ARZ,5,0,1,43.4,1,6,92,100.0,100.0,95.1,0,8,1,97,97,30.5,1,5,48,100.0,100.0,91.7,7,1,50,50
Cedric Ogbuehi,9454,T,NYJ,3,0,22,61.2,0,6,93,100.0,100.0,95.7,0,7,1,95,95,61.3,0,4,44,100.0,100.0,93.2,5,1,45,45
Nick Martin,10684,C,WAS,2,0,32,30.1,1,3,88,100.0,100.0,97.7,1,4,0,94,94,14.7,1,3,40,100.0,100.0,95.0,4,0,43,43
James Hudson,59854,T,CLV,5,0,8,62.8,0,4,85,100.0,100.0,97.6,1,4,0,94,94,50.4,0,3,34,100.0,100.0,95.6,3,0,37,37
Jaylon Moore,43678,T,SF,4,0,28,54.4,4,2,85,100.0,100.0,94.1,0,8,2,92,92,61.3,0,2,35,100.0,100.0,94.3,3,1,37,37
James Ferentz,9258,C,NE,4,0,19,70.9,0,1,90,100.0,100.0,98.3,0,2,1,91,91,78.9,0,0,47,100.0,100.0,97.9,1,1,48,48
Logan Stenberg,37181,G,DET,3,0,11,0.7,5,3,87,100.0,100.0,93.1,0,10,2,89,89,2.8,2,2,44,100.0,100.0,90.9,6,2,46,46
John Simpson,41715,G,LV,2,1,23,55.1,2,1,84,100.0,100.0,98.2,1,3,0,89,89,58.6,1,1,42,100.0,100.0,97.6,2,0,43,43
Jack Driscoll,27064,T,PHI,4,0,24,45.0,1,9,80,100.0,100.0,92.5,0,11,1,84,84,36.4,0,7,29,100.0,100.0,84.5,8,1,31,31
Riley Reiff,7029,T,CHI,2,1,6,72.8,1,1,70,100.0,100.0,98.6,1,2,0,81,81,69.4,0,1,21,100.0,100.0,97.6,1,0,26,26
Will Fries,41530,G,IND,2,0,14,52.3,0,3,78,100.0,100.0,98.1,0,3,0,80,80,53.5,0,2,41,100.0,100.0,97.6,2,0,43,43
Greg Van Roten,7746,C,BUF,3,0,4,39.2,0,5,77,100.0,100.0,96.8,0,5,0,80,80,38.2,0,3,27,100.0,100.0,94.4,3,0,28,28
Nick Allegretti,39268,G,KC,6,0,16,24.3,2,2,72,97.3,97.5,97.2,0,4,0,77,79,34.5,2,1,32,100.0,100.0,95.3,3,0,34,34
Brandon Walton,41533,T,TB,3,0,30,64.3,0,2,68,100.0,100.0,97.1,1,3,1,75,75,55.3,0,2,27,100.0,100.0,92.6,3,1,32,32
Daniel Faalele,81734,T,BLT,3,0,3,57.8,1,3,68,100.0,100.0,94.1,1,6,2,73,73,44.5,0,3,29,100.0,100.0,87.9,5,2,31,31
Colby Gossett,46673,G,ATL,4,1,2,48.6,1,2,66,100.0,100.0,97.7,2,3,0,72,72,39.9,0,1,25,100.0,100.0,98.0,1,0,28,28
Wes Schweitzer,10829,C,WAS,2,0,32,21.6,2,3,69,100.0,100.0,94.9,0,6,1,72,72,26.0,1,1,37,100.0,100.0,94.6,3,1,39,39
Michael Schofield III,8730,G,CHI,3,0,6,71.8,0,3,63,100.0,100.0,97.6,0,3,0,71,71,68.6,0,1,16,100.0,100.0,96.9,1,0,20,20
Calvin Anderson,46247,T,DEN,4,0,10,59.7,0,6,69,100.0,100.0,94.2,0,7,1,71,71,53.2,0,5,40,100.0,100.0,91.2,6,1,41,41
Josh Jones,26634,T,ARZ,3,0,1,74.4,0,5,60,100.0,100.0,95.8,0,5,0,69,69,60.1,0,5,29,100.0,100.0,91.4,5,0,31,31
Oday Aboushi,7923,G,LA,2,1,26,59.4,0,1,66,100.0,100.0,99.2,1,1,0,69,69,48.4,0,1,16,100.0,100.0,96.9,1,0,16,16
Tyre Phillips,59874,T,NYG,2,0,21,64.1,1,4,62,100.0,100.0,94.4,0,6,1,67,67,60.1,0,3,34,100.0,100.0,92.6,4,1,35,35
Parker Hesse,48369,TE,ATL,10,0,2,65.2,0,2,60,42.3,42.9,96.7,0,3,1,66,154,72.2,0,0,1,5.0,4.5,100.0,0,0,1,22
Lester Cotton Sr.,46085,G,LV,2,0,23,79.1,1,1,60,100.0,100.0,98.3,0,2,0,63,63,68.9,1,1,29,100.0,100.0,96.6,2,0,29,29
Najee Harris,57121,HB,PIT,8,0,25,64.9,0,2,58,27.8,27.2,94.8,0,4,2,63,232,56.7,0,1,22,23.7,24.5,88.6,3,2,25,102
Storm Norton,12188,T,LAC,4,1,27,34.5,4,6,59,100.0,100.0,91.5,2,10,0,62,62,24.6,3,6,37,100.0,100.0,87.8,9,0,38,38
Dillon Radunz,30551,G,TEN,6,0,31,61.8,2,1,57,100.0,100.0,97.4,0,3,0,60,60,38.6,2,1,28,100.0,100.0,94.6,3,0,29,29
Dalvin Cook,11796,HB,MIN,8,0,18,42.0,0,7,54,24.2,24.3,91.7,0,8,1,57,235,26.4,0,7,24,26.1,25.8,85.4,7,0,25,97
Justin McCray,9234,G,HST,3,0,13,29.4,1,7,55,100.0,100.0,92.7,1,8,0,57,57,4.6,0,6,21,100.0,100.0,85.7,6,0,21,21
Patrick Ricard,48862,FB,BLT,9,0,3,57.5,2,4,53,34.0,35.2,94.3,0,6,0,57,162,49.5,1,1,13,25.0,24.1,92.3,2,0,13,54
Conor McDermott,11966,T,NYJ,2,0,22,39.5,2,4,51,100.0,100.0,92.2,1,7,1,53,53,37.0,1,3,29,100.0,100.0,89.7,5,1,29,29
Jake Hanson,28148,G,GB,3,0,12,20.6,0,3,49,100.0,100.0,94.9,0,4,1,50,50,0.0,0,3,18,100.0,100.0,86.1,4,1,18,18
Lecitus Smith,61069,G,ARZ,2,0,1,68.9,1,2,45,100.0,100.0,94.4,0,4,1,47,47,56.8,1,2,26,100.0,100.0,90.4,4,1,27,27
Robert Jones,100786,G,MIA,4,0,17,70.3,2,1,43,100.0,100.0,96.5,0,3,0,46,46,75.4,1,0,13,100.0,100.0,96.2,1,0,13,13
Josh Jacobs,45953,HB,LV,8,0,23,44.4,2,1,41,21.0,21.7,93.9,0,4,1,45,207,40.5,1,0,12,16.2,16.5,95.8,1,0,13,79
Rhamondre Stevenson,98689,HB,NE,9,0,19,69.6,0,2,41,19.5,19.6,97.6,0,2,0,44,224,60.5,0,2,13,11.4,12.9,92.3,2,0,16,124
Devin Singletary,40485,HB,BUF,8,0,4,70.9,1,3,41,16.1,16.6,95.1,0,4,0,44,265,58.2,1,3,20,18.7,19.5,90.0,4,0,22,113
Marcedes Lewis,2973,TE,GB,9,0,12,64.1,0,2,38,37.3,38.7,97.4,0,2,0,43,111,74.9,0,0,4,25.0,21.1,100.0,0,0,4,19
Iosua Opeta,45110,G,PHI,5,1,24,57.1,0,3,42,100.0,100.0,96.4,1,3,0,43,43,44.8,0,3,15,100.0,100.0,90.0,3,0,15,15
Justin Britt,8699,C,HST,1,0,13,71.2,0,0,41,100.0,100.0,100.0,0,0,0,43,43,66.3,0,0,10,100.0,100.0,100.0,0,0,11,11
Durham Smythe,47257,TE,MIA,8,0,17,63.7,0,0,38,32.2,33.1,94.7,0,2,2,42,127,69.4,0,0,3,20.0,18.8,100.0,0,0,3,16
Saquon Barkley,45791,HB,NYG,8,0,21,62.5,0,4,36,15.7,16.9,91.7,0,5,1,42,249,56.8,0,3,18,19.8,21.1,91.7,3,0,20,95
Taylor Lewan,8646,T,TEN,2,0,31,79.4,0,0,35,100.0,100.0,100.0,0,0,0,40,40,82.7,0,0,14,100.0,100.0,100.0,0,0,18,18
Tyler Higbee,10744,TE,LA,8,0,26,48.1,0,3,40,14.4,14.1,96.2,0,3,0,40,283,59.4,0,0,3,2.5,2.4,100.0,0,0,3,125
Joe Mixon,11803,HB,CIN,9,0,7,26.9,0,0,39,15.4,14.7,92.3,1,3,3,39,265,43.1,0,0,10,12.8,11.9,100.0,0,0,10,84
Cole Kmet,60995,TE,CHI,9,0,6,71.6,3,0,36,14.1,14.3,95.8,0,3,0,39,273,73.1,0,0,3,3.2,2.9,100.0,0,0,3,102
Yodny Cajuste,46297,T,NE,2,0,19,53.6,0,4,38,100.0,100.0,92.1,0,5,1,39,39,40.0,0,3,16,100.0,100.0,90.6,3,0,16,16
Alvin Kamara,11822,HB,NO,7,0,20,20.1,1,4,36,18.2,18.8,90.3,0,6,1,39,207,30.6,0,2,18,16.1,16.4,94.4,2,0,19,116
Leonard Fournette,11759,HB,TB,9,0,30,28.7,0,1,36,12.4,12.4,98.6,0,1,0,39,314,20.8,0,1,12,9.0,9.0,95.8,1,0,13,145
Travis Etienne,57185,HB,JAX,9,0,15,54.1,0,4,34,17.2,17.8,94.1,0,4,0,38,214,51.4,0,2,18,19.4,21.0,94.4,2,0,21,100
Adam Trautman,109795,TE,NO,7,0,20,75.0,2,0,33,37.1,38.3,97.0,0,2,0,36,94,63.0,1,0,9,25.0,23.7,94.4,1,0,9,38
Ian Thomas,42130,TE,CAR,10,0,5,69.2,1,0,30,21.7,23.6,98.3,1,1,0,35,148,70.2,0,0,1,2.7,2.5,100.0,0,0,1,40
Chris Manhertz,10211,TE,JAX,9,0,15,79.2,1,0,33,44.6,44.9,98.5,0,1,0,35,78,72.7,0,0,1,12.5,12.5,100.0,0,0,1,8
T.J. Hockenson,40912,TE,MIN,8,0,18,51.8,2,2,34,12.1,11.7,91.2,0,5,1,35,298,38.1,0,1,7,4.6,4.3,92.9,1,0,7,161
